time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-3.4,-6.7,-0.5,4.5,8.0,10.8,1011.4
2021-01-02,-10.6,-15.7,-6.5,0.0,34.0,6.4,1018.1
2021-01-03,-11.6,-20.9,-6.7,0.0,15.0,12.0,1026.7
2021-01-04,-19.6,-22.8,-14.0,0.0,35.0,5.7,1033.3
2021-01-05,-11.8,-13.9,-9.2,0.0,120.0,8.4,1033.6
2021-01-06,-9.5,-11.0,-7.7,0.0,150.0,9.0,1031.0
2021-01-07,-11.4,-17.7,-7.0,0.0,61.0,7.2,1026.0
2021-01-08,-7.3,-8.7,-6.7,0.0,123.0,7.5,1023.1
2021-01-09,-9.6,-10.5,-8.9,0.0,121.0,9.6,1023.3
2021-01-10,-14.1,-18.2,-10.7,0.7,114.0,12.6,1016.4
2021-01-11,-9.1,-11.4,-7.5,4.1,112.0,16.0,1013.4
2021-01-12,-13.8,-19.4,-9.7,0.0,92.0,25.7,1016.1
2021-01-13,-20.8,-23.7,-19.4,0.0,73.0,13.1,1027.1
2021-01-14,-28.8,-30.9,-25.2,0.0,19.0,5.6,1028.4
2021-01-15,-19.7,-26.4,-14.0,0.1,27.0,2.5,1020.7
2021-01-16,-10.2,-13.7,-7.2,0.0,177.0,2.7,1018.6
2021-01-17,-10.5,-16.5,-8.0,0.0,210.0,4.8,1013.2
2021-01-18,-8.9,-18.4,-3.5,0.0,175.0,6.0,1009.1
2021-01-19,-9.1,-10.2,-8.4,0.0,16.0,6.7,1009.9
2021-01-20,-10.5,-13.2,-9.2,1.8,73.0,15.2,1012.6
2021-01-21,-10.5,-11.5,-9.5,2.6,95.0,26.4,1010.0
2021-01-22,-11.1,-12.2,-10.5,5.9,93.0,27.8,999.9
2021-01-23,-11.5,-12.0,-10.2,10.3,72.0,21.3,993.5
2021-01-24,-10.2,-10.9,-9.6,0.0,4.0,12.7,997.5
2021-01-25,-10.1,-12.7,-7.7,0.0,7.0,14.9,1002.1
2021-01-26,-3.9,-7.0,-0.4,2.5,36.0,8.7,1003.6
2021-01-27,-4.8,-8.2,-2.0,2.2,21.0,16.1,1004.4
2021-01-28,-8.4,-8.7,-7.5,5.9,45.0,9.3,1004.8
2021-01-29,-10.5,-17.4,-7.0,0.0,54.0,7.1,1004.0
2021-01-30,-11.1,-13.2,-10.0,1.6,15.0,16.4,995.7
2021-01-31,-10.6,-12.0,-10.0,1.2,10.0,11.0,990.9
2021-02-01,-15.5,-19.9,-11.0,0.0,15.0,11.2,995.9
2021-02-02,-22.3,-27.3,-16.2,0.0,11.0,7.2,1009.9
2021-02-03,-12.9,-24.9,-9.5,0.0,14.0,16.0,1015.7
2021-02-04,-10.3,-17.0,-5.7,0.0,9.0,14.9,1017.9
2021-02-05,-15.1,-20.2,-8.7,0.0,14.0,8.0,1026.0
2021-02-06,-9.7,-15.5,-6.2,0.0,5.0,11.5,1027.0
2021-02-07,-9.5,-19.4,-6.7,0.0,0.0,11.7,1024.4
2021-02-08,-19.5,-23.3,-10.5,0.0,37.0,3.8,1023.4
2021-02-09,-24.6,-28.3,-18.2,0.0,39.0,4.1,1021.5
2021-02-10,-26.1,-30.2,-19.0,0.0,35.0,3.6,1022.9
2021-02-11,-22.0,-28.0,-17.0,0.0,92.0,3.5,1026.5
2021-02-12,-12.9,-18.0,-8.0,0.2,220.0,7.1,1023.0
2021-02-13,-16.3,-22.0,-8.2,0.0,330.0,6.2,1023.3
2021-02-14,-19.8,-24.7,-11.5,0.0,84.0,3.5,1028.2
2021-02-15,-11.1,-21.2,-2.7,0.4,189.0,7.8,1020.1
2021-02-16,-14.1,-20.8,-7.0,0.0,28.0,10.6,1024.3
2021-02-17,-21.9,-26.4,-17.7,0.0,132.0,6.0,1026.3
2021-02-18,-17.5,-26.7,-9.9,0.6,129.0,8.3,1019.6
2021-02-19,-10.4,-11.0,-9.9,3.6,107.0,15.9,1017.1
2021-02-20,-11.7,-12.2,-10.7,7.3,104.0,18.1,1016.7
2021-02-21,-13.6,-14.7,-12.5,5.2,96.0,18.9,1021.0
2021-02-22,-14.3,-15.2,-12.9,0.9,120.0,13.9,1030.0
2021-02-23,-13.2,-14.4,-12.2,8.4,148.0,16.5,1024.9
2021-02-24,-9.5,-12.0,-7.0,4.4,144.0,13.7,1013.0
2021-02-25,-2.7,-7.0,1.7,0.0,174.0,13.3,999.1
2021-02-26,-2.2,-11.4,3.7,0.0,302.0,13.2,999.8
2021-02-27,-3.5,-9.4,0.5,2.9,216.0,10.9,1014.7
2021-02-28,-2.3,-12.0,5.2,0.0,204.0,8.6,1010.5
2021-03-01,3.0,0.7,6.2,0.0,252.0,18.3,1004.9
2021-03-02,-0.4,-4.2,3.2,0.0,269.0,11.2,1011.2
2021-03-03,-0.8,-4.5,1.7,0.0,299.0,16.5,1005.7
2021-03-04,-5.9,-9.9,-3.2,0.0,340.0,15.1,1007.9
2021-03-05,-12.9,-21.2,-4.9,0.0,292.0,7.2,1012.4
2021-03-06,-5.2,-13.7,-1.2,9.7,214.0,18.8,991.9
2021-03-07,-6.0,-9.2,-3.9,1.2,15.0,22.1,999.9
2021-03-08,-11.6,-18.3,-7.2,0.0,66.0,5.4,1015.9
2021-03-09,-17.3,-25.3,-10.5,0.0,89.0,5.2,1024.8
2021-03-10,-20.4,-28.4,-13.5,0.0,152.0,9.3,1026.7
2021-03-11,-12.9,-19.0,-8.2,0.0,157.0,19.0,1010.0
2021-03-12,-6.7,-9.5,-4.9,0.5,144.0,15.6,992.2
2021-03-13,-5.6,-6.7,-4.5,0.0,135.0,7.3,990.7
2021-03-14,-3.4,-6.4,-0.7,0.0,67.0,2.9,994.9
2021-03-15,-1.5,-5.0,2.7,0.0,7.0,4.9,1000.5
2021-03-16,-2.6,-9.0,1.2,0.0,9.0,10.6,1011.3
2021-03-17,-10.0,-18.2,-4.0,0.0,5.0,8.9,1019.9
2021-03-18,-10.3,-21.9,-2.0,0.0,6.0,16.3,1021.0
2021-03-19,-10.7,-21.4,-4.2,0.0,186.0,17.7,1022.8
2021-03-20,-2.0,-7.5,1.5,3.3,201.0,14.6,994.0
2021-03-21,-1.2,-5.0,0.6,2.6,331.0,27.2,988.2
2021-03-22,-6.7,-16.7,-2.0,0.0,258.0,9.9,1003.2
2021-03-23,1.1,-4.0,5.5,0.0,213.0,18.7,999.3
2021-03-24,2.5,0.7,4.0,0.0,211.0,19.3,995.1
2021-03-25,1.7,-4.2,4.5,0.0,231.0,19.5,999.7
2021-03-26,-1.9,-7.7,2.7,0.0,156.0,9.4,1010.9
2021-03-27,2.4,-0.5,4.1,3.1,172.0,19.8,1011.0
2021-03-28,,,,1.5,,,
2021-03-29,1.3,0.1,2.2,12.6,166.0,19.5,1006.1
2021-03-30,2.8,0.6,6.2,1.9,234.0,20.4,996.7
2021-03-31,3.7,-1.2,8.0,0.0,293.0,12.8,1003.4
2021-04-01,2.6,-1.5,6.6,0.0,298.0,14.7,1006.2
2021-04-02,0.6,-3.9,5.1,0.0,7.0,8.0,1005.2
2021-04-03,0.1,-3.2,3.5,0.0,251.0,12.1,1007.3
2021-04-04,1.7,0.6,2.7,0.3,207.0,21.9,988.1
2021-04-05,1.0,-0.5,3.2,16.1,161.0,18.6,968.6
2021-04-06,-0.3,-1.9,1.6,1.8,166.0,19.1,975.2
2021-04-07,-0.1,-3.0,2.0,1.2,191.0,11.4,988.5
2021-04-08,-1.7,-7.4,3.2,0.0,279.0,9.2,997.8
2021-04-09,-2.3,-8.2,2.7,6.6,146.0,14.4,991.7
2021-04-10,0.0,-2.5,1.2,2.0,207.0,22.9,990.4
2021-04-11,0.5,-3.5,4.6,0.0,218.0,18.1,1009.1
2021-04-12,-0.8,-5.2,3.5,3.6,109.0,8.3,1021.3
2021-04-13,0.7,0.2,1.7,5.9,29.0,17.7,1013.2
2021-04-14,0.3,-3.2,5.7,0.0,243.0,13.4,1016.5
2021-04-15,-0.3,-5.5,3.7,0.0,208.0,13.2,1027.9
2021-04-16,1.8,-6.0,8.0,0.0,180.0,5.8,1034.5
2021-04-17,1.1,-4.9,6.2,0.0,182.0,6.8,1034.9
2021-04-18,2.9,-4.2,9.2,0.0,200.0,5.5,1032.8
2021-04-19,2.9,-4.2,9.2,0.0,168.0,6.7,1029.2
2021-04-20,4.4,-2.2,10.7,0.0,165.0,11.3,1020.6
2021-04-21,6.2,0.5,10.5,0.0,163.0,13.0,1006.7
