time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-13.8,-19.3,-10.5,0.0,24.0,9.4,991.3
2021-01-02,-19.2,-22.7,-13.2,0.0,23.0,5.4,980.3
2021-01-03,-16.2,-23.8,-10.5,0.0,26.0,8.3,983.8
2021-01-04,-11.4,-18.2,-7.1,0.0,38.0,11.5,985.5
2021-01-05,-4.5,-11.6,-1.6,0.0,33.0,22.3,974.8
2021-01-06,-2.7,-6.0,2.2,0.0,35.0,26.6,976.3
2021-01-07,0.4,-2.1,2.2,0.0,31.0,26.3,987.2
2021-01-08,0.0,-1.6,2.8,0.0,36.0,18.0,992.7
2021-01-09,-0.8,-2.7,0.6,0.0,38.0,26.3,994.1
2021-01-10,0.5,-2.1,1.1,0.0,24.0,31.0,973.8
2021-01-11,-1.8,-4.3,0.0,0.0,21.0,18.4,976.2
2021-01-12,-2.2,-3.2,-0.5,0.0,31.0,16.9,978.3
2021-01-13,-3.1,-8.2,-1.0,0.0,31.0,9.7,997.5
2021-01-14,-1.4,-7.7,2.2,0.0,19.0,29.5,995.3
2021-01-15,-2.0,-8.2,1.7,0.0,112.0,9.7,991.4
2021-01-16,0.0,-3.2,2.8,0.0,21.0,36.0,994.4
2021-01-17,0.7,-3.2,2.8,0.3,20.0,13.0,1000.2
2021-01-18,1.7,0.0,3.9,0.0,22.0,25.9,988.4
2021-01-19,-1.4,-6.0,1.7,0.0,161.0,22.0,1004.5
2021-01-20,-1.5,-6.0,1.1,0.0,15.0,18.7,1017.3
2021-01-21,-1.0,-6.0,2.2,0.0,4.0,8.6,1021.4
2021-01-22,1.5,0.6,2.8,0.0,3.0,13.0,1016.6
2021-01-23,1.0,0.0,1.7,3.6,354.0,23.8,999.2
2021-01-24,-1.0,-8.8,1.7,0.3,120.0,5.4,1010.6
2021-01-25,-7.1,-15.5,-2.7,0.0,15.0,10.1,1010.3
2021-01-26,-15.1,-19.9,-7.7,0.0,32.0,4.7,1019.7
2021-01-27,-14.4,-21.6,-8.2,0.0,22.0,9.4,1016.2
2021-01-28,-6.0,-8.2,-4.3,0.0,27.0,27.7,998.2
2021-01-29,-7.9,-13.8,-2.1,0.0,26.0,4.3,992.3
2021-01-30,-13.3,-18.8,-3.8,0.0,6.0,2.9,1007.7
2021-01-31,-18.4,-24.9,-9.3,0.0,18.0,4.3,1019.6
2021-02-01,-18.4,-27.1,-9.9,0.0,24.0,7.9,1015.7
2021-02-02,-14.0,-21.6,-10.5,0.5,33.0,7.6,1011.7
2021-02-03,-10.3,-13.8,-8.8,0.0,32.0,11.2,1013.9
2021-02-04,-9.0,-9.9,-7.7,0.0,35.0,12.6,1025.5
2021-02-05,-12.8,-20.5,-8.8,0.0,34.0,6.1,1027.5
2021-02-06,-12.6,-20.5,-8.2,0.0,32.0,8.6,1031.5
2021-02-07,-14.3,-20.5,-10.5,0.0,28.0,9.7,1030.2
2021-02-08,-19.2,-26.6,-11.0,0.0,18.0,4.7,1027.4
2021-02-09,-15.8,-23.2,-11.6,1.3,34.0,15.8,1027.6
2021-02-10,-9.5,-12.1,-5.5,0.8,38.0,23.0,1028.5
2021-02-11,-2.5,-5.5,0.6,0.0,34.0,26.3,1021.7
2021-02-12,-4.9,-13.8,-0.5,0.0,30.0,18.4,1019.4
2021-02-13,-12.3,-17.7,-6.0,0.0,34.0,15.8,1011.0
2021-02-14,-7.5,-9.9,-4.9,0.0,31.0,22.3,1004.6
2021-02-15,-6.2,-7.7,-3.8,0.3,32.0,13.0,1005.8
2021-02-16,-4.9,-7.7,-3.2,0.3,21.0,12.2,1010.7
2021-02-17,-2.6,-4.9,-0.5,0.3,17.0,20.2,1003.7
2021-02-18,-1.9,-4.3,0.0,0.0,12.0,10.4,993.7
2021-02-19,-12.2,-23.8,-4.3,0.0,44.0,7.9,995.5
2021-02-20,-14.6,-22.1,-9.9,0.0,39.0,14.4,989.3
2021-02-21,-10.4,-17.7,-4.9,0.0,20.0,7.6,988.2
2021-02-22,-11.1,-22.7,-6.6,0.0,1.0,5.8,1007.7
2021-02-23,-14.1,-24.9,-8.2,0.0,33.0,13.7,1021.2
2021-02-24,-5.8,-8.2,-2.7,0.0,29.0,20.5,1006.3
2021-02-25,-1.5,-7.1,1.1,0.0,199.0,16.9,1008.8
2021-02-26,-2.5,-3.8,0.0,1.5,18.0,11.2,1011.5
2021-02-27,-2.3,-3.2,-1.6,0.0,4.0,15.8,995.7
2021-02-28,-6.6,-16.6,-2.1,0.0,347.0,6.8,997.5
2021-03-01,-9.5,-13.2,-6.6,0.0,16.0,9.0,993.2
2021-03-02,-9.5,-18.8,-6.6,0.0,20.0,13.7,989.7
2021-03-03,-14.8,-23.2,-3.2,0.0,14.0,2.9,999.8
2021-03-04,-14.7,-23.8,-4.3,0.0,13.0,7.2,1007.0
2021-03-05,-5.4,-7.7,-3.8,0.5,18.0,8.3,998.8
2021-03-06,-4.7,-19.3,-0.5,0.0,335.0,6.5,1007.3
2021-03-07,-13.3,-23.2,-0.5,0.0,16.0,7.2,1022.8
2021-03-08,-11.1,-22.1,-1.6,0.0,21.0,6.5,1022.8
2021-03-09,-3.5,-7.1,-1.0,1.3,20.0,11.9,1019.0
2021-03-10,-1.2,-4.3,0.0,1.8,1.0,14.4,1005.6
2021-03-11,-9.2,-19.3,-4.3,0.0,8.0,9.4,1012.1
2021-03-12,-12.8,-22.1,-6.6,0.0,19.0,13.3,1025.0
2021-03-13,-18.5,-30.5,-5.5,0.0,6.0,4.0,1022.4
2021-03-14,,-24.9,-7.1,0.0,,9.0,
2021-03-15,-7.9,-14.9,-4.9,0.0,350.0,4.3,1002.2
2021-03-16,-10.6,-21.0,-1.6,0.0,357.0,5.0,1007.9
2021-03-17,-14.0,-25.5,0.6,0.0,38.0,5.8,1005.3
2021-03-18,-12.4,-19.9,-5.5,0.0,333.0,8.6,1004.1
2021-03-19,-14.5,-28.2,-4.9,0.0,4.0,7.6,1011.9
2021-03-20,-9.8,-19.3,-5.5,0.0,19.0,25.9,1006.3
2021-03-21,-10.0,-20.5,-2.1,0.0,5.0,6.8,1007.8
2021-03-22,-11.5,-22.7,-2.7,0.0,27.0,10.4,1013.9
2021-03-23,-5.5,-14.9,0.6,0.0,334.0,5.4,1015.7
2021-03-24,-2.0,-4.3,0.0,0.0,181.0,11.2,1016.3
2021-03-25,-2.1,-7.1,0.6,0.0,359.0,7.2,1012.6
2021-03-26,-3.9,-9.3,1.7,0.0,338.0,4.0,1012.5
2021-03-27,-4.0,-13.2,1.1,0.0,339.0,10.8,1011.2
2021-03-28,-6.3,-14.9,-0.5,0.0,350.0,5.8,1023.8
2021-03-29,-0.4,-3.8,3.9,0.0,180.0,18.7,1016.3
2021-03-30,0.4,-9.9,2.2,0.0,220.0,12.2,1007.4
2021-03-31,-5.4,-12.7,0.6,0.0,339.0,8.3,999.9
2021-04-01,-5.6,-14.3,-2.1,0.0,345.0,10.4,1005.4
2021-04-02,-9.4,-18.8,-2.7,0.0,0.0,5.0,1013.7
2021-04-03,-2.4,-8.2,3.3,0.0,347.0,10.4,1015.6
