time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-2.2,-3.2,-1.3,,170.0,9.8,1011.0
2021-01-02,-0.7,-1.5,0.0,,180.0,10.5,1016.8
2021-01-03,-0.1,-0.5,0.5,,47.0,8.6,1020.8
2021-01-04,-0.6,-1.0,-0.2,,47.0,8.7,1020.6
2021-01-05,0.6,-0.1,1.5,,50.0,11.4,1016.8
2021-01-06,0.3,0.1,0.7,,110.0,11.6,1013.5
2021-01-07,0.6,0.0,1.5,,144.0,10.5,1009.1
2021-01-08,0.2,-0.1,0.8,,230.0,5.3,1011.8
2021-01-09,-1.4,-2.5,0.0,,314.0,6.9,1016.0
2021-01-10,-1.7,-2.7,0.0,,241.0,6.0,1021.7
2021-01-11,-0.3,-1.0,0.1,,209.0,18.8,1017.3
2021-01-12,-1.1,-1.5,-0.7,,178.0,24.5,1004.4
2021-01-13,-1.4,-3.5,-0.2,,242.0,8.6,1002.7
2021-01-14,-4.4,-10.4,-1.7,,0.0,8.6,1010.3
2021-01-15,-10.1,-17.9,-6.5,,309.0,6.2,1017.7
2021-01-16,-12.0,-18.4,-3.2,,324.0,11.1,1015.5
2021-01-17,-21.2,-24.7,-18.5,,207.0,5.1,1022.7
2021-01-18,-14.5,-22.4,-9.9,,173.0,8.0,1021.9
2021-01-19,-12.5,-16.9,-8.2,,134.0,17.3,1015.2
2021-01-20,-2.7,-8.0,2.2,,154.0,19.8,1006.5
2021-01-21,2.5,1.0,3.4,,187.0,20.9,1002.7
2021-01-22,3.6,2.2,5.6,,177.0,19.1,997.7
2021-01-23,2.7,0.5,5.1,,143.0,14.3,997.7
2021-01-24,0.8,-0.2,4.1,,222.0,10.9,995.5
2021-01-25,0.6,0.2,1.1,,251.0,11.3,998.8
2021-01-26,0.5,-0.4,1.2,,291.0,16.2,1002.1
2021-01-27,0.1,-0.4,1.0,,278.0,16.2,1006.9
2021-01-28,-1.1,-3.5,0.5,,195.0,12.8,1002.9
2021-01-29,-5.2,-9.9,-3.0,,247.0,6.8,996.2
2021-01-30,-3.8,-8.5,-0.9,,259.0,9.0,996.7
2021-01-31,-2.7,-4.7,-1.2,,237.0,19.5,1001.9
2021-02-01,-5.8,-7.9,-3.5,,165.0,11.0,1007.0
2021-02-02,-3.6,-7.5,-0.5,,172.0,18.0,1005.2
2021-02-03,-1.1,-2.9,0.9,,61.0,6.2,1004.7
2021-02-04,-5.3,-12.9,-2.5,,2.0,12.0,1009.8
2021-02-05,-8.5,-15.2,-1.7,,241.0,6.2,1021.6
2021-02-06,-13.2,-19.2,-8.7,,318.0,4.1,1024.8
2021-02-07,-16.3,-20.9,-12.2,,83.0,7.9,1024.0
2021-02-08,-11.6,-16.0,-8.7,,80.0,18.5,1013.2
2021-02-09,-8.7,-9.9,-7.9,,69.0,9.6,1006.9
2021-02-10,-12.6,-18.8,-9.7,,11.0,4.6,1011.0
2021-02-11,-14.8,-16.7,-12.5,,345.0,11.2,1021.8
2021-02-12,-12.6,-16.5,-9.1,,333.0,10.2,1029.8
2021-02-13,-5.0,-13.9,0.5,,311.0,12.2,1029.8
2021-02-14,-0.2,-2.2,1.1,,309.0,15.0,1030.2
2021-02-15,-2.8,-4.0,-1.2,,272.0,5.9,1032.5
2021-02-16,-4.0,-6.9,-2.2,,170.0,11.0,1023.9
2021-02-17,-5.7,-11.0,-2.0,,98.0,8.5,1017.2
2021-02-18,-9.6,-14.0,-5.9,,120.0,11.1,1025.1
2021-02-19,-7.5,-12.5,-1.8,,154.0,17.8,1019.4
2021-02-20,1.3,-2.0,3.8,,221.0,11.1,1023.4
2021-02-21,3.0,0.6,5.6,,178.0,12.3,1023.0
2021-02-22,3.3,0.0,8.5,,179.0,7.4,1024.5
2021-02-23,2.8,-2.9,6.7,,192.0,8.2,1029.3
2021-02-24,7.0,4.0,12.0,,208.0,7.7,1030.1
2021-02-25,9.1,5.5,15.2,,211.0,11.1,1025.7
2021-02-26,6.3,4.2,8.5,,270.0,16.2,1021.2
2021-02-27,3.9,1.0,7.2,,303.0,15.2,1026.9
2021-02-28,1.9,-1.2,4.0,,285.0,15.5,1029.4
2021-03-01,2.8,0.7,7.6,,262.0,12.6,1032.2
2021-03-02,2.4,1.5,3.7,,287.0,15.8,1030.8
2021-03-03,1.4,-1.0,6.1,,218.0,12.8,1026.4
2021-03-04,0.9,-2.2,2.7,,294.0,11.7,1012.8
2021-03-05,-2.0,-5.4,2.5,,292.0,8.3,1019.9
2021-03-06,-0.8,-7.7,3.7,,249.0,14.1,1024.1
2021-03-07,0.7,-2.3,3.1,,276.0,25.4,1011.4
2021-03-08,-2.1,-4.5,0.5,,301.0,11.9,1017.0
2021-03-09,-4.0,-9.6,0.6,,197.0,5.4,1022.7
2021-03-10,-2.4,-8.0,2.3,,156.0,5.7,1021.9
2021-03-11,-1.3,-4.7,1.1,,150.0,26.9,1010.5
2021-03-12,3.5,1.2,7.6,,223.0,20.1,998.9
2021-03-13,4.0,1.1,7.7,,193.0,22.7,999.6
2021-03-14,3.7,2.0,6.0,,228.0,25.4,997.0
2021-03-15,2.5,0.1,4.6,,209.0,11.1,1006.7
2021-03-16,3.0,0.0,7.5,,28.0,6.2,1012.3
2021-03-17,1.1,-0.7,4.5,,331.0,11.3,1017.4
2021-03-18,-0.6,-2.9,2.1,,312.0,7.7,1018.1
2021-03-19,-2.9,-6.0,0.3,,320.0,7.1,1018.3
2021-03-20,-4.0,-11.0,0.7,,271.0,10.7,1022.0
2021-03-21,0.3,-1.7,3.0,,261.0,18.2,1007.6
2021-03-22,2.2,-2.0,6.1,,294.0,12.0,1013.1
2021-03-23,4.3,1.7,9.0,,306.0,9.9,1017.7
2021-03-24,3.7,2.1,5.2,,240.0,7.4,1022.3
2021-03-25,6.7,2.9,11.5,,209.0,10.2,1020.2
2021-03-26,7.8,2.2,13.2,,193.0,6.9,1021.2
2021-03-27,9.1,4.0,16.2,,161.0,18.8,1017.8
2021-03-28,,,,,,,
2021-03-29,6.4,3.2,9.6,,204.0,15.6,1026.5
2021-03-30,10.4,8.2,12.7,,238.0,12.5,1026.0
2021-03-31,11.9,6.1,19.6,,247.0,11.4,1022.0
2021-04-01,6.2,2.1,16.2,,10.0,8.9,1014.8
2021-04-02,4.5,1.2,10.6,,303.0,11.6,1015.5
2021-04-03,3.5,1.2,7.6,,325.0,12.2,1015.3
2021-04-04,3.9,-0.7,8.7,,266.0,13.8,1016.8
2021-04-05,3.3,-0.6,9.0,,216.0,23.0,997.2
2021-04-06,1.3,-1.2,4.1,,229.0,19.1,999.4
2021-04-07,0.5,-2.7,5.6,,221.0,12.5,1003.7
2021-04-08,3.3,-0.5,9.2,,264.0,14.3,1011.2
2021-04-09,5.1,0.0,9.2,,209.0,22.8,1016.4
2021-04-10,6.6,2.2,11.6,,262.0,11.9,1015.3
2021-04-11,11.2,4.1,19.6,,103.0,14.6,1017.6
2021-04-12,11.1,3.9,17.2,,168.0,17.1,1017.4
2021-04-13,4.5,2.0,6.7,,327.0,10.8,1023.7
2021-04-14,4.3,1.4,7.5,,335.0,11.2,1021.8
2021-04-15,4.3,2.5,6.7,,4.0,11.6,1019.7
2021-04-16,6.3,4.1,9.5,,353.0,9.9,1017.3
2021-04-17,8.4,0.8,15.4,,10.0,6.5,1019.2
2021-04-18,11.2,3.3,18.7,,355.0,6.1,1019.9
2021-04-19,12.1,4.0,18.6,,49.0,6.5,1018.3
2021-04-20,11.7,6.6,17.0,,26.0,5.4,1014.6
2021-04-21,10.9,4.5,17.2,,283.0,9.8,1009.2
2021-04-22,5.2,2.1,8.5,,254.0,18.9,1011.0
2021-04-23,4.6,0.2,9.5,,285.0,20.9,1016.3
2021-04-24,3.6,-1.5,9.2,,267.0,13.7,1019.5
2021-04-25,1.9,-2.0,7.7,,258.0,9.8,1019.4
2021-04-26,0.8,-3.1,4.2,,290.0,11.0,1018.3
2021-04-27,3.2,-0.2,6.0,,289.0,8.6,1016.5
2021-04-28,6.1,-1.7,12.0,,129.0,8.2,1015.3
2021-04-29,9.7,3.0,16.2,,109.0,11.6,1008.3
2021-04-30,9.1,6.0,12.0,,263.0,14.3,1007.0
2021-05-01,7.0,0.1,11.7,,27.0,6.6,1015.6
2021-05-02,6.3,0.7,8.6,,38.0,15.3,1007.7
2021-05-03,4.6,0.1,8.7,,292.0,21.1,1008.8
2021-05-04,8.8,4.0,13.2,,212.0,20.0,1008.2
2021-05-05,10.8,7.5,15.5,,212.0,20.3,998.9
2021-05-06,8.0,5.1,12.5,,234.0,24.3,1002.2
2021-05-07,7.1,2.6,11.5,,252.0,7.7,1006.1
2021-05-08,6.5,2.5,10.7,,271.0,11.6,1014.9
2021-05-09,10.3,1.1,17.5,,159.0,16.5,1018.3
2021-05-10,17.0,9.5,23.5,,137.0,21.6,1015.7
2021-05-11,19.7,13.5,25.3,,130.0,25.7,1014.2
2021-05-12,19.7,12.7,26.2,,125.0,24.5,1010.6
2021-05-13,14.7,9.7,19.7,,69.0,9.3,1004.6
2021-05-14,12.6,4.6,20.0,,301.0,7.2,1001.7
2021-05-15,12.0,7.6,15.5,,260.0,8.0,1007.0
2021-05-16,13.2,7.7,19.2,,126.0,13.7,1005.7
2021-05-17,15.1,9.7,20.0,,125.0,6.5,1004.4
2021-05-18,14.5,8.6,20.3,,337.0,9.0,1004.4
2021-05-19,11.4,9.1,15.5,,290.0,13.4,1008.9
2021-05-20,11.7,6.1,17.0,,289.0,15.2,1012.7
2021-05-21,12.3,4.8,18.6,,210.0,15.0,1009.3
2021-05-22,12.5,7.6,16.7,,213.0,10.8,1005.2
2021-05-23,11.5,6.5,17.2,,253.0,12.0,1010.2
2021-05-24,13.2,5.2,19.2,,184.0,11.9,1019.5
2021-05-25,13.1,11.0,16.6,,157.0,16.4,1012.9
2021-05-26,12.2,9.1,16.5,,201.0,17.6,1013.0
2021-05-27,12.7,9.2,17.1,,214.0,14.7,1012.8
2021-05-28,11.6,8.0,15.1,,214.0,6.6,1016.6
2021-05-29,10.6,5.0,13.7,,319.0,8.7,1019.3
2021-05-30,12.6,7.5,17.7,,350.0,9.8,1022.6
2021-05-31,12.6,4.2,19.0,,320.0,7.5,1022.2
2021-06-01,14.9,9.6,21.2,,172.0,10.2,1018.5
2021-06-02,17.0,12.1,20.7,,85.0,10.2,1024.6
2021-06-03,17.1,9.6,23.0,,344.0,6.0,1026.4
2021-06-04,18.5,11.5,24.4,,1.0,4.8,1025.0
2021-06-05,17.9,12.7,22.7,,316.0,7.7,1021.2
2021-06-06,17.6,9.7,24.7,,308.0,7.2,1019.6
2021-06-07,17.7,9.7,24.5,,299.0,7.5,1018.9
2021-06-08,18.8,11.2,25.2,,324.0,8.0,1018.5
2021-06-09,17.4,10.3,24.1,,307.0,7.8,1018.0
2021-06-10,17.4,9.6,24.2,,289.0,9.0,1017.2
2021-06-11,17.4,11.0,24.5,,290.0,5.9,1015.3
2021-06-12,15.7,12.0,22.7,,242.0,8.7,1010.3
2021-06-13,14.8,10.7,20.0,,299.0,18.3,1012.5
2021-06-14,16.4,10.6,22.1,,324.0,7.1,1020.2
2021-06-15,17.3,11.7,23.0,,258.0,10.7,1017.5
2021-06-16,15.7,7.0,22.2,,301.0,5.4,1020.3
2021-06-17,19.8,10.0,26.5,,115.0,8.4,1021.9
2021-06-18,23.1,14.7,29.2,,123.0,11.9,1020.6
2021-06-19,24.7,17.1,30.6,,126.0,10.8,1018.0
2021-06-20,25.8,20.0,31.0,,130.0,13.2,1014.8
2021-06-21,26.5,20.2,32.1,,122.0,13.1,1010.9
2021-06-22,25.5,20.0,31.2,,135.0,11.0,1010.2
2021-06-23,20.6,18.0,25.5,,321.0,8.9,1016.8
2021-06-24,20.2,16.0,23.6,,329.0,5.0,1017.2
2021-06-25,19.9,17.7,22.6,,305.0,8.3,1014.6
2021-06-26,18.7,14.1,22.7,,303.0,8.9,1016.9
2021-06-27,18.1,11.5,23.0,,279.0,8.6,1016.4
2021-06-28,19.2,12.0,25.0,,287.0,8.1,1016.0
2021-06-29,21.3,12.7,27.7,,240.0,7.1,1013.0
2021-06-30,21.4,13.5,27.5,,107.0,6.6,1008.5
2021-07-01,21.6,15.5,27.2,,254.0,6.5,1008.5
2021-07-02,18.1,17.0,19.5,,291.0,7.8,1010.3
2021-07-03,20.3,17.7,25.1,,318.0,7.4,1010.7
2021-07-04,20.0,15.1,25.0,,327.0,6.0,1011.1
2021-07-05,21.1,18.5,24.7,,117.0,8.1,1009.8
2021-07-06,23.0,18.0,27.5,,212.0,6.3,1012.6
2021-07-07,24.7,18.2,29.7,,127.0,10.4,1016.2
2021-07-08,23.0,20.7,27.0,,351.0,6.5,1020.2
2021-07-09,23.7,18.5,29.8,,133.0,12.9,1016.9
2021-07-10,20.3,16.5,23.6,,181.0,11.6,1016.6
2021-07-11,20.5,14.1,25.5,,9.0,6.2,1019.4
2021-07-12,23.5,16.6,30.7,,54.0,7.2,1015.9
2021-07-13,22.4,16.5,31.0,,123.0,8.4,1013.2
2021-07-14,24.0,16.7,30.1,,120.0,5.9,1011.9
2021-07-15,24.1,20.2,29.5,,112.0,7.9,1012.7
2021-07-16,23.6,18.1,31.1,,309.0,8.3,1014.3
2021-07-17,24.8,18.8,30.6,,336.0,8.6,1014.2
2021-07-18,22.4,17.4,28.1,,293.0,11.6,1013.1
2021-07-19,18.9,14.6,23.7,,271.0,13.1,1013.9
2021-07-20,19.3,12.7,24.5,,305.0,8.0,1014.8
2021-07-21,18.2,12.7,22.7,,280.0,11.7,1017.4
2021-07-22,18.5,11.5,24.5,,271.0,9.8,1019.6
2021-07-23,19.3,13.5,25.0,,256.0,8.9,1016.5
2021-07-24,19.5,13.2,25.2,,321.0,5.4,1016.3
2021-07-25,22.3,13.0,28.7,,102.0,10.2,1015.8
2021-07-26,23.3,18.5,29.7,,108.0,14.4,1014.2
2021-07-27,23.0,18.0,28.0,,160.0,10.5,1011.1
2021-07-28,22.6,16.5,29.5,,210.0,8.4,1010.9
2021-07-29,21.9,18.2,26.5,,238.0,11.4,1008.6
2021-07-30,19.8,14.5,24.0,,238.0,16.1,1007.5
2021-07-31,19.8,13.1,27.7,,197.0,10.7,1005.7
2021-08-01,19.2,13.5,24.2,,230.0,10.5,1006.8
2021-08-02,17.3,14.2,20.9,,277.0,10.5,1005.9
2021-08-03,16.4,12.6,21.6,,244.0,12.2,1012.2
2021-08-04,15.6,11.5,20.2,,356.0,4.4,1014.6
2021-08-05,17.1,10.1,23.1,,46.0,6.3,1012.2
2021-08-06,13.9,12.0,16.7,,10.0,12.2,1002.6
2021-08-07,18.1,13.7,23.5,,260.0,15.9,1003.9
2021-08-08,17.8,15.5,22.3,,163.0,11.1,1009.7
