time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-0.1,-1.0,1.0,,125.0,20.0,1016.2
2021-01-02,1.7,0.3,3.0,,212.0,9.9,1022.4
2021-01-03,-0.1,-2.0,2.0,,152.0,12.9,1031.6
2021-01-04,-0.3,-1.8,0.4,,128.0,19.1,1028.6
2021-01-05,-0.6,-1.1,1.0,,117.0,21.2,1023.5
2021-01-06,0.7,-1.0,1.7,0.0,125.0,14.1,1020.2
2021-01-07,2.9,1.0,5.0,5.1,136.0,15.3,1016.1
2021-01-08,2.7,0.7,6.0,,235.0,20.9,1010.2
2021-01-09,-0.1,-0.6,1.0,,299.0,8.3,1012.8
2021-01-10,-0.2,-1.0,1.0,0.0,269.0,16.1,1017.3
2021-01-11,-1.2,-2.0,-0.8,0.0,299.0,9.0,1021.5
2021-01-12,-1.9,-2.6,-1.0,,191.0,10.4,1021.6
2021-01-13,-2.7,-5.0,0.3,7.9,87.0,20.3,1002.4
2021-01-14,-4.6,-6.6,-2.9,,211.0,13.5,1004.2
2021-01-15,-5.0,-7.9,-3.0,,184.0,10.7,1006.9
2021-01-16,-13.1,-16.0,-10.8,0.8,272.0,17.7,1011.0
2021-01-17,-17.5,-22.0,-14.6,,317.0,8.3,1014.0
2021-01-18,-13.3,-16.9,-10.9,1.5,358.0,5.7,1014.4
2021-01-19,-14.3,-16.0,-12.0,1.3,288.0,9.0,1016.9
2021-01-20,-16.7,-19.4,-11.8,,264.0,6.5,1023.6
2021-01-21,-12.8,-22.4,-3.9,,160.0,14.0,1024.5
2021-01-22,1.3,-4.6,3.0,,202.0,15.8,1017.5
2021-01-23,3.1,2.0,4.0,,159.0,15.0,1015.0
2021-01-24,4.2,2.2,7.0,,137.0,16.5,1013.7
2021-01-25,1.8,0.0,3.0,0.5,120.0,21.2,1010.4
2021-01-26,3.3,2.0,4.0,4.1,170.0,21.0,1006.5
2021-01-27,2.9,0.8,5.4,15.0,60.0,15.2,1005.0
2021-01-28,2.9,1.6,5.0,2.3,135.0,20.9,999.4
2021-01-29,-0.7,-1.2,1.0,1.0,197.0,27.8,998.8
2021-01-30,-1.1,-7.0,3.8,5.1,171.0,16.1,1000.4
2021-01-31,0.4,-2.1,4.0,10.9,240.0,21.6,1002.2
2021-02-01,-0.2,-3.0,3.9,18.0,121.0,13.2,1009.1
2021-02-02,1.2,0.0,4.0,3.0,300.0,6.9,1011.1
2021-02-03,1.3,-0.4,3.5,0.0,208.0,12.0,1013.5
2021-02-04,4.5,2.2,6.0,4.1,211.0,15.6,1004.8
2021-02-05,-3.8,-8.0,3.0,1.0,306.0,24.0,1008.5
2021-02-06,-7.8,-10.0,-5.0,0.0,293.0,21.0,1015.2
2021-02-07,-12.4,-15.0,-11.0,,324.0,12.5,1019.5
2021-02-08,-9.7,-12.8,-7.6,,70.0,15.3,1020.4
2021-02-09,-6.4,-9.3,-2.3,10.9,114.0,24.4,1007.5
2021-02-10,-3.3,-5.0,0.0,,148.0,13.3,1007.9
2021-02-11,-1.2,-3.0,2.0,,102.0,14.9,1010.2
2021-02-12,-0.2,-11.0,5.0,,190.0,19.4,1000.3
2021-02-13,-12.4,-14.0,-11.0,,231.0,26.2,1007.5
2021-02-14,-12.1,-15.2,-9.0,0.3,280.0,19.7,1017.3
2021-02-15,-11.3,-15.4,-6.3,,312.0,9.3,1024.6
2021-02-16,-12.6,-16.4,-8.4,0.5,348.0,5.7,1025.9
2021-02-17,-12.4,-20.6,-7.5,,214.0,6.3,1021.3
2021-02-18,-9.8,-11.9,-6.8,,112.0,7.1,1018.8
2021-02-19,-12.3,-15.5,-7.0,,321.0,8.8,1027.7
2021-02-20,-9.3,-16.0,-4.0,,221.0,9.2,1029.5
2021-02-21,0.9,-6.0,1.0,,241.0,13.8,1025.3
2021-02-22,1.4,-0.2,3.0,1.5,296.0,11.5,1022.1
2021-02-23,-10.2,-13.5,-2.0,,71.0,20.6,1036.6
2021-02-24,-10.9,-14.4,-7.3,,146.0,16.1,1037.7
2021-02-25,-1.9,-8.2,2.8,0.0,235.0,15.5,1027.1
2021-02-26,6.2,1.7,12.1,,270.0,13.8,1018.1
2021-02-27,3.2,1.4,5.0,,300.0,14.7,1013.0
2021-02-28,1.7,1.0,4.0,,305.0,10.8,1017.4
2021-03-01,1.6,-0.1,4.4,0.0,330.0,7.4,1024.8
2021-03-02,0.4,-2.0,2.0,,269.0,19.8,1019.9
2021-03-03,1.4,-1.0,4.0,,316.0,18.0,1019.7
2021-03-04,3.3,-2.4,8.4,,234.0,22.1,1012.7
2021-03-05,2.3,0.0,4.0,,318.0,10.8,1010.7
2021-03-06,-0.8,-3.0,1.6,,333.0,13.2,1017.8
2021-03-07,-0.4,-5.6,3.0,,255.0,26.7,1015.6
2021-03-08,-0.1,-3.4,1.8,,257.0,20.9,1008.1
2021-03-09,-4.2,-6.8,-2.8,0.5,313.0,13.8,1015.7
2021-03-10,-5.4,-10.1,-1.5,,335.0,8.6,1024.6
2021-03-11,-7.8,-10.6,-4.0,,83.0,12.9,1027.1
2021-03-12,-6.9,-14.4,-1.3,,148.0,20.3,1024.2
2021-03-13,-2.8,-5.3,-1.0,2.3,153.0,17.1,1017.6
2021-03-14,2.9,-1.3,6.2,,152.0,14.7,1016.1
2021-03-15,4.2,0.0,10.5,,125.0,16.5,1012.2
2021-03-16,2.5,0.0,4.3,,103.0,23.6,1009.8
2021-03-17,1.0,0.0,3.0,,80.0,15.6,1005.6
2021-03-18,0.9,-0.1,2.0,,33.0,11.9,1007.0
2021-03-19,1.4,-2.0,5.4,,22.0,7.7,1011.4
2021-03-20,0.6,-2.1,3.8,3.0,286.0,4.8,1015.1
2021-03-21,1.2,-3.1,4.5,,263.0,17.3,1011.8
2021-03-22,2.4,-1.8,7.2,,209.0,14.1,1007.3
2021-03-23,0.7,-0.5,2.1,1.5,349.0,13.5,1005.5
2021-03-24,1.2,0.0,4.0,,25.0,23.0,1011.3
2021-03-25,3.4,0.0,8.3,,23.0,18.0,1013.2
2021-03-26,4.9,-1.1,11.2,,341.0,10.8,1016.6
2021-03-27,6.1,1.0,11.4,,331.0,9.6,1020.4
2021-03-28,5.9,,11.4,,,,
2021-03-29,5.1,-1.4,10.6,,50.0,12.5,1028.6
2021-03-30,1.7,-1.6,6.4,,66.0,13.2,1033.8
2021-03-31,5.2,-4.0,13.0,,158.0,8.7,1028.6
2021-04-01,9.9,4.0,16.1,,191.0,11.3,1018.4
2021-04-02,11.9,3.6,17.6,,202.0,16.5,1007.0
2021-04-03,5.0,2.0,8.5,2.5,337.0,13.8,1006.8
2021-04-04,4.1,-1.1,10.2,,228.0,8.7,1012.9
2021-04-05,3.8,-3.0,10.0,,190.0,7.4,1010.3
2021-04-06,6.4,-0.4,12.2,,189.0,15.9,1008.4
2021-04-07,6.2,3.0,9.0,,150.0,12.6,1002.1
2021-04-08,5.3,2.0,9.0,,273.0,19.4,1011.0
2021-04-09,5.1,-2.0,10.8,,335.0,8.9,1022.7
2021-04-10,7.2,-1.2,13.2,,349.0,9.3,1025.6
2021-04-11,10.3,0.8,16.9,,12.0,14.9,1025.9
2021-04-12,13.5,9.0,21.2,,88.0,18.0,1020.9
2021-04-13,11.1,7.0,15.0,,156.0,9.9,1020.6
2021-04-14,11.2,5.9,17.0,,273.0,8.4,1017.0
2021-04-15,8.3,5.8,11.1,1.0,167.0,10.7,1013.6
2021-04-16,8.3,6.8,12.0,,156.0,15.5,1014.9
2021-04-17,7.5,2.8,12.2,,190.0,10.8,1017.8
2021-04-18,8.1,5.4,12.3,,202.0,7.5,1017.2
2021-04-19,9.8,5.0,15.1,,344.0,8.3,1014.3
2021-04-20,8.8,6.0,11.5,11.9,44.0,14.7,1006.8
2021-04-21,8.3,5.7,14.1,2.0,265.0,14.9,1010.1
2021-04-22,11.2,2.5,18.5,,153.0,11.4,1018.5
2021-04-23,10.4,4.3,18.5,,168.0,15.5,1016.8
2021-04-24,5.6,2.0,10.0,5.3,275.0,20.1,1014.4
2021-04-25,6.6,-0.4,12.2,,234.0,14.4,1018.6
2021-04-26,7.3,2.0,14.6,,179.0,18.3,1013.2
2021-04-27,5.7,-0.2,11.4,,255.0,16.4,1014.5
2021-04-28,8.1,1.9,13.1,,311.0,8.6,1018.4
2021-04-29,10.8,3.0,17.5,,125.0,10.1,1020.1
2021-04-30,14.6,6.0,21.4,,160.0,13.5,1014.9
2021-05-01,16.4,12.2,22.4,,282.0,10.7,1012.8
2021-05-02,18.0,7.8,25.0,,149.0,11.1,1012.9
2021-05-03,15.2,13.0,19.2,4.1,206.0,15.8,1006.8
2021-05-04,9.6,5.8,14.4,,278.0,21.8,1011.9
2021-05-05,12.2,3.0,19.0,,219.0,14.6,1014.6
2021-05-06,15.1,7.7,21.3,,198.0,17.9,1011.1
2021-05-07,14.1,8.6,18.6,,231.0,9.6,1013.4
2021-05-08,11.8,8.0,14.3,7.4,185.0,20.3,1009.0
2021-05-09,8.1,5.9,11.3,,317.0,21.3,1016.3
2021-05-10,11.2,2.8,16.5,,328.0,21.3,1020.5
2021-05-11,12.6,10.0,16.3,1.0,34.0,28.8,1015.8
2021-05-12,9.7,8.0,13.0,5.1,76.0,22.8,1016.3
2021-05-13,13.6,6.0,19.5,,140.0,12.3,1013.1
2021-05-14,19.7,12.5,26.4,,130.0,15.2,1009.6
2021-05-15,18.7,11.2,25.3,,187.0,12.2,1011.4
2021-05-16,20.7,12.3,27.3,,86.0,8.4,1010.7
2021-05-17,22.8,19.3,28.0,,118.0,21.5,1003.6
2021-05-18,17.3,14.0,21.6,13.0,172.0,9.8,1004.1
2021-05-19,14.3,13.0,18.0,4.1,132.0,14.0,1003.5
2021-05-20,14.4,12.8,17.4,1.5,228.0,16.1,1005.3
2021-05-21,13.7,10.8,18.2,,341.0,13.5,1009.8
2021-05-22,16.6,8.4,22.6,,5.0,9.9,1015.1
2021-05-23,18.4,10.1,24.5,,306.0,7.4,1014.3
2021-05-24,15.5,12.0,21.3,,72.0,11.6,1017.6
2021-05-25,18.4,12.0,24.2,,34.0,10.5,1020.2
2021-05-26,20.5,12.7,26.4,,129.0,8.6,1019.4
2021-05-27,21.6,16.2,27.7,,132.0,8.3,1017.2
2021-05-28,21.9,14.0,28.2,,108.0,7.2,1012.4
2021-05-29,21.0,17.0,27.0,1.0,299.0,7.1,1007.3
2021-05-30,16.3,13.0,19.7,,288.0,12.3,1008.4
2021-05-31,11.9,10.9,14.1,,353.0,11.6,1014.5
2021-06-01,10.2,9.0,11.2,,30.0,21.0,1013.8
2021-06-02,14.8,9.6,18.4,0.8,30.0,19.5,1011.9
