time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,25.5,20.0,32.0,,346.0,17.5,1012.1
2021-01-02,26.7,20.0,34.0,,349.0,12.5,1012.9
2021-01-03,27.5,21.0,34.0,,0.0,14.0,1012.8
2021-01-04,27.4,21.0,34.0,,14.0,17.3,1012.4
2021-01-05,27.7,22.0,34.0,,3.0,19.0,1012.5
2021-01-06,26.7,20.0,33.0,,3.0,19.8,1012.8
2021-01-07,27.1,21.0,33.0,,10.0,21.7,1012.1
2021-01-08,26.9,22.0,32.0,,4.0,22.7,1010.8
2021-01-09,26.7,22.0,32.0,,0.0,19.2,1011.2
2021-01-10,26.2,21.0,32.0,,3.0,19.3,1011.9
2021-01-11,26.4,19.0,32.0,,9.0,16.7,1012.5
2021-01-12,25.7,20.0,31.0,,7.0,15.6,1013.3
2021-01-13,25.8,19.0,32.0,,6.0,11.1,1013.0
2021-01-14,25.9,19.0,32.0,,356.0,16.9,1012.7
2021-01-15,23.7,18.0,29.0,,348.0,18.7,1013.3
2021-01-16,24.1,17.0,31.0,,357.0,17.4,1012.2
2021-01-17,24.7,17.0,33.0,,358.0,18.2,1012.7
2021-01-18,25.5,20.0,32.0,,14.0,25.3,1013.7
2021-01-19,23.4,17.0,30.0,,0.0,22.2,1014.4
2021-01-20,21.8,15.0,28.0,,357.0,24.3,1016.2
2021-01-21,22.8,16.0,29.0,,358.0,23.2,1015.4
2021-01-22,23.8,17.0,30.0,,354.0,20.4,1013.6
2021-01-23,25.3,19.0,32.0,,356.0,19.4,1012.7
2021-01-24,26.4,20.0,32.0,,1.0,19.4,1012.5
2021-01-25,26.3,20.0,32.0,,354.0,20.5,1013.4
2021-01-26,26.7,21.0,33.0,,5.0,20.2,1012.5
2021-01-27,26.8,21.0,33.0,,359.0,20.2,1012.0
2021-01-28,26.2,20.0,33.0,,353.0,21.6,1013.6
2021-01-29,23.9,18.0,30.0,,350.0,24.1,1016.3
2021-01-30,22.6,15.0,30.0,,4.0,21.9,1015.3
2021-01-31,23.4,16.0,31.0,,3.0,19.7,1013.3
2021-02-01,25.2,18.0,33.0,,4.0,14.1,1012.9
2021-02-02,27.6,19.0,36.0,,21.0,15.4,1013.0
2021-02-03,30.0,20.0,39.0,,7.0,10.9,1010.8
2021-02-04,24.7,22.0,29.0,,347.0,29.2,1013.3
2021-02-05,21.0,17.0,30.0,,352.0,25.8,1018.0
2021-02-06,20.7,13.0,26.0,,16.0,17.8,1017.5
2021-02-07,22.7,15.0,30.0,,14.0,18.0,1014.7
2021-02-08,23.6,18.0,29.0,,6.0,16.8,1013.8
2021-02-09,24.9,20.0,32.0,,359.0,12.8,1012.7
2021-02-10,24.9,19.0,34.0,,1.0,9.0,1010.9
2021-02-11,29.0,23.0,35.0,,1.0,28.0,1010.0
2021-02-12,29.6,23.0,35.0,,350.0,15.8,1010.0
2021-02-13,31.4,24.0,35.0,,343.0,14.9,1010.8
2021-02-14,29.6,23.0,37.0,,358.0,13.3,1010.4
2021-02-15,29.9,23.0,37.0,,359.0,14.2,1009.3
2021-02-16,29.4,24.0,36.0,,344.0,20.1,1008.5
2021-02-17,20.3,18.0,25.0,,345.0,34.1,1015.3
2021-02-18,18.6,13.0,23.0,,353.0,29.8,1018.2
2021-02-19,18.2,15.0,26.0,,352.0,23.8,1018.1
2021-02-20,21.5,15.0,27.0,,355.0,20.1,1017.0
2021-02-21,22.7,16.0,28.0,,358.0,18.0,1015.5
2021-02-22,24.6,17.0,31.0,,357.0,17.7,1014.1
2021-02-23,25.1,19.0,31.0,,348.0,22.6,1015.5
2021-02-24,22.7,17.0,29.0,,354.0,25.9,1016.5
2021-02-25,22.3,15.0,30.0,,354.0,21.7,1015.0
2021-02-26,23.9,17.0,32.0,,5.0,19.2,1013.1
2021-02-27,25.2,18.0,33.0,,8.0,16.3,1012.0
2021-02-28,25.6,20.0,31.0,,355.0,24.8,1013.5
2021-03-01,25.2,18.0,32.0,,13.0,22.7,1013.0
2021-03-02,25.2,18.0,32.0,,16.0,22.7,1013.0
2021-03-03,25.5,17.0,33.0,,5.0,19.8,1012.6
2021-03-04,21.7,19.0,32.0,,357.0,24.0,1011.4
2021-03-05,26.6,20.3,33.2,,359.0,22.5,1011.1
2021-03-06,27.7,21.0,35.0,,355.0,22.7,1009.8
2021-03-07,28.9,21.0,36.0,,344.0,20.8,1007.7
2021-03-08,25.1,23.0,36.0,,338.0,16.0,1006.4
2021-03-09,31.4,25.0,38.0,,341.0,13.8,1006.6
2021-03-10,31.4,25.0,39.0,,357.0,15.3,1005.9
2021-03-11,33.4,26.0,41.0,,352.0,17.2,1005.5
2021-03-12,33.2,25.0,40.0,,7.0,21.3,1004.7
2021-03-13,31.9,27.0,39.0,,6.0,24.8,1005.0
2021-03-14,31.5,25.0,37.0,,2.0,16.0,1004.8
2021-03-15,31.4,24.0,39.0,,343.0,13.2,1003.8
2021-03-16,33.1,26.0,41.0,,2.0,14.3,1003.5
2021-03-17,34.8,28.0,43.0,,8.0,19.5,1003.1
2021-03-18,34.3,27.0,42.0,,17.0,22.4,1004.4
2021-03-19,33.8,27.0,41.0,,19.0,23.7,1005.2
2021-03-20,33.1,26.0,40.0,,29.0,22.0,1004.6
2021-03-21,35.2,26.0,42.0,,41.0,20.0,1002.9
2021-03-22,33.4,24.0,41.0,,13.0,13.7,1003.0
2021-03-23,33.6,25.0,41.4,,348.0,9.1,1003.8
2021-03-24,35.5,27.0,43.0,,348.0,16.9,1003.8
2021-03-25,31.8,25.0,38.0,,348.0,28.0,1005.2
2021-03-26,29.6,23.0,37.0,,346.0,30.4,1007.1
2021-03-27,27.9,21.0,35.0,,346.0,30.6,1009.3
2021-03-28,26.4,20.0,33.0,,339.0,30.3,1011.0
2021-03-29,27.6,20.0,35.0,,340.0,25.5,1010.3
2021-03-30,26.3,21.0,33.1,,333.0,23.0,1008.8
2021-03-31,26.9,20.0,34.0,,340.0,19.5,1009.4
2021-04-01,29.0,22.0,36.0,,348.0,21.5,1009.6
2021-04-02,28.8,24.0,35.0,,349.0,23.0,1010.5
2021-04-03,28.9,22.0,36.0,,355.0,25.4,1010.4
2021-04-04,29.8,22.0,37.0,,354.0,22.2,1009.4
2021-04-05,31.3,23.0,38.0,,355.0,19.9,1007.9
2021-04-06,31.6,24.0,39.0,,344.0,19.6,1007.5
2021-04-07,31.6,24.0,39.0,,344.0,17.1,1007.3
2021-04-08,34.3,27.0,41.0,,336.0,16.9,1005.7
2021-04-09,34.7,28.0,41.0,,336.0,21.1,1004.1
2021-04-10,33.3,26.0,40.0,,1.0,24.5,1005.6
2021-04-11,31.2,25.0,37.0,,8.0,27.3,1007.7
2021-04-12,28.3,21.0,36.0,,345.0,20.0,1009.4
2021-04-13,29.4,21.0,37.0,,353.0,20.0,1009.9
2021-04-14,30.4,24.0,38.0,,4.0,20.5,1008.8
2021-04-15,31.0,25.9,36.8,,1.0,20.3,1007.8
2021-04-16,31.8,25.2,37.5,,352.0,16.4,1006.6
2021-04-17,32.9,26.0,38.7,,343.0,13.1,1006.1
2021-04-18,29.8,25.0,40.4,,0.0,11.2,1005.4
2021-04-19,35.4,27.0,43.0,,10.0,12.1,1004.5
2021-04-20,35.7,28.0,43.0,,357.0,12.0,1003.5
2021-04-21,36.6,28.0,43.0,,356.0,14.9,1003.2
2021-04-22,36.0,29.0,43.0,,301.0,12.1,1003.6
2021-04-23,35.6,30.0,42.0,,227.0,13.6,1003.4
2021-04-24,35.6,30.0,42.0,,83.0,15.8,1002.7
2021-04-25,36.5,31.0,41.0,,43.0,13.0,1003.9
2021-04-26,34.9,30.0,41.0,,217.0,16.8,1004.9
2021-04-27,34.6,29.0,40.0,,202.0,12.8,1004.6
2021-04-28,35.5,29.0,41.0,,31.0,10.9,1004.8
2021-04-29,35.8,29.0,41.0,,20.0,17.1,1005.2
2021-04-30,35.1,32.0,40.0,,9.0,16.3,1004.3
2021-05-01,35.6,32.0,41.0,,51.0,16.8,1003.9
2021-05-02,33.4,27.0,40.0,,82.0,16.3,1004.4
2021-05-03,30.3,24.0,36.6,,146.0,17.6,1005.3
2021-05-04,32.3,28.0,38.1,,136.0,9.8,1004.8
2021-05-05,33.1,28.0,38.0,,201.0,10.0,1004.9
2021-05-06,35.6,28.0,42.0,,23.0,8.1,1005.3
2021-05-07,33.6,27.0,39.7,,173.0,18.0,1006.2
2021-05-08,33.9,30.0,39.0,,151.0,15.9,1007.4
2021-05-09,33.4,29.0,39.0,,196.0,19.6,1006.8
2021-05-10,32.9,28.0,37.4,,174.0,18.8,1007.7
2021-05-11,34.5,31.0,40.0,,205.0,14.5,1008.4
