time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-1.1,-2.0,-0.3,,171.0,6.9,1012.0
2021-01-02,0.9,-2.2,4.0,,102.0,5.7,1017.1
2021-01-03,2.4,-0.4,5.5,,95.0,10.5,1015.5
2021-01-04,0.9,-1.5,5.2,,31.0,4.1,1016.2
2021-01-05,3.4,1.0,4.5,,18.0,9.0,1010.2
2021-01-06,1.5,0.2,3.2,,143.0,8.3,1012.2
2021-01-07,0.2,-1.2,1.0,,249.0,7.6,1011.7
2021-01-08,-1.0,-4.0,1.0,,226.0,11.6,1015.0
2021-01-09,-0.7,-2.4,0.2,,252.0,6.6,1019.1
2021-01-10,-0.8,-1.5,0.2,,270.0,5.1,1024.2
2021-01-11,-3.1,-6.9,-0.5,,158.0,5.3,1023.1
2021-01-12,-3.1,-8.5,1.1,,179.0,10.8,1010.8
2021-01-13,-0.8,-1.7,0.0,,259.0,10.7,1006.5
2021-01-14,-1.4,-4.0,0.0,,345.0,10.5,1008.2
2021-01-15,-5.8,-7.7,-4.5,,309.0,10.8,1018.1
2021-01-16,-6.8,-10.9,-3.5,,287.0,10.1,1017.7
2021-01-17,-10.4,-12.5,-5.2,,319.0,7.1,1019.9
2021-01-18,-13.6,-16.5,-10.0,,330.0,5.4,1024.2
2021-01-19,-6.4,-12.2,-1.5,,114.0,6.3,1016.6
2021-01-20,-0.4,-3.7,4.0,,156.0,6.8,1011.6
2021-01-21,0.2,-4.8,5.8,,137.0,7.2,1009.2
2021-01-22,3.1,-1.3,8.7,,140.0,9.5,1003.0
2021-01-23,4.0,1.0,7.2,,122.0,10.8,999.5
2021-01-24,1.2,-2.1,3.0,,328.0,9.1,997.3
2021-01-25,-0.9,-2.4,0.0,,335.0,11.6,1000.6
2021-01-26,-0.6,-1.5,0.5,,273.0,11.1,1008.7
2021-01-27,-1.1,-2.2,-0.4,,275.0,9.6,1012.5
2021-01-28,-1.7,-6.2,0.2,,198.0,9.1,1007.1
2021-01-29,-3.8,-6.7,0.2,,313.0,7.8,1000.2
2021-01-30,-3.8,-5.9,-2.9,,351.0,8.3,998.6
2021-01-31,-6.8,-15.9,-2.0,,283.0,5.3,1008.3
2021-02-01,-9.7,-18.7,-3.5,,75.0,8.0,1007.8
2021-02-02,-1.4,-4.4,1.2,,149.0,7.2,1008.1
2021-02-03,2.7,0.7,6.3,,159.0,8.4,1005.6
2021-02-04,1.6,-1.4,5.1,,278.0,15.6,1008.4
2021-02-05,-2.3,-5.0,0.1,,47.0,6.9,1021.7
2021-02-06,-4.2,-8.2,-2.0,,52.0,9.9,1021.0
2021-02-07,-9.0,-10.0,-7.7,,66.0,17.9,1015.7
2021-02-08,-8.7,-9.7,-7.7,,55.0,14.9,1002.5
2021-02-09,-6.8,-8.7,-4.4,,334.0,5.7,1005.2
2021-02-10,-6.0,-8.0,-4.0,,38.0,5.3,1009.5
2021-02-11,-10.1,-13.5,-7.2,,329.0,16.7,1020.1
2021-02-12,-12.2,-14.3,-9.6,,318.0,16.6,1030.1
2021-02-13,-7.0,-13.8,-1.9,,308.0,15.2,1033.0
2021-02-14,-5.1,-7.0,-3.5,,296.0,14.9,1036.0
2021-02-15,-6.5,-12.2,-3.7,,301.0,9.5,1035.9
2021-02-16,-6.4,-14.2,-2.0,,140.0,8.7,1025.9
2021-02-17,-0.6,-2.1,0.7,,186.0,6.2,1015.7
2021-02-18,-2.1,-7.4,0.2,,59.0,6.6,1022.8
2021-02-19,-3.7,-10.2,1.4,,147.0,5.6,1022.3
2021-02-20,1.4,-1.2,6.2,,145.0,4.0,1026.5
2021-02-21,1.1,-4.4,7.1,,116.0,6.4,1026.9
2021-02-22,1.9,-2.4,9.5,,88.0,5.1,1027.4
2021-02-23,2.1,-3.5,9.2,,45.0,5.4,1033.6
2021-02-24,4.9,-1.7,14.3,,59.0,3.5,1035.3
2021-02-25,4.9,-1.9,16.0,,71.0,4.4,1031.1
2021-02-26,5.2,-2.0,15.1,,325.0,7.8,1026.3
2021-02-27,4.6,1.7,7.5,,301.0,14.6,1030.2
2021-02-28,2.4,-1.0,5.5,,292.0,12.3,1033.5
2021-03-01,2.9,1.7,3.7,,300.0,9.6,1035.3
2021-03-02,3.8,0.1,10.5,,282.0,8.6,1034.2
2021-03-03,2.8,-3.9,13.2,,31.0,3.8,1029.0
2021-03-04,3.8,-0.6,9.2,,287.0,10.6,1016.1
2021-03-05,-0.3,-4.5,1.1,,344.0,9.3,1019.9
2021-03-06,-1.4,-5.2,3.0,,286.0,8.6,1029.6
2021-03-07,1.1,-2.0,2.8,,258.0,15.2,1020.8
2021-03-08,-0.8,-5.1,1.3,,316.0,10.9,1019.4
2021-03-09,-3.8,-9.4,0.6,,39.0,8.9,1023.3
2021-03-10,-3.4,-9.2,2.8,,54.0,5.7,1022.9
2021-03-11,-2.1,-8.6,2.2,,139.0,14.3,1014.9
2021-03-12,3.0,-1.2,6.1,,224.0,9.0,1007.1
2021-03-13,4.3,-3.2,10.5,,190.0,12.9,1006.6
2021-03-14,5.6,2.0,9.2,,245.0,14.0,1004.5
2021-03-15,1.8,-2.7,6.7,,308.0,4.2,1009.4
2021-03-16,1.6,-5.4,7.2,,339.0,7.7,1011.5
2021-03-17,1.5,-0.5,2.5,,342.0,12.8,1016.4
2021-03-18,-0.6,-4.4,2.5,,330.0,9.6,1019.1
