time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,23.2,18.8,32.0,0.3,26.0,10.2,1017.4
2021-01-02,17.9,15.4,30.2,0.3,52.0,20.1,1023.5
2021-01-03,18.5,15.2,23.1,1.0,81.0,12.4,1022.1
2021-01-04,17.5,14.6,23.1,27.9,43.0,7.7,1018.0
2021-01-05,19.4,16.6,25.8,21.1,357.0,9.3,1014.2
2021-01-06,22.3,16.0,29.6,2.0,168.0,7.9,1015.1
2021-01-07,22.7,18.0,30.8,0.3,47.0,13.8,1016.8
2021-01-08,21.5,17.0,31.1,5.1,349.0,11.9,1015.5
2021-01-09,22.2,19.7,31.1,0.3,357.0,16.3,1014.3
2021-01-10,24.4,17.8,31.3,0.0,326.0,8.6,1013.5
2021-01-11,19.7,17.0,31.3,,70.0,11.8,1015.6
2021-01-12,20.9,16.6,27.1,,18.0,10.1,1018.6
2021-01-13,23.1,15.1,31.2,,23.0,8.6,1018.3
2021-01-14,21.2,16.0,31.2,25.9,351.0,14.4,1015.9
2021-01-15,20.1,17.0,28.6,2.0,333.0,11.9,1013.1
2021-01-16,20.8,15.1,28.6,15.0,274.0,12.9,1012.2
2021-01-17,20.7,10.3,30.0,0.3,177.0,7.1,1013.8
2021-01-18,22.7,13.3,31.2,0.0,83.0,6.7,1015.0
2021-01-19,23.6,17.5,32.3,,353.0,15.2,1015.2
2021-01-20,25.6,17.2,33.2,,294.0,8.2,1017.4
2021-01-21,25.8,18.5,33.8,,29.0,14.7,1018.9
2021-01-22,25.8,17.6,33.8,,356.0,11.8,1017.9
2021-01-23,25.9,18.9,34.3,,0.0,13.6,1015.3
2021-01-24,23.8,17.0,34.3,,149.0,10.7,1014.1
2021-01-25,22.1,14.9,33.7,,85.0,14.7,1016.9
2021-01-26,20.3,17.2,30.0,,53.0,11.9,1015.8
2021-01-27,17.6,15.9,24.0,29.0,77.0,12.0,1011.2
2021-01-28,19.4,12.6,27.0,39.9,200.0,11.6,1016.9
2021-01-29,21.5,14.9,29.0,0.0,91.0,6.7,1018.6
2021-01-30,22.5,12.9,31.1,,325.0,7.6,1016.5
2021-01-31,23.3,15.3,31.3,,315.0,11.9,1013.1
2021-02-01,22.3,13.4,31.3,,263.0,10.2,1015.0
2021-02-02,17.8,14.4,31.0,,54.0,23.1,1020.8
2021-02-03,18.7,15.7,22.9,15.0,29.0,15.9,1017.8
2021-02-04,23.2,18.8,30.4,7.9,358.0,10.1,1017.1
2021-02-05,25.2,18.7,33.2,0.0,8.0,10.1,1017.5
2021-02-06,24.1,17.5,33.2,,16.0,13.6,1016.9
2021-02-07,24.5,16.5,32.2,,12.0,12.0,1014.2
2021-02-08,25.9,18.6,33.9,,344.0,12.8,1013.6
2021-02-09,24.7,18.1,34.7,,17.0,11.5,1015.9
2021-02-10,23.1,17.7,34.7,,34.0,8.1,1017.2
2021-02-11,25.0,19.0,32.0,,40.0,5.9,1016.1
2021-02-12,24.8,20.0,31.0,,29.0,11.3,1014.0
2021-02-13,29.8,14.8,33.8,,0.0,9.1,1011.6
2021-02-14,26.1,16.0,34.6,,272.0,9.3,1009.8
2021-02-15,24.8,18.0,34.6,,217.0,16.4,1011.0
2021-02-16,20.2,10.7,33.6,,174.0,11.0,1015.0
2021-02-17,22.8,13.4,33.0,,342.0,14.9,1013.5
2021-02-18,23.6,9.2,34.9,,324.0,9.1,1013.6
2021-02-19,21.9,12.9,34.9,,276.0,13.6,1014.6
2021-02-20,23.4,13.0,34.0,,281.0,13.6,1014.1
2021-02-21,19.7,12.0,33.3,,241.0,9.5,1014.3
2021-02-22,21.5,14.4,33.3,,4.0,14.5,1017.8
2021-02-23,19.7,17.5,30.5,22.1,1.0,19.3,1019.5
