time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-8.1,-16.9,-0.7,,,,
2021-01-02,-8.7,-12.6,-3.5,,333.0,7.9,1024.5
2021-01-03,-6.6,-14.4,1.3,0.0,340.0,9.5,1026.4
2021-01-04,-5.3,-10.9,0.5,0.0,313.0,8.9,1027.2
2021-01-05,-6.1,-12.4,0.2,0.1,351.0,7.7,1026.3
2021-01-06,-8.1,-10.9,-4.8,5.1,344.0,7.6,1021.0
2021-01-07,-15.6,-17.3,-8.0,1.7,350.0,13.0,1016.2
2021-01-08,-15.2,-23.3,-7.3,0.0,347.0,10.6,1017.6
2021-01-09,-11.9,-20.0,-3.6,0.0,349.0,10.1,1017.2
2021-01-10,-8.8,-17.0,-1.8,0.0,349.0,6.7,1021.4
2021-01-11,-6.9,-14.4,-1.5,0.0,304.0,5.9,1023.8
2021-01-12,-3.6,-12.2,2.1,0.0,331.0,6.6,1014.3
2021-01-13,-2.2,-9.7,5.0,0.2,290.0,9.2,1009.8
2021-01-14,-2.6,-10.8,3.3,0.0,348.0,6.2,1020.5
2021-01-15,-1.3,-7.0,1.8,0.0,341.0,6.2,1015.9
2021-01-16,-6.6,-11.0,-0.3,2.3,6.0,8.7,1019.9
2021-01-17,-6.1,-14.0,-0.3,0.0,319.0,6.9,1021.1
2021-01-18,-9.9,-15.9,-1.2,0.0,331.0,6.8,1017.0
2021-01-19,-9.9,-19.9,-4.3,0.0,307.0,8.6,1029.3
2021-01-20,-5.3,-13.6,0.4,0.0,339.0,5.3,1027.9
2021-01-21,0.6,-9.3,5.4,0.0,343.0,6.2,1022.2
2021-01-22,1.3,-4.1,6.5,0.4,19.0,7.9,1022.7
2021-01-23,0.3,-2.6,1.6,0.1,9.0,6.2,1027.4
2021-01-24,-0.2,-4.8,4.7,0.0,307.0,4.8,1027.7
2021-01-25,1.3,-5.1,3.4,0.0,322.0,5.4,1028.7
2021-01-26,1.8,-3.1,6.8,0.0,324.0,6.9,1018.3
2021-01-27,0.4,-6.1,5.5,0.0,320.0,4.7,1018.7
2021-01-28,-5.7,-10.8,5.5,2.9,348.0,9.4,1010.0
2021-01-29,-9.2,-14.4,-3.1,0.0,343.0,11.7,1015.5
2021-01-30,-5.6,-14.4,0.9,0.0,356.0,5.1,1020.8
2021-01-31,0.1,-10.2,2.8,0.3,343.0,5.7,1026.8
2021-02-01,0.8,-5.5,9.5,0.2,295.0,13.2,1010.3
2021-02-02,-7.3,-11.4,-0.6,0.0,311.0,9.5,1016.4
2021-02-03,-4.9,-12.7,0.2,0.0,321.0,5.5,1018.7
2021-02-04,-4.2,-10.2,0.1,0.0,291.0,7.8,1018.6
2021-02-05,0.4,-8.1,7.0,0.0,335.0,8.5,1013.5
2021-02-06,1.6,-4.1,6.6,0.0,4.0,4.8,1010.1
2021-02-07,-4.3,-5.4,0.3,0.1,24.0,7.4,1019.2
2021-02-08,-4.2,-9.8,0.4,0.0,342.0,9.8,1022.8
2021-02-09,-0.8,-8.9,5.8,0.0,299.0,9.2,1020.9
2021-02-10,4.1,-4.6,6.5,0.0,344.0,6.6,1018.1
2021-02-11,1.4,-2.2,6.1,0.0,243.0,8.7,1022.7
2021-02-12,1.6,-2.3,5.8,0.0,350.0,5.9,1022.4
2021-02-13,1.6,-0.6,5.8,0.0,297.0,5.2,1024.0
2021-02-14,2.9,0.1,5.2,0.4,12.0,5.5,1017.3
2021-02-15,-3.5,-6.6,3.1,5.1,358.0,9.6,1005.8
2021-02-16,-7.7,-11.5,-2.3,0.0,324.0,16.3,1008.5
2021-02-17,-7.3,-12.6,-2.3,0.0,335.0,14.7,1008.8
2021-02-18,-2.5,-12.4,2.7,0.0,305.0,9.1,1013.7
2021-02-19,2.7,-5.9,7.2,0.0,329.0,10.6,1006.1
2021-02-20,3.2,0.3,8.1,0.0,273.0,9.9,1002.4
2021-02-21,1.5,0.2,3.4,0.0,34.0,9.5,1009.7
2021-02-22,-0.3,-4.0,2.9,0.6,4.0,6.4,1012.1
2021-02-23,-2.4,-6.5,3.2,0.0,309.0,10.6,1022.1
2021-02-24,-0.5,-7.8,2.7,0.0,232.0,8.3,1026.4
2021-02-25,-0.2,-5.1,4.6,0.0,275.0,6.0,1023.6
