time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-8.4,-12.2,-6.1,,49.0,22.8,996.3
2021-01-02,-17.4,-20.6,-13.3,0.0,28.0,26.5,995.5
2021-01-03,-21.6,-23.3,-20.0,0.0,35.0,23.9,999.4
2021-01-04,-22.3,-23.9,-21.1,0.0,24.0,19.0,996.6
2021-01-05,-21.7,-24.4,-19.4,0.1,30.0,13.1,989.1
2021-01-06,-18.8,-22.2,-17.2,0.0,23.0,13.5,986.1
2021-01-07,-16.8,-18.9,-15.6,0.4,18.0,9.6,993.1
2021-01-08,-16.3,-18.3,-15.0,1.1,355.0,24.0,998.6
2021-01-09,-15.9,-18.3,-14.4,1.0,34.0,11.5,1001.1
2021-01-10,-14.6,-16.7,-12.8,0.0,0.0,26.2,992.2
2021-01-11,-16.0,-21.7,-13.9,0.0,20.0,27.5,985.4
2021-01-12,-20.1,-23.3,-14.4,0.0,51.0,12.0,986.4
2021-01-13,-13.7,-20.0,-10.2,0.4,64.0,17.0,997.2
2021-01-14,-11.8,-16.1,-8.3,0.0,53.0,17.5,1007.9
2021-01-15,-16.8,-20.6,-12.8,0.0,33.0,20.5,1002.1
2021-01-16,-18.8,-21.1,-14.4,0.0,35.0,18.8,1004.7
2021-01-17,-13.1,-13.9,-12.2,1.4,22.0,22.9,1002.6
2021-01-18,-10.1,-12.2,-7.7,1.5,20.0,14.1,997.8
2021-01-19,-15.0,-20.6,-9.3,1.5,258.0,24.2,1002.3
2021-01-20,-22.3,-27.2,-17.8,0.0,33.0,11.7,1017.6
2021-01-21,-4.0,-16.7,0.0,1.4,112.0,31.8,1005.7
2021-01-22,-2.2,-5.6,0.0,8.9,141.0,13.6,1003.1
2021-01-23,-1.9,-4.4,1.1,1.3,30.0,19.9,1005.2
2021-01-24,-8.0,-13.3,-3.9,1.6,121.0,17.3,1013.5
2021-01-25,-12.9,-17.8,-8.9,0.1,50.0,10.1,1020.2
2021-01-26,-17.5,-20.6,-13.9,0.0,70.0,6.7,1027.5
2021-01-27,-17.8,-25.0,-14.4,0.2,27.0,9.4,1020.2
2021-01-28,-24.6,-27.2,-21.1,0.0,20.0,17.2,1004.5
2021-01-29,-24.4,-27.2,-21.7,0.3,18.0,36.7,1008.5
2021-01-30,-27.8,-32.8,-23.4,0.0,33.0,20.3,1025.9
2021-01-31,-25.3,-32.8,-21.1,0.0,54.0,22.7,1034.5
2021-02-01,-21.2,-25.0,-18.3,0.0,92.0,22.6,1033.6
2021-02-02,-15.9,-18.9,-14.4,0.0,71.0,41.5,1023.3
2021-02-03,-23.0,-28.3,-20.0,0.0,64.0,33.2,1020.7
2021-02-04,-29.3,-32.8,-25.0,0.0,54.0,16.9,1031.3
2021-02-05,-22.0,-26.1,-19.4,0.0,63.0,19.6,1030.1
2021-02-06,-27.7,-31.7,-22.8,0.0,46.0,10.9,1035.2
2021-02-07,-26.1,-32.2,-21.1,0.0,47.0,17.0,1041.6
2021-02-08,-24.6,-26.7,-22.8,0.0,57.0,19.1,1044.6
2021-02-09,-28.4,-33.9,-23.3,0.0,53.0,16.9,1043.3
2021-02-10,-33.7,-35.6,-31.7,0.0,44.0,12.9,1036.0
2021-02-11,-32.8,-38.3,-21.7,0.1,30.0,11.5,1027.0
2021-02-12,-12.2,-21.1,-5.0,3.6,50.0,23.2,1017.4
2021-02-13,-12.1,-13.9,-10.6,0.0,23.0,24.1,1015.7
2021-02-14,-15.0,-21.1,-11.1,0.0,27.0,21.4,1009.5
2021-02-15,-22.5,-23.9,-21.1,0.0,17.0,21.4,1011.8
2021-02-16,-21.9,-23.9,-19.4,0.0,23.0,33.8,1017.3
2021-02-17,-25.4,-27.8,-23.9,0.0,354.0,28.1,1017.2
2021-02-18,-26.1,-29.4,-22.8,0.1,344.0,12.5,1013.0
2021-02-19,-24.5,-27.8,-22.8,0.6,34.0,7.6,1008.0
2021-02-20,-23.4,-25.0,-21.7,0.0,15.0,19.6,1001.7
2021-02-21,-22.9,-25.6,-20.6,2.3,349.0,30.0,999.5
2021-02-22,-21.2,-25.0,-18.9,0.0,293.0,21.0,1011.5
2021-02-23,-21.9,-28.3,-18.9,0.0,147.0,14.3,1017.7
2021-02-24,-24.9,-28.3,-21.1,0.0,35.0,12.2,1008.7
2021-02-25,-25.8,-27.8,-23.9,0.0,27.0,20.5,1010.5
2021-02-26,-29.1,-31.7,-26.1,0.0,31.0,11.0,1019.4
2021-02-27,-28.3,-31.1,-24.4,0.0,26.0,13.4,1012.4
2021-02-28,-26.5,-29.4,-24.4,0.8,39.0,22.8,1016.5
2021-03-01,-25.5,-28.9,-21.7,0.0,29.0,15.4,1000.0
2021-03-02,-24.2,-26.1,-22.8,20.8,17.0,47.6,1001.2
2021-03-03,-25.6,-28.9,-22.8,2.0,28.0,28.0,1017.0
2021-03-04,-20.3,-28.3,-13.9,9.8,103.0,35.2,999.6
2021-03-05,-11.3,-15.0,-8.9,1.2,133.0,34.3,991.6
2021-03-06,-13.6,-15.6,-11.7,0.2,165.0,20.9,1003.7
2021-03-07,-7.2,-13.9,-1.7,1.8,126.0,38.7,1006.4
2021-03-08,-4.1,-12.8,-0.6,26.4,155.0,44.8,996.1
2021-03-09,-11.8,-17.2,-6.7,0.7,169.0,20.4,1009.4
2021-03-10,-23.4,-27.8,-17.2,1.2,293.0,24.7,1016.6
2021-03-11,-32.3,-37.8,-27.2,0.0,68.0,12.1,1025.3
2021-03-12,-21.3,-31.1,-16.7,0.5,127.0,29.7,1030.4
2021-03-13,-14.7,-16.7,-12.2,1.3,116.0,39.8,1017.4
2021-03-14,,,,,,,
2021-03-15,-10.8,-13.9,-9.4,0.0,82.0,8.8,1005.7
2021-03-16,-13.3,-17.2,-9.4,0.7,39.0,5.7,1008.7
2021-03-17,-14.5,-21.0,-10.6,1.0,38.0,22.2,1005.7
2021-03-18,-20.8,-23.9,-18.3,0.6,332.0,28.7,1014.1
2021-03-19,-25.9,-30.6,-20.6,0.0,60.0,8.0,1018.5
2021-03-20,-23.7,-28.3,-17.2,0.0,52.0,13.6,1014.6
2021-03-21,-19.1,-26.1,-12.8,0.0,60.0,17.4,1012.5
2021-03-22,-15.4,-21.1,-12.8,1.8,328.0,15.7,1015.1
2021-03-23,-20.3,-27.2,-15.0,2.2,134.0,26.0,1013.2
2021-03-24,-10.9,-14.4,-6.7,4.8,147.0,29.2,998.9
2021-03-25,-16.0,-20.6,-12.8,0.8,305.0,15.5,1010.0
2021-03-26,-23.4,-28.9,-18.3,0.0,35.0,6.1,1015.7
2021-03-27,-25.2,-31.1,-20.6,0.0,43.0,5.4,1021.2
2021-03-28,-20.2,-30.0,-12.8,1.5,81.0,27.5,1014.9
2021-03-29,-7.9,-12.2,-5.0,5.9,61.0,42.2,997.6
2021-03-30,-13.9,-20.0,-6.7,6.1,310.0,26.0,1002.8
2021-03-31,-20.6,-21.7,-18.9,6.7,330.0,38.7,1011.7
2021-04-01,-21.2,-24.4,-17.8,6.7,0.0,22.4,1019.8
2021-04-02,-19.1,-24.4,-15.6,0.0,62.0,20.1,1011.3
2021-04-03,-17.0,-21.1,-12.8,0.0,43.0,20.7,1006.6
2021-04-04,-18.8,-21.1,-15.6,26.7,355.0,38.7,1005.2
2021-04-05,-22.0,-24.4,-18.0,0.0,16.0,12.0,1025.9
2021-04-06,-24.3,-30.0,-16.7,0.0,47.0,9.4,1026.8
2021-04-07,-25.9,-28.3,-23.3,0.0,332.0,21.4,1027.9
2021-04-08,-27.0,-30.0,-23.3,0.0,332.0,24.4,1032.0
2021-04-09,-27.0,-31.1,-23.3,0.0,38.0,9.0,1034.7
2021-04-10,-24.2,-29.4,-17.8,0.0,45.0,18.4,1026.4
2021-04-11,-17.5,-23.3,-9.4,2.5,45.0,29.2,1013.4
2021-04-12,-4.9,-8.9,-0.6,4.2,87.0,30.6,1002.9
2021-04-13,-0.6,-1.7,1.1,0.3,107.0,18.6,1011.0
2021-04-14,-0.4,-6.1,1.7,0.6,43.0,19.9,1016.6
2021-04-15,-9.3,-13.9,-5.6,0.0,257.0,11.3,1025.9
2021-04-16,-4.1,-7.2,-1.1,0.3,152.0,30.8,1028.0
2021-04-17,-2.4,-4.4,0.6,0.0,147.0,21.6,1031.4
2021-04-18,-5.9,-13.3,1.1,0.0,48.0,9.2,1029.6
2021-04-19,-4.6,-7.8,-2.2,0.0,316.0,19.9,1033.4
2021-04-20,-8.6,-13.9,-2.8,0.0,44.0,12.2,1039.0
2021-04-21,-8.1,-16.1,0.0,0.0,65.0,8.7,1034.6
2021-04-22,-5.4,-13.3,2.2,0.0,60.0,15.8,1025.1
2021-04-23,-1.1,-5.6,2.2,0.0,78.0,13.1,1018.4
2021-04-24,-1.2,-6.7,4.4,0.0,60.0,11.6,1015.6
2021-04-25,-0.7,-6.1,3.3,0.0,28.0,8.6,1011.0
2021-04-26,-1.4,-5.6,1.7,0.0,307.0,12.4,1009.6
2021-04-27,-3.6,-7.8,-0.6,0.0,324.0,8.8,1011.0
2021-04-28,-2.2,-5.0,0.6,11.3,352.0,15.9,1006.7
2021-04-29,-7.0,-8.9,-5.6,2.7,331.0,40.2,1007.4
2021-04-30,-9.2,-10.6,-7.8,1.0,304.0,25.8,1010.5
2021-05-01,-10.0,-13.9,-8.3,0.0,175.0,12.0,1019.0
2021-05-02,-8.8,-17.2,-1.1,0.0,36.0,13.6,1019.7
2021-05-03,-6.7,-11.1,-2.2,0.0,18.0,19.2,1019.0
2021-05-04,-3.7,-8.9,1.7,0.0,19.0,23.1,1018.3
2021-05-05,-3.6,-11.1,2.8,0.0,18.0,14.1,1020.5
2021-05-06,-1.1,-7.8,3.3,0.0,38.0,17.1,1018.2
2021-05-07,-0.6,-6.7,3.9,0.0,14.0,14.1,1012.8
2021-05-08,-1.1,-4.4,1.7,0.0,359.0,10.3,1014.4
2021-05-09,1.3,-3.9,4.4,0.0,28.0,10.1,1016.8
2021-05-10,1.4,-0.2,3.2,0.0,72.0,7.1,1017.7
2021-05-11,1.9,-2.6,6.7,0.0,350.0,10.9,1016.4
2021-05-12,0.8,-1.1,3.3,0.0,352.0,8.3,1019.1
2021-05-13,1.2,-1.7,3.3,0.0,295.0,7.9,1019.7
2021-05-14,2.8,-0.6,6.7,0.0,320.0,12.9,1014.6
2021-05-15,1.8,-1.1,4.4,0.0,11.0,39.6,1010.9
2021-05-16,0.7,-2.8,3.3,0.0,12.0,44.0,1013.4
2021-05-17,0.1,-2.2,2.2,0.0,336.0,23.6,1014.5
2021-05-18,-2.5,-3.9,-1.1,0.0,272.0,14.7,1017.5
2021-05-19,-2.3,-4.2,-0.6,0.0,282.0,6.4,1020.0
2021-05-20,0.2,-4.5,6.1,0.0,333.0,9.8,1013.1
2021-05-21,4.3,1.1,6.7,4.2,82.0,16.8,999.6
2021-05-22,-0.4,-1.7,0.6,0.8,220.0,20.6,1010.7
2021-05-23,-1.2,-2.2,0.6,0.0,242.0,11.8,1026.4
2021-05-24,5.9,-1.7,12.2,0.0,31.0,17.4,1028.3
2021-05-25,5.2,0.6,12.2,0.0,343.0,20.3,1022.9
2021-05-26,6.9,1.7,11.7,0.0,20.0,33.4,1017.1
2021-05-27,6.2,1.7,11.7,0.0,22.0,34.7,1013.6
2021-05-28,5.0,-0.6,10.0,0.0,27.0,31.4,1016.7
2021-05-29,6.2,0.6,12.8,0.0,22.0,30.1,1013.9
2021-05-30,8.7,2.8,15.0,0.0,11.0,26.4,1008.4
2021-05-31,7.5,2.8,12.2,0.0,20.0,34.0,1006.6
2021-06-01,2.9,0.0,5.6,0.0,23.0,46.0,1004.5
2021-06-02,3.1,-0.6,6.7,0.6,30.0,27.7,998.2
2021-06-03,-0.1,-1.7,1.7,0.0,207.0,11.5,998.3
2021-06-04,1.4,0.0,3.3,0.2,177.0,13.9,1005.3
2021-06-05,3.3,1.7,6.7,0.0,205.0,6.8,1009.5
2021-06-06,6.6,5.0,9.4,0.0,93.0,17.1,1010.7
2021-06-07,5.2,3.3,7.2,6.2,239.0,10.1,1010.2
2021-06-08,2.6,0.6,4.4,0.6,153.0,17.6,1006.5
2021-06-09,3.4,1.7,5.6,5.9,162.0,9.2,1003.3
2021-06-10,1.1,-1.1,2.8,0.9,201.0,11.2,1009.3
2021-06-11,2.5,1.7,3.3,0.0,257.0,9.0,1014.9
2021-06-12,5.7,2.2,11.1,0.9,325.0,9.5,1013.0
2021-06-13,7.7,3.9,12.2,3.3,99.0,10.6,1009.9
2021-06-14,7.8,3.9,11.7,7.6,119.0,11.0,1005.2
2021-06-15,3.4,1.7,6.7,1.2,170.0,18.8,1009.4
2021-06-16,4.5,1.1,6.7,0.0,279.0,8.9,1017.5
2021-06-17,4.6,2.8,6.1,0.0,293.0,11.6,1018.6
2021-06-18,5.3,2.8,8.3,0.0,287.0,18.6,1017.3
2021-06-19,9.6,4.4,20.6,0.0,307.0,23.3,1016.3
2021-06-20,16.2,12.2,20.6,0.0,20.0,33.8,1011.2
2021-06-21,13.1,9.4,17.8,0.0,343.0,21.4,1009.9
2021-06-22,13.7,8.3,20.6,0.6,241.0,10.5,1007.4
2021-06-23,14.4,10.6,19.4,0.5,306.0,8.8,1000.0
2021-06-24,16.9,8.9,22.8,0.0,21.0,15.7,991.6
2021-06-25,9.8,6.7,12.2,8.6,155.0,10.1,1002.6
2021-06-26,11.1,10.0,12.2,0.0,166.0,14.2,1010.9
2021-06-27,9.7,7.2,11.1,0.0,185.0,14.1,1013.3
2021-06-28,6.6,5.0,8.3,23.5,211.0,35.5,1010.7
2021-06-29,5.0,4.4,5.6,17.4,218.0,35.1,1008.0
2021-06-30,5.1,4.4,6.7,12.1,220.0,18.2,1012.8
2021-07-01,10.4,5.6,16.1,0.4,26.0,19.0,1014.0
2021-07-02,14.7,11.1,20.0,0.0,36.0,19.8,1009.1
2021-07-03,11.7,10.0,13.3,4.7,163.0,19.3,1012.1
2021-07-04,11.1,10.0,12.2,0.5,156.0,23.8,1015.3
2021-07-05,11.6,10.0,13.9,1.9,131.0,15.7,1008.9
2021-07-06,10.3,7.8,12.2,6.7,144.0,9.9,1000.3
2021-07-07,6.7,5.0,8.3,1.8,209.0,20.9,1001.6
2021-07-08,6.0,4.4,8.3,0.2,211.0,13.2,1001.0
2021-07-09,9.3,6.1,12.2,0.0,332.0,20.7,1003.0
2021-07-10,8.1,7.2,8.9,6.4,204.0,16.1,1007.1
2021-07-11,7.7,6.1,8.9,0.0,209.0,7.3,1012.2
2021-07-12,8.3,5.6,12.0,0.0,146.0,12.0,1012.3
2021-07-13,10.4,8.9,12.2,0.0,303.0,12.4,1011.6
2021-07-14,9.0,7.8,10.0,0.0,275.0,17.8,1013.2
2021-07-15,10.0,8.3,11.7,0.0,185.0,18.0,1015.5
2021-07-16,8.7,8.3,10.0,1.0,194.0,29.3,1016.5
2021-07-17,8.9,8.3,9.4,6.4,195.0,31.4,1012.8
2021-07-18,10.3,8.9,11.7,4.0,165.0,25.6,1017.1
2021-07-19,12.5,10.6,15.6,2.8,161.0,12.4,1012.8
2021-07-20,13.5,11.7,18.9,4.7,91.0,15.5,1000.4
2021-07-21,9.9,7.2,12.2,1.6,166.0,24.0,1000.9
2021-07-22,9.0,7.8,10.0,0.3,206.0,10.2,1007.9
2021-07-23,6.5,6.1,7.2,0.0,210.0,14.7,1012.9
2021-07-24,8.5,6.7,10.6,4.8,187.0,22.8,1012.2
2021-07-25,9.5,8.9,10.0,23.1,180.0,36.3,1009.4
2021-07-26,11.9,8.7,20.6,6.1,178.0,16.8,1006.5
2021-07-27,16.2,12.8,18.9,12.8,138.0,22.2,1001.2
2021-07-28,15.0,13.3,16.1,31.5,156.0,36.9,999.4
2021-07-29,14.4,11.7,18.9,4.4,177.0,29.5,1004.5
2021-07-30,15.1,9.9,19.4,4.9,180.0,17.1,1006.8
