time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,29.3,18.8,,,,,
2021-01-02,26.6,17.8,37.5,0.0,26.0,6.4,1009.7
2021-01-03,26.4,16.0,37.0,0.0,16.0,5.2,1009.8
2021-01-04,28.1,16.3,38.0,0.0,33.0,7.4,1009.7
2021-01-05,28.2,16.0,38.0,0.0,43.0,9.2,1009.4
2021-01-06,27.0,16.4,38.0,0.0,37.0,7.2,1010.0
2021-01-07,25.4,16.0,38.6,0.0,78.0,6.3,1010.3
2021-01-08,28.2,18.5,38.5,0.0,4.0,5.9,1010.2
2021-01-09,25.7,17.5,35.6,0.0,18.0,11.5,1010.6
2021-01-10,27.7,19.0,35.0,0.0,25.0,13.4,1011.0
2021-01-11,26.3,21.0,33.2,0.0,33.0,14.6,1011.0
2021-01-12,25.7,17.5,33.2,0.0,24.0,10.6,1011.8
2021-01-13,24.5,17.0,36.0,0.0,40.0,10.5,1012.1
2021-01-14,25.8,18.0,37.6,0.0,40.0,10.3,1011.0
2021-01-15,24.6,15.0,36.8,0.0,35.0,9.4,1010.3
2021-01-16,25.3,15.0,35.5,0.0,37.0,8.8,1009.5
2021-01-17,25.3,15.8,35.0,0.0,40.0,9.6,1010.2
2021-01-18,28.4,19.5,36.5,0.0,41.0,11.3,1011.1
2021-01-19,24.8,14.0,36.0,0.0,35.0,9.1,1011.3
2021-01-20,26.1,14.0,38.0,0.0,33.0,7.1,1010.6
2021-01-21,25.4,15.0,38.6,0.0,39.0,8.3,1010.1
2021-01-22,27.5,18.4,36.4,0.0,46.0,9.9,1011.2
2021-01-23,27.0,16.8,37.0,0.0,46.0,7.1,1011.3
2021-01-24,26.3,13.8,37.0,0.0,35.0,6.7,1010.5
2021-01-25,25.2,12.6,39.0,0.0,49.0,7.2,1009.9
2021-01-26,24.7,13.0,38.5,0.0,45.0,7.7,1010.3
2021-01-27,23.3,12.0,39.5,0.0,22.0,5.4,1010.1
2021-01-28,24.8,12.0,38.2,0.0,38.0,6.9,1009.8
2021-01-29,24.8,13.0,37.0,0.0,28.0,7.0,1010.9
2021-01-30,25.3,14.0,39.5,0.0,20.0,5.4,1010.8
2021-01-31,27.7,15.6,38.5,0.0,49.0,9.9,1010.2
2021-02-01,27.8,18.0,39.0,0.0,41.0,6.5,1009.9
2021-02-02,23.5,14.9,39.0,0.0,29.0,5.5,1010.4
2021-02-03,27.8,16.0,40.0,0.0,63.0,4.7,1010.4
2021-02-04,28.3,18.0,40.3,0.0,19.0,5.0,1010.0
2021-02-05,26.2,20.0,34.5,0.0,13.0,6.8,1011.1
2021-02-06,24.7,19.0,33.8,0.0,29.0,11.9,1012.6
2021-02-07,25.9,18.8,34.6,0.0,34.0,11.4,1011.2
2021-02-08,26.9,19.0,37.5,0.0,30.0,8.1,1010.8
2021-02-09,29.7,19.6,38.5,0.0,27.0,12.4,1010.0
2021-02-10,24.3,20.0,39.0,0.0,31.0,8.1,1009.7
2021-02-11,29.1,17.0,40.0,0.0,35.0,6.0,1009.7
2021-02-12,30.0,19.0,41.0,0.0,31.0,5.9,1008.8
2021-02-13,33.2,17.0,41.2,0.0,29.0,6.1,1008.0
2021-02-14,26.7,17.8,39.5,0.0,35.0,4.8,1007.9
2021-02-15,29.6,18.0,40.0,0.0,18.0,5.0,1007.9
2021-02-16,28.8,18.5,39.5,0.0,12.0,4.7,1008.1
2021-02-17,27.2,22.8,35.5,0.0,32.0,6.1,1009.4
2021-02-18,30.2,25.8,37.0,0.0,28.0,4.6,1010.4
2021-02-19,27.3,26.0,37.5,0.0,26.0,7.1,1011.5
2021-02-20,30.2,26.0,36.8,0.0,14.0,6.7,1011.7
2021-02-21,31.6,23.0,39.8,0.0,22.0,9.0,1010.2
2021-02-22,31.1,22.0,40.5,0.0,37.0,9.5,1009.3
2021-02-23,27.0,19.0,39.8,0.0,55.0,6.2,1010.4
2021-02-24,29.0,18.0,40.0,0.0,22.0,7.4,1010.8
2021-02-25,26.2,15.0,38.6,0.0,24.0,7.9,1010.9
2021-02-26,27.2,18.0,37.0,0.0,48.0,10.3,1010.1
2021-02-27,28.9,21.0,36.5,0.0,51.0,10.4,1009.3
2021-02-28,29.8,22.0,38.0,0.0,40.0,10.0,1008.2
2021-03-01,29.8,18.0,38.0,0.0,29.0,8.1,1008.3
2021-03-02,27.9,19.0,41.0,0.0,24.0,8.5,1008.0
2021-03-03,30.7,21.0,42.0,0.0,43.0,7.2,1008.8
2021-03-04,31.0,22.0,41.3,0.0,24.0,6.0,1008.6
2021-03-05,30.4,21.0,41.0,0.0,69.0,5.5,1007.5
2021-03-06,30.0,21.0,40.6,0.0,187.0,7.2,1008.9
2021-03-07,30.1,21.0,40.3,0.0,264.0,7.1,1010.5
2021-03-08,31.4,21.0,41.0,0.0,24.0,7.3,1009.0
2021-03-09,30.3,22.0,39.0,0.0,36.0,10.5,1008.6
2021-03-10,31.1,22.0,39.0,0.0,37.0,11.4,1008.7
2021-03-11,30.9,24.0,39.0,0.0,53.0,11.6,1008.8
2021-03-12,31.0,19.3,39.0,0.0,40.0,9.3,1008.7
2021-03-13,29.6,21.0,39.0,0.0,40.0,7.7,1009.2
2021-03-14,30.8,21.0,41.0,0.0,3.0,6.3,1009.5
2021-03-15,30.7,22.0,41.0,0.0,20.0,6.1,1009.2
2021-03-16,30.6,20.0,41.0,0.0,26.0,7.7,1008.2
