time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,24.6,24.0,27.0,53.1,346.0,10.2,1010.2
2021-01-02,24.5,23.0,26.2,19.1,341.0,11.3,1009.7
2021-01-03,22.4,22.0,25.0,126.7,354.0,5.2,1009.7
2021-01-04,23.9,22.0,26.0,169.4,343.0,4.8,1010.0
2021-01-05,25.6,22.2,30.3,2.5,352.0,7.8,1009.2
2021-01-06,23.8,22.6,25.0,179.3,337.0,6.0,1009.3
2021-01-07,25.8,22.6,30.0,49.3,351.0,9.7,1008.3
2021-01-08,25.8,24.0,29.0,46.0,2.0,8.5,1008.2
2021-01-09,24.8,23.9,28.3,15.7,353.0,10.2,1009.0
2021-01-10,24.0,23.0,27.4,20.3,349.0,10.2,1009.9
2021-01-11,24.4,22.6,27.0,6.6,343.0,10.2,1010.4
2021-01-12,24.1,23.0,27.0,12.4,349.0,10.2,1010.8
2021-01-13,24.6,22.5,28.0,21.8,353.0,10.8,1011.2
2021-01-14,24.9,21.8,29.0,0.3,356.0,7.7,1011.2
2021-01-15,24.9,22.2,28.0,0.0,0.0,6.2,1010.0
2021-01-16,26.3,22.3,30.0,0.0,4.0,6.7,1009.5
2021-01-17,25.6,22.6,29.8,0.0,2.0,8.7,1010.8
2021-01-18,24.5,22.6,27.0,0.8,357.0,7.5,1012.0
2021-01-19,24.6,22.0,28.0,0.5,355.0,6.6,1011.6
2021-01-20,25.5,22.0,28.7,0.3,357.0,6.3,1011.4
2021-01-21,26.2,22.3,30.5,0.0,7.0,7.0,1010.7
2021-01-22,25.2,23.5,29.0,0.0,357.0,6.6,1010.2
2021-01-23,23.6,22.9,25.0,4.3,349.0,5.6,1011.0
2021-01-24,25.9,22.2,29.0,30.0,8.0,7.3,1010.8
2021-01-25,25.8,23.7,31.0,0.0,1.0,7.6,1010.3
2021-01-26,25.7,21.5,30.0,0.0,357.0,7.0,1009.9
2021-01-27,24.9,21.8,27.7,0.0,358.0,5.7,1009.9
2021-01-28,25.8,23.8,30.4,13.7,17.0,8.8,1011.1
2021-01-29,25.1,22.8,29.2,1.5,356.0,8.2,1011.8
2021-01-30,25.8,23.0,30.0,4.3,5.0,9.1,1011.8
2021-01-31,25.4,22.3,28.0,0.0,0.0,7.2,1011.9
2021-02-01,25.6,23.3,29.0,2.5,1.0,8.7,1012.2
2021-02-02,25.9,23.8,30.4,2.3,356.0,9.2,1012.5
2021-02-03,25.6,23.0,30.0,0.0,9.0,8.6,1012.1
2021-02-04,25.3,22.0,30.0,0.0,10.0,8.8,1012.7
2021-02-05,26.1,21.3,30.7,0.0,2.0,8.2,1011.9
2021-02-06,26.3,22.0,30.5,4.3,12.0,7.3,1010.9
2021-02-07,26.7,22.6,31.4,0.0,9.0,8.2,1010.7
2021-02-08,25.8,22.6,30.0,0.0,2.0,7.6,1010.6
2021-02-09,26.5,23.0,31.0,6.1,6.0,7.1,1009.7
2021-02-10,28.1,23.4,31.0,0.0,8.0,7.0,1009.3
2021-02-11,27.2,24.0,31.0,,3.0,7.3,1010.0
2021-02-12,25.6,24.0,28.0,,356.0,7.2,1011.4
2021-02-13,25.7,24.0,30.0,,5.0,7.7,1011.9
2021-02-14,26.0,23.9,30.9,0.0,10.0,8.6,1012.4
2021-02-15,25.7,22.0,30.1,0.0,7.0,7.9,1011.4
2021-02-16,25.8,21.8,30.0,0.0,6.0,8.7,1010.7
2021-02-17,25.5,22.0,31.0,0.0,7.0,8.2,1011.8
2021-02-18,25.7,21.1,31.3,0.0,3.0,9.9,1013.0
2021-02-19,27.0,21.7,29.0,0.0,2.0,10.7,1013.0
2021-02-20,25.5,22.0,30.0,,6.0,9.9,1012.5
2021-02-21,23.1,22.7,30.0,,7.0,10.3,1012.0
2021-02-22,25.7,21.9,32.0,0.0,3.0,8.9,1011.6
2021-02-23,25.7,21.3,31.0,0.0,12.0,7.7,1010.5
2021-02-24,26.2,21.4,32.8,0.0,10.0,7.4,1009.8
2021-02-25,26.5,21.9,32.0,0.0,14.0,5.1,1008.6
2021-02-26,27.8,21.6,33.5,0.0,13.0,3.4,1007.6
2021-02-27,27.6,22.3,33.0,0.0,15.0,5.0,1007.7
2021-02-28,27.3,23.6,33.0,0.0,30.0,4.7,1009.2
2021-03-01,27.2,24.0,33.0,0.0,24.0,4.3,1011.3
2021-03-02,26.9,23.0,32.0,0.0,11.0,8.7,1011.3
2021-03-03,27.8,22.8,33.0,0.0,12.0,7.4,1011.5
2021-03-04,27.5,23.6,31.4,2.5,19.0,7.9,1011.8
2021-03-05,27.4,24.6,32.0,0.0,9.0,7.9,1011.5
2021-03-06,27.1,24.9,31.0,0.0,6.0,9.1,1011.5
2021-03-07,27.2,24.0,32.0,0.0,2.0,6.5,1011.7
2021-03-08,26.6,23.0,32.0,0.0,9.0,6.6,1011.8
2021-03-09,26.7,21.3,33.0,0.0,8.0,7.9,1011.8
2021-03-10,27.3,21.4,32.0,0.0,4.0,6.1,1011.8
2021-03-11,26.0,23.0,30.4,,357.0,8.0,1011.7
2021-03-12,24.2,23.6,25.0,,355.0,2.7,1012.3
2021-03-13,25.3,23.0,28.4,,344.0,5.1,1011.8
2021-03-14,26.8,22.4,31.5,6.6,5.0,6.8,1010.1
2021-03-15,27.5,24.0,32.3,,6.0,7.4,1009.6
2021-03-16,27.0,23.0,32.0,,6.0,7.5,1009.3
2021-03-17,27.2,23.0,32.7,,6.0,5.7,1008.9
2021-03-18,28.1,24.8,32.6,,8.0,6.2,1008.7
2021-03-19,28.0,24.0,32.2,,9.0,6.2,1008.4
2021-03-20,28.1,24.9,32.3,,19.0,5.2,1007.3
2021-03-21,28.9,25.7,33.7,,19.0,5.3,1007.3
2021-03-22,28.2,24.0,33.5,0.0,14.0,9.0,1009.3
2021-03-23,24.6,24.0,26.0,,312.0,7.5,1009.7
2021-03-24,24.8,24.0,27.0,,329.0,7.2,1009.3
2021-03-25,24.5,23.7,27.0,,345.0,6.7,1009.1
2021-03-26,27.4,23.5,31.8,131.1,18.0,4.8,1008.5
2021-03-27,27.0,24.7,32.0,,11.0,3.9,1008.4
2021-03-28,27.5,24.0,32.0,,15.0,3.2,1007.8
2021-03-29,27.9,25.0,33.0,,4.0,5.2,1008.0
2021-03-30,27.2,24.0,33.6,,347.0,3.8,1007.0
2021-03-31,27.0,23.6,32.0,,358.0,2.4,1006.7
2021-04-01,27.1,24.6,33.0,,2.0,3.4,1006.5
2021-04-02,26.9,23.9,33.2,,23.0,4.9,1007.3
2021-04-03,27.4,23.0,33.0,,22.0,2.4,1007.5
2021-04-04,27.1,24.0,32.3,,9.0,4.7,1008.1
2021-04-05,26.5,23.5,32.0,,10.0,4.4,1009.2
2021-04-06,27.5,23.8,32.0,,17.0,5.2,1009.7
2021-04-07,27.8,25.0,32.0,,359.0,5.9,1010.5
2021-04-08,27.6,24.0,33.0,,358.0,4.6,1009.2
2021-04-09,28.4,24.5,34.0,,358.0,5.7,1009.0
2021-04-10,28.4,24.0,34.0,,16.0,4.7,1010.1
2021-04-11,28.2,25.0,33.0,,10.0,5.3,1010.8
2021-04-12,27.8,24.0,33.0,,24.0,4.4,1011.6
2021-04-13,28.2,24.9,33.2,0.0,24.0,3.7,1011.0
2021-04-14,27.1,24.0,33.6,,358.0,3.4,1010.5
2021-04-15,27.4,23.0,33.0,,358.0,2.7,1009.9
2021-04-16,28.4,25.0,32.9,,10.0,2.9,1009.8
2021-04-17,27.1,24.0,33.3,,341.0,3.0,1011.2
2021-04-18,27.5,23.0,33.0,,18.0,3.1,1011.0
2021-04-19,26.7,23.6,32.3,0.0,350.0,3.3,1010.1
2021-04-20,27.3,24.0,33.3,,352.0,4.2,1009.9
2021-04-21,27.5,25.0,33.0,,326.0,4.0,1009.7
2021-04-22,27.3,24.0,32.0,,221.0,5.1,1009.7
2021-04-23,27.4,24.0,33.0,,225.0,5.1,1009.1
2021-04-24,26.2,23.0,32.0,,290.0,4.3,1009.5
2021-04-25,28.3,24.3,34.0,,280.0,4.1,1009.7
2021-04-26,26.5,24.0,32.0,,353.0,3.1,1009.6
2021-04-27,27.4,25.0,33.0,,353.0,2.3,1010.2
2021-04-28,27.8,24.0,33.2,,26.0,3.8,1010.8
2021-04-29,27.5,24.7,32.0,,9.0,2.3,1009.8
2021-04-30,27.2,25.0,33.3,0.5,15.0,2.4,1010.0
2021-05-01,28.0,23.5,33.3,0.0,7.0,4.9,1009.6
2021-05-02,28.4,25.0,33.0,,16.0,4.7,1009.4
2021-05-03,28.5,24.7,33.0,,7.0,5.3,1007.5
2021-05-04,26.3,25.0,31.4,0.5,352.0,4.2,1007.4
2021-05-05,26.9,23.7,32.2,1.3,356.0,3.3,1007.5
2021-05-06,26.8,24.6,33.0,,350.0,2.0,1009.1
2021-05-07,27.3,24.5,31.0,,2.0,4.8,1009.6
2021-05-08,28.2,24.4,33.0,0.5,4.0,4.2,1008.7
2021-05-09,28.4,24.9,33.0,,5.0,5.5,1008.0
2021-05-10,29.0,25.0,33.4,,12.0,3.8,1007.4
2021-05-11,28.3,26.0,31.0,,347.0,2.3,1007.3
2021-05-12,27.3,24.5,32.1,,319.0,3.9,1007.2
2021-05-13,28.0,24.0,33.5,,18.0,2.5,1006.1
2021-05-14,28.4,25.0,34.0,,292.0,4.3,1006.3
2021-05-15,28.3,24.0,34.0,,306.0,4.5,1006.8
2021-05-16,28.3,24.8,34.0,,351.0,3.4,1007.2
2021-05-17,27.7,25.0,33.1,,342.0,2.7,1007.8
2021-05-18,27.4,25.0,33.0,,294.0,4.0,1008.4
2021-05-19,26.6,24.7,31.0,,319.0,3.4,1008.7
2021-05-20,27.9,24.9,33.0,,6.0,1.4,1008.8
2021-05-21,27.9,25.0,32.0,,270.0,3.3,1009.6
2021-05-22,28.3,24.0,33.3,,273.0,3.3,1008.7
2021-05-23,28.9,25.0,33.4,,5.0,3.3,1008.5
2021-05-24,28.6,25.9,33.3,,17.0,2.7,1008.9
2021-05-25,28.3,26.0,33.1,,21.0,3.2,1008.8
2021-05-26,28.1,25.0,33.0,,2.0,2.6,1008.9
2021-05-27,27.3,25.0,32.4,0.0,313.0,3.3,1009.3
2021-05-28,28.0,24.0,33.0,,24.0,2.7,1009.9
2021-05-29,27.3,24.7,33.4,0.0,328.0,3.4,1009.9
2021-05-30,28.2,24.0,33.6,,32.0,2.4,1008.6
2021-05-31,29.5,25.0,34.0,,71.0,2.8,1007.4
2021-06-01,28.3,25.0,34.0,,31.0,3.3,1007.6
2021-06-02,28.6,25.0,34.0,,42.0,3.5,1008.0
2021-06-03,28.7,24.9,33.7,,61.0,2.8,1008.6
2021-06-04,29.2,25.0,34.0,,25.0,2.9,1008.8
2021-06-05,29.3,26.0,34.0,,246.0,4.3,1009.4
2021-06-06,28.5,25.0,35.0,,228.0,3.6,1009.3
2021-06-07,28.4,24.0,34.0,,250.0,3.5,1009.6
2021-06-08,28.0,24.0,34.0,,4.0,2.9,1009.6
2021-06-09,27.3,24.0,33.0,,280.0,3.9,1009.2
2021-06-10,26.7,23.5,32.0,,323.0,5.2,1008.3
2021-06-11,25.9,23.6,29.0,,325.0,2.7,1008.2
2021-06-12,27.8,25.0,32.6,,41.0,2.3,1008.7
2021-06-13,27.2,24.0,32.9,2.3,330.0,3.0,1009.5
2021-06-14,27.4,24.0,33.0,,10.0,2.6,1009.3
2021-06-15,27.0,23.7,33.2,,303.0,4.0,1008.9
2021-06-16,28.0,23.6,31.7,0.0,343.0,2.0,1010.0
2021-06-17,27.7,24.7,33.0,,31.0,3.5,1010.7
2021-06-18,27.6,23.8,32.1,,308.0,2.7,1011.3
2021-06-19,28.2,25.3,33.0,,310.0,4.0,1010.9
2021-06-20,26.9,23.8,31.0,,227.0,2.4,1010.3
2021-06-21,28.4,23.3,33.5,0.0,299.0,3.8,1009.6
2021-06-22,28.4,25.0,33.0,,269.0,3.9,1009.6
2021-06-23,27.9,24.0,32.0,,327.0,2.8,1010.3
2021-06-24,27.4,23.0,33.0,,8.0,4.8,1009.9
2021-06-25,27.5,23.0,33.0,,293.0,5.0,1009.1
2021-06-26,26.9,23.0,33.0,,344.0,2.9,1009.6
2021-06-27,27.6,24.0,34.0,,323.0,3.4,1010.2
2021-06-28,27.9,23.9,34.0,,261.0,4.9,1009.8
2021-06-29,26.9,23.9,33.0,,311.0,3.9,1010.0
2021-06-30,27.4,23.0,33.0,,220.0,3.2,1009.3
2021-07-01,28.0,24.0,34.0,,345.0,3.1,1009.4
2021-07-02,28.5,24.8,34.0,,355.0,4.2,1009.2
2021-07-03,26.7,23.5,33.0,,330.0,4.2,1009.0
2021-07-04,27.9,23.8,33.0,,219.0,2.6,1008.0
2021-07-05,28.0,25.0,33.0,,199.0,3.6,1007.6
2021-07-06,27.2,25.0,32.0,,287.0,4.2,1007.5
2021-07-07,27.4,24.0,32.0,,12.0,2.3,1008.3
2021-07-08,28.1,24.0,32.6,,43.0,2.0,1008.3
2021-07-09,27.8,24.9,32.1,0.0,13.0,1.6,1007.6
2021-07-10,26.5,23.0,31.0,,12.0,3.4,1007.5
2021-07-11,25.5,23.9,29.0,,5.0,1.4,1008.9
2021-07-12,26.6,24.0,32.0,,341.0,3.3,1009.3
2021-07-13,26.6,24.0,30.0,,257.0,4.4,1008.8
2021-07-14,26.5,24.0,29.0,,273.0,2.3,1008.8
2021-07-15,27.7,24.0,33.0,,144.0,3.3,1008.3
2021-07-16,28.4,25.0,32.7,,43.0,3.1,1009.8
2021-07-17,29.4,26.0,34.0,,220.0,2.9,1008.6
2021-07-18,28.8,26.0,33.0,,250.0,3.1,1007.9
2021-07-19,28.7,24.0,34.0,,195.0,3.5,1008.6
2021-07-20,28.1,25.0,32.0,,297.0,2.8,1009.6
2021-07-21,29.2,25.9,34.0,,228.0,3.2,1009.3
2021-07-22,29.5,25.8,34.0,,238.0,2.7,1008.8
2021-07-23,28.7,24.9,34.1,,236.0,4.4,1008.7
2021-07-24,29.1,25.7,34.0,,229.0,3.5,1009.0
