time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,32.2,25.4,40.1,0.0,24.0,7.6,1004.3
2021-01-02,32.1,25.1,41.0,0.0,327.0,7.9,1003.1
2021-01-03,32.3,26.2,40.2,0.0,327.0,10.1,1002.2
2021-01-04,31.3,24.7,39.3,8.0,353.0,11.3,1001.9
2021-01-05,29.0,24.4,34.4,0.0,9.0,11.4,1004.8
2021-01-06,30.5,26.4,37.3,0.0,112.0,13.0,1005.5
2021-01-07,28.6,24.0,36.8,22.0,335.0,10.7,1006.2
2021-01-08,31.4,24.1,38.4,4.0,117.0,7.7,1005.9
2021-01-09,31.9,26.1,39.2,0.0,31.0,6.9,1005.6
2021-01-10,31.8,26.0,39.1,0.0,355.0,6.7,1005.6
2021-01-11,31.6,27.0,38.8,0.0,9.0,8.8,1005.7
2021-01-12,32.2,24.6,40.8,0.0,356.0,7.1,1005.0
2021-01-13,31.2,27.2,40.2,0.0,38.0,9.8,1005.4
2021-01-14,29.8,25.4,38.6,0.4,6.0,8.7,1006.0
2021-01-15,30.5,24.9,38.2,0.4,25.0,9.9,1004.7
2021-01-16,29.6,25.4,37.4,0.0,338.0,6.9,1004.0
2021-01-17,31.6,24.9,39.5,4.2,189.0,9.9,1004.6
2021-01-18,30.7,25.3,36.0,0.0,119.0,11.0,1005.6
2021-01-19,29.6,24.1,34.2,0.0,112.0,9.7,1006.9
2021-01-20,28.2,25.4,35.0,0.8,354.0,10.9,1008.4
2021-01-21,28.4,25.1,34.9,2.6,353.0,9.1,1007.9
2021-01-22,27.0,24.3,30.3,16.0,18.0,7.0,1007.3
2021-01-23,27.3,24.3,34.4,6.0,350.0,9.5,1006.3
2021-01-24,26.8,24.5,33.4,57.6,351.0,9.4,1005.4
2021-01-25,25.8,24.4,30.2,16.0,347.0,7.1,1003.6
2021-01-26,26.1,24.2,32.9,23.4,321.0,10.2,1002.1
2021-01-27,25.8,23.6,29.6,26.2,25.0,7.9,1000.6
2021-01-28,26.8,24.8,31.5,15.0,48.0,13.0,1000.9
2021-01-29,27.5,25.2,31.7,13.0,27.0,17.8,1000.5
2021-01-30,27.0,25.7,31.8,0.2,8.0,15.7,1002.6
2021-01-31,27.5,25.1,33.0,8.2,18.0,8.2,1004.5
2021-02-01,28.2,25.2,34.0,4.8,4.0,7.1,1004.6
2021-02-02,28.8,24.9,35.4,0.0,352.0,8.7,1004.4
2021-02-03,30.2,25.1,37.3,19.6,322.0,9.2,1003.1
2021-02-04,28.8,26.8,33.3,0.0,1.0,6.1,1002.9
2021-02-05,27.2,25.7,33.5,1.0,349.0,8.4,1003.3
2021-02-06,29.2,24.5,35.8,3.4,299.0,9.0,1003.2
