time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-8.8,,,,,,
2021-01-02,-9.8,-11.5,-3.9,,296.0,16.8,1013.4
2021-01-03,-6.8,-15.0,-2.0,0.0,268.0,11.8,1016.2
2021-01-04,-5.4,-7.0,-2.0,0.0,268.0,17.0,1017.6
2021-01-05,-6.7,-11.0,-3.0,0.0,273.0,12.5,1018.4
2021-01-06,-8.4,-14.0,-4.0,0.0,31.0,8.0,1016.4
2021-01-07,-5.8,-8.0,-3.0,7.3,15.0,19.1,1002.5
2021-01-08,-4.5,-6.0,-2.8,13.9,312.0,21.7,995.1
2021-01-09,-8.0,-15.0,-4.0,0.0,268.0,11.3,1003.9
2021-01-10,-8.3,-14.0,-4.0,0.0,279.0,12.1,1008.7
2021-01-11,-8.1,-16.0,-4.0,0.0,271.0,13.6,1017.7
2021-01-12,-6.6,-12.0,1.7,1.0,16.0,11.2,1019.2
2021-01-13,0.3,-3.1,2.0,5.4,225.0,12.1,1006.5
2021-01-14,-2.8,-6.2,2.0,1.4,272.0,19.0,1007.8
2021-01-15,-7.2,-12.0,-3.0,0.0,311.0,7.8,1021.0
2021-01-16,-0.7,-6.6,4.0,9.7,248.0,18.1,1005.4
2021-01-17,-7.7,-10.0,-6.0,0.5,23.0,9.0,1012.2
2021-01-18,-7.7,-13.0,-3.0,0.2,324.0,10.1,1011.4
2021-01-19,-7.3,-12.7,-4.0,3.3,351.0,16.9,1008.2
2021-01-20,-9.7,-16.2,-4.0,0.0,295.0,10.0,1020.7
2021-01-21,-5.4,-10.8,0.0,0.3,308.0,9.8,1017.5
2021-01-22,-2.3,-5.3,0.0,0.0,11.0,9.9,1013.7
2021-01-23,-7.7,-13.0,-5.0,0.0,15.0,10.5,1024.7
2021-01-24,-7.6,-12.5,-1.0,0.0,315.0,9.3,1025.8
2021-01-25,-5.7,-10.0,1.0,0.0,23.0,12.1,1025.3
2021-01-26,-8.7,-13.2,-6.3,0.2,57.0,8.6,1029.2
2021-01-27,-2.0,-6.2,1.0,19.1,334.0,16.8,1010.2
2021-01-28,-4.4,-7.0,-2.0,0.0,318.0,14.4,1014.4
2021-01-29,-3.7,-6.2,-1.5,14.9,32.0,19.3,999.2
2021-01-30,-2.6,-6.0,0.0,4.9,323.0,10.9,1000.0
2021-01-31,-6.0,-12.0,-2.0,0.1,297.0,10.0,1015.5
2021-02-01,-4.7,-14.0,3.1,0.0,234.0,17.7,1017.6
2021-02-02,-0.8,-9.2,5.0,0.4,239.0,24.2,997.1
2021-02-03,-10.0,-12.0,-8.0,0.0,260.0,21.6,1006.0
2021-02-04,-9.0,-12.1,-5.0,0.0,257.0,16.1,1006.3
2021-02-05,-7.9,-12.1,-4.0,0.0,247.0,17.6,1008.8
