time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,17.4,15.6,19.5,0.2,303.0,15.7,1020.5
2021-01-02,17.0,15.3,18.5,0.0,270.0,12.6,1017.8
2021-01-03,17.8,16.0,19.8,4.5,228.0,12.9,1014.8
2021-01-04,20.2,17.7,23.9,0.6,175.0,30.3,1009.5
2021-01-05,21.2,18.2,23.6,3.0,277.0,11.9,1008.3
2021-01-06,22.4,18.6,24.3,13.0,247.0,33.4,1002.6
2021-01-07,21.4,17.3,23.0,18.5,247.0,43.1,1000.3
2021-01-08,17.6,13.2,20.2,0.3,340.0,24.7,1009.4
2021-01-09,15.2,12.4,17.8,1.3,330.0,24.0,1019.6
2021-01-10,16.6,13.5,19.3,0.5,328.0,26.0,1022.1
2021-01-11,16.6,14.2,19.3,0.7,349.0,25.6,1023.1
2021-01-12,15.9,13.9,18.0,2.5,308.0,18.5,1024.4
2021-01-13,17.4,14.8,19.3,0.0,356.0,21.9,1026.6
2021-01-14,17.8,15.0,20.5,1.0,343.0,19.5,1027.3
2021-01-15,17.4,15.6,18.4,0.0,358.0,21.3,1026.5
2021-01-16,18.0,16.5,20.5,0.0,348.0,18.3,1025.1
2021-01-17,18.6,16.9,20.6,0.0,344.0,13.6,1024.6
2021-01-18,18.2,16.2,19.3,0.0,323.0,13.2,1024.5
2021-01-19,17.6,15.2,19.8,0.0,279.0,10.0,1023.4
2021-01-20,17.9,15.2,20.4,0.0,210.0,10.6,1022.0
2021-01-21,19.3,15.9,21.9,0.0,314.0,10.9,1023.7
2021-01-22,19.9,17.4,21.3,1.4,340.0,14.1,1025.1
2021-01-23,18.8,17.4,20.4,0.0,330.0,11.7,1023.5
2021-01-24,19.0,16.0,21.5,0.0,320.0,10.6,1021.2
2021-01-25,18.4,15.5,20.5,0.0,320.0,12.5,1022.2
2021-01-26,18.8,16.9,20.6,0.0,323.0,16.6,1023.5
2021-01-27,18.9,16.6,21.5,0.0,320.0,14.2,1021.3
2021-01-28,18.5,15.8,20.7,0.0,318.0,10.4,1020.7
2021-01-29,18.3,15.7,21.0,0.0,330.0,9.2,1022.5
2021-01-30,18.6,15.6,20.9,0.0,339.0,17.6,1024.9
2021-01-31,18.7,16.5,21.4,0.2,338.0,18.2,1024.2
2021-02-01,18.8,16.9,21.7,0.0,343.0,16.6,1021.2
2021-02-02,18.2,16.2,20.2,0.0,347.0,15.3,1019.2
2021-02-03,17.9,16.4,19.2,0.1,311.0,9.4,1017.3
2021-02-04,17.8,14.9,20.4,3.0,292.0,13.1,1011.4
2021-02-05,14.7,11.0,17.0,2.9,342.0,20.2,1011.8
2021-02-06,17.0,13.1,19.8,0.0,332.0,24.1,1018.1
2021-02-07,17.2,13.6,19.7,0.0,336.0,15.0,1021.2
2021-02-08,18.0,14.7,20.2,0.0,240.0,8.9,1020.9
2021-02-09,18.3,15.4,21.4,0.0,210.0,10.8,1019.9
2021-02-10,17.4,15.4,20.3,0.0,229.0,7.7,1020.4
2021-02-11,18.1,15.0,20.5,0.0,322.0,8.4,1022.4
2021-02-12,18.9,16.1,21.1,0.0,347.0,12.2,1024.1
2021-02-13,19.6,15.9,21.1,0.0,356.0,19.0,1022.8
2021-02-14,17.7,14.9,21.1,0.0,319.0,15.3,1020.9
2021-02-15,19.3,15.0,26.0,0.0,290.0,10.8,1020.3
2021-02-16,20.3,16.7,24.5,0.0,250.0,11.1,1020.8
2021-02-17,19.3,16.2,22.3,0.0,326.0,13.1,1018.7
2021-02-18,18.4,15.9,21.5,0.0,323.0,12.6,1018.3
2021-02-19,16.4,13.9,20.6,0.0,265.0,10.5,1018.3
2021-02-20,20.9,14.7,23.2,5.0,245.0,28.3,1012.5
2021-02-21,18.3,15.0,21.1,0.0,53.0,9.2,1016.7
2021-02-22,18.3,14.5,22.3,0.0,195.0,9.2,1020.9
2021-02-23,18.9,15.3,21.7,0.0,331.0,10.0,1023.0
2021-02-24,19.5,16.9,22.0,3.9,338.0,25.1,1023.9
2021-02-25,18.0,16.1,19.3,0.3,6.0,30.4,1026.8
2021-02-26,17.4,15.9,20.0,0.0,346.0,28.1,1026.2
2021-02-27,16.8,14.6,19.4,0.0,353.0,29.1,1021.3
2021-02-28,17.8,14.5,19.6,0.0,347.0,25.5,1015.9
2021-03-01,18.3,15.6,20.5,0.1,349.0,13.8,1017.7
