time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-9.3,-11.5,-7.2,1.1,244.0,4.4,1012.0
2021-01-02,-8.6,-11.7,-5.4,0.3,135.0,8.5,999.1
2021-01-03,-7.6,-13.6,-1.5,0.2,97.0,5.3,992.9
2021-01-04,-9.2,-16.7,-1.7,0.0,278.0,9.0,1007.6
2021-01-05,-12.5,-17.6,-7.4,1.0,62.0,10.1,1012.7
2021-01-06,-7.6,-11.0,-4.2,0.0,140.0,7.5,1014.1
2021-01-07,-3.5,-8.5,1.4,0.0,235.0,6.6,1020.5
2021-01-08,-7.1,-13.9,-0.2,0.0,235.0,4.2,1027.8
2021-01-09,-10.9,-19.9,-1.9,0.0,210.0,3.5,1025.8
2021-01-10,-7.9,-10.8,-5.0,0.0,239.0,5.5,1015.9
2021-01-11,-5.2,-10.8,0.3,0.0,224.0,5.3,1008.6
2021-01-12,-3.2,-9.7,3.3,0.0,244.0,7.4,1002.1
2021-01-13,-4.6,-9.3,0.1,7.2,77.0,9.7,995.5
2021-01-14,-5.1,-9.4,-0.8,0.0,319.0,19.3,1014.4
2021-01-15,-10.6,-14.6,-6.6,0.0,194.0,7.6,1021.2
2021-01-16,-7.7,-15.0,-0.5,0.2,298.0,11.5,1011.3
2021-01-17,-15.7,-16.8,-14.5,1.0,82.0,10.6,1018.1
2021-01-18,-16.0,-20.2,-11.9,0.5,28.0,5.4,1022.2
2021-01-19,-5.5,-13.0,2.0,0.6,197.0,10.4,1010.5
2021-01-20,-5.6,-14.6,3.4,2.5,309.0,21.4,994.8
2021-01-21,-15.2,-19.8,-10.6,0.1,298.0,11.2,1020.9
2021-01-22,-17.7,-20.6,-14.8,1.2,165.0,6.6,1020.2
2021-01-23,-27.2,-35.0,-19.4,0.2,331.0,8.6,1026.2
2021-01-24,-33.3,-39.6,-27.0,0.0,9.0,1.8,1033.2
2021-01-25,-32.2,-39.4,-25.0,0.0,18.0,1.6,1037.9
2021-01-26,-33.2,-38.9,-27.4,0.0,35.0,2.9,1036.7
2021-01-27,-24.1,-31.0,-17.2,0.0,86.0,9.9,1032.8
2021-01-28,-18.0,-21.7,-14.2,0.6,124.0,11.1,1026.9
2021-01-29,-13.7,-14.9,-12.4,1.0,99.0,7.9,1019.0
2021-01-30,-12.5,-13.7,-11.2,0.1,1.0,3.1,1022.1
2021-01-31,-9.0,-11.2,-6.7,0.0,156.0,5.0,1027.2
2021-02-01,-8.4,-10.1,-6.8,0.0,135.0,13.2,1021.7
2021-02-02,-8.0,-8.7,-7.3,2.3,69.0,10.7,1012.4
2021-02-03,-12.4,-16.5,-8.4,2.0,353.0,14.2,1014.0
2021-02-04,-21.1,-25.9,-16.3,0.0,325.0,10.3,1019.4
2021-02-05,-26.9,-32.2,-21.5,0.0,312.0,15.0,1028.2
2021-02-06,-32.4,-36.2,-28.5,0.0,306.0,9.4,1034.4
2021-02-07,-36.9,-41.7,-32.1,0.0,295.0,8.9,1035.0
2021-02-08,-31.9,-36.3,-27.6,0.2,300.0,19.8,1025.3
2021-02-09,-29.2,-31.0,-27.5,0.0,308.0,15.7,1027.1
2021-02-10,-32.1,-36.5,-27.8,0.0,344.0,6.2,1037.5
2021-02-11,-31.8,-38.1,-25.6,0.0,297.0,10.9,1040.4
2021-02-12,-31.2,-37.3,-25.1,0.0,22.0,6.0,1038.6
2021-02-13,-31.4,-40.7,-22.1,0.0,315.0,3.4,1043.8
2021-02-14,-23.6,-31.1,-16.0,0.0,259.0,4.5,1039.3
2021-02-15,-26.3,-34.2,-18.3,0.0,53.0,4.2,1029.4
2021-02-16,-24.9,-31.1,-18.6,0.0,96.0,4.8,1020.3
2021-02-17,-23.4,-32.9,-13.8,0.0,303.0,5.4,1024.5
2021-02-18,-21.5,-29.5,-13.6,0.0,216.0,5.3,1027.9
2021-02-19,-12.4,-21.2,-3.6,0.0,169.0,9.0,1011.2
2021-02-20,-6.4,-15.4,2.5,0.3,224.0,8.3,1000.0
2021-02-21,-1.5,-7.2,4.2,1.6,223.0,10.3,993.1
2021-02-22,-4.3,-12.5,3.9,0.3,301.0,16.0,993.3
2021-02-23,-13.0,-18.2,-7.9,0.0,20.0,3.8,1011.3
2021-02-24,-11.8,-15.2,-8.4,0.1,291.0,8.3,1020.5
2021-02-25,-11.1,-18.6,-3.5,0.0,135.0,7.7,1002.7
2021-02-26,-21.7,-30.3,-13.0,0.0,32.0,13.8,1014.0
2021-02-27,-23.4,-31.8,-15.0,0.0,247.0,3.5,1021.9
2021-02-28,-23.4,-29.9,-17.0,0.0,51.0,7.0,1026.6
2021-03-01,-15.8,-26.0,-5.6,3.2,142.0,10.2,1012.2
2021-03-02,-11.0,-15.0,-7.1,1.2,42.0,8.3,1009.0
2021-03-03,-3.8,-11.6,4.1,0.0,146.0,5.3,1012.3
2021-03-04,-4.0,-13.7,5.8,0.0,74.0,7.9,1024.8
2021-03-05,-1.2,-6.5,4.0,0.0,111.0,17.0,1022.7
2021-03-06,3.3,-2.7,9.2,0.0,132.0,10.8,1005.5
2021-03-07,2.7,-2.3,7.7,0.0,276.0,9.5,1007.9
2021-03-08,-5.5,-12.7,1.7,0.0,334.0,11.0,1018.4
2021-03-09,-10.4,-19.2,-1.6,0.1,123.0,7.9,1020.0
2021-03-10,-9.2,-15.3,-3.0,0.1,297.0,14.5,1016.2
2021-03-11,-15.7,-22.2,-9.3,0.0,177.0,7.7,1023.7
2021-03-12,-4.0,-13.5,5.4,0.0,255.0,8.7,1015.4
2021-03-13,-1.7,-3.8,0.3,0.0,51.0,10.7,1029.0
2021-03-14,3.9,-2.6,10.4,0.0,160.0,21.2,1019.8
2021-03-15,-1.2,-9.1,6.6,0.0,265.0,17.7,1010.2
