time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,13.7,13.0,15.0,2.0,118.0,23.8,1024.4
2021-01-02,14.4,13.4,15.0,4.1,124.0,35.1,1016.8
2021-01-03,14.7,13.5,16.0,8.9,122.0,46.4,1007.7
2021-01-04,15.3,14.8,16.0,17.0,120.0,39.8,1005.1
2021-01-05,14.8,13.5,16.0,0.5,114.0,41.8,1007.2
2021-01-06,13.3,11.5,15.0,0.0,78.0,32.4,1012.5
2021-01-07,12.9,11.6,14.5,0.0,34.0,19.2,1023.0
2021-01-08,12.8,11.5,15.4,2.0,3.0,12.5,1028.3
2021-01-09,13.1,12.0,14.1,0.0,129.0,5.7,1030.9
2021-01-10,13.7,11.5,16.0,1.0,171.0,13.4,1027.8
2021-01-11,15.4,12.0,17.5,1.3,168.0,13.4,1024.0
2021-01-12,16.5,15.0,17.2,3.3,212.0,22.3,1020.3
2021-01-13,14.3,9.2,17.0,13.0,196.0,10.6,1025.8
2021-01-14,16.9,15.2,18.0,2.0,189.0,26.0,1024.9
2021-01-15,16.3,15.0,17.0,0.5,198.0,30.4,1023.1
2021-01-16,15.1,10.1,18.0,8.9,198.0,11.6,1023.1
2021-01-17,16.8,15.4,18.0,10.9,184.0,32.0,1019.4
2021-01-18,16.5,15.0,18.0,9.9,218.0,23.9,1014.3
2021-01-19,15.9,14.0,17.0,3.0,278.0,33.4,1011.7
2021-01-20,16.9,14.0,21.5,0.0,244.0,18.9,1011.6
2021-01-21,17.1,14.6,18.3,0.0,292.0,18.5,1018.0
2021-01-22,16.3,12.5,20.0,3.0,223.0,15.9,1020.7
2021-01-23,17.3,16.0,19.0,0.0,226.0,18.4,1016.7
2021-01-24,17.5,16.0,19.0,4.1,222.0,21.6,1011.4
2021-01-25,18.7,17.0,20.0,9.9,217.0,26.5,1013.4
2021-01-26,17.9,16.7,19.0,0.5,187.0,40.2,1013.6
2021-01-27,17.0,15.0,19.0,0.0,204.0,38.0,1010.4
2021-01-28,17.1,14.9,19.0,3.0,207.0,27.0,1011.4
2021-01-29,16.5,13.0,18.2,0.0,252.0,24.9,1014.8
2021-01-30,17.3,13.0,20.0,0.0,209.0,25.7,1020.8
2021-01-31,18.2,17.0,20.5,0.0,208.0,23.3,1019.7
2021-02-01,17.6,15.0,20.0,2.0,235.0,25.3,1011.9
2021-02-02,12.7,10.0,15.0,6.1,270.0,26.7,1011.4
2021-02-03,12.0,10.0,14.0,8.9,310.0,39.3,1016.5
2021-02-04,11.9,10.0,14.0,6.1,333.0,39.6,1022.8
2021-02-05,13.3,10.9,15.0,2.0,324.0,28.1,1027.4
2021-02-06,15.3,13.0,18.0,0.3,293.0,21.5,1024.7
2021-02-07,15.2,13.5,16.5,0.0,293.0,24.0,1020.2
2021-02-08,14.9,10.0,19.5,1.0,285.0,21.0,1015.3
2021-02-09,16.8,15.0,18.2,0.3,255.0,22.7,1008.5
2021-02-10,14.9,13.7,19.0,0.0,242.0,20.8,1006.3
2021-02-11,15.1,12.8,17.0,,236.0,29.0,1010.7
2021-02-12,16.1,14.0,20.0,,236.0,26.2,1011.8
2021-02-13,15.9,12.0,18.0,,224.0,38.6,1008.9
2021-02-14,14.0,12.0,17.5,,239.0,25.2,1012.3
2021-02-15,13.1,9.0,16.2,7.9,266.0,21.2,1016.1
2021-02-16,14.0,11.0,17.0,0.0,236.0,14.2,1020.6
2021-02-17,13.4,9.5,16.0,0.5,281.0,22.1,1017.7
2021-02-18,13.7,8.7,18.0,1.0,227.0,30.1,1008.4
2021-02-19,12.8,11.6,13.0,0.0,282.0,29.6,1000.1
2021-02-20,10.4,8.0,14.0,,292.0,23.2,1007.3
2021-02-21,14.4,10.0,18.0,4.1,222.0,16.2,1001.0
2021-02-22,17.4,16.2,20.0,0.0,223.0,34.9,1002.4
2021-02-23,12.7,9.0,16.0,6.1,276.0,25.1,1013.2
2021-02-24,11.3,8.6,15.2,5.1,300.0,18.1,1030.2
2021-02-25,12.9,9.8,15.0,0.0,180.0,24.5,1030.9
2021-02-26,15.1,14.0,17.0,1.0,205.0,11.2,1029.5
2021-02-27,15.6,13.0,19.0,0.5,184.0,12.7,1026.6
2021-02-28,14.5,11.2,17.5,0.0,185.0,19.0,1018.6
2021-03-01,12.3,8.2,16.0,4.1,280.0,8.1,1017.4
2021-03-02,12.8,10.0,16.0,0.3,185.0,21.8,1012.9
2021-03-03,14.3,11.7,17.0,13.0,267.0,18.7,1015.0
2021-03-04,15.4,12.0,17.0,0.0,310.0,20.1,1022.9
2021-03-05,13.3,8.7,18.0,,95.0,5.7,1029.5
2021-03-06,15.9,11.5,20.0,,278.0,14.5,1029.7
2021-03-07,16.9,15.0,20.0,0.3,300.0,26.0,1029.8
2021-03-08,14.8,12.5,16.0,0.5,317.0,17.8,1029.8
2021-03-09,14.8,10.0,20.0,0.0,271.0,11.1,1027.4
2021-03-10,16.7,13.0,21.2,0.0,250.0,14.4,1024.8
2021-03-11,13.8,12.0,16.0,7.1,23.0,9.9,1029.9
2021-03-12,13.7,11.5,15.2,2.0,124.0,16.2,1029.1
2021-03-13,15.0,14.0,16.0,2.0,142.0,26.1,1022.9
2021-03-14,16.4,15.0,20.0,2.0,164.0,26.5,1018.1
2021-03-15,15.9,13.0,19.0,0.5,164.0,11.0,1022.8
2021-03-16,15.7,15.0,17.2,0.3,147.0,20.8,1024.6
2021-03-17,15.7,14.0,17.0,0.0,136.0,23.9,1024.0
2021-03-18,15.2,13.0,18.0,0.0,137.0,18.5,1024.0
2021-03-19,15.7,13.7,18.0,,135.0,18.8,1025.5
2021-03-20,15.7,14.0,18.0,,121.0,18.5,1027.8
2021-03-21,15.2,14.0,17.0,,128.0,15.3,1027.1
2021-03-22,15.4,13.0,18.0,0.5,211.0,13.7,1021.6
2021-03-23,13.4,12.0,15.0,4.1,349.0,16.0,1025.8
2021-03-24,13.2,9.0,16.0,0.5,5.0,7.2,1028.5
2021-03-25,13.8,10.0,17.0,0.0,333.0,12.5,1028.5
2021-03-26,14.8,12.5,16.6,,343.0,10.7,1029.6
2021-03-27,14.3,10.0,19.0,,291.0,8.3,1027.4
2021-03-28,15.8,,,,,,
2021-03-29,16.2,14.0,18.0,,197.0,27.7,1014.9
2021-03-30,14.9,12.0,18.1,7.9,150.0,17.6,1010.3
2021-03-31,16.0,14.7,18.0,0.0,40.0,11.8,1012.6
2021-04-01,15.6,13.0,19.0,0.3,181.0,15.2,1017.1
