time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,14.3,12.0,16.0,,,14.8,1014.5
2021-01-02,14.7,13.9,16.0,0.0,234.0,22.4,1012.3
2021-01-03,14.7,12.0,17.0,1.0,229.0,24.6,1014.0
2021-01-04,12.5,11.0,13.6,0.1,261.0,18.5,1014.8
2021-01-05,13.2,11.4,14.4,0.0,228.0,26.4,1015.6
2021-01-06,16.2,14.0,18.0,0.0,195.0,21.0,1015.5
2021-01-07,17.6,16.0,19.0,0.0,201.0,21.1,1012.7
2021-01-08,18.7,17.7,20.0,0.0,230.0,24.0,1009.4
2021-01-09,19.0,18.0,20.0,0.0,198.0,19.4,1009.1
2021-01-10,17.9,15.9,20.0,0.0,256.0,16.5,1007.9
2021-01-11,15.3,13.0,17.0,0.4,341.0,15.7,1012.9
2021-01-12,12.7,10.6,15.0,6.9,306.0,26.9,1016.4
2021-01-13,13.8,11.4,15.0,1.6,308.0,36.1,1019.6
2021-01-14,14.8,13.9,16.0,0.5,295.0,28.5,1018.6
2021-01-15,14.8,13.7,16.2,0.3,297.0,34.5,1015.4
2021-01-16,12.9,11.0,14.4,4.3,315.0,27.5,1015.4
2021-01-17,13.3,10.1,15.0,0.3,307.0,24.5,1020.6
2021-01-18,13.9,13.0,15.0,0.2,319.0,30.4,1021.4
2021-01-19,13.2,12.0,15.0,0.0,27.0,12.0,1028.5
2021-01-20,14.8,13.5,16.0,0.0,199.0,27.0,1026.8
2021-01-21,16.0,15.0,17.0,0.0,203.0,27.9,1022.1
2021-01-22,15.8,15.0,17.0,0.0,215.0,22.8,1017.8
2021-01-23,15.5,13.9,17.0,0.2,282.0,15.9,1014.1
2021-01-24,15.5,14.9,16.0,0.0,236.0,28.1,1011.8
2021-01-25,15.3,13.0,17.0,0.0,253.0,19.7,1014.5
2021-01-26,14.1,12.9,15.0,3.3,317.0,27.0,1013.9
2021-01-27,13.2,10.7,15.0,0.9,294.0,23.5,1020.2
2021-01-28,15.1,13.0,17.0,2.3,290.0,21.9,1019.6
2021-01-29,16.3,15.0,18.0,0.0,252.0,16.4,1017.9
2021-01-30,17.1,15.9,19.0,0.0,238.0,15.6,1011.7
2021-01-31,15.6,12.0,18.0,0.2,292.0,23.5,1005.4
2021-02-01,14.9,13.9,16.0,0.0,263.0,24.8,1008.3
2021-02-02,15.6,14.0,18.0,0.1,302.0,23.9,1014.0
2021-02-03,15.3,14.0,17.0,0.0,269.0,15.5,1020.2
2021-02-04,16.7,15.0,18.1,0.0,197.0,21.7,1019.1
2021-02-05,16.9,15.9,19.0,0.0,193.0,16.2,1018.0
2021-02-06,16.6,15.5,18.0,0.0,173.0,12.5,1014.0
2021-02-07,17.0,13.2,19.0,1.6,144.0,15.2,1005.1
2021-02-08,15.4,13.9,17.1,0.3,245.0,22.7,1009.9
2021-02-09,16.2,15.0,18.1,0.0,228.0,21.1,1014.6
2021-02-10,17.0,15.0,18.0,0.0,214.0,32.3,1012.8
2021-02-11,15.0,14.0,16.0,0.0,304.0,32.6,1018.1
2021-02-12,15.4,13.0,17.0,0.0,224.0,19.5,1020.1
2021-02-13,15.7,14.0,18.0,1.0,261.0,23.3,1016.2
2021-02-14,12.2,10.8,14.0,0.6,350.0,35.9,1023.3
2021-02-15,10.1,9.0,11.0,0.3,9.0,38.5,1030.6
2021-02-16,10.6,9.0,12.1,0.0,333.0,15.9,1031.5
2021-02-17,13.7,11.0,16.0,0.0,247.0,16.1,1025.2
2021-02-18,14.5,13.0,16.2,0.0,97.0,8.5,1023.4
2021-02-19,14.9,13.8,17.0,0.0,141.0,20.0,1025.0
2021-02-20,15.6,15.0,17.0,0.0,138.0,23.3,1024.2
2021-02-21,15.4,15.0,16.0,0.0,124.0,26.7,1023.3
2021-02-22,15.8,15.0,17.3,0.0,125.0,29.4,1026.7
2021-02-23,15.5,14.6,17.1,0.0,105.0,23.0,1031.8
2021-02-24,14.4,13.0,16.0,0.0,26.0,10.2,1032.9
2021-02-25,14.0,12.0,16.0,0.0,5.0,7.8,1030.1
2021-02-26,14.6,13.8,16.0,0.0,55.0,11.4,1027.3
2021-02-27,13.9,12.0,16.0,0.0,330.0,8.9,1023.6
2021-02-28,14.1,12.0,16.0,0.0,9.0,10.8,1024.5
2021-03-01,15.4,14.0,17.0,0.0,95.0,16.8,1025.9
2021-03-02,15.4,14.0,17.0,0.0,102.0,22.7,1028.0
2021-03-03,15.1,14.0,17.0,0.0,103.0,23.2,1028.8
2021-03-04,15.6,15.0,17.3,0.2,127.0,26.9,1023.5
2021-03-05,15.8,15.0,17.0,1.3,89.0,24.8,1016.9
2021-03-06,15.7,15.0,17.0,0.0,69.0,16.5,1020.5
2021-03-07,15.8,14.9,17.6,0.0,106.0,24.9,1020.5
2021-03-08,14.9,14.0,16.0,10.9,95.0,23.1,1012.4
2021-03-09,15.2,13.9,17.0,0.0,119.0,8.4,1013.7
2021-03-10,14.8,13.0,16.2,0.3,317.0,22.9,1016.8
2021-03-11,14.7,13.0,17.0,0.0,345.0,23.2,1024.1
2021-03-12,14.0,11.0,16.2,0.0,246.0,12.5,1023.0
2021-03-13,15.1,13.8,17.0,0.0,273.0,13.0,1019.9
