time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,,2.8,11.1,0.0,,6.5,
2021-01-02,-0.4,0.6,11.1,0.0,221.0,3.2,1023.9
2021-01-03,1.8,0.0,17.8,0.0,268.0,5.8,1022.4
2021-01-04,2.3,6.7,22.2,0.0,142.0,4.3,1019.2
2021-01-05,0.7,2.2,18.9,0.0,11.0,2.9,1025.0
2021-01-06,0.7,5.0,17.8,22.1,68.0,6.5,1024.8
2021-01-07,1.0,6.1,10.6,0.3,351.0,7.9,1024.0
2021-01-08,0.7,4.4,7.2,0.0,350.0,5.0,1022.3
2021-01-09,-1.9,-1.0,10.6,0.0,10.0,2.9,1027.6
2021-01-10,-2.1,0.6,3.3,18.8,45.0,7.6,1028.6
2021-01-11,-0.8,-2.7,1.1,11.7,40.0,5.0,1028.7
2021-01-12,1.7,-3.8,10.6,0.0,24.0,1.1,1027.0
2021-01-13,5.1,0.0,15.0,0.0,265.0,2.9,1026.9
2021-01-14,4.3,2.2,21.1,0.0,2.0,7.2,1029.7
2021-01-15,6.2,1.1,13.3,0.0,322.0,5.8,1027.5
2021-01-16,4.8,-1.0,12.8,0.0,17.0,4.3,1024.5
2021-01-17,4.7,-0.5,17.8,0.0,14.0,2.5,1022.5
2021-01-18,2.0,-1.0,19.4,0.0,19.0,5.0,1019.3
2021-01-19,-1.7,10.0,22.8,0.0,43.0,5.8,1023.3
2021-01-20,1.5,10.6,17.2,0.0,73.0,4.0,1023.4
2021-01-21,3.2,15.6,19.4,7.6,222.0,4.0,1017.3
2021-01-22,1.7,11.1,17.2,5.3,161.0,4.3,1009.1
2021-01-23,-1.7,9.4,12.8,0.0,274.0,5.4,1012.1
2021-01-24,-2.7,12.8,20.0,0.0,273.0,7.2,1010.8
2021-01-25,-4.3,13.9,24.4,0.3,124.0,7.2,1003.2
2021-01-26,-7.0,9.4,21.7,0.0,246.0,2.5,1013.9
