time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,2.1,-0.7,5.8,0.1,234.0,9.1,1006.7
2021-01-02,3.0,0.9,6.9,0.1,247.0,6.4,1012.5
2021-01-03,2.8,-0.4,4.1,0.0,60.0,16.6,1018.3
2021-01-04,3.1,2.1,7.5,0.3,56.0,30.5,1020.6
2021-01-05,3.1,2.4,8.9,1.3,61.0,27.0,1019.7
2021-01-06,1.5,0.3,2.6,2.2,12.0,9.8,1017.5
2021-01-07,2.0,0.7,4.1,2.5,300.0,7.3,1011.5
2021-01-08,1.4,-0.5,4.0,1.0,309.0,6.9,1015.5
2021-01-09,1.9,-1.2,5.6,2.7,280.0,8.8,1022.6
2021-01-10,2.7,0.1,5.1,0.6,227.0,15.3,1021.9
2021-01-11,5.6,4.3,6.6,2.7,230.0,26.9,1012.8
2021-01-12,5.2,2.9,7.2,7.7,302.0,22.4,1006.7
2021-01-13,3.9,1.6,6.1,2.5,308.0,24.6,1013.0
2021-01-14,0.6,-3.2,2.7,0.0,55.0,10.5,1020.8
2021-01-15,0.7,0.0,2.3,0.8,264.0,5.4,1028.2
2021-01-16,0.8,-0.8,2.7,1.0,186.0,14.5,1022.8
2021-01-17,2.5,-0.3,7.5,1.0,230.0,14.2,1016.9
2021-01-18,4.0,0.7,6.2,1.0,234.0,18.8,1017.9
2021-01-19,6.7,3.6,9.0,13.6,219.0,28.8,1003.1
2021-01-20,7.8,6.7,9.0,2.5,198.0,32.6,993.5
2021-01-21,7.0,5.0,10.5,3.3,200.0,34.7,984.3
2021-01-22,4.2,1.3,6.9,2.2,230.0,21.2,988.5
2021-01-23,2.4,0.3,4.9,0.8,202.0,15.5,993.4
2021-01-24,1.2,-1.2,4.9,0.1,262.0,8.8,997.0
2021-01-25,1.1,-3.6,9.9,7.3,221.0,10.8,1002.7
2021-01-26,3.2,0.4,9.9,0.0,259.0,10.2,1012.9
2021-01-27,3.7,0.6,6.0,4.1,229.0,16.2,1009.6
2021-01-28,2.7,1.3,5.0,2.0,109.0,11.7,1004.5
2021-01-29,3.0,0.1,7.4,13.2,100.0,23.5,993.9
2021-01-30,-0.7,-3.9,0.9,0.0,75.0,13.8,1004.6
2021-01-31,-2.4,-7.5,2.4,0.0,77.0,7.8,1003.8
2021-02-01,-1.4,-3.0,0.3,0.0,54.0,12.0,996.5
2021-02-02,-0.4,-2.8,1.0,1.1,121.0,14.0,1000.0
2021-02-03,5.3,0.9,8.0,5.5,200.0,11.8,995.4
2021-02-04,2.4,1.6,5.9,0.7,53.0,11.4,1012.4
2021-02-05,3.0,1.6,8.2,1.5,92.0,20.9,1013.0
2021-02-06,0.6,-0.9,2.7,0.0,84.0,32.2,1013.1
2021-02-07,-3.6,-4.8,-1.2,0.3,69.0,45.9,1007.1
2021-02-08,-2.9,-4.7,-1.2,0.0,71.0,38.2,1005.6
2021-02-09,-2.5,-7.5,-0.7,0.0,65.0,18.3,1009.4
2021-02-10,-4.1,-8.1,-1.8,0.0,44.0,9.2,1016.0
2021-02-11,-4.1,-12.6,1.1,0.0,30.0,5.6,1029.9
2021-02-12,-4.6,-7.9,-2.2,0.0,78.0,15.1,1037.1
2021-02-13,-4.6,-7.7,-0.9,0.0,110.0,14.6,1041.1
2021-02-14,-1.9,-6.3,2.3,0.0,149.0,23.9,1035.5
2021-02-15,1.5,0.1,3.5,4.3,183.0,20.9,1022.0
2021-02-16,5.2,3.1,7.4,6.8,188.0,17.3,1012.9
2021-02-17,7.0,4.2,9.9,3.5,218.0,20.9,1012.3
2021-02-18,8.0,5.2,10.8,6.2,174.0,21.9,1008.2
2021-02-19,5.9,1.6,9.0,0.0,194.0,19.7,1012.6
2021-02-20,10.7,7.1,13.9,0.0,161.0,21.7,1010.8
2021-02-21,10.4,5.8,14.9,0.0,164.0,13.3,1012.5
2021-02-22,10.1,7.3,13.4,0.0,178.0,15.1,1016.9
2021-02-23,10.8,7.0,14.7,0.0,197.0,15.7,1026.1
2021-02-24,12.1,9.6,15.9,0.0,195.0,20.5,1026.0
2021-02-25,9.3,6.0,12.6,0.0,241.0,15.3,1025.5
2021-02-26,5.8,2.5,9.9,0.0,295.0,13.4,1033.9
2021-02-27,3.5,0.0,8.3,0.0,260.0,7.0,1040.3
2021-02-28,2.4,-0.8,6.0,0.0,3.0,4.9,1038.9
2021-03-01,4.2,1.5,8.4,0.0,88.0,14.9,1035.6
2021-03-02,4.9,-0.2,11.3,0.0,80.0,12.7,1031.9
2021-03-03,2.5,-0.4,4.4,0.0,259.0,10.2,1027.4
2021-03-04,3.7,0.6,6.5,0.0,351.0,16.2,1022.8
2021-03-05,1.9,-2.3,9.9,0.0,354.0,12.0,1029.4
2021-03-06,1.9,-1.4,5.7,1.1,285.0,8.4,1033.7
2021-03-07,3.4,-0.8,5.2,0.0,273.0,14.4,1025.7
2021-03-08,4.2,2.5,5.8,5.7,195.0,10.0,1022.1
