time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-31.5,-33.1,-30.3,0.5,,,
2021-01-02,-30.3,-32.9,-29.5,0.3,237.0,15.4,1037.8
2021-01-03,-27.3,-30.8,-25.6,0.5,234.0,17.6,1028.6
2021-01-04,-35.4,-37.2,-31.3,0.3,242.0,6.0,1032.4
2021-01-05,-34.7,-38.2,-34.5,0.5,238.0,14.5,1042.6
2021-01-06,-29.1,-34.2,-28.8,0.7,233.0,17.0,1038.6
2021-01-07,-22.9,-28.9,-21.0,2.0,232.0,19.0,1028.4
2021-01-08,-17.6,-22.4,-15.5,3.0,236.0,16.5,1021.1
2021-01-09,-18.8,-18.8,-16.0,2.8,257.0,15.3,1022.6
2021-01-10,-31.2,-28.5,-23.1,0.5,265.0,9.8,1025.9
2021-01-11,-38.6,-36.0,-28.8,0.0,55.0,4.8,1019.8
2021-01-12,-39.4,-42.7,-35.6,0.5,303.0,4.8,1016.3
2021-01-13,-37.4,-42.0,-36.7,0.5,224.0,11.8,1019.1
2021-01-14,-24.0,-39.0,-23.5,1.0,224.0,15.0,1015.7
2021-01-15,-24.7,-23.8,-18.6,1.0,237.0,12.6,1015.9
2021-01-16,-41.8,-42.0,-35.4,0.3,316.0,6.3,1030.3
2021-01-17,-42.7,-49.6,-41.4,0.0,238.0,9.6,1037.3
2021-01-18,-43.5,-44.1,-41.7,0.5,198.0,6.3,1027.7
2021-01-19,-37.8,-45.2,-33.5,1.0,68.0,9.3,1012.1
2021-01-20,-43.2,-43.9,-41.2,0.3,308.0,4.4,1020.3
2021-01-21,-43.0,-46.7,-39.5,0.3,245.0,6.0,1031.4
2021-01-22,-46.2,-45.3,-40.4,0.3,73.0,3.8,1027.1
2021-01-23,-47.3,-49.2,-42.3,0.0,12.0,5.7,1031.1
2021-01-24,-48.4,-52.1,-43.1,0.0,224.0,6.6,1043.8
2021-01-25,-46.7,-50.2,-43.2,0.0,113.0,4.1,1043.4
2021-01-26,-44.6,-47.2,-41.3,0.0,12.0,3.5,1042.5
2021-01-27,-45.0,-46.8,-40.2,0.0,248.0,5.9,1043.8
2021-01-28,-44.0,-49.9,-41.1,0.0,96.0,6.0,1035.1
2021-01-29,-43.2,-47.2,-38.1,0.0,50.0,5.3,1036.0
2021-01-30,-40.0,-47.7,-40.5,0.0,49.0,6.1,1036.3
2021-01-31,-36.2,-39.6,-34.7,0.5,256.0,7.0,1036.5
2021-02-01,-34.6,-38.8,-32.1,0.3,230.0,12.5,1039.1
2021-02-02,-34.1,-36.6,-32.1,0.3,245.0,13.7,1032.6
2021-02-03,-32.2,-37.6,-28.6,0.3,240.0,14.6,1021.5
2021-02-04,-34.7,-39.0,-29.1,0.5,149.0,5.9,1007.8
2021-02-05,-36.4,-40.8,-29.0,0.0,263.0,4.6,1017.5
2021-02-06,-35.8,-41.5,-32.2,0.5,209.0,6.5,1024.9
2021-02-07,-26.5,-40.0,-18.1,0.5,177.0,8.7,1024.0
2021-02-08,-15.1,-22.2,-9.6,3.9,185.0,6.9,1013.4
2021-02-09,-10.6,-14.2,-5.2,1.1,116.0,5.4,1012.3
2021-02-10,-10.6,-12.9,-7.5,2.1,52.0,7.0,1008.3
2021-02-11,-15.1,-18.7,-12.5,0.0,285.0,6.1,1023.5
2021-02-12,-24.2,-26.9,-20.2,0.0,271.0,6.0,1034.6
2021-02-13,-31.9,-27.1,-20.8,0.0,250.0,7.2,1036.6
2021-02-14,-33.2,-31.2,-26.6,0.0,253.0,5.8,1034.5
2021-02-15,-32.2,-40.6,-26.0,0.0,260.0,7.8,1035.6
2021-02-16,-32.3,-35.2,-25.7,0.0,226.0,10.4,1039.8
2021-02-17,-28.8,-37.2,-23.0,0.5,97.0,6.0,1021.8
2021-02-18,-23.7,-32.2,-17.8,0.5,269.0,5.4,1010.5
2021-02-19,-26.1,-34.2,-23.1,0.0,273.0,8.1,1015.0
2021-02-20,-29.6,-32.5,-27.2,0.0,18.0,5.3,1015.2
2021-02-21,-32.2,-36.3,-28.2,0.0,254.0,8.1,1027.3
2021-02-22,-30.0,-38.8,-21.2,0.3,231.0,9.7,1033.0
2021-02-23,-28.9,-38.0,-21.8,0.0,111.0,5.9,1026.7
2021-02-24,-26.8,-33.4,-18.4,0.0,215.0,5.7,1029.3
2021-02-25,-25.1,-34.1,-19.2,0.0,82.0,6.2,1031.6
2021-02-26,-24.3,-30.0,-19.3,0.0,83.0,9.8,1024.8
2021-02-27,-25.5,-25.8,-18.3,0.3,254.0,9.1,1026.4
2021-02-28,-29.9,-38.5,-21.5,0.0,241.0,10.3,1032.3
2021-03-01,-33.1,-42.0,-22.5,0.0,212.0,6.5,1031.1
2021-03-02,-28.7,-40.8,-20.4,0.0,73.0,7.0,1021.7
2021-03-03,-30.1,-33.0,-22.4,0.5,16.0,6.2,1022.4
2021-03-04,-30.9,-41.0,-23.2,0.0,265.0,10.1,1034.0
2021-03-05,-25.3,-38.0,-16.7,0.0,215.0,10.0,1035.8
2021-03-06,-17.4,-29.4,-13.1,0.8,195.0,8.7,1019.2
2021-03-07,-6.2,-21.1,-3.4,2.8,216.0,11.6,1009.4
2021-03-08,-7.1,-8.3,-3.8,1.3,248.0,15.0,1004.4
2021-03-09,-7.6,-14.4,-4.6,0.3,223.0,15.1,1010.4
2021-03-10,-9.8,-10.4,-7.3,0.0,252.0,20.8,1011.4
2021-03-11,-8.2,-14.1,-5.4,0.3,221.0,9.4,1017.0
2021-03-12,-7.7,-9.6,1.4,0.5,238.0,16.4,1006.1
2021-03-13,-7.5,-19.2,-0.6,1.0,220.0,15.9,1001.6
2021-03-14,-12.6,-21.4,-6.2,0.0,245.0,14.5,1003.4
2021-03-15,-11.1,-22.9,-7.5,0.0,251.0,17.5,1018.7
2021-03-16,-8.7,-12.3,-3.1,0.0,230.0,15.9,1020.6
2021-03-17,-8.3,-16.5,-4.3,1.1,233.0,14.6,1023.8
2021-03-18,-11.9,-17.8,-2.8,0.3,237.0,10.2,1028.2
2021-03-19,-6.6,-18.2,-2.5,0.0,227.0,15.7,1023.7
2021-03-20,-7.9,-8.5,-4.7,0.5,228.0,19.3,1013.8
2021-03-21,-24.2,-26.4,-16.5,0.5,283.0,18.6,1010.2
2021-03-22,-26.1,-35.7,-16.4,0.0,355.0,4.7,1016.8
2021-03-23,-18.8,-35.0,-11.0,0.0,122.0,2.3,1017.7
2021-03-24,-12.8,-23.2,-3.8,0.2,247.0,7.0,1013.6
2021-03-25,-6.9,-17.0,-2.0,0.0,192.0,6.2,1016.8
2021-03-26,-5.6,-10.0,0.8,0.0,220.0,11.4,1006.7
2021-03-27,-7.2,-9.3,0.4,0.0,247.0,8.4,1009.3
2021-03-28,-5.8,-15.7,1.2,0.0,217.0,10.1,1012.1
2021-03-29,-5.3,-9.1,2.3,0.0,183.0,6.3,1009.3
