time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,21.0,18.3,32.8,0.3,,,
2021-01-02,17.4,15.2,25.1,69.1,91.0,20.1,1019.0
2021-01-03,20.1,14.6,25.7,4.1,39.0,13.5,1017.8
2021-01-04,21.5,16.0,28.2,0.0,11.0,11.7,1014.2
2021-01-05,20.8,19.0,28.2,0.8,353.0,12.2,1011.4
2021-01-06,22.6,18.9,28.3,13.0,282.0,7.9,1011.4
2021-01-07,21.6,17.6,26.1,5.0,71.0,9.0,1013.2
2021-01-08,21.3,17.5,25.5,1.5,339.0,8.5,1013.1
2021-01-09,22.5,17.0,28.0,1.0,344.0,5.9,1011.0
2021-01-10,21.7,18.1,25.7,0.3,359.0,7.2,1010.4
2021-01-11,19.3,17.2,21.3,8.0,55.0,13.2,1013.1
2021-01-12,20.9,16.5,25.3,0.7,45.0,10.4,1014.4
2021-01-13,21.0,17.6,26.2,7.0,91.0,9.5,1014.7
2021-01-14,21.0,17.0,25.7,4.9,29.0,11.0,1013.2
2021-01-15,21.0,17.1,26.1,8.0,11.0,10.9,1010.4
2021-01-16,21.9,16.5,27.1,0.8,306.0,10.0,1007.8
2021-01-17,21.9,15.8,28.1,0.0,152.0,9.9,1008.9
2021-01-18,20.5,16.0,25.4,1.5,30.0,9.7,1011.9
2021-01-19,22.3,16.8,28.2,0.0,24.0,11.3,1012.3
2021-01-20,23.4,15.5,30.5,0.0,105.0,9.1,1013.0
2021-01-21,24.1,17.9,30.6,0.0,73.0,13.0,1015.0
2021-01-22,23.7,18.3,29.9,0.0,74.0,10.3,1013.9
2021-01-23,24.3,16.5,30.9,0.0,165.0,9.4,1010.7
2021-01-24,24.1,19.1,31.0,0.4,100.0,16.3,1008.5
2021-01-25,19.3,16.5,23.7,13.3,96.0,26.9,1011.5
2021-01-26,19.5,17.1,22.6,4.3,37.0,20.4,1012.7
2021-01-27,20.0,17.9,24.2,7.4,8.0,22.2,1010.5
2021-01-28,20.9,16.9,26.5,0.7,234.0,10.9,1011.6
2021-01-29,19.2,16.0,21.6,6.7,24.0,8.8,1015.6
2021-01-30,19.7,17.2,23.4,8.8,19.0,7.9,1014.4
2021-01-31,19.1,16.3,22.9,8.6,359.0,10.2,1011.7
2021-02-01,19.3,17.2,22.5,3.3,38.0,6.4,1012.6
2021-02-02,16.9,14.9,18.6,22.6,69.0,21.6,1017.3
2021-02-03,18.9,18.1,20.5,4.0,27.0,18.4,1016.6
2021-02-04,18.8,17.4,22.7,3.0,39.0,8.7,1016.3
2021-02-05,20.2,16.1,27.2,7.9,44.0,7.6,1016.9
2021-02-06,18.3,17.1,27.2,5.1,34.0,7.8,1016.4
2021-02-07,19.7,15.6,25.2,15.0,35.0,8.5,1013.2
2021-02-08,20.7,17.1,27.8,1.0,15.0,8.2,1013.1
2021-02-09,19.8,17.4,27.8,0.0,42.0,8.3,1015.4
2021-02-10,19.3,16.1,27.0,9.9,77.0,5.9,1015.6
2021-02-11,20.0,14.9,24.7,0.9,38.0,6.4,1014.3
2021-02-12,20.0,15.3,25.0,0.3,91.0,8.0,1011.7
2021-02-13,24.0,16.2,28.1,0.0,118.0,6.1,1009.7
2021-02-14,23.0,17.9,28.9,8.5,158.0,7.9,1007.8
2021-02-15,22.8,18.2,28.9,4.6,175.0,11.9,1007.0
2021-02-16,20.9,15.5,28.6,0.3,122.0,15.0,1010.4
2021-02-17,20.4,12.4,29.0,0.0,68.0,7.0,1012.1
2021-02-18,22.3,14.8,31.0,0.0,319.0,6.4,1011.5
2021-02-19,20.4,15.1,31.0,0.0,280.0,8.7,1011.6
2021-02-20,22.1,14.0,29.2,0.0,198.0,8.1,1011.0
2021-02-21,23.2,16.3,29.7,0.0,2.0,8.7,1010.8
2021-02-22,19.6,16.9,31.7,1.0,31.0,11.0,1016.3
2021-02-23,19.6,17.0,26.1,2.0,13.0,14.9,1018.0
2021-02-24,19.6,17.2,25.6,0.0,38.0,7.9,1015.6
2021-02-25,18.5,15.5,22.9,4.5,331.0,9.6,1013.3
2021-02-26,18.1,14.0,22.3,1.0,311.0,8.9,1013.4
2021-02-27,17.4,14.3,21.4,4.4,36.0,10.2,1016.2
2021-02-28,17.3,13.0,22.2,0.8,72.0,8.8,1018.0
2021-03-01,17.2,12.5,22.9,0.0,53.0,9.5,1019.3
2021-03-02,17.7,11.6,22.8,0.0,93.0,5.8,1018.4
2021-03-03,18.6,11.9,24.3,0.1,191.0,7.5,1015.9
2021-03-04,20.2,14.2,26.4,0.0,166.0,7.3,1013.1
2021-03-05,13.1,4.7,19.2,0.0,280.0,6.3,1013.0
2021-03-06,15.8,4.5,29.8,0.0,315.0,10.6,1015.3
2021-03-07,21.9,11.8,30.3,0.0,247.0,9.7,1014.7
2021-03-08,20.8,10.2,30.8,0.0,310.0,10.3,1011.4
2021-03-09,20.7,14.9,30.8,0.0,345.0,13.1,1011.3
2021-03-10,22.5,13.4,31.4,0.0,301.0,10.8,1011.7
