time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-5.7,-12.1,0.6,0.0,341.0,8.3,1020.7
2021-01-02,-6.7,-12.7,1.7,0.0,4.0,2.5,1019.5
2021-01-03,-7.4,-13.2,3.9,0.0,337.0,6.1,1013.6
2021-01-04,-1.5,-9.3,6.7,0.0,333.0,8.6,1017.6
2021-01-05,-1.2,-8.2,7.8,0.8,110.0,11.9,1017.8
2021-01-06,3.0,0.6,3.9,0.0,51.0,10.1,1019.5
2021-01-07,1.1,-5.5,2.2,0.3,74.0,10.4,1027.1
2021-01-08,-2.5,-7.1,1.7,0.0,349.0,5.0,1030.3
2021-01-09,-2.3,-4.9,0.0,0.0,358.0,7.2,1030.7
2021-01-10,-1.9,-4.3,2.8,0.0,304.0,6.5,1031.3
2021-01-11,0.8,-4.3,9.4,0.0,217.0,11.5,1024.2
2021-01-12,2.1,-6.0,12.2,0.0,235.0,6.1,1019.4
2021-01-13,3.8,-2.1,12.8,0.0,205.0,8.6,1008.0
2021-01-14,5.9,1.7,8.9,0.0,318.0,38.5,1006.2
2021-01-15,0.6,-1.0,1.7,3.6,328.0,41.8,1009.4
2021-01-16,-1.4,-6.6,2.2,0.0,334.0,12.2,1015.1
2021-01-17,0.6,-4.3,7.2,0.0,326.0,15.5,1013.8
2021-01-18,-0.5,-3.8,4.4,0.0,27.0,6.1,1015.8
2021-01-19,0.9,-7.1,6.7,0.0,305.0,18.0,1028.0
2021-01-20,0.9,-7.1,12.2,0.0,235.0,15.1,1018.0
2021-01-21,0.1,-7.7,10.6,0.0,356.0,8.6,1016.9
2021-01-22,-4.1,-9.9,-2.7,0.0,20.0,9.4,1025.7
2021-01-23,-4.9,-9.3,-0.5,3.3,120.0,13.0,1020.6
2021-01-24,-1.8,-3.8,-1.0,0.0,19.0,14.0,1018.5
2021-01-25,-3.2,-7.7,-2.7,28.7,37.0,23.8,1011.3
2021-01-26,-6.9,-9.9,-6.0,0.5,15.0,21.2,1020.5
2021-01-27,-8.8,-13.2,-5.5,1.8,9.0,9.7,1032.0
2021-01-28,-5.9,-9.3,-2.1,0.0,177.0,20.2,1032.7
2021-01-29,-4.9,-13.2,3.3,0.0,129.0,10.1,1017.4
2021-01-30,1.7,-2.1,3.9,0.0,25.0,23.0,1006.0
2021-01-31,-0.8,-8.2,-0.5,0.0,343.0,22.3,1025.9
2021-02-01,-2.7,-6.0,1.1,0.0,17.0,8.3,1030.6
2021-02-02,-3.6,-7.1,-0.5,0.0,125.0,11.9,1024.0
2021-02-03,-3.3,-11.0,7.8,0.0,350.0,8.6,1010.7
2021-02-04,-0.8,-11.0,3.3,0.8,326.0,25.6,1009.9
2021-02-05,-5.8,-13.8,-1.0,0.0,335.0,9.4,1014.5
2021-02-06,-11.1,-21.6,-8.2,3.8,4.0,14.8,1023.6
2021-02-07,-16.9,-22.7,-14.3,5.1,73.0,15.5,1026.2
2021-02-08,-17.1,-25.5,-15.5,0.0,18.0,14.0,1028.6
2021-02-09,-21.1,-27.7,-13.2,0.0,7.0,7.9,1032.9
2021-02-10,-13.1,-19.3,-10.5,0.0,14.0,15.5,1032.6
2021-02-11,-15.4,-18.8,-12.7,0.3,25.0,17.3,1035.5
2021-02-12,-18.4,-22.1,-17.7,3.6,24.0,16.6,1038.5
2021-02-13,-18.1,-21.0,-14.3,0.3,356.0,13.3,1036.3
2021-02-14,-19.4,-23.8,-17.7,1.0,13.0,25.2,1040.7
2021-02-15,-23.3,-32.1,-19.9,0.0,12.0,13.7,1035.0
2021-02-16,-26.3,-34.9,-16.0,0.0,41.0,7.9,1026.3
2021-02-17,-14.7,-16.6,-8.8,0.0,161.0,7.6,1026.1
2021-02-18,-9.1,-13.2,-3.8,0.0,298.0,7.9,1031.9
2021-02-19,-10.5,-18.2,-1.6,0.0,350.0,6.5,1027.6
2021-02-20,-9.2,-17.7,2.8,0.0,28.0,7.6,1021.2
2021-02-21,0.3,-3.8,2.2,3.8,320.0,13.0,1013.2
2021-02-22,0.6,-6.0,7.2,0.0,263.0,12.6,1013.3
2021-02-23,3.4,-4.3,11.7,0.0,249.0,10.8,1010.5
2021-02-24,4.4,-2.7,6.7,0.0,349.0,18.7,1021.7
2021-02-25,-0.2,-6.0,6.1,0.0,301.0,4.0,1028.8
2021-02-26,0.8,-4.3,7.8,0.0,180.0,11.9,1014.2
2021-02-27,3.7,-4.9,13.9,1.5,110.0,12.2,1009.4
2021-02-28,4.4,-4.3,5.6,0.0,324.0,18.4,1016.9
2021-03-01,1.6,-4.9,8.3,0.0,344.0,10.8,1027.0
2021-03-02,4.4,-3.2,17.8,0.0,200.0,16.6,1018.8
2021-03-03,7.6,-4.3,20.6,0.0,24.0,5.8,1016.6
2021-03-04,8.2,-3.2,21.1,0.0,65.0,15.1,1019.7
2021-03-05,8.3,-1.0,16.1,0.0,49.0,6.1,1025.3
2021-03-06,7.3,-3.8,21.7,0.0,175.0,10.8,1022.6
2021-03-07,12.4,6.1,22.2,0.0,193.0,29.2,1019.7
2021-03-08,13.1,2.8,23.3,0.0,177.0,17.6,1020.6
2021-03-09,16.2,8.9,25.0,0.0,180.0,26.6,1010.2
2021-03-10,17.9,2.2,23.9,0.0,227.0,37.4,1004.0
2021-03-11,6.1,0.6,14.4,0.0,342.0,10.8,1022.1
2021-03-12,5.1,-3.8,11.7,0.0,62.0,13.0,1029.8
2021-03-13,8.1,6.1,11.1,20.1,85.0,18.0,1026.0
2021-03-14,6.5,5.0,7.2,75.4,,33.5,
2021-03-15,5.5,3.9,6.1,0.8,70.0,17.6,1011.0
2021-03-16,5.1,3.9,8.3,0.0,99.0,9.0,1013.1
2021-03-17,4.1,1.7,5.6,0.5,0.0,31.7,1015.8
2021-03-18,4.6,-2.7,12.2,0.0,5.0,25.9,1025.2
2021-03-19,3.1,-6.0,13.9,0.0,92.0,11.2,1031.3
2021-03-20,7.7,0.0,19.4,0.0,167.0,27.4,1023.8
2021-03-21,12.9,3.3,18.3,0.0,189.0,27.7,1013.2
2021-03-22,8.7,5.6,9.4,16.0,36.0,18.4,1013.2
2021-03-23,9.5,7.8,13.9,20.1,39.0,19.8,1000.9
2021-03-24,7.9,4.4,11.7,0.0,343.0,23.8,1009.6
2021-03-25,6.9,0.6,10.0,0.0,47.0,7.2,1011.4
2021-03-26,5.6,-2.1,14.4,0.0,78.0,13.3,1013.5
2021-03-27,10.9,3.3,15.0,0.0,338.0,24.1,1014.6
2021-03-28,7.5,-0.5,18.3,0.0,281.0,13.7,1021.9
2021-03-29,15.6,10.0,26.1,0.0,195.0,33.1,1003.9
2021-03-30,11.7,-3.2,11.7,0.0,342.0,28.1,1014.9
2021-03-31,3.7,-4.9,11.7,0.0,326.0,17.3,1030.9
2021-04-01,2.7,-8.2,15.0,0.0,156.0,16.9,1032.9
2021-04-02,11.8,3.9,24.4,0.0,185.0,33.5,1019.9
2021-04-03,16.6,5.6,27.2,0.0,135.0,7.2,1018.8
2021-04-04,18.4,8.3,31.7,0.0,190.0,19.4,1014.1
2021-04-05,21.9,13.9,29.4,0.0,180.0,27.4,1006.2
2021-04-06,20.0,15.0,24.4,1.8,165.0,28.1,1002.2
2021-04-07,13.1,7.8,18.3,10.9,328.0,23.0,1002.3
2021-04-08,8.3,5.0,11.1,21.8,318.0,18.4,1000.9
2021-04-09,10.3,2.2,18.3,2.3,323.0,16.6,1006.5
2021-04-10,11.1,1.1,17.8,0.0,329.0,18.0,1008.3
2021-04-11,9.2,-1.6,21.1,0.0,344.0,14.4,1004.8
2021-04-12,10.7,5.0,16.1,0.0,323.0,24.5,1016.6
2021-04-13,8.1,-0.5,14.4,0.0,307.0,16.6,1023.5
2021-04-14,5.4,-2.7,11.1,0.0,333.0,15.5,1026.0
2021-04-15,5.4,-3.2,12.2,0.0,357.0,13.3,1023.5
2021-04-16,5.4,2.8,7.2,4.3,349.0,9.4,1019.8
2021-04-17,7.5,5.6,12.2,2.0,327.0,15.8,1020.3
2021-04-18,10.4,6.1,17.8,0.0,294.0,11.5,1016.8
2021-04-19,4.6,-0.5,8.9,1.0,343.0,21.2,1020.0
2021-04-20,4.0,0.0,10.6,0.0,324.0,14.4,1023.5
2021-04-21,3.9,-1.6,9.4,0.0,327.0,15.5,1025.4
2021-04-22,5.2,-4.9,15.0,0.0,174.0,19.8,1019.4
2021-04-23,11.6,7.2,18.9,0.0,165.0,15.5,1011.7
2021-04-24,10.3,3.3,17.8,0.0,1.0,14.8,1016.2
2021-04-25,14.5,8.3,25.6,0.0,153.0,24.1,1010.1
2021-04-26,22.2,15.6,33.3,0.0,181.0,24.1,998.4
2021-04-27,21.3,11.7,26.1,0.0,345.0,18.0,1002.4
2021-04-28,13.8,10.6,19.4,0.0,13.0,19.8,1012.2
2021-04-29,17.0,5.6,24.4,0.0,332.0,14.0,1018.0
2021-04-30,17.9,5.0,31.1,0.0,285.0,10.4,1019.1
2021-05-01,24.0,16.7,31.7,0.0,203.0,31.0,1007.6
2021-05-02,22.7,16.7,29.4,2.0,199.0,22.3,998.5
2021-05-03,17.0,10.6,19.4,8.1,349.0,28.8,1006.3
2021-05-04,13.0,4.4,18.9,0.0,7.0,18.4,1018.2
2021-05-05,10.6,0.0,18.9,1.5,333.0,9.4,1019.9
2021-05-06,11.3,3.9,20.0,0.0,350.0,15.5,1024.6
2021-05-07,13.7,4.4,21.7,0.0,68.0,10.4,1018.7
2021-05-08,16.8,7.2,20.6,7.4,93.0,27.4,1008.5
2021-05-09,9.1,4.4,13.9,0.8,18.0,18.4,1016.5
2021-05-10,9.8,1.7,18.3,0.0,1.0,9.4,1022.4
2021-05-11,11.8,5.0,17.8,0.0,43.0,12.2,1026.0
2021-05-12,11.8,2.8,19.4,0.0,125.0,8.3,1029.4
2021-05-13,13.9,6.1,22.2,0.0,169.0,14.4,1026.3
2021-05-14,16.6,12.2,21.7,0.0,175.0,14.8,1019.6
2021-05-15,17.7,12.8,24.4,0.0,133.0,7.6,1016.7
2021-05-16,17.1,15.0,17.8,7.4,111.0,12.6,1015.8
2021-05-17,16.7,15.0,22.2,0.3,55.0,13.3,1014.8
2021-05-18,18.5,16.7,23.3,1.8,83.0,9.4,1013.3
2021-05-19,20.3,17.2,23.9,2.8,151.0,14.4,1012.6
2021-05-20,20.1,17.2,23.3,0.0,164.0,16.9,1014.0
2021-05-21,22.2,18.9,29.4,0.0,166.0,26.3,1017.5
2021-05-22,23.7,19.4,30.0,1.0,175.0,18.7,1021.3
2021-05-23,23.6,18.3,30.0,0.0,175.0,19.8,1019.0
2021-05-24,22.7,17.2,28.3,1.3,184.0,24.8,1015.4
2021-05-25,23.4,16.1,30.0,0.0,210.0,11.2,1012.2
2021-05-26,22.2,11.7,30.0,5.6,61.0,14.4,1016.7
2021-05-27,21.0,11.1,23.9,23.9,326.0,24.5,1013.0
2021-05-28,11.6,8.9,12.8,0.0,19.0,18.7,1021.3
2021-05-29,12.5,8.9,19.4,0.0,136.0,13.0,1022.6
2021-05-30,13.8,10.0,18.3,1.0,184.0,5.8,1023.0
2021-05-31,15.8,10.6,25.0,0.0,15.0,6.1,1023.0
2021-06-01,18.2,10.6,26.1,0.0,119.0,5.8,1020.3
2021-06-02,19.6,8.3,28.3,0.0,14.0,2.2,1015.4
2021-06-03,22.1,11.1,30.6,0.0,204.0,12.6,1013.4
2021-06-04,25.2,16.7,34.4,0.0,201.0,15.1,1011.6
2021-06-05,27.2,18.9,33.9,0.0,193.0,22.0,1008.6
