time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-17.5,-18.7,-16.3,0.4,17.0,4.0,1015.0
2021-01-02,-19.9,-21.2,-18.7,1.6,21.0,5.7,1001.5
2021-01-03,-25.6,-29.9,-21.2,0.2,11.0,2.0,999.2
2021-01-04,-31.1,-35.2,-27.0,0.5,359.0,0.5,1011.6
2021-01-05,-26.8,-29.1,-24.4,0.4,3.0,0.9,1005.2
2021-01-06,-14.2,-26.0,-2.4,0.2,206.0,5.3,995.5
2021-01-07,-4.0,-8.1,0.5,0.0,204.0,6.5,1008.3
2021-01-08,-10.3,-18.2,-2.4,0.0,240.0,2.8,1015.1
2021-01-09,-7.2,-16.8,2.4,1.1,216.0,4.2,1010.7
2021-01-10,-10.2,-15.0,-5.4,0.4,214.0,2.7,1002.8
2021-01-11,-8.2,-14.8,-1.7,0.0,212.0,4.1,993.4
2021-01-12,-8.0,-12.7,-1.8,0.0,7.0,2.0,991.4
2021-01-13,-15.1,-22.4,-7.8,0.0,11.0,1.5,1000.2
2021-01-14,-22.6,-27.6,-17.7,0.0,7.0,0.9,1023.6
2021-01-15,-16.1,-22.6,-13.1,0.7,352.0,2.7,1008.8
2021-01-16,-22.9,-27.3,-18.4,0.0,1.0,0.3,1017.0
2021-01-17,-24.7,-27.8,-21.7,0.0,5.0,0.9,1015.0
2021-01-18,-22.5,-27.7,-17.3,0.0,4.0,1.2,1023.4
2021-01-19,-6.2,-17.3,5.0,6.7,336.0,4.6,994.0
2021-01-20,-7.9,-12.9,-4.3,0.7,354.0,1.8,1015.8
2021-01-21,-9.5,-11.3,-8.3,0.6,8.0,2.3,1025.0
2021-01-22,-15.2,-20.3,-10.1,1.1,36.0,5.0,1027.3
2021-01-23,-22.2,-24.4,-20.1,0.2,16.0,4.8,1024.1
2021-01-24,-23.1,-24.3,-22.0,1.5,27.0,4.4,1021.6
2021-01-25,-24.1,-25.9,-22.3,3.3,22.0,5.6,1027.0
2021-01-26,-26.6,-30.2,-23.1,1.4,10.0,2.1,1029.3
2021-01-27,-29.6,-35.5,-23.8,1.2,347.0,0.8,1033.0
2021-01-28,-32.0,-37.9,-26.0,3.8,5.0,0.3,1021.4
2021-01-29,-33.1,-38.4,-27.8,1.3,3.0,0.9,1015.1
2021-01-30,-30.9,-35.4,-26.4,0.5,1.0,0.7,1021.8
2021-01-31,-30.7,-35.5,-24.6,0.7,351.0,0.8,1030.6
2021-02-01,-24.1,-26.5,-21.8,4.9,13.0,3.2,1032.6
2021-02-02,-23.7,-25.3,-22.2,1.5,23.0,5.1,1034.3
2021-02-03,-30.6,-35.9,-25.3,0.7,8.0,1.4,1030.7
2021-02-04,-33.2,-39.4,-27.1,4.7,2.0,1.1,1034.2
2021-02-05,-31.8,-38.7,-24.8,2.8,317.0,1.5,1040.8
2021-02-06,-36.2,-44.4,-28.0,0.0,3.0,0.8,1036.2
2021-02-07,-33.7,-39.7,-27.8,0.2,355.0,1.8,1039.6
2021-02-08,-32.2,-38.8,-25.7,0.0,5.0,2.7,1050.6
2021-02-09,-34.7,-41.8,-27.7,0.6,245.0,1.8,1051.8
2021-02-10,-24.2,-27.8,-20.7,1.8,22.0,3.7,1050.3
2021-02-11,-26.6,-34.7,-18.6,0.0,230.0,2.8,1051.0
2021-02-12,-25.4,-33.2,-17.7,0.0,7.0,0.6,1038.6
2021-02-13,-27.7,-35.1,-20.3,0.0,7.0,1.0,1032.2
2021-02-14,-28.0,-37.3,-18.6,0.0,2.0,1.0,1021.4
2021-02-15,-24.1,-31.4,-16.8,0.0,283.0,2.2,1015.6
2021-02-16,-28.2,-36.8,-19.5,0.0,357.0,0.4,1018.8
2021-02-17,-25.0,-34.2,-15.9,0.0,11.0,1.3,1022.4
2021-02-18,-19.6,-27.6,-11.7,0.0,15.0,2.0,1006.3
2021-02-19,-13.3,-21.7,-4.9,0.0,355.0,4.1,993.6
2021-02-20,-20.8,-25.4,-18.3,0.3,20.0,3.2,1000.9
2021-02-21,-21.2,-22.9,-19.4,5.3,10.0,4.5,995.2
2021-02-22,-23.1,-29.3,-16.8,0.3,9.0,2.3,1003.7
2021-02-23,-21.8,-30.5,-13.0,0.0,343.0,2.5,1018.3
2021-02-24,-22.3,-30.6,-14.1,0.0,14.0,3.5,1016.9
2021-02-25,-21.0,-26.2,-15.8,1.9,16.0,6.1,1014.4
2021-02-26,-26.0,-31.5,-20.5,0.7,333.0,1.8,1022.0
2021-02-27,-28.7,-36.6,-20.9,0.2,15.0,3.2,1023.1
2021-02-28,-26.5,-29.2,-23.9,4.4,16.0,5.4,1018.0
2021-03-01,-26.0,-32.9,-19.0,0.0,314.0,2.0,1013.8
2021-03-02,-20.0,-26.0,-14.0,0.0,8.0,3.0,999.3
2021-03-03,-18.3,-23.1,-13.4,0.0,10.0,2.9,1013.4
2021-03-04,-19.1,-23.1,-15.1,3.8,19.0,4.5,1026.0
2021-03-05,-16.3,-26.3,-6.4,1.2,332.0,2.2,1010.2
2021-03-06,-15.4,-26.7,-4.0,0.0,355.0,1.3,1000.3
2021-03-07,-9.6,-16.9,-2.3,0.0,342.0,2.5,1014.9
2021-03-08,-15.4,-22.9,-8.0,0.0,16.0,3.4,1025.4
2021-03-09,-18.5,-30.5,-6.5,0.0,12.0,1.3,1021.1
2021-03-10,-18.0,-31.3,-4.8,0.0,331.0,1.8,1021.7
2021-03-11,-6.4,-19.7,7.0,0.0,293.0,5.5,1003.6
2021-03-12,-11.6,-15.8,-7.4,0.6,9.0,6.3,1021.8
2021-03-13,-17.8,-19.9,-15.6,5.7,8.0,8.8,1034.6
2021-03-14,-20.7,-27.0,-14.5,,,,
2021-03-15,-13.9,-28.7,0.8,0.0,200.0,4.6,1009.6
2021-03-16,-11.6,-17.1,-6.1,0.3,22.0,5.0,1009.0
2021-03-17,-11.2,-18.4,-4.0,0.0,0.0,3.7,1010.7
2021-03-18,-2.8,-14.5,8.8,0.0,215.0,6.1,1001.1
2021-03-19,-5.8,-12.6,0.9,1.8,356.0,8.3,1006.5
2021-03-20,-15.4,-24.7,-6.2,0.0,318.0,3.6,1016.6
2021-03-21,-19.2,-28.2,-10.2,0.4,18.0,3.2,1020.4
2021-03-22,-17.8,-21.7,-13.9,3.6,14.0,6.1,1026.0
2021-03-23,-20.7,-28.6,-12.9,0.0,4.0,3.0,1029.3
2021-03-24,-19.6,-30.2,-9.0,0.0,10.0,2.8,1019.5
2021-03-25,-11.1,-23.8,1.5,0.3,347.0,1.9,1015.2
2021-03-26,-9.6,-24.9,5.6,0.0,4.0,2.0,1012.6
2021-03-27,-9.2,-16.8,-1.6,2.4,6.0,4.6,1008.1
2021-03-28,-10.8,-14.9,-6.8,6.6,10.0,15.8,1016.3
2021-03-29,-17.2,-30.8,-5.0,0.0,250.0,4.0,1026.9
2021-03-30,-10.6,-25.8,7.1,0.0,328.0,2.3,1013.3
2021-03-31,0.1,-8.8,8.6,0.0,284.0,5.8,1003.3
2021-04-01,-6.7,-12.8,-0.5,1.3,12.0,6.4,999.3
2021-04-02,-11.5,-21.3,-1.8,0.5,351.0,3.4,1016.7
2021-04-03,-9.2,-16.5,0.1,0.0,8.0,4.9,1015.4
2021-04-04,-4.0,-16.7,8.8,0.0,258.0,4.5,1012.3
2021-04-05,3.5,-4.0,11.0,1.8,317.0,5.7,1005.3
2021-04-06,-7.4,-10.8,-4.0,5.5,356.0,8.0,1019.6
2021-04-07,-12.1,-16.4,-7.7,2.1,2.0,9.6,1018.3
2021-04-08,-12.4,-24.5,-0.3,0.0,328.0,3.2,1016.4
2021-04-09,-9.5,-12.6,-6.4,1.8,2.0,9.9,1012.0
2021-04-10,-12.1,-16.3,-7.9,0.5,347.0,6.0,1027.5
2021-04-11,-11.1,-18.8,-3.3,0.7,15.0,4.8,1031.9
2021-04-12,-8.7,-25.3,7.9,0.0,243.0,5.7,1027.5
2021-04-13,4.3,-4.2,10.4,0.0,216.0,4.6,1022.1
2021-04-14,4.6,-7.5,16.7,0.0,255.0,3.3,1025.4
2021-04-15,9.7,-2.3,21.7,0.0,355.0,2.5,1022.4
2021-04-16,5.5,-3.8,14.8,0.0,14.0,2.8,1028.5
2021-04-17,5.2,-1.5,12.0,0.9,24.0,3.4,1034.6
2021-04-18,4.0,-6.2,14.2,0.0,349.0,2.6,1037.7
2021-04-19,5.3,-5.9,16.5,0.0,257.0,4.0,1029.0
2021-04-20,8.4,-2.7,19.5,0.0,349.0,2.8,1014.8
2021-04-21,1.0,-6.4,8.4,2.4,5.0,12.0,1026.3
2021-04-22,-1.9,-8.9,5.0,0.0,7.0,5.2,1025.8
2021-04-23,-0.3,-4.9,4.3,0.0,17.0,5.0,1024.6
2021-04-24,-1.2,-9.6,7.2,0.0,16.0,3.7,1017.8
2021-04-25,1.2,-6.1,9.2,0.1,13.0,5.9,1007.9
2021-04-26,-5.0,-10.1,0.0,1.2,35.0,10.7,1015.3
2021-04-27,-7.9,-14.0,-1.8,0.0,274.0,5.4,1026.4
2021-04-28,-3.2,-13.2,6.9,0.0,219.0,3.5,1020.0
2021-04-29,0.1,-8.4,8.6,0.8,268.0,4.0,1013.5
2021-04-30,3.7,-1.3,8.6,0.4,14.0,3.3,1000.1
2021-05-01,6.0,-0.1,12.1,0.1,349.0,3.1,1011.6
2021-05-02,4.6,-3.3,13.1,0.0,358.0,2.7,1020.4
2021-05-03,7.3,-1.0,15.6,0.0,32.0,4.5,1017.7
2021-05-04,6.3,-2.2,15.5,0.0,311.0,4.1,1017.3
2021-05-05,8.1,-2.7,18.9,0.0,327.0,3.0,1019.6
2021-05-06,9.6,-1.5,20.0,0.0,41.0,5.6,1018.2
2021-05-07,10.0,5.2,14.8,0.0,22.0,6.3,1013.3
2021-05-08,7.8,3.3,12.2,2.3,354.0,1.5,1015.1
2021-05-09,4.6,0.3,8.9,8.6,353.0,2.1,1015.1
2021-05-10,5.0,1.9,9.1,3.4,0.0,2.9,1022.9
2021-05-11,8.7,2.6,14.8,0.0,4.0,4.9,1021.2
