time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,25.3,22.7,,,,,
2021-01-02,29.0,22.4,34.9,180.1,99.0,9.0,1010.4
2021-01-03,28.8,22.5,34.7,0.0,99.0,8.6,1009.9
2021-01-04,29.0,23.1,35.1,0.0,94.0,9.0,1009.0
2021-01-05,28.7,21.5,35.7,0.0,90.0,10.3,1008.7
2021-01-06,29.1,22.0,35.8,0.0,102.0,9.0,1009.3
2021-01-07,28.2,21.7,35.9,0.0,89.0,9.0,1008.0
2021-01-08,29.4,20.2,36.6,0.0,75.0,7.9,1006.7
2021-01-09,30.5,24.6,36.0,0.0,75.0,8.9,1006.6
2021-01-10,30.9,25.9,35.6,0.0,77.0,10.0,1007.1
2021-01-11,30.8,24.7,35.3,0.0,95.0,13.7,1007.6
2021-01-12,30.6,24.3,35.2,0.0,92.0,12.7,1008.5
2021-01-13,30.3,23.2,35.7,0.0,95.0,11.8,1008.9
2021-01-14,30.5,23.0,36.3,0.0,96.0,12.2,1007.9
2021-01-15,30.9,24.5,35.9,0.0,107.0,11.0,1007.4
2021-01-16,32.9,26.7,36.7,0.0,86.0,12.3,1006.8
2021-01-17,29.7,23.7,36.2,0.0,69.0,9.5,1007.3
2021-01-18,27.7,23.9,35.2,0.2,60.0,9.2,1007.3
2021-01-19,31.6,26.3,36.6,0.0,118.0,13.2,1007.0
2021-01-20,31.9,25.3,37.7,0.0,150.0,10.4,1007.8
2021-01-21,30.7,21.0,37.2,0.0,103.0,13.2,1008.4
2021-01-22,31.1,23.2,35.3,0.0,102.0,15.9,1008.2
2021-01-23,30.2,23.8,34.6,0.2,97.0,17.6,1009.0
2021-01-24,30.1,23.8,36.8,0.0,106.0,12.7,1008.7
2021-01-25,29.5,23.0,35.0,0.0,92.0,15.4,1009.2
2021-01-26,29.1,21.3,35.6,0.0,95.0,12.1,1009.1
2021-01-27,28.5,20.8,35.3,0.0,108.0,11.6,1008.7
2021-01-28,29.7,21.8,35.5,0.0,96.0,11.5,1009.0
