time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-1.5,-2.0,-0.8,,140.0,6.9,1009.5
2021-01-02,-0.1,-2.0,2.0,,101.0,5.8,1014.9
2021-01-03,1.4,0.8,3.0,,66.0,13.6,1014.2
2021-01-04,3.3,1.0,20.4,,62.0,12.1,1014.8
2021-01-05,2.6,0.0,9.4,,9.0,13.6,1010.9
2021-01-06,0.5,0.0,1.3,,225.0,6.8,1010.0
2021-01-07,0.0,-0.1,0.2,,237.0,9.8,1009.4
2021-01-08,-1.2,-4.0,1.0,,202.0,5.0,1012.3
2021-01-09,-1.0,-3.5,0.1,,254.0,12.3,1017.2
2021-01-10,-0.6,-1.0,0.1,,236.0,8.0,1022.1
2021-01-11,-2.2,-4.0,-0.5,,213.0,8.2,1019.8
2021-01-12,-1.8,-4.0,0.0,,195.0,12.3,1005.9
2021-01-13,-0.3,-1.0,0.2,,253.0,15.0,1004.3
2021-01-14,-1.3,-4.0,0.0,,352.0,10.7,1007.7
2021-01-15,-5.4,-8.0,-3.0,,297.0,12.1,1017.0
2021-01-16,-5.4,-8.2,-3.8,,279.0,17.8,1015.6
2021-01-17,-14.6,-21.0,-10.0,,323.0,7.6,1018.8
2021-01-18,-15.9,-22.4,-10.0,,123.0,3.8,1020.9
2021-01-19,-2.1,-9.0,1.0,,164.0,7.2,1011.9
2021-01-20,2.6,0.0,5.2,,204.0,10.8,1007.0
2021-01-21,4.1,2.0,7.4,,186.0,10.2,1004.5
2021-01-22,5.5,3.0,8.9,,171.0,10.0,998.5
2021-01-23,4.2,0.9,8.0,,140.0,13.4,996.1
2021-01-24,0.3,0.0,1.0,,227.0,7.0,995.5
2021-01-25,0.1,0.0,1.0,,278.0,11.3,999.6
2021-01-26,0.2,-1.0,1.0,,267.0,20.5,1007.0
2021-01-27,0.1,-0.4,1.0,,269.0,17.7,1010.6
2021-01-28,-1.1,-4.0,0.2,,220.0,9.6,1003.8
2021-01-29,-4.3,-7.0,-2.6,,255.0,11.2,998.0
2021-01-30,-3.4,-6.0,-2.0,,340.0,11.0,997.6
2021-01-31,-6.8,-10.7,-3.9,,225.0,8.7,1005.7
2021-02-01,-8.2,-15.0,-3.0,,95.0,9.3,1004.5
2021-02-02,-0.8,-5.0,2.0,,171.0,8.5,1004.1
2021-02-03,4.1,2.0,6.0,,190.0,9.0,1001.6
2021-02-04,1.7,-2.0,7.9,,307.0,14.4,1008.9
