time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,1.3,-1.0,4.0,,305.0,7.8,1011.1
2021-01-02,3.1,0.0,4.0,0.0,334.0,10.0,1015.0
2021-01-03,2.8,0.0,5.0,0.9,21.0,11.8,1016.5
2021-01-04,3.3,2.0,4.0,5.1,29.0,20.8,1017.8
2021-01-05,3.0,2.0,4.0,2.7,17.0,18.9,1018.5
2021-01-06,2.4,-1.0,5.0,3.3,3.0,9.8,1018.4
2021-01-07,0.0,-3.0,2.0,0.0,298.0,9.1,1017.7
2021-01-08,-0.6,-3.0,3.0,0.0,51.0,6.3,1018.0
2021-01-09,0.1,-3.0,4.0,0.0,359.0,7.1,1025.6
2021-01-10,-0.9,-3.0,2.0,0.0,247.0,7.3,1025.5
2021-01-11,6.1,2.0,8.0,0.4,237.0,16.4,1017.8
2021-01-12,6.9,2.0,10.0,3.1,282.0,14.0,1014.1
2021-01-13,6.1,1.0,10.0,3.0,243.0,11.1,1018.1
2021-01-14,6.7,3.0,10.0,27.7,301.0,12.9,1016.0
2021-01-15,1.2,-2.0,4.0,0.0,2.0,5.8,1029.1
2021-01-16,5.2,1.0,8.0,8.7,217.0,12.4,1019.7
2021-01-17,5.3,2.0,8.0,0.2,278.0,14.5,1023.5
2021-01-18,4.7,1.0,8.0,0.5,217.0,13.1,1020.8
2021-01-19,9.8,9.0,11.0,6.1,220.0,25.8,1004.5
2021-01-20,9.6,9.0,10.0,6.6,197.0,28.9,987.8
2021-01-21,6.0,4.0,8.0,2.8,227.0,19.0,985.6
2021-01-22,3.5,-1.0,7.0,0.4,224.0,8.9,992.3
2021-01-23,0.6,-2.0,4.0,0.0,261.0,7.1,995.3
2021-01-24,-0.4,-4.0,2.0,2.9,260.0,8.5,996.3
2021-01-25,1.2,-2.0,5.0,0.2,289.0,12.0,1009.6
2021-01-26,2.3,-3.0,6.0,3.1,212.0,9.9,1015.5
2021-01-27,8.3,7.0,10.0,3.2,223.0,7.6,1010.8
2021-01-28,10.9,9.0,13.0,13.9,232.0,17.1,1001.4
2021-01-29,9.4,8.0,11.0,8.7,247.0,19.0,998.8
2021-01-30,5.6,4.0,8.0,11.0,80.0,19.4,996.5
2021-01-31,2.3,0.0,4.0,3.5,61.0,12.8,996.3
2021-02-01,3.9,3.0,4.0,0.3,345.0,9.3,996.5
2021-02-02,9.6,4.0,12.0,7.2,207.0,17.8,994.8
2021-02-03,8.0,5.0,10.0,11.0,235.0,10.6,997.0
2021-02-04,5.5,0.0,9.0,3.9,140.0,6.8,1008.1
2021-02-05,8.0,6.0,10.0,1.2,188.0,8.2,1008.0
2021-02-06,6.2,4.0,8.0,8.4,31.0,8.0,1005.7
2021-02-07,0.9,-2.0,4.0,9.0,18.0,26.1,1002.6
2021-02-08,-1.5,-2.0,-1.0,1.7,22.0,23.1,1002.1
2021-02-09,-1.2,-2.0,0.0,0.9,70.0,17.3,1005.7
2021-02-10,-0.9,-4.0,1.0,0.1,46.0,14.7,1015.0
2021-02-11,-2.1,-4.0,0.0,0.0,79.0,14.3,1026.0
2021-02-12,-1.6,-4.0,0.0,0.0,77.0,21.1,1029.2
2021-02-13,-1.5,-6.0,2.0,0.0,111.0,15.6,1031.4
2021-02-14,2.2,1.0,4.0,1.5,150.0,15.5,1025.4
2021-02-15,8.4,5.0,11.0,2.5,196.0,13.4,1018.3
2021-02-16,8.9,8.0,10.0,2.3,206.0,17.1,1010.3
2021-02-17,9.5,9.0,11.0,4.9,206.0,20.9,1010.4
2021-02-18,8.3,5.0,10.0,3.8,201.0,17.0,1004.3
2021-02-19,8.5,6.0,12.0,0.8,179.0,16.8,1008.4
2021-02-20,12.6,11.0,14.0,0.4,181.0,19.4,1003.4
2021-02-21,11.0,8.0,14.0,0.1,150.0,7.8,1008.3
2021-02-22,8.0,4.0,11.0,0.4,173.0,6.8,1015.0
2021-02-23,10.0,6.0,13.0,0.0,194.0,17.6,1023.6
2021-02-24,12.2,11.0,14.0,0.0,199.0,16.1,1023.1
2021-02-25,9.8,5.0,13.0,0.1,264.0,9.8,1026.9
2021-02-26,5.5,1.0,11.0,0.0,296.0,4.2,1036.8
2021-02-27,4.9,-1.0,12.0,0.0,48.0,6.3,1040.0
2021-02-28,5.6,2.0,10.0,0.0,53.0,13.8,1035.7
2021-03-01,5.6,1.0,11.0,0.0,63.0,14.7,1030.8
2021-03-02,4.8,2.0,8.0,0.0,45.0,9.6,1029.0
2021-03-03,4.8,1.0,7.0,1.6,71.0,6.3,1026.7
2021-03-04,5.4,4.0,7.0,1.8,21.0,11.8,1024.0
2021-03-05,3.6,0.0,6.0,0.0,37.0,15.3,1030.8
2021-03-06,2.0,-2.0,7.0,0.0,46.0,7.4,1032.6
2021-03-07,0.7,-4.0,5.0,0.0,193.0,6.0,1026.8
2021-03-08,2.4,-4.0,9.0,0.0,232.0,5.3,1023.4
2021-03-09,6.2,0.0,13.0,0.0,225.0,9.3,1019.5
2021-03-10,7.6,6.0,10.0,7.5,204.0,23.3,1007.5
2021-03-11,8.6,5.0,12.0,2.6,241.0,29.8,997.8
2021-03-12,7.1,4.0,11.0,1.5,226.0,20.6,1002.3
2021-03-13,6.5,3.0,9.0,3.4,252.0,27.9,996.9
2021-03-14,7.5,4.0,10.0,1.4,267.0,22.1,1013.3
2021-03-15,9.0,7.0,12.0,0.6,304.0,15.1,1020.4
2021-03-16,9.6,6.0,14.0,2.2,306.0,14.9,1027.2
2021-03-17,7.1,5.0,9.0,1.2,348.0,14.6,1032.3
2021-03-18,7.0,3.0,9.0,3.6,339.0,13.7,1027.9
2021-03-19,6.9,3.0,11.0,0.7,38.0,18.3,1027.5
2021-03-20,6.0,1.0,9.0,0.0,298.0,6.7,1030.6
2021-03-21,8.6,3.0,12.0,0.2,358.0,12.8,1028.0
2021-03-22,7.4,2.0,13.0,0.0,237.0,6.6,1026.1
2021-03-23,6.5,1.0,12.0,0.0,213.0,9.0,1024.1
2021-03-24,7.2,0.0,12.0,0.1,221.0,9.5,1020.8
2021-03-25,8.0,1.0,11.0,1.4,213.0,13.3,1018.6
2021-03-26,8.4,4.0,12.0,4.1,212.0,19.0,1011.5
2021-03-27,7.3,3.0,11.0,0.0,240.0,20.0,1021.3
2021-03-28,,,,,,,
2021-03-29,11.0,6.0,17.0,0.0,211.0,14.2,1027.4
2021-03-30,11.7,1.0,23.0,0.0,137.0,5.1,1027.8
2021-03-31,12.8,5.0,20.0,0.0,192.0,4.2,1021.1
2021-04-01,10.3,6.0,14.0,0.0,34.0,17.0,1023.7
2021-04-02,7.0,5.0,11.0,0.0,37.0,23.1,1029.2
2021-04-03,7.3,6.0,10.0,0.0,31.0,19.9,1031.6
2021-04-04,8.0,4.0,14.0,0.0,299.0,9.5,1026.2
2021-04-05,6.0,1.0,8.0,0.0,315.0,18.6,1018.2
2021-04-06,3.0,0.0,7.0,0.1,308.0,18.2,1020.9
2021-04-07,2.6,-3.0,6.0,0.0,283.0,12.8,1023.9
2021-04-08,6.4,1.0,11.0,0.0,220.0,13.0,1021.6
2021-04-09,8.3,4.0,13.0,0.4,233.0,10.1,1013.1
2021-04-10,5.9,5.0,8.0,0.6,45.0,16.6,1012.1
2021-04-11,4.5,1.0,9.0,0.1,338.0,14.0,1018.5
2021-04-12,2.7,-2.0,9.0,1.3,324.0,5.2,1028.3
2021-04-13,4.2,-4.0,11.0,0.4,210.0,5.8,1032.2
2021-04-14,5.7,0.0,11.0,0.0,44.0,8.7,1032.0
2021-04-15,5.2,0.0,9.0,2.2,41.0,11.6,1032.3
2021-04-16,5.4,-1.0,11.0,0.0,42.0,7.9,1030.3
2021-04-17,6.2,-1.0,13.0,0.0,68.0,8.4,1028.3
2021-04-18,7.6,-1.0,15.0,0.0,85.0,5.4,1024.5
2021-04-19,8.8,1.0,16.0,0.1,117.0,5.1,1020.9
2021-04-20,10.0,2.0,17.0,0.2,127.0,5.7,1017.6
2021-04-21,8.6,4.0,13.0,0.3,58.0,14.2,1020.3
2021-04-22,7.3,1.0,13.0,0.0,56.0,15.7,1026.2
2021-04-23,8.3,1.0,16.0,0.0,79.0,13.8,1027.7
2021-04-24,9.1,3.0,15.0,0.0,67.0,16.5,1026.6
2021-04-25,7.9,4.0,12.0,0.0,57.0,22.3,1026.9
2021-04-26,7.0,3.0,12.0,0.0,51.0,19.0,1020.3
2021-04-27,8.5,0.0,17.0,0.0,285.0,6.6,1009.7
2021-04-28,8.1,5.0,10.0,0.4,34.0,13.1,1005.3
2021-04-29,7.6,3.0,11.0,0.2,342.0,13.0,1010.7
2021-04-30,5.9,0.0,12.0,2.3,315.0,6.1,1014.5
2021-05-01,5.9,-2.0,12.0,2.6,318.0,6.7,1015.9
2021-05-02,6.8,1.0,12.0,1.5,239.0,7.4,1020.2
2021-05-03,8.7,4.0,13.0,6.4,215.0,21.1,1013.0
2021-05-04,10.3,7.0,14.0,2.2,257.0,32.4,1000.5
2021-05-05,6.5,3.0,13.0,2.4,257.0,13.8,1008.6
2021-05-06,6.0,0.0,11.0,1.0,286.0,7.3,1006.9
2021-05-07,8.9,3.0,14.0,0.0,260.0,12.8,1015.3
2021-05-08,12.0,5.0,16.0,9.7,181.0,19.6,1005.7
2021-05-09,15.6,12.0,18.0,1.7,194.0,15.3,997.5
2021-05-10,12.8,10.0,16.0,1.6,205.0,18.2,1001.0
2021-05-11,11.2,5.0,15.0,0.8,172.0,12.6,1007.1
2021-05-12,12.2,9.0,15.0,0.9,189.0,13.5,1008.5
2021-05-13,10.5,8.0,13.0,6.3,109.0,12.2,1005.4
2021-05-14,10.3,9.0,12.0,0.1,17.0,10.4,1008.4
2021-05-15,10.7,8.0,14.0,5.2,168.0,11.2,1000.7
