time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,4.5,3.0,5.6,7.4,311.0,24.8,1015.2
2021-01-02,3.7,2.7,5.1,0.8,325.0,19.0,1020.0
2021-01-03,3.5,-0.8,6.6,0.0,291.0,12.2,1028.2
2021-01-04,1.1,-2.0,4.5,3.3,235.0,11.4,1033.4
2021-01-05,2.2,-0.4,5.5,3.3,236.0,13.7,1031.7
2021-01-06,-0.4,-3.5,2.4,0.3,225.0,11.2,1023.0
2021-01-07,2.4,1.2,4.1,1.8,284.0,19.5,1017.3
2021-01-08,0.3,-3.0,2.3,3.8,276.0,20.2,1022.7
2021-01-09,2.3,-4.3,6.1,0.0,240.0,21.6,1018.1
2021-01-10,3.3,0.5,6.0,2.0,233.0,13.9,1015.0
2021-01-11,4.2,2.0,7.8,1.0,308.0,20.9,1003.0
2021-01-12,2.9,0.1,4.2,17.5,282.0,22.6,1013.3
2021-01-13,0.7,-2.1,3.6,0.0,200.0,10.1,1016.6
2021-01-14,3.4,2.7,4.2,1.5,147.0,14.4,1019.1
2021-01-15,1.7,-1.0,4.3,4.8,194.0,12.4,1023.3
2021-01-16,5.0,2.6,8.5,2.8,200.0,28.2,1004.3
2021-01-17,4.6,3.3,6.4,0.5,235.0,24.0,1012.2
2021-01-18,3.7,1.1,5.7,0.3,239.0,23.4,1006.1
2021-01-19,0.1,-3.4,1.9,2.0,203.0,11.0,993.9
2021-01-20,0.1,-4.3,3.4,0.0,237.0,11.6,980.2
2021-01-21,4.1,0.9,5.0,7.6,316.0,42.7,969.2
2021-01-22,2.4,-0.1,4.1,6.1,279.0,30.8,982.3
2021-01-23,-0.6,-2.6,2.3,0.3,239.0,18.6,990.3
2021-01-24,0.7,-1.8,2.7,0.0,245.0,22.4,994.5
2021-01-25,3.4,1.9,4.8,0.5,267.0,19.6,1003.2
2021-01-26,0.9,-3.0,2.7,0.0,147.0,9.0,1009.5
2021-01-27,1.2,-2.3,4.8,0.0,125.0,9.3,1009.9
2021-01-28,1.6,-1.5,3.2,1.8,108.0,18.7,1002.1
2021-01-29,3.7,2.6,5.1,7.1,62.0,23.5,1001.4
2021-01-30,2.9,-1.0,4.7,3.8,73.0,14.0,1008.8
2021-01-31,-0.3,-4.9,3.3,0.8,164.0,6.0,1003.3
2021-02-01,0.1,-4.7,4.0,0.0,159.0,7.6,1001.3
2021-02-02,0.8,-5.0,4.1,1.3,107.0,21.7,1000.0
2021-02-03,3.6,2.0,4.4,0.0,97.0,34.0,1003.1
2021-02-04,2.3,1.8,3.0,0.0,99.0,32.5,1012.9
2021-02-05,2.7,2.5,3.2,4.3,98.0,38.6,1016.0
2021-02-06,2.0,1.0,2.8,0.5,102.0,30.5,1021.4
2021-02-07,1.2,-0.2,2.6,0.3,112.0,24.2,1021.9
2021-02-08,0.2,-1.3,2.0,0.0,106.0,19.3,1019.6
2021-02-09,-3.1,-7.5,-0.3,0.3,166.0,8.0,1018.9
2021-02-10,-5.2,-9.7,-1.0,0.5,228.0,9.2,1025.1
2021-02-11,-7.6,-12.8,-1.0,,180.0,5.6,1030.5
2021-02-12,-0.2,-5.7,1.8,,127.0,24.2,1032.5
2021-02-13,-0.2,-0.8,0.4,,159.0,35.0,1026.2
2021-02-14,3.1,0.2,6.9,0.0,146.0,25.1,1009.3
2021-02-15,6.2,3.2,9.2,0.8,161.0,13.6,1006.8
2021-02-16,7.8,5.5,11.2,0.0,185.0,29.8,994.6
2021-02-17,6.1,3.0,8.8,0.0,184.0,27.4,994.2
2021-02-18,7.2,5.4,9.8,2.0,190.0,26.3,986.8
2021-02-19,7.8,4.2,10.8,0.0,182.0,22.6,989.3
