time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-7.9,-14.6,-1.2,0.0,217.0,22.0,1015.1
2021-01-02,1.0,-2.6,4.5,0.0,230.0,33.5,1000.5
2021-01-03,1.4,-1.7,4.5,0.0,252.0,34.9,997.4
2021-01-04,-5.0,-8.4,-1.6,0.0,232.0,26.1,1011.1
2021-01-05,-4.6,-9.5,0.3,0.0,239.0,28.5,1010.6
2021-01-06,-4.1,-10.3,2.0,0.0,211.0,24.8,1016.5
2021-01-07,-5.7,-12.9,1.6,0.0,273.0,8.1,1026.1
2021-01-08,-6.8,-11.8,-1.7,0.0,207.0,16.5,1032.0
2021-01-09,-7.5,-11.4,-3.6,0.0,205.0,22.1,1030.9
2021-01-10,-7.9,-11.4,-4.4,0.0,225.0,21.8,1020.9
2021-01-11,-5.1,-10.9,0.6,0.0,232.0,23.1,1016.0
2021-01-12,-2.2,-6.8,2.4,0.0,228.0,27.2,1009.0
2021-01-13,1.8,-2.6,6.2,3.2,247.0,50.0,994.7
2021-01-14,-5.4,-8.2,-2.6,0.0,309.0,49.2,1020.8
2021-01-15,-9.2,-14.4,-4.0,0.0,238.0,16.6,1024.8
2021-01-16,-5.3,-9.2,-1.5,0.0,285.0,34.1,1018.7
2021-01-17,-5.5,-9.9,-1.0,0.9,258.0,19.1,1015.2
2021-01-18,-4.6,-7.9,-1.3,0.2,322.0,33.5,1020.3
2021-01-19,-7.1,-15.1,1.0,0.0,233.0,26.9,1018.7
2021-01-20,-1.9,-5.4,1.5,0.0,290.0,51.4,1005.3
2021-01-21,-9.9,-13.7,-5.2,0.2,305.0,21.4,1023.1
2021-01-22,-7.0,-8.4,-5.6,0.7,271.0,18.9,1019.7
2021-01-23,-17.7,-28.8,-6.6,0.4,337.0,19.8,1023.1
2021-01-24,-27.1,-30.5,-23.7,0.0,90.0,17.3,1027.9
2021-01-25,-24.9,-27.0,-22.8,0.2,96.0,17.8,1031.4
2021-01-26,-23.2,-27.2,-19.2,0.0,113.0,22.9,1030.0
2021-01-27,-18.2,-23.2,-13.2,0.0,121.0,24.4,1026.9
2021-01-28,-17.5,-21.2,-13.8,0.0,75.0,7.8,1023.8
2021-01-29,-14.1,-16.6,-11.5,0.0,319.0,11.5,1016.5
2021-01-30,-16.8,-19.4,-14.2,0.0,284.0,9.5,1023.3
2021-01-31,-18.0,-22.8,-13.3,0.2,350.0,2.5,1030.1
2021-02-01,-6.6,-13.6,0.4,0.0,218.0,14.0,1018.7
2021-02-02,-2.3,-9.5,5.0,0.0,234.0,22.3,1008.7
2021-02-03,-14.5,-20.2,-8.7,0.0,301.0,38.0,1019.2
2021-02-04,-19.9,-23.3,-16.6,0.0,294.0,26.3,1022.5
2021-02-05,-23.6,-29.0,-18.3,0.0,325.0,22.0,1027.5
2021-02-06,-30.5,-34.6,-26.5,0.2,341.0,10.1,1036.3
2021-02-07,-31.4,-35.4,-27.4,0.0,292.0,14.1,1036.5
2021-02-08,-30.8,-34.2,-27.5,0.0,285.0,31.8,1034.7
2021-02-09,-28.0,-29.7,-26.2,0.0,287.0,42.9,1033.9
2021-02-10,-30.4,-33.3,-27.6,0.2,297.0,25.1,1041.1
2021-02-11,-33.3,-36.1,-30.4,0.2,287.0,26.2,1047.1
2021-02-12,-28.1,-33.2,-23.1,0.0,306.0,21.8,1039.9
2021-02-13,-30.7,-36.3,-25.1,0.0,281.0,9.1,1045.9
2021-02-14,-27.8,-33.3,-22.3,0.0,182.0,12.3,1043.6
2021-02-15,-24.6,-29.4,-19.7,0.0,119.0,21.3,1026.7
2021-02-16,-20.5,-26.1,-14.8,0.0,53.0,8.1,1018.1
2021-02-17,-19.1,-21.9,-16.4,0.0,298.0,22.9,1026.5
2021-02-18,-17.9,-23.2,-12.5,0.0,233.0,16.7,1031.0
2021-02-19,-10.9,-19.8,-2.0,0.0,211.0,26.8,1013.6
2021-02-20,-7.1,-10.3,-4.0,0.0,229.0,28.8,1010.8
2021-02-21,-4.7,-11.5,2.0,0.0,234.0,36.8,1004.9
2021-02-22,-0.4,-4.1,3.2,0.0,272.0,42.5,1001.1
2021-02-23,-3.1,-6.6,0.3,0.0,278.0,20.3,1010.0
2021-02-24,-6.5,-10.0,-3.0,0.0,273.0,24.6,1024.2
2021-02-25,-6.0,-12.2,0.1,0.0,223.0,29.2,1007.7
2021-02-26,-10.1,-19.5,-0.8,0.2,338.0,23.2,1005.0
2021-02-27,-19.1,-25.1,-13.2,0.2,290.0,15.4,1023.7
2021-02-28,-16.1,-20.6,-11.6,0.0,116.0,17.5,1023.0
2021-03-01,-6.1,-15.6,3.5,0.0,217.0,30.8,1012.3
2021-03-02,-2.1,-7.5,3.4,0.0,276.0,21.8,1008.8
2021-03-03,-3.0,-10.1,4.0,0.0,213.0,7.0,1014.3
2021-03-04,-2.6,-8.8,3.7,0.0,98.0,5.2,1022.4
2021-03-05,-0.8,-7.3,5.7,0.0,196.0,14.1,1020.9
2021-03-06,3.2,0.6,5.7,0.0,201.0,22.7,1006.8
2021-03-07,1.3,-3.4,5.9,0.0,245.0,20.9,1014.4
2021-03-08,0.0,-3.3,3.2,0.0,269.0,18.4,1017.3
2021-03-09,-3.1,-4.4,-1.8,0.0,2.0,13.4,1017.9
2021-03-10,-4.4,-10.9,2.1,0.0,247.0,25.5,1015.8
2021-03-11,-10.5,-18.5,-2.6,0.0,230.0,15.3,1026.3
2021-03-12,-1.0,-8.2,6.2,0.0,223.0,14.0,1022.0
2021-03-13,0.2,-7.5,7.9,0.0,97.0,8.2,1027.6
2021-03-14,5.3,-0.1,10.7,0.0,170.0,28.9,1020.8
2021-03-15,3.1,-2.0,8.1,0.0,235.0,28.7,1011.5
2021-03-16,-4.0,-8.5,0.5,0.0,325.0,12.2,1021.4
2021-03-17,0.9,-8.0,9.8,0.0,202.0,11.9,1023.5
2021-03-18,6.1,-2.8,15.1,0.0,194.0,22.2,1017.1
2021-03-19,11.2,2.5,20.0,0.0,218.0,21.3,1009.1
2021-03-20,5.7,-0.9,12.2,0.2,251.0,19.5,1008.2
2021-03-21,-1.2,-5.9,3.5,0.0,303.0,24.5,1015.3
2021-03-22,3.1,-4.3,10.5,0.0,97.0,14.1,1010.1
2021-03-23,-3.2,-7.0,0.6,3.0,28.0,14.2,1025.6
2021-03-24,1.9,-5.3,9.0,0.0,183.0,19.4,1008.2
2021-03-25,-0.8,-5.2,3.6,0.9,7.0,19.3,1006.0
2021-03-26,-3.4,-9.7,2.9,0.3,279.0,12.7,1017.1
2021-03-27,-0.9,-8.7,6.9,0.2,237.0,14.9,1020.6
2021-03-28,9.0,0.3,17.8,0.0,223.0,25.5,999.8
2021-03-29,-2.0,-10.0,6.0,3.6,292.0,48.5,995.5
2021-03-30,-12.2,-17.0,-7.4,0.0,311.0,34.3,1022.1
2021-03-31,-5.4,-16.3,5.5,0.0,213.0,20.0,1026.1
2021-04-01,6.1,-1.5,13.6,0.0,209.0,23.8,1008.5
2021-04-02,6.4,0.2,12.5,0.0,350.0,16.1,1012.0
2021-04-03,5.8,-2.7,14.4,0.0,70.0,13.9,1017.4
2021-04-04,8.7,-1.3,18.7,0.0,213.0,23.3,1010.8
2021-04-05,4.8,-2.5,12.1,0.0,291.0,20.3,1013.3
2021-04-06,7.5,-1.6,16.6,0.0,220.0,13.3,1013.0
2021-04-07,11.0,1.4,20.6,0.0,200.0,25.0,1007.3
2021-04-08,7.5,0.3,14.8,2.4,262.0,26.5,1005.9
2021-04-09,3.0,-6.2,12.2,0.4,237.0,14.9,1014.2
2021-04-10,5.3,-0.8,11.4,0.0,249.0,20.8,1003.8
2021-04-11,0.8,-2.5,4.0,0.9,356.0,30.7,1018.5
2021-04-12,-1.9,-4.1,0.4,2.3,4.0,25.0,1030.8
2021-04-13,-0.8,-4.0,2.4,0.4,24.0,29.3,1035.1
2021-04-14,0.8,-4.4,6.0,0.0,76.0,10.3,1034.1
2021-04-15,5.5,-1.8,12.8,0.0,115.0,8.5,1027.4
2021-04-16,5.6,-3.4,14.6,0.0,342.0,15.2,1026.5
2021-04-17,9.9,-1.4,21.2,0.0,291.0,21.7,1019.9
2021-04-18,0.7,-5.8,7.3,0.2,19.0,21.7,1027.8
2021-04-19,-1.7,-8.2,4.9,0.9,328.0,18.0,1029.2
2021-04-20,-0.1,-8.8,8.7,0.2,311.0,12.6,1029.4
2021-04-21,6.8,-3.8,17.4,0.0,230.0,23.3,1015.1
2021-04-22,-2.0,-9.1,5.2,0.0,328.0,29.1,1011.9
2021-04-23,-4.2,-12.5,4.2,0.0,289.0,8.3,1023.0
2021-04-24,-1.6,-10.7,7.5,0.0,75.0,13.0,1017.4
2021-04-25,3.1,-3.5,9.6,0.0,177.0,13.9,1010.0
2021-04-26,3.9,-6.6,14.4,0.0,225.0,13.5,1004.9
2021-04-27,6.6,-5.1,18.4,0.0,31.0,15.8,1010.6
2021-04-28,7.4,-1.4,16.1,0.0,37.0,15.9,1017.6
2021-04-29,6.1,0.1,12.1,0.0,61.0,12.2,1022.5
2021-04-30,14.3,2.0,26.7,0.0,229.0,19.5,1006.3
2021-05-01,11.7,3.3,20.0,0.0,308.0,16.1,1003.8
2021-05-02,5.8,-2.5,14.1,0.0,343.0,22.6,1012.8
2021-05-03,2.3,-5.7,10.2,0.0,17.0,11.1,1022.9
2021-05-04,6.1,-3.7,15.8,0.0,123.0,12.9,1018.5
2021-05-05,5.1,-5.6,15.9,0.2,186.0,9.4,1023.8
2021-05-06,10.2,2.3,18.2,0.2,37.0,14.3,1024.3
2021-05-07,8.9,0.5,17.2,0.0,110.0,27.5,1017.8
2021-05-08,6.2,-0.8,13.1,0.0,138.0,28.8,1018.2
2021-05-09,3.8,-7.3,15.0,0.0,99.0,8.7,1025.1
2021-05-10,7.3,-2.9,17.5,0.0,244.0,10.9,1024.3
2021-05-11,9.7,0.1,19.3,0.0,208.0,15.1,1022.3
2021-05-12,11.0,2.4,18.7,0.6,220.0,11.5,1020.0
2021-05-13,10.8,0.0,21.5,0.0,258.0,9.9,1018.1
2021-05-14,11.8,1.7,22.0,0.0,264.0,12.8,1017.2
2021-05-15,13.7,2.8,24.6,0.0,227.0,13.6,1013.7
2021-05-16,19.2,8.6,29.9,0.0,239.0,19.3,1008.3
2021-05-17,18.8,5.7,31.9,0.0,207.0,26.1,1002.9
2021-05-18,20.0,12.2,27.8,0.0,245.0,28.8,999.6
2021-05-19,8.0,2.1,13.9,0.0,301.0,26.7,1013.7
2021-05-20,1.2,-1.1,3.5,0.0,40.0,27.2,1024.1
2021-05-21,0.6,-2.6,3.7,3.0,28.0,15.9,1028.0
2021-05-22,4.9,1.4,8.4,0.2,91.0,11.3,1029.3
2021-05-23,9.2,5.9,12.5,4.4,130.0,16.7,1018.3
2021-05-24,9.1,7.7,10.4,26.5,256.0,29.1,995.5
2021-05-25,5.3,1.8,8.7,0.5,345.0,29.2,1012.3
2021-05-26,5.8,-0.8,12.4,0.0,130.0,17.5,1024.7
2021-05-27,9.7,1.5,17.8,0.0,170.0,33.8,1017.9
2021-05-28,14.6,7.4,21.8,0.0,230.0,32.8,1007.7
2021-05-29,13.7,6.8,20.6,0.0,280.0,28.0,1014.0
2021-05-30,12.4,2.3,22.5,0.0,238.0,11.2,1019.5
2021-05-31,18.0,9.4,26.6,0.0,223.0,16.7,1014.9
2021-06-01,17.9,9.5,26.2,0.0,311.0,11.7,1015.0
2021-06-02,22.4,13.1,31.6,0.0,259.0,15.3,1007.1
2021-06-03,24.9,13.6,36.3,0.0,257.0,14.3,1001.8
2021-06-04,23.3,16.9,29.8,0.0,35.0,14.3,1001.3
2021-06-05,18.8,9.0,28.6,0.0,257.0,24.3,996.3
2021-06-06,15.0,8.1,21.9,0.0,281.0,27.3,1001.1
2021-06-07,15.2,8.1,22.3,0.0,240.0,21.7,1006.7
2021-06-08,14.7,6.5,22.9,2.1,143.0,13.1,1014.9
2021-06-09,15.5,12.1,18.8,0.0,67.0,20.9,1016.0
2021-06-10,16.0,13.3,18.8,18.3,121.0,21.2,1007.2
