time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,1.3,-1.5,3.7,0.0,199.0,6.8,1007.1
2021-01-02,2.9,0.9,5.0,0.0,200.0,7.6,1013.9
2021-01-03,2.4,1.8,2.9,7.0,41.0,16.6,1016.8
2021-01-04,1.8,1.0,3.0,3.2,42.0,12.6,1018.3
2021-01-05,2.6,1.0,3.8,0.3,33.0,13.3,1018.1
2021-01-06,1.3,0.3,3.1,4.3,313.0,11.2,1012.6
2021-01-07,0.9,0.3,1.5,0.4,244.0,10.4,1009.6
2021-01-08,0.9,0.3,1.9,1.9,279.0,7.6,1012.4
2021-01-09,0.9,-0.1,1.6,0.0,301.0,6.1,1021.2
2021-01-10,0.5,-1.1,2.6,0.0,217.0,10.8,1022.9
2021-01-11,2.3,1.5,3.5,3.2,220.0,21.2,1014.5
2021-01-12,3.2,0.9,4.4,2.2,250.0,17.3,1003.2
2021-01-13,2.0,0.2,4.7,2.9,262.0,18.4,1006.4
2021-01-14,1.4,0.3,2.4,0.0,331.0,13.3,1017.2
2021-01-15,-0.5,-2.0,0.5,0.0,334.0,9.4,1025.6
2021-01-16,-1.8,-4.4,0.5,0.0,252.0,7.9,1024.0
2021-01-17,-2.6,-5.9,-0.2,0.0,136.0,5.4,1019.8
2021-01-18,1.7,-1.9,4.3,2.3,210.0,10.8,1017.7
2021-01-19,4.1,1.7,8.9,11.7,208.0,15.8,1006.4
2021-01-20,7.1,4.7,9.4,0.0,203.0,17.6,999.9
2021-01-21,7.1,4.6,11.1,1.1,181.0,16.6,992.9
2021-01-22,5.4,0.1,11.1,0.8,211.0,16.6,990.9
2021-01-23,1.2,-0.9,5.3,0.0,179.0,4.7,996.6
2021-01-24,0.9,-1.0,3.8,0.0,98.0,4.7,996.7
2021-01-25,0.7,-2.2,2.0,0.8,243.0,9.0,1003.3
2021-01-26,-0.1,-4.0,2.9,0.1,250.0,6.8,1012.2
2021-01-27,1.7,-1.3,4.6,0.4,209.0,10.8,1011.5
2021-01-28,1.5,-1.9,4.6,0.0,333.0,7.9,1004.8
2021-01-29,-1.1,-1.8,0.6,6.3,97.0,9.7,998.5
2021-01-30,-2.3,-11.9,1.5,0.0,350.0,6.8,1003.5
2021-01-31,-8.4,-14.0,-1.2,0.0,184.0,5.0,1005.4
2021-02-01,-4.5,-11.7,-0.8,0.0,94.0,6.1,998.9
2021-02-02,-0.4,-1.6,0.8,4.9,222.0,7.2,1001.8
2021-02-03,1.1,0.2,2.6,16.7,56.0,7.2,998.0
2021-02-04,0.6,0.2,1.2,0.8,40.0,7.6,1012.4
2021-02-05,0.3,-0.2,1.0,0.3,88.0,11.5,1018.0
2021-02-06,-1.0,-3.1,0.3,0.0,71.0,17.3,1018.5
2021-02-07,-4.7,-6.3,-2.9,1.9,68.0,23.4,1011.4
2021-02-08,-6.6,-9.2,-4.4,1.4,70.0,16.6,1005.6
2021-02-09,-8.3,-10.4,-6.4,0.0,11.0,5.4,1007.7
2021-02-10,-5.2,-11.6,0.3,0.1,295.0,6.1,1013.0
2021-02-11,-5.6,-10.8,-2.0,0.0,333.0,7.2,1028.4
2021-02-12,-6.4,-14.9,-1.5,0.0,14.0,7.9,1037.1
2021-02-13,-10.1,-16.7,0.1,0.0,219.0,3.6,1041.9
2021-02-14,-9.5,-16.7,-1.7,0.0,174.0,4.7,1041.6
2021-02-15,-4.3,-12.7,0.8,6.1,153.0,9.0,1028.9
2021-02-16,2.6,0.7,4.9,0.7,185.0,6.5,1016.5
2021-02-17,5.5,2.0,8.3,0.2,222.0,10.4,1014.0
2021-02-18,6.9,3.7,10.2,2.7,157.0,9.4,1014.5
2021-02-19,6.3,3.0,10.1,0.0,217.0,10.8,1015.8
2021-02-20,7.3,1.2,14.0,0.0,150.0,6.1,1017.2
2021-02-21,8.2,-0.2,18.2,0.0,155.0,4.7,1016.5
2021-02-22,7.6,-0.4,17.2,0.0,162.0,5.4,1020.9
2021-02-23,11.0,5.7,17.3,0.0,199.0,8.6,1029.6
2021-02-24,10.6,4.1,18.5,0.0,187.0,8.3,1029.8
2021-02-25,10.5,3.8,18.0,4.0,199.0,7.2,1026.1
2021-02-26,7.3,3.9,11.1,0.0,291.0,8.3,1030.5
2021-02-27,4.7,0.4,7.3,0.0,297.0,7.9,1037.7
2021-02-28,3.4,-0.4,6.1,0.0,262.0,5.8,1037.4
2021-03-01,3.6,-2.8,5.7,0.0,211.0,3.2,1036.1
2021-03-02,0.7,-2.4,7.6,0.0,167.0,4.0,1034.3
2021-03-03,4.9,-2.7,14.3,0.0,236.0,7.2,1026.2
2021-03-04,3.4,0.9,4.5,0.0,301.0,10.1,1019.3
2021-03-05,1.2,-2.7,6.4,0.0,335.0,7.9,1027.2
2021-03-06,1.7,-3.2,4.9,0.0,246.0,9.0,1030.9
2021-03-07,2.9,-0.1,5.9,0.0,257.0,13.3,1022.4
2021-03-08,1.5,-3.3,6.9,0.0,22.0,5.8,1022.8
2021-03-09,2.0,-2.7,5.8,0.0,108.0,6.5,1019.4
2021-03-10,4.1,-1.5,7.6,2.9,137.0,9.0,1017.0
