time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,21.1,16.9,33.0,1.0,153.0,11.8,1018.0
2021-01-02,19.2,15.8,24.2,41.9,89.0,23.9,1022.1
2021-01-03,20.6,15.3,26.6,3.0,48.0,18.3,1021.5
2021-01-04,22.8,14.7,29.6,0.0,42.0,10.8,1017.8
2021-01-05,20.2,18.0,29.6,1.4,16.0,10.3,1013.7
2021-01-06,19.5,18.2,25.0,6.4,255.0,7.8,1011.5
2021-01-07,24.9,19.6,29.1,5.1,51.0,12.2,1014.5
2021-01-08,22.9,18.3,28.3,3.3,22.0,8.8,1017.0
2021-01-09,22.6,18.8,28.6,9.4,31.0,5.3,1014.9
2021-01-10,23.8,19.5,31.5,2.6,0.0,7.2,1014.3
2021-01-11,22.4,18.6,31.5,2.0,61.0,17.8,1016.2
2021-01-12,23.4,17.3,29.4,0.0,57.0,9.7,1018.4
2021-01-13,23.8,18.1,31.0,1.7,77.0,12.4,1018.3
2021-01-14,23.2,18.0,30.9,11.9,28.0,16.2,1016.6
2021-01-15,26.1,18.8,31.2,2.9,41.0,12.6,1011.9
2021-01-16,25.3,19.6,32.1,0.5,172.0,10.7,1012.2
2021-01-17,25.2,16.7,32.9,0.0,146.0,10.8,1011.7
2021-01-18,25.4,17.5,32.9,0.5,32.0,11.7,1014.8
2021-01-19,23.6,20.0,32.6,0.0,24.0,12.2,1017.5
2021-01-20,25.7,16.0,34.1,0.0,65.0,7.0,1017.7
2021-01-21,25.6,20.0,34.1,0.0,70.0,14.2,1019.1
2021-01-22,25.2,17.6,33.7,0.0,60.0,12.2,1018.9
2021-01-23,25.9,14.9,34.5,0.0,112.0,9.0,1015.9
2021-01-24,26.3,19.3,34.5,0.0,99.0,15.3,1012.7
2021-01-25,21.8,17.0,23.3,12.8,101.0,26.5,1010.8
2021-01-26,21.9,18.9,26.0,13.8,42.0,20.4,1010.9
2021-01-27,21.8,19.5,26.1,6.9,9.0,19.8,1009.2
2021-01-28,22.7,17.7,28.8,1.0,191.0,8.3,1010.7
2021-01-29,23.7,18.1,30.3,13.8,46.0,11.3,1015.9
2021-01-30,19.8,18.8,30.3,12.6,80.0,9.0,1017.5
2021-01-31,20.1,17.8,26.9,55.9,22.0,9.2,1014.9
2021-02-01,21.0,18.1,26.9,16.0,36.0,6.5,1016.2
2021-02-02,18.2,16.3,26.3,1.0,71.0,18.4,1019.4
2021-02-03,19.6,16.7,25.0,22.1,40.0,21.8,1019.3
2021-02-04,20.8,18.0,26.1,7.9,54.0,7.8,1019.4
2021-02-05,21.1,17.2,29.4,3.0,50.0,9.2,1019.6
2021-02-06,19.3,17.7,29.4,7.9,55.0,7.3,1019.3
2021-02-07,21.6,17.5,28.0,57.9,43.0,8.4,1015.9
2021-02-08,22.7,17.2,29.4,2.0,48.0,8.0,1016.5
2021-02-09,21.8,18.2,29.8,0.0,49.0,10.9,1018.3
2021-02-10,21.3,16.7,29.8,5.1,66.0,8.7,1019.0
2021-02-11,22.6,17.2,28.0,4.1,52.0,7.3,1017.6
2021-02-12,23.0,18.0,29.0,0.4,63.0,6.0,1015.4
2021-02-13,25.3,16.4,30.8,0.0,91.0,6.7,1013.2
2021-02-14,24.6,17.0,32.0,4.5,118.0,9.4,1011.4
2021-02-15,24.5,18.4,32.0,0.1,185.0,13.4,1011.1
2021-02-16,24.1,17.7,31.3,0.0,124.0,11.4,1013.8
2021-02-17,22.3,14.2,31.2,0.0,48.0,9.9,1015.9
2021-02-18,24.6,16.8,32.8,0.0,321.0,7.9,1016.0
2021-02-19,24.1,16.3,32.8,0.0,216.0,8.6,1016.6
2021-02-20,25.0,15.0,33.0,0.0,150.0,9.6,1016.0
2021-02-21,21.1,13.0,33.4,0.0,14.0,11.7,1015.6
2021-02-22,19.7,16.9,33.4,36.8,53.0,9.8,1020.5
2021-02-23,21.2,16.9,27.3,1.1,53.0,14.8,1021.1
2021-02-24,19.6,17.3,27.3,1.0,54.0,8.0,1018.7
2021-02-25,21.3,16.8,28.1,0.0,5.0,9.2,1016.2
2021-02-26,20.9,16.0,30.1,0.3,5.0,10.0,1016.4
2021-02-27,19.6,13.8,30.1,0.5,39.0,13.4,1018.8
2021-02-28,18.8,14.7,27.2,0.0,60.0,12.3,1021.2
2021-03-01,18.2,13.1,26.7,1.0,47.0,8.8,1022.7
2021-03-02,19.2,11.8,26.0,0.0,85.0,4.7,1022.3
2021-03-03,20.5,14.0,28.9,0.0,340.0,6.3,1020.0
2021-03-04,22.2,13.0,31.6,0.0,124.0,6.2,1017.3
2021-03-05,22.7,14.4,32.7,0.0,29.0,7.5,1017.8
2021-03-06,22.4,15.0,32.7,0.0,4.0,10.9,1020.1
2021-03-07,22.7,13.0,32.0,0.0,123.0,6.3,1019.6
2021-03-08,22.6,12.0,32.5,0.0,338.0,9.0,1016.5
2021-03-09,21.9,16.4,32.5,0.0,351.0,12.2,1016.2
2021-03-10,23.5,13.4,33.1,0.0,333.0,8.6,1016.4
2021-03-11,25.3,12.0,33.1,0.0,142.0,7.9,1016.2
2021-03-12,23.5,14.6,33.0,2.0,42.0,15.3,1019.1
2021-03-13,20.9,14.9,31.9,0.0,46.0,11.7,1021.0
2021-03-14,20.6,13.9,30.1,0.0,45.0,12.2,1020.0
2021-03-15,19.7,12.6,29.4,0.4,34.0,10.5,1017.5
2021-03-16,20.9,15.0,30.2,0.0,20.0,9.3,1014.4
2021-03-17,18.2,15.6,30.2,3.3,37.0,11.0,1017.7
2021-03-18,19.8,13.6,28.4,0.0,67.0,9.1,1018.2
2021-03-19,21.2,12.8,29.8,0.0,115.0,7.0,1018.0
2021-03-20,19.8,13.7,29.8,1.0,56.0,12.4,1017.8
2021-03-21,18.4,14.3,29.2,1.0,6.0,7.5,1017.9
2021-03-22,21.0,13.0,29.5,0.3,46.0,6.5,1018.8
2021-03-23,18.8,14.6,29.9,0.0,34.0,13.9,1022.2
2021-03-24,18.3,15.7,24.1,0.5,21.0,15.3,1020.1
2021-03-25,18.9,13.9,27.1,1.0,331.0,16.6,1015.6
2021-03-26,18.3,9.7,27.5,0.3,186.0,8.9,1015.8
2021-03-27,19.9,10.7,29.3,0.0,346.0,7.2,1016.3
2021-03-28,20.8,12.7,29.5,0.0,39.0,9.6,1016.9
2021-03-29,19.4,14.9,29.5,0.1,22.0,19.3,1018.5
2021-03-30,19.7,12.7,28.1,0.0,3.0,9.5,1018.1
2021-03-31,19.8,12.1,28.8,0.1,9.0,9.0,1017.7
2021-04-01,18.9,11.6,29.6,0.0,95.0,7.6,1018.2
2021-04-02,20.4,13.4,30.5,0.0,137.0,5.4,1018.1
2021-04-03,21.4,13.4,31.1,0.0,147.0,7.9,1016.8
2021-04-04,19.1,10.8,31.1,0.0,29.0,10.8,1017.3
2021-04-05,21.3,11.7,31.3,0.0,297.0,6.0,1016.2
2021-04-06,19.6,12.7,31.3,4.7,61.0,13.6,1017.6
2021-04-07,18.8,13.8,30.2,8.1,36.0,13.1,1023.3
2021-04-08,19.4,12.0,27.9,3.0,107.0,7.8,1025.9
2021-04-09,19.7,11.6,30.2,0.0,106.0,6.9,1023.0
2021-04-10,21.4,12.5,31.1,0.0,119.0,6.1,1023.3
2021-04-11,21.4,12.2,31.3,0.0,84.0,7.2,1024.8
2021-04-12,20.9,13.1,31.3,0.0,65.0,9.5,1026.8
2021-04-13,20.1,10.8,31.2,0.0,60.0,8.1,1028.3
2021-04-14,20.9,11.0,31.0,0.0,321.0,6.3,1025.9
2021-04-15,21.1,11.7,31.8,0.0,172.0,6.9,1023.5
2021-04-16,20.7,11.6,31.8,0.0,135.0,11.5,1023.3
2021-04-17,16.8,10.1,30.6,0.2,30.0,18.0,1026.5
2021-04-18,15.8,8.1,25.3,0.0,32.0,8.1,1027.3
2021-04-19,17.5,8.1,27.5,0.0,116.0,7.8,1025.5
2021-04-20,16.2,8.9,27.5,0.0,43.0,13.5,1025.9
2021-04-21,15.5,7.1,25.4,0.0,17.0,10.4,1026.2
2021-04-22,15.9,7.0,26.5,0.0,14.0,6.1,1024.5
2021-04-23,17.4,8.8,27.2,0.0,103.0,6.5,1021.9
2021-04-24,16.7,6.8,28.3,0.0,226.0,9.5,1019.7
2021-04-25,19.0,7.1,28.3,0.0,136.0,7.5,1020.4
2021-04-26,17.8,8.0,28.5,0.0,69.0,6.7,1020.8
2021-04-27,19.1,8.3,30.0,0.0,3.0,9.4,1019.4
2021-04-28,18.9,8.0,30.0,0.0,31.0,11.2,1020.2
2021-04-29,18.8,10.2,29.7,0.2,24.0,17.0,1019.6
2021-04-30,15.4,11.1,28.3,23.1,157.0,15.2,1019.4
2021-05-01,13.4,5.7,23.4,0.3,152.0,7.6,1023.3
2021-05-02,13.1,8.7,21.8,0.0,54.0,13.2,1027.2
2021-05-03,13.6,6.1,22.2,0.0,27.0,9.5,1026.2
2021-05-04,14.4,6.0,23.5,0.0,29.0,5.2,1023.5
2021-05-05,15.2,7.0,24.4,0.0,40.0,7.2,1021.8
2021-05-06,16.8,7.7,25.9,0.0,30.0,9.8,1022.7
2021-05-07,16.7,11.2,25.9,0.1,12.0,9.7,1024.2
2021-05-08,15.6,10.3,25.5,3.0,288.0,11.0,1023.0
2021-05-09,13.5,5.6,25.5,0.3,173.0,12.6,1024.6
2021-05-10,15.0,4.8,25.4,0.0,144.0,7.8,1026.3
2021-05-11,16.3,6.6,27.5,0.0,54.0,6.0,1027.3
2021-05-12,16.5,6.9,27.5,0.0,29.0,5.2,1025.9
2021-05-13,16.1,5.8,27.4,0.0,45.0,8.1,1024.1
2021-05-14,14.7,6.4,27.4,0.0,27.0,8.4,1022.9
2021-05-15,15.9,6.6,26.0,0.0,349.0,8.7,1020.1
2021-05-16,15.2,5.9,26.0,0.0,294.0,10.8,1019.1
2021-05-17,13.3,4.7,26.0,0.0,165.0,7.9,1022.4
2021-05-18,14.3,4.8,24.7,0.0,51.0,9.7,1025.2
2021-05-19,14.9,8.0,24.4,0.0,26.0,12.4,1024.9
2021-05-20,16.4,7.0,26.0,0.0,4.0,16.2,1022.5
2021-05-21,12.9,7.0,26.0,0.0,178.0,10.4,1024.8
2021-05-22,12.1,4.0,23.0,0.0,129.0,8.8,1028.0
2021-05-23,11.1,2.6,22.9,0.0,36.0,13.2,1030.0
2021-05-24,12.1,5.4,22.1,0.0,19.0,8.8,1029.4
2021-05-25,13.1,4.2,22.1,0.0,26.0,6.6,1026.8
2021-05-26,13.5,3.3,23.6,0.0,91.0,5.5,1025.4
2021-05-27,14.1,3.7,25.4,0.0,25.0,6.5,1024.4
2021-05-28,14.8,4.7,25.4,0.0,332.0,8.2,1022.3
2021-05-29,12.2,2.7,24.9,0.0,184.0,8.1,1021.9
2021-05-30,11.9,0.5,23.6,0.0,159.0,7.8,1022.5
2021-05-31,11.3,0.0,23.5,0.0,21.0,11.0,1020.5
2021-06-01,8.8,1.4,23.0,0.0,169.0,12.1,1021.7
2021-06-02,10.1,1.8,18.4,0.0,185.0,14.7,1023.4
2021-06-03,11.9,4.0,21.0,0.0,163.0,10.6,1026.5
2021-06-04,10.1,1.9,20.9,0.0,115.0,8.7,1028.8
2021-06-05,7.6,-0.4,19.3,0.0,74.0,12.1,1030.0
2021-06-06,8.7,-0.1,18.6,0.0,61.0,13.9,1030.5
2021-06-07,8.8,1.5,18.3,0.0,52.0,14.4,1028.6
2021-06-08,11.1,3.4,17.6,0.0,50.0,17.1,1026.8
2021-06-09,10.1,7.3,17.6,2.0,61.0,12.2,1025.8
2021-06-10,11.9,7.0,20.4,7.1,50.0,13.1,1024.8
2021-06-11,13.4,5.9,23.0,0.3,30.0,12.0,1024.5
2021-06-12,14.2,5.9,24.4,0.0,61.0,8.2,1025.9
2021-06-13,14.6,5.8,24.8,0.0,118.0,6.8,1026.9
2021-06-14,14.4,5.5,24.9,0.0,120.0,6.0,1025.3
2021-06-15,12.9,4.3,24.9,0.0,42.0,10.1,1023.2
2021-06-16,12.7,4.3,23.6,0.0,27.0,12.9,1022.0
2021-06-17,14.5,5.5,25.2,0.0,15.0,10.3,1023.4
2021-06-18,14.2,4.9,25.2,0.0,102.0,7.3,1028.2
2021-06-19,12.6,7.0,25.0,0.0,47.0,16.8,1032.5
2021-06-20,11.1,3.7,20.5,0.0,77.0,6.1,1031.9
2021-06-21,11.8,2.6,21.3,0.0,50.0,8.2,1028.8
2021-06-22,11.3,2.9,21.3,0.0,31.0,8.2,1025.8
2021-06-23,12.2,4.5,21.7,0.0,6.0,8.1,1024.0
2021-06-24,13.7,4.5,23.4,0.0,0.0,8.3,1023.5
2021-06-25,13.8,5.0,24.3,0.0,347.0,12.6,1021.8
2021-06-26,11.7,1.9,24.3,0.0,186.0,9.2,1020.1
2021-06-27,12.1,0.5,25.1,0.0,24.0,8.0,1021.2
2021-06-28,15.8,5.2,26.5,0.0,4.0,17.8,1020.3
2021-06-29,16.2,6.1,27.9,0.0,14.0,14.0,1021.2
2021-06-30,15.4,7.0,27.9,0.0,340.0,11.1,1022.8
2021-07-01,11.9,4.1,25.1,0.0,145.0,9.8,1025.9
2021-07-02,12.7,2.1,24.4,0.0,71.0,7.5,1027.4
2021-07-03,14.7,3.7,26.3,0.0,0.0,10.4,1025.8
2021-07-04,14.7,4.9,26.9,0.0,348.0,11.3,1024.5
2021-07-05,12.3,3.2,26.9,0.0,152.0,9.4,1026.0
2021-07-06,11.2,5.5,24.0,0.0,35.0,19.3,1027.5
2021-07-07,12.5,4.4,21.7,0.0,30.0,14.2,1026.8
2021-07-08,11.8,3.6,21.2,0.0,27.0,13.7,1026.6
2021-07-09,11.8,4.1,22.7,0.0,3.0,11.4,1026.6
2021-07-10,12.9,4.3,24.0,0.0,15.0,11.3,1027.0
2021-07-11,11.7,3.6,24.0,0.0,33.0,11.3,1027.1
2021-07-12,13.4,3.0,23.8,0.0,4.0,18.2,1023.2
2021-07-13,6.6,1.0,12.0,0.0,199.0,14.0,1025.4
2021-07-14,5.1,-3.5,15.3,0.0,144.0,10.0,1029.2
2021-07-15,8.2,-2.3,17.7,0.0,60.0,10.1,1030.0
2021-07-16,9.5,1.6,18.4,0.0,46.0,10.6,1030.8
2021-07-17,9.4,0.8,19.3,0.0,129.0,6.6,1030.1
2021-07-18,9.2,0.6,20.9,0.0,79.0,12.9,1030.2
2021-07-19,8.9,-0.8,20.9,0.0,24.0,9.7,1028.2
2021-07-20,9.7,-1.9,19.4,0.0,17.0,9.7,1025.1
2021-07-21,6.4,1.9,19.4,0.0,248.0,11.5,1025.9
2021-07-22,5.2,-4.4,14.6,0.0,171.0,11.8,1030.7
2021-07-23,6.2,-1.0,16.0,0.0,141.0,13.5,1031.4
2021-07-24,6.9,-2.8,16.4,0.0,70.0,14.5,1033.2
2021-07-25,6.9,-2.3,16.8,0.0,60.0,12.0,1034.3
2021-07-26,8.1,-0.4,17.9,0.0,46.0,11.9,1031.6
2021-07-27,7.4,-1.7,17.9,0.0,37.0,10.2,1028.5
2021-07-28,10.7,0.7,20.5,0.0,17.0,10.0,1025.6
2021-07-29,11.8,1.0,22.8,0.0,124.0,8.1,1027.8
2021-07-30,13.2,4.7,24.2,0.0,75.0,10.8,1032.2
2021-07-31,12.2,2.5,24.2,0.0,54.0,11.1,1033.8
2021-08-01,13.2,3.6,23.8,0.0,68.0,6.3,1030.7
2021-08-02,13.9,2.9,25.0,0.0,120.0,9.3,1027.6
2021-08-03,13.5,5.2,25.0,0.0,39.0,16.7,1027.5
2021-08-04,14.3,5.7,24.5,0.0,32.0,11.6,1027.4
2021-08-05,14.8,6.1,25.4,0.0,25.0,12.7,1025.3
2021-08-06,16.1,7.0,27.0,0.0,296.0,10.9,1024.3
2021-08-07,16.1,5.3,27.6,0.0,88.0,8.3,1025.3
2021-08-08,15.8,5.8,27.6,0.0,27.0,13.7,1024.8
2021-08-09,15.9,7.0,27.5,0.0,226.0,12.0,1023.7
2021-08-10,14.0,5.9,26.4,0.0,110.0,12.4,1025.8
2021-08-11,14.5,8.7,23.9,0.0,29.0,21.4,1023.0
