time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,18.9,17.0,23.0,,,14.2,1014.4
2021-01-02,18.5,17.0,22.0,0.0,245.0,14.7,1014.8
2021-01-03,17.8,16.0,22.0,0.0,283.0,16.4,1014.0
2021-01-04,17.7,15.0,22.0,0.0,283.0,15.4,1013.3
2021-01-05,18.1,15.0,23.0,0.0,280.0,14.9,1013.6
2021-01-06,18.3,15.0,23.0,0.0,253.0,13.3,1015.0
2021-01-07,17.7,13.0,23.0,0.0,242.0,13.2,1015.7
2021-01-08,17.9,14.0,24.0,0.0,243.0,14.3,1015.9
2021-01-09,17.0,14.0,22.0,0.0,262.0,14.5,1014.9
2021-01-10,16.4,13.0,22.0,0.0,278.0,13.7,1014.4
2021-01-11,17.0,14.0,22.0,0.0,296.0,13.3,1014.3
2021-01-12,17.0,14.0,22.0,0.0,320.0,18.5,1013.9
2021-01-13,16.3,14.0,22.0,0.0,244.0,13.0,1014.3
2021-01-14,16.0,14.0,20.0,0.0,295.0,14.5,1013.1
2021-01-15,16.1,14.0,20.0,0.2,298.0,13.8,1013.3
2021-01-16,16.9,14.0,22.0,0.0,317.0,15.1,1014.0
2021-01-17,16.8,13.0,22.0,0.0,319.0,12.0,1013.8
2021-01-18,17.5,15.0,23.0,0.0,285.0,10.4,1012.8
2021-01-19,18.3,16.0,22.0,0.0,295.0,12.2,1013.9
2021-01-20,17.3,14.0,22.0,0.0,257.0,10.6,1013.5
2021-01-21,17.6,16.0,21.0,0.0,251.0,11.6,1013.7
2021-01-22,18.0,16.0,22.0,0.0,240.0,11.6,1012.7
2021-01-23,19.4,17.0,23.0,0.0,266.0,9.4,1012.7
2021-01-24,19.5,16.0,24.0,0.3,254.0,11.6,1012.3
2021-01-25,19.0,17.0,23.0,0.0,262.0,12.5,1012.4
2021-01-26,19.3,17.0,24.0,0.0,250.0,14.2,1013.7
2021-01-27,17.7,16.0,20.0,0.0,238.0,14.5,1012.0
2021-01-28,16.8,15.0,22.1,0.0,308.0,15.5,1011.7
2021-01-29,18.4,16.0,23.0,0.0,307.0,13.8,1012.7
2021-01-30,18.2,16.0,23.0,0.0,295.0,14.3,1013.1
2021-01-31,18.8,17.0,23.0,0.0,267.0,15.8,1012.8
2021-02-01,17.2,16.0,20.0,0.0,265.0,11.2,1011.5
2021-02-02,17.3,15.0,22.0,0.0,281.0,14.3,1012.8
2021-02-03,16.9,15.0,22.0,0.0,298.0,15.8,1012.4
2021-02-04,17.0,14.0,21.0,0.0,277.0,12.4,1013.4
2021-02-05,17.8,16.0,21.0,0.0,239.0,13.4,1013.5
2021-02-06,18.0,16.0,23.0,0.0,239.0,14.0,1013.2
2021-02-07,17.9,16.0,22.0,0.0,252.0,12.8,1013.9
2021-02-08,17.2,13.0,22.0,0.0,244.0,11.3,1014.0
2021-02-09,17.5,15.0,22.0,0.0,266.0,12.0,1012.8
2021-02-10,18.3,15.0,23.0,0.0,259.0,10.9,1012.3
2021-02-11,19.9,16.0,25.0,0.0,187.0,11.9,1013.4
2021-02-12,18.9,16.0,24.0,0.0,243.0,11.9,1013.3
2021-02-13,19.6,16.0,24.0,0.0,217.0,12.4,1013.7
2021-02-14,19.2,17.0,25.0,0.0,249.0,13.2,1013.1
2021-02-15,18.8,14.0,24.0,0.0,243.0,12.4,1015.4
2021-02-16,18.6,14.0,24.0,0.0,222.0,14.5,1016.4
2021-02-17,18.0,14.0,22.0,0.0,228.0,12.6,1016.3
2021-02-18,18.4,15.0,22.0,0.0,220.0,15.3,1016.5
2021-02-19,17.6,14.0,23.0,0.0,255.0,12.8,1015.7
2021-02-20,19.0,16.0,24.0,0.0,229.0,10.9,1015.3
2021-02-21,17.5,14.1,22.0,0.0,208.0,12.4,1014.8
2021-02-22,17.4,16.0,21.0,0.1,280.0,12.0,1014.8
2021-02-23,17.5,16.0,21.0,0.0,289.0,11.9,1013.2
2021-02-24,18.1,16.0,22.4,0.0,294.0,14.3,1012.3
2021-02-25,17.8,13.8,23.0,0.0,310.0,10.5,1011.1
2021-02-26,19.0,14.0,24.0,0.0,312.0,11.4,1011.6
2021-02-27,18.0,14.0,23.0,0.0,224.0,12.4,1011.0
2021-02-28,18.4,16.0,23.0,0.0,295.0,10.9,1011.1
2021-03-01,19.4,17.0,23.0,0.0,295.0,11.1,1011.0
2021-03-02,19.5,17.0,24.0,0.0,268.0,12.2,1012.0
2021-03-03,18.1,14.0,23.0,0.0,261.0,9.6,1014.2
2021-03-04,17.8,15.0,22.0,0.0,234.0,12.3,1012.8
2021-03-05,19.8,18.0,24.0,0.0,312.0,14.5,1013.1
2021-03-06,19.3,15.0,25.0,0.0,214.0,13.2,1013.1
2021-03-07,19.0,17.0,23.0,0.0,242.0,13.5,1013.3
2021-03-08,19.0,17.0,24.0,0.0,319.0,16.7,1013.7
2021-03-09,20.1,18.0,25.0,0.0,317.0,10.4,1013.1
2021-03-10,19.9,16.0,25.0,0.0,203.0,12.5,1014.8
2021-03-11,18.9,16.0,23.0,0.0,225.0,13.7,1014.2
2021-03-12,18.2,17.0,21.0,0.0,331.0,12.7,1014.3
2021-03-13,17.7,16.0,23.0,0.0,244.0,12.4,1014.6
2021-03-14,17.0,15.0,20.0,0.0,274.0,8.6,1014.3
2021-03-15,18.7,15.0,23.0,0.0,212.0,12.5,1015.3
2021-03-16,17.5,13.0,23.0,0.0,224.0,12.1,1014.5
2021-03-17,17.2,14.0,22.0,0.0,238.0,11.8,1014.2
2021-03-18,17.6,14.0,22.0,0.0,265.0,13.0,1013.5
2021-03-19,17.2,15.0,21.0,0.0,262.0,14.1,1015.3
2021-03-20,17.0,12.0,23.0,0.0,212.0,15.5,1015.8
2021-03-21,16.7,13.0,22.0,0.0,309.0,16.4,1014.7
2021-03-22,16.8,13.0,23.0,0.0,333.0,13.9,1014.7
2021-03-23,16.7,14.0,21.0,0.0,267.0,10.7,1014.4
2021-03-24,16.7,14.0,21.0,0.0,263.0,11.6,1015.1
2021-03-25,16.0,13.0,20.0,0.0,318.0,16.3,1015.2
2021-03-26,14.5,12.0,19.0,0.0,353.0,13.4,1013.7
2021-03-27,15.1,13.0,19.0,0.0,7.0,20.2,1012.4
2021-03-28,15.7,14.0,20.0,0.0,299.0,12.1,1012.9
2021-03-29,15.9,14.0,21.2,0.0,223.0,10.2,1014.1
2021-03-30,14.7,12.0,19.0,0.0,242.0,13.0,1013.7
2021-03-31,14.8,12.0,19.0,0.0,271.0,12.0,1012.4
2021-04-01,16.2,13.0,21.0,0.0,213.0,11.7,1012.5
2021-04-02,14.7,11.0,20.0,0.0,212.0,11.4,1011.8
