time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,27.6,,,,,,
2021-01-02,26.5,21.9,28.4,1.0,174.0,3.9,1011.2
2021-01-03,21.5,21.0,30.8,0.6,138.0,3.2,1010.9
2021-01-04,25.2,20.5,31.1,0.0,133.0,3.6,1009.5
2021-01-05,25.9,21.7,31.1,0.1,151.0,5.9,1009.0
2021-01-06,25.9,21.6,30.9,30.0,81.0,4.9,1009.6
2021-01-07,27.3,21.7,31.9,0.0,252.0,5.5,1009.5
2021-01-08,25.1,21.5,29.7,4.8,251.0,6.6,1010.6
2021-01-09,25.8,21.3,31.7,0.3,252.0,5.7,1009.5
2021-01-10,27.9,22.0,32.3,0.2,194.0,5.1,1008.7
2021-01-11,27.2,21.8,30.8,2.7,239.0,5.1,1009.1
2021-01-12,27.9,21.7,31.4,6.1,243.0,5.9,1009.8
2021-01-13,25.9,21.8,31.8,9.7,255.0,6.1,1010.8
2021-01-14,25.5,21.8,30.8,1.0,241.0,8.3,1010.8
2021-01-15,25.8,20.9,32.0,0.5,213.0,5.8,1009.6
2021-01-16,25.1,21.8,31.2,0.3,171.0,4.6,1008.7
2021-01-17,26.8,21.0,31.4,0.2,285.0,4.0,1009.2
2021-01-18,27.0,21.6,31.6,0.3,249.0,4.9,1009.5
2021-01-19,26.9,22.3,31.4,0.5,228.0,6.0,1010.1
2021-01-20,27.1,21.5,32.0,0.5,241.0,4.4,1009.7
2021-01-21,25.6,22.8,31.5,0.0,180.0,4.0,1010.0
2021-01-22,25.7,21.8,32.1,1.2,262.0,3.7,1009.5
2021-01-23,26.6,21.6,29.9,0.8,239.0,7.9,1010.1
2021-01-24,26.6,21.3,32.1,0.0,232.0,6.7,1009.9
2021-01-25,25.8,22.0,32.4,0.1,158.0,4.7,1009.7
2021-01-26,27.7,21.8,32.5,0.7,177.0,4.8,1010.0
2021-01-27,23.7,21.0,31.4,18.8,270.0,4.9,1010.4
2021-01-28,26.0,20.5,32.7,0.2,186.0,5.2,1010.1
2021-01-29,24.7,21.8,29.4,2.4,237.0,4.1,1010.7
2021-01-30,23.5,21.0,29.9,9.9,234.0,5.4,1010.5
2021-01-31,27.7,21.0,32.5,4.1,253.0,4.8,1009.3
2021-02-01,27.4,21.0,32.0,0.0,240.0,5.4,1010.8
2021-02-02,27.8,21.5,32.0,0.2,226.0,6.3,1011.2
2021-02-03,26.0,22.0,32.5,1.5,214.0,4.1,1010.5
2021-02-04,26.4,22.2,32.4,17.0,213.0,5.2,1010.4
2021-02-05,27.7,21.0,33.7,0.5,197.0,3.7,1010.2
2021-02-06,26.2,22.0,31.4,0.0,213.0,4.8,1010.2
2021-02-07,27.5,21.8,32.1,0.1,278.0,5.2,1009.3
2021-02-08,27.2,22.2,31.4,1.2,297.0,5.8,1008.7
2021-02-09,27.3,22.5,34.0,1.5,253.0,6.8,1009.2
2021-02-10,26.8,22.4,32.9,0.0,271.0,6.3,1009.4
2021-02-11,27.6,22.1,34.9,0.0,263.0,6.3,1008.6
2021-02-12,27.8,23.2,33.6,0.0,266.0,7.4,1008.6
2021-02-13,27.3,22.6,33.3,3.1,242.0,7.8,1008.7
2021-02-14,28.9,22.7,33.7,0.4,234.0,5.4,1008.3
2021-02-15,25.9,23.0,31.5,4.2,251.0,6.7,1008.8
2021-02-16,25.8,22.4,32.5,5.3,256.0,6.7,1008.4
2021-02-17,25.8,21.2,31.7,0.6,247.0,5.0,1009.3
2021-02-18,26.4,20.0,32.7,0.0,288.0,5.5,1009.7
2021-02-19,24.9,18.2,34.6,0.0,302.0,5.3,1011.2
2021-02-20,26.1,21.7,33.0,0.2,256.0,4.7,1011.6
2021-02-21,26.8,21.1,33.7,0.0,273.0,4.7,1010.2
2021-02-22,28.1,20.5,34.8,0.0,249.0,5.8,1010.1
2021-02-23,24.7,21.5,30.0,8.3,243.0,6.1,1011.8
2021-02-24,27.3,22.0,35.2,0.0,272.0,4.2,1009.3
2021-02-25,28.7,22.1,33.1,0.7,246.0,7.1,1009.1
2021-02-26,27.5,22.9,31.5,0.9,237.0,9.1,1010.1
2021-02-27,28.8,21.7,34.1,0.0,248.0,5.7,1008.5
2021-02-28,29.0,22.0,35.9,0.1,216.0,5.1,1006.7
2021-03-01,28.6,22.5,35.0,4.3,258.0,6.1,1006.4
2021-03-02,25.8,21.5,30.2,2.0,222.0,7.8,1009.1
2021-03-03,26.9,21.3,34.8,0.0,228.0,4.8,1007.4
2021-03-04,28.5,24.0,35.9,0.0,232.0,6.0,1007.1
2021-03-05,29.8,23.2,34.6,0.2,254.0,7.6,1008.4
2021-03-06,23.6,20.5,29.1,29.0,246.0,7.2,1011.2
2021-03-07,25.6,20.8,31.9,0.0,229.0,6.0,1010.6
2021-03-08,26.2,22.6,31.2,0.1,219.0,4.8,1009.6
2021-03-09,29.2,22.4,33.2,0.0,218.0,4.1,1008.6
2021-03-10,27.5,23.0,33.7,0.1,204.0,5.4,1007.6
2021-03-11,25.9,21.0,31.9,5.4,256.0,7.5,1008.0
2021-03-12,26.6,20.7,32.5,0.3,242.0,6.5,1007.6
2021-03-13,27.9,21.5,32.8,2.6,263.0,6.5,1009.0
2021-03-14,28.4,23.0,31.7,8.8,273.0,6.9,1009.7
2021-03-15,25.5,22.3,30.5,3.8,270.0,7.9,1009.1
2021-03-16,23.8,20.9,29.0,5.4,253.0,6.7,1010.2
2021-03-17,25.2,21.0,31.0,0.2,246.0,4.8,1009.9
2021-03-18,24.9,21.2,31.5,17.8,282.0,3.4,1009.9
2021-03-19,24.6,21.5,29.6,6.4,252.0,5.8,1009.4
2021-03-20,24.7,20.7,29.9,1.6,251.0,7.2,1009.4
2021-03-21,25.4,19.5,31.4,0.0,243.0,3.7,1008.8
2021-03-22,24.9,20.5,31.7,6.5,154.0,4.3,1009.3
2021-03-23,25.6,21.0,31.7,0.3,286.0,5.8,1010.3
2021-03-24,24.9,22.1,28.3,4.1,264.0,8.2,1011.2
2021-03-25,23.5,21.5,28.0,4.8,250.0,7.9,1011.8
2021-03-26,24.1,20.4,28.2,0.5,233.0,5.8,1011.9
2021-03-27,25.5,20.9,30.8,1.9,129.0,4.7,1010.7
2021-03-28,25.8,21.7,31.7,3.7,85.0,5.0,1009.9
2021-03-29,25.1,22.0,32.0,5.2,243.0,5.2,1010.3
2021-03-30,25.8,22.0,31.5,1.9,188.0,4.7,1009.7
2021-03-31,24.0,21.8,28.2,14.4,218.0,5.4,1010.8
2021-04-01,24.6,21.5,32.5,1.8,206.0,4.6,1010.6
2021-04-02,26.4,21.4,33.0,1.9,229.0,4.8,1010.3
2021-04-03,25.6,21.5,30.6,2.4,230.0,5.4,1010.2
2021-04-04,26.5,21.6,33.2,0.1,217.0,4.5,1009.9
2021-04-05,27.2,22.3,33.7,3.2,228.0,4.4,1009.0
2021-04-06,26.1,22.5,33.0,4.9,251.0,5.4,1009.9
2021-04-07,26.8,22.5,32.6,0.0,201.0,5.6,1010.1
2021-04-08,27.0,22.2,34.4,0.8,150.0,5.7,1009.8
2021-04-09,26.9,21.4,33.3,0.0,141.0,3.8,1008.9
2021-04-10,25.9,21.7,32.2,2.4,202.0,5.1,1008.5
2021-04-11,25.7,22.2,31.8,7.1,215.0,6.2,1009.8
2021-04-12,26.1,22.1,32.5,0.9,242.0,4.2,1011.0
2021-04-13,26.5,23.0,33.0,2.3,190.0,4.1,1011.2
2021-04-14,25.8,23.0,31.5,2.0,229.0,5.4,1011.4
2021-04-15,27.1,21.8,33.5,2.1,160.0,4.9,1009.3
2021-04-16,26.0,22.8,32.2,7.7,221.0,5.7,1008.8
2021-04-17,26.6,22.8,33.3,9.2,281.0,5.0,1008.7
2021-04-18,25.2,22.5,31.5,15.0,241.0,4.9,1010.0
2021-04-19,25.2,21.5,31.4,6.7,279.0,6.4,1010.9
2021-04-20,25.5,21.7,31.0,0.0,230.0,5.6,1010.3
2021-04-21,26.3,21.9,32.7,1.7,168.0,5.4,1009.8
2021-04-22,26.4,22.1,32.0,3.2,301.0,4.6,1009.7
2021-04-23,26.0,22.2,32.8,0.7,244.0,7.1,1010.1
2021-04-24,23.8,21.0,27.2,8.2,276.0,6.1,1010.8
2021-04-25,26.6,22.0,33.0,2.8,268.0,4.1,1009.8
2021-04-26,26.5,21.9,33.7,0.8,214.0,3.4,1009.3
2021-04-27,25.0,22.2,30.6,6.0,265.0,5.0,1008.8
2021-04-28,25.1,22.4,30.9,11.4,253.0,4.6,1009.5
2021-04-29,24.9,23.0,28.1,2.7,267.0,4.6,1010.1
2021-04-30,25.0,22.0,30.3,4.6,229.0,5.7,1010.0
2021-05-01,24.1,23.0,26.2,9.7,200.0,3.2,1010.2
2021-05-02,25.7,21.5,31.7,0.2,150.0,3.8,1009.6
2021-05-03,25.4,21.7,31.8,5.8,248.0,4.5,1009.5
2021-05-04,25.8,21.9,31.5,0.6,273.0,3.0,1009.1
2021-05-05,24.1,22.5,28.5,7.7,253.0,6.3,1010.6
2021-05-06,23.4,22.0,26.6,8.3,231.0,5.6,1012.7
2021-05-07,24.5,21.3,29.7,1.2,220.0,4.0,1013.2
