time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,10.2,5.6,14.1,0.0,301.0,18.2,1014.2
2021-01-02,8.7,5.5,13.0,0.0,295.0,19.5,1015.7
2021-01-03,8.1,3.8,13.8,0.0,287.0,19.4,1018.0
2021-01-04,7.1,2.5,14.5,0.0,300.0,13.2,1015.0
2021-01-05,9.0,3.7,14.8,3.1,298.0,13.3,1011.1
2021-01-06,10.2,9.0,12.3,14.7,83.0,15.1,1010.4
2021-01-07,9.9,8.3,11.3,56.4,272.0,11.5,1007.1
2021-01-08,11.7,10.3,13.9,38.7,88.0,30.4,1002.6
2021-01-09,11.0,7.3,14.1,1.4,213.0,10.5,1004.0
2021-01-10,6.8,3.9,8.6,21.5,294.0,10.7,1009.9
2021-01-11,8.3,5.6,13.5,0.0,271.0,13.5,1019.0
2021-01-12,7.7,3.2,14.7,0.0,284.0,14.8,1028.1
2021-01-13,8.4,1.6,16.3,0.0,295.0,13.8,1028.8
2021-01-14,12.8,9.7,17.1,0.0,278.0,30.8,1025.6
2021-01-15,13.2,7.5,19.0,0.0,279.0,28.7,1024.4
2021-01-16,13.3,7.6,18.7,0.0,278.0,23.5,1026.0
2021-01-17,9.3,3.7,16.7,0.0,280.0,10.9,1028.6
2021-01-18,9.1,3.8,16.6,0.0,282.0,11.1,1026.9
2021-01-19,9.3,3.9,16.1,0.0,297.0,12.0,1025.9
2021-01-20,10.3,5.3,13.3,15.3,83.0,7.8,1018.3
2021-01-21,12.4,6.7,18.7,0.1,257.0,9.1,1020.3
2021-01-22,15.0,10.1,20.2,0.0,295.0,14.6,1018.4
2021-01-23,14.9,11.8,19.4,0.0,252.0,9.9,1020.7
2021-01-24,15.7,12.4,20.4,0.0,292.0,9.5,1017.5
2021-01-25,16.1,11.2,20.7,0.0,295.0,10.3,1018.9
2021-01-26,17.5,15.0,21.6,0.0,298.0,16.7,1024.2
2021-01-27,19.2,15.9,23.9,0.0,280.0,27.3,1024.5
2021-01-28,15.3,11.4,21.4,0.0,307.0,9.6,1024.0
2021-01-29,17.1,11.2,26.0,0.0,276.0,14.2,1021.5
