time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,26.7,23.5,29.0,0.0,65.0,17.3,1009.0
2021-01-02,28.6,24.0,31.0,3.6,60.0,24.4,1009.0
2021-01-03,28.9,25.7,31.0,0.3,58.0,22.1,1008.1
2021-01-04,27.5,27.0,29.1,0.0,69.0,16.4,1008.4
2021-01-05,26.9,25.0,30.0,0.3,137.0,14.9,1009.3
2021-01-06,27.9,25.2,30.0,2.8,301.0,10.3,1009.1
2021-01-07,28.6,26.4,31.0,0.0,10.0,6.8,1007.8
2021-01-08,28.1,26.4,30.5,,322.0,6.2,1007.4
2021-01-09,28.8,26.9,31.0,0.0,284.0,8.8,1007.9
2021-01-10,28.9,27.0,31.0,0.0,263.0,9.0,1008.5
2021-01-11,28.7,27.0,31.0,0.0,309.0,10.3,1009.3
2021-01-12,26.8,23.9,28.4,0.8,308.0,24.2,1009.3
2021-01-13,28.3,24.8,30.0,0.0,302.0,26.7,1008.4
2021-01-14,28.9,27.5,31.0,0.0,285.0,17.2,1008.2
2021-01-15,29.3,27.4,32.0,0.0,251.0,16.1,1008.1
2021-01-16,29.3,27.7,31.6,0.0,244.0,13.4,1007.8
2021-01-17,29.4,27.0,32.0,0.0,187.0,8.7,1008.4
2021-01-18,28.8,27.0,32.0,0.0,114.0,17.4,1009.2
2021-01-19,28.9,24.2,31.0,0.8,83.0,19.6,1009.8
2021-01-20,29.1,27.9,32.0,0.0,30.0,14.6,1010.7
2021-01-21,29.0,26.5,32.0,0.0,0.0,9.3,1010.8
2021-01-22,28.9,27.4,32.0,0.0,345.0,10.4,1010.3
2021-01-23,29.5,26.6,32.0,0.0,115.0,10.5,1010.2
2021-01-24,29.4,27.6,32.0,0.0,84.0,19.9,1010.5
2021-01-25,29.4,27.6,32.0,0.0,80.0,23.8,1010.9
2021-01-26,29.0,27.5,31.5,0.0,64.0,22.2,1010.4
2021-01-27,28.7,26.4,32.0,0.0,52.0,22.9,1010.5
2021-01-28,28.6,26.1,31.4,0.0,56.0,20.9,1011.0
2021-01-29,28.8,26.0,31.0,0.0,62.0,20.1,1011.2
2021-01-30,28.9,26.5,31.5,0.0,60.0,18.8,1010.7
2021-01-31,29.1,27.0,32.0,0.0,66.0,22.6,1010.6
2021-02-01,28.9,27.1,31.0,0.0,66.0,21.9,1011.4
2021-02-02,29.4,25.5,32.0,0.0,78.0,31.5,1011.5
2021-02-03,29.3,27.6,32.0,0.0,70.0,26.2,1011.4
2021-02-04,29.2,28.0,32.0,0.0,69.0,29.8,1011.3
2021-02-05,28.6,27.0,31.0,0.0,57.0,19.8,1011.3
2021-02-06,28.7,25.9,31.0,0.0,61.0,14.8,1010.4
2021-02-07,29.1,26.9,31.4,0.0,71.0,19.8,1009.9
2021-02-08,29.3,27.4,31.4,0.0,69.0,28.0,1010.2
2021-02-09,28.8,27.8,31.0,0.0,68.0,25.9,1010.1
2021-02-10,29.2,26.1,31.4,0.0,42.0,17.7,1009.7
2021-02-11,28.7,27.0,31.0,,65.0,22.1,1009.4
2021-02-12,28.6,27.0,31.0,,73.0,21.2,1010.1
2021-02-13,28.4,27.0,31.0,,74.0,21.2,1011.4
2021-02-14,28.9,27.0,31.2,0.0,75.0,17.7,1011.8
2021-02-15,28.9,26.2,31.0,0.0,44.0,14.8,1011.0
2021-02-16,29.4,27.0,32.0,0.0,68.0,13.7,1010.5
2021-02-17,29.3,27.4,31.0,0.0,64.0,17.1,1009.5
2021-02-18,29.2,27.7,32.0,,76.0,18.3,1010.5
2021-02-19,30.2,27.5,32.0,,64.0,20.8,1010.6
2021-02-20,29.1,27.0,31.0,,49.0,16.6,1009.9
2021-02-21,28.4,26.8,31.0,,61.0,12.7,1010.4
2021-02-22,29.4,26.9,32.0,0.0,65.0,18.0,1011.3
2021-02-23,29.3,27.0,32.0,0.0,58.0,19.0,1010.5
2021-02-24,29.3,27.4,31.5,0.0,58.0,16.6,1010.1
2021-02-25,29.3,27.6,32.0,0.0,50.0,17.4,1010.7
2021-02-26,29.3,26.4,31.5,0.0,12.0,11.2,1009.9
2021-02-27,29.1,26.4,31.1,0.0,327.0,10.1,1008.8
2021-02-28,29.1,26.4,31.0,,300.0,5.6,1008.7
2021-03-01,29.5,27.4,31.5,0.0,304.0,10.9,1011.4
2021-03-02,29.5,27.5,32.0,,72.0,17.2,1011.1
2021-03-03,29.3,27.0,32.0,,60.0,17.0,1010.1
2021-03-04,29.3,27.0,31.0,,70.0,19.0,1009.5
2021-03-05,29.6,27.9,32.0,,99.0,21.3,1011.1
2021-03-06,29.7,27.5,32.0,0.0,75.0,16.3,1011.7
2021-03-07,29.5,26.9,32.0,0.0,58.0,16.1,1010.8
2021-03-08,29.4,27.1,31.0,0.0,26.0,10.8,1010.3
2021-03-09,29.2,25.7,31.0,0.5,80.0,17.4,1010.8
2021-03-10,27.9,25.0,31.0,1.0,112.0,14.6,1011.4
2021-03-11,27.0,24.0,31.0,,104.0,12.4,1011.9
2021-03-12,29.1,27.0,32.0,,87.0,20.0,1011.3
2021-03-13,29.8,28.0,32.0,,103.0,19.9,1010.9
2021-03-14,29.1,26.0,32.0,,87.0,18.3,1010.0
2021-03-15,28.9,25.8,32.0,,105.0,13.6,1009.3
2021-03-16,28.2,24.0,31.4,,59.0,9.9,1010.1
2021-03-17,29.1,27.0,31.1,,51.0,12.7,1009.1
2021-03-18,29.6,27.0,32.0,,35.0,9.0,1009.5
2021-03-19,29.2,27.0,31.0,,357.0,5.9,1009.9
2021-03-20,29.5,27.8,32.0,,304.0,8.0,1009.2
2021-03-21,29.6,27.7,32.0,,276.0,10.8,1008.2
2021-03-22,29.8,28.0,32.0,,306.0,9.9,1009.1
2021-03-23,29.5,28.0,31.4,,8.0,8.3,1009.7
2021-03-24,28.1,24.5,32.0,,123.0,10.4,1009.9
2021-03-25,28.6,26.0,31.1,,85.0,11.4,1008.9
2021-03-26,29.4,26.8,32.0,,67.0,11.9,1008.2
2021-03-27,27.7,25.0,29.4,,123.0,17.9,1008.4
2021-03-28,29.2,27.0,32.0,,144.0,10.7,1008.3
2021-03-29,27.5,25.2,29.0,,189.0,22.6,1009.3
2021-03-30,29.3,27.0,32.0,,197.0,13.5,1007.9
2021-03-31,29.2,28.6,31.0,,278.0,17.1,1007.6
2021-04-01,29.6,28.8,31.1,,290.0,20.1,1008.8
2021-04-02,29.8,28.0,32.0,,266.0,18.7,1009.0
2021-04-03,29.6,27.5,32.0,,270.0,19.8,1009.3
2021-04-04,29.6,28.0,31.0,,304.0,15.8,1009.9
2021-04-05,30.2,28.9,32.0,,327.0,15.8,1009.9
2021-04-06,30.0,28.7,32.0,,311.0,13.2,1010.3
2021-04-07,29.9,28.0,32.0,,279.0,12.4,1011.1
2021-04-08,30.0,28.0,32.0,,262.0,17.4,1009.9
2021-04-09,29.6,28.5,31.2,,255.0,14.8,1008.9
2021-04-10,30.0,28.5,33.0,,245.0,12.3,1009.5
2021-04-11,30.2,28.0,32.6,,262.0,9.7,1010.5
2021-04-12,30.0,28.0,32.0,,282.0,6.9,1011.4
2021-04-13,30.0,28.0,32.2,,268.0,9.3,1010.8
2021-04-14,29.4,27.0,32.0,,263.0,9.5,1010.3
2021-04-15,29.6,27.0,32.0,,240.0,14.5,1010.4
2021-04-16,29.3,28.0,31.5,,243.0,16.4,1010.7
2021-04-17,29.8,28.0,32.0,,247.0,11.9,1011.0
2021-04-18,29.7,26.8,32.8,,206.0,13.5,1012.4
2021-04-19,30.0,28.0,32.2,,204.0,13.0,1011.0
2021-04-20,29.6,28.0,32.0,,247.0,11.6,1010.0
2021-04-21,29.9,28.5,32.0,,233.0,14.6,1010.8
2021-04-22,30.1,28.5,32.0,,239.0,17.3,1011.1
2021-04-23,29.8,28.0,32.0,,251.0,21.6,1011.1
2021-04-24,30.0,28.9,32.1,,247.0,18.9,1009.9
2021-04-25,30.4,28.6,33.0,,246.0,14.2,1009.4
