time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,27.7,25.0,31.0,,65.0,12.1,
2021-01-02,28.1,24.0,31.0,0.9,48.0,10.2,1011.1
2021-01-03,28.1,25.0,31.0,6.5,41.0,10.5,1010.8
2021-01-04,27.9,25.0,31.0,0.9,41.0,17.1,1010.2
2021-01-05,27.5,25.0,31.0,0.4,57.0,16.9,1010.7
2021-01-06,27.4,24.0,30.0,0.6,50.0,19.8,1011.0
2021-01-07,27.3,24.0,30.0,0.0,51.0,16.9,1009.5
2021-01-08,28.0,25.0,30.0,0.8,52.0,18.5,1008.2
2021-01-09,27.3,26.0,29.7,0.1,55.0,14.8,1008.2
2021-01-10,26.6,25.1,29.1,1.4,36.0,11.7,1009.7
2021-01-11,27.1,25.2,29.8,0.1,49.0,17.0,1009.7
2021-01-12,27.2,25.8,29.8,0.6,54.0,18.4,1010.7
2021-01-13,27.1,25.5,29.6,1.0,58.0,17.3,1010.9
2021-01-14,26.9,25.0,29.7,0.5,62.0,15.4,1010.6
2021-01-15,26.9,24.7,30.0,0.0,64.0,13.8,1010.0
2021-01-16,27.0,24.2,30.0,0.0,63.0,12.3,1009.3
2021-01-17,27.1,24.3,30.0,0.0,65.0,13.2,1009.0
2021-01-18,26.8,24.8,30.7,0.3,60.0,13.5,1008.4
2021-01-19,27.2,23.8,31.1,0.0,49.0,12.7,1008.9
2021-01-20,26.8,22.8,30.9,0.1,44.0,14.4,1010.1
2021-01-21,28.1,25.4,31.0,1.3,57.0,22.6,1010.4
2021-01-22,27.9,25.7,30.0,2.8,62.0,20.6,1011.0
2021-01-23,27.7,26.0,31.0,0.0,64.0,19.3,1011.1
2021-01-24,27.7,25.0,31.0,0.0,59.0,16.4,1010.7
2021-01-25,27.7,26.0,30.0,0.6,66.0,15.5,1011.7
2021-01-26,27.9,24.9,31.0,0.7,59.0,14.7,1011.7
2021-01-27,27.2,23.0,31.0,0.0,44.0,13.8,1010.6
2021-01-28,27.5,25.0,30.0,0.1,50.0,15.4,1010.7
2021-01-29,28.3,25.7,31.0,0.0,70.0,22.1,1011.6
2021-01-30,28.0,25.8,31.0,0.1,67.0,20.1,1011.1
2021-01-31,28.0,26.0,31.0,0.0,66.0,19.2,1010.2
2021-02-01,27.4,24.0,31.0,0.0,57.0,15.0,1012.0
2021-02-02,27.3,22.0,30.0,0.0,52.0,13.5,1013.0
2021-02-03,28.1,25.0,31.0,0.3,56.0,15.2,1012.3
2021-02-04,27.9,24.0,31.0,0.3,57.0,12.1,1011.4
2021-02-05,28.5,26.0,32.0,0.8,57.0,14.2,1011.3
2021-02-06,28.3,25.0,31.0,0.8,70.0,13.4,1009.5
2021-02-07,28.2,25.0,31.0,0.0,54.0,15.0,1008.2
2021-02-08,28.5,26.9,31.0,0.3,50.0,17.0,1009.4
2021-02-09,28.0,26.5,31.0,0.0,51.0,19.7,1010.3
2021-02-10,28.0,25.0,31.0,0.5,50.0,19.7,1009.7
2021-02-11,27.8,25.7,31.0,0.4,59.0,16.8,1009.7
2021-02-12,27.5,25.0,30.0,0.0,54.0,13.5,1009.1
2021-02-13,28.2,26.0,31.0,0.0,77.0,18.5,1009.7
2021-02-14,27.7,25.0,31.0,0.0,57.0,18.0,1010.3
2021-02-15,27.2,25.9,29.7,0.0,63.0,17.6,1009.7
2021-02-16,27.3,25.8,30.0,0.0,66.0,20.1,1009.4
2021-02-17,27.4,25.0,30.0,0.0,68.0,14.8,1009.9
2021-02-18,27.1,23.0,30.3,0.0,57.0,8.9,1010.3
2021-02-19,27.0,23.0,32.0,0.0,55.0,9.6,1010.1
2021-02-20,27.9,25.5,31.0,0.0,74.0,14.0,1010.0
2021-02-21,26.8,25.7,31.0,0.0,67.0,16.5,1010.1
2021-02-22,27.3,25.0,31.0,0.3,50.0,11.8,1010.9
2021-02-23,27.3,24.1,31.0,0.3,53.0,14.2,1010.5
2021-02-24,28.6,24.9,31.0,1.4,72.0,13.8,1010.5
2021-02-25,27.0,24.5,30.5,0.7,72.0,10.5,1010.0
2021-02-26,27.0,24.0,30.3,0.0,54.0,11.3,1009.0
2021-02-27,27.7,24.0,30.6,0.0,44.0,13.7,1008.2
2021-02-28,27.8,24.1,30.4,0.0,63.0,12.9,1008.9
2021-03-01,28.8,24.9,31.0,0.0,76.0,13.4,1009.7
2021-03-02,28.6,25.0,31.0,0.0,63.0,15.2,1009.9
2021-03-03,29.2,25.5,31.0,0.1,65.0,17.4,1009.2
2021-03-04,28.9,26.5,31.0,0.4,61.0,17.1,1009.9
2021-03-05,28.2,26.0,31.0,0.0,56.0,16.7,1009.8
