time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,27.8,24.7,32.0,,72.0,4.9,1011.1
2021-01-02,28.8,25.0,33.0,5.9,54.0,8.3,1009.6
2021-01-03,25.8,23.0,29.0,24.6,344.0,7.4,1009.9
2021-01-04,25.6,24.0,29.0,5.6,49.0,4.9,1009.8
2021-01-05,26.1,23.7,31.1,6.0,44.0,7.2,1009.3
2021-01-06,26.9,23.0,31.2,2.5,77.0,6.7,1009.8
2021-01-07,25.6,23.0,29.0,4.6,226.0,4.9,1010.8
2021-01-08,26.2,22.0,31.0,12.4,232.0,9.0,1011.3
2021-01-09,25.3,22.0,29.5,12.3,316.0,7.9,1011.2
2021-01-10,24.6,22.0,26.0,9.2,340.0,8.8,1012.1
2021-01-11,26.1,23.0,29.1,5.7,330.0,5.1,1011.5
2021-01-12,26.1,24.7,30.0,8.8,21.0,5.6,1010.9
2021-01-13,26.3,24.0,30.0,6.4,31.0,5.8,1010.6
2021-01-14,25.5,24.0,29.5,5.3,260.0,5.2,1009.6
2021-01-15,25.1,23.7,28.0,13.4,139.0,5.1,1009.5
2021-01-16,26.9,23.0,32.2,0.7,342.0,6.8,1008.8
2021-01-17,28.3,24.4,33.0,0.6,21.0,5.7,1008.3
2021-01-18,25.1,23.9,28.0,18.4,38.0,5.7,1009.8
2021-01-19,25.4,24.0,29.0,16.1,54.0,5.1,1010.1
2021-01-20,24.3,22.6,26.0,25.7,358.0,8.5,1011.1
2021-01-21,24.2,23.0,26.0,7.2,56.0,5.1,1011.4
2021-01-22,26.4,23.0,31.0,2.0,59.0,6.9,1011.3
2021-01-23,26.6,23.0,30.0,2.4,62.0,8.4,1010.3
2021-01-24,27.0,25.0,30.0,14.7,357.0,6.2,1010.1
2021-01-25,26.7,24.0,30.0,8.9,107.0,5.9,1010.0
2021-01-26,25.2,23.7,30.0,5.4,19.0,6.5,1010.1
2021-01-27,25.9,23.7,29.0,8.1,47.0,5.9,1010.4
2021-01-28,25.0,23.0,27.0,10.3,59.0,4.9,1010.0
2021-01-29,24.8,23.9,26.0,4.6,25.0,4.8,1009.9
2021-01-30,25.3,23.0,28.0,4.9,42.0,6.1,1010.6
2021-01-31,27.0,24.0,32.0,3.7,65.0,5.7,1010.3
2021-02-01,27.4,24.0,31.0,5.4,114.0,6.3,1009.3
2021-02-02,25.7,24.0,28.0,19.4,337.0,5.8,1009.8
2021-02-03,25.9,24.0,29.0,4.2,43.0,5.7,1010.9
2021-02-04,27.9,25.0,33.0,1.0,80.0,4.8,1010.2
2021-02-05,28.5,25.7,32.0,6.2,29.0,7.4,1009.5
2021-02-06,26.2,24.0,31.0,19.3,287.0,8.5,1011.2
2021-02-07,26.1,24.0,29.0,2.1,359.0,7.4,1011.2
2021-02-08,26.1,23.0,29.1,2.0,42.0,7.0,1010.2
2021-02-09,26.5,23.7,30.0,10.8,342.0,8.7,1010.2
2021-02-10,26.7,23.0,32.0,15.0,60.0,9.0,1009.5
2021-02-11,26.8,25.0,31.0,0.7,62.0,9.6,1009.5
2021-02-12,25.6,24.0,28.0,5.5,43.0,7.5,1009.9
2021-02-13,25.0,23.5,29.0,3.9,47.0,5.5,1010.1
2021-02-14,24.1,22.7,25.0,12.5,270.0,4.9,1010.7
2021-02-15,24.7,23.7,27.6,3.7,134.0,5.7,1011.2
2021-02-16,26.7,24.0,31.0,0.3,49.0,7.7,1010.9
2021-02-17,27.1,24.0,32.5,1.4,38.0,8.1,1010.5
2021-02-18,28.0,24.0,32.0,2.0,74.0,7.1,1010.5
2021-02-19,28.2,24.0,33.0,2.6,43.0,7.4,1010.2
2021-02-20,23.5,21.0,27.0,21.3,199.0,8.6,1012.6
2021-02-21,26.1,23.0,31.0,0.6,51.0,7.9,1011.5
2021-02-22,27.3,24.0,31.0,1.0,58.0,9.4,1011.0
2021-02-23,27.2,25.0,30.0,0.3,63.0,10.0,1011.1
2021-02-24,27.7,25.0,32.0,0.3,38.0,5.7,1010.7
2021-02-25,25.0,23.0,27.0,25.1,329.0,6.4,1010.7
2021-02-26,24.8,24.0,27.0,10.9,48.0,4.7,1009.5
2021-02-27,26.5,23.0,30.0,7.8,49.0,6.8,1009.5
2021-02-28,25.4,24.0,27.0,8.5,3.0,6.7,1008.8
2021-03-01,25.8,24.0,29.0,6.5,20.0,7.1,1008.0
2021-03-02,24.9,23.0,29.5,9.7,49.0,5.9,1009.8
2021-03-03,24.2,23.0,28.6,8.2,47.0,7.7,1011.7
2021-03-04,25.6,23.0,29.0,0.9,52.0,5.1,1011.7
2021-03-05,26.0,24.0,31.0,5.7,7.0,3.9,1010.9
2021-03-06,24.9,23.6,28.0,14.5,76.0,5.5,1011.1
2021-03-07,26.9,23.6,31.0,1.2,68.0,5.6,1010.9
2021-03-08,25.4,24.0,27.2,12.5,19.0,6.1,1011.1
2021-03-09,24.2,22.9,27.2,15.6,98.0,7.0,1011.6
2021-03-10,24.4,23.0,28.6,18.0,324.0,8.2,1011.4
2021-03-11,24.6,23.0,27.0,6.6,40.0,7.3,1012.0
2021-03-12,26.5,23.6,30.0,1.3,84.0,6.5,1012.4
2021-03-13,25.9,23.7,29.0,2.3,307.0,6.0,1012.6
2021-03-14,26.4,24.5,30.0,10.9,27.0,4.8,1011.8
2021-03-15,26.8,24.0,31.0,2.5,52.0,5.8,1011.1
2021-03-16,26.5,21.0,30.2,1.2,65.0,6.2,1010.1
2021-03-17,27.1,24.0,30.0,10.8,28.0,10.3,1010.2
2021-03-18,24.2,21.8,26.0,8.4,307.0,7.5,1011.1
2021-03-19,26.2,23.8,29.0,0.9,77.0,5.2,1010.2
2021-03-20,26.3,22.9,31.0,1.2,79.0,10.2,1011.1
2021-03-21,25.2,23.0,28.2,2.4,66.0,7.0,1011.7
2021-03-22,27.2,23.0,32.0,3.3,65.0,7.6,1011.0
2021-03-23,26.2,23.7,30.0,17.1,50.0,9.2,1011.3
2021-03-24,24.9,22.0,27.0,4.0,315.0,6.2,1012.7
2021-03-25,26.7,24.0,30.3,0.8,63.0,6.5,1012.4
2021-03-26,27.5,24.7,33.0,0.5,73.0,7.3,1011.2
2021-03-27,26.9,24.0,31.0,4.1,63.0,7.1,1010.8
2021-03-28,26.4,24.0,31.0,17.4,60.0,7.8,1010.3
2021-03-29,26.6,25.0,31.0,19.7,199.0,5.7,1010.6
2021-03-30,25.2,24.0,27.5,9.7,251.0,7.6,1010.7
2021-03-31,24.5,21.7,26.5,17.9,185.0,6.3,1010.2
2021-04-01,26.0,24.0,29.0,4.6,114.0,5.2,1009.8
2021-04-02,26.9,23.7,31.0,1.9,24.0,9.4,1010.2
2021-04-03,27.1,24.0,31.7,3.5,18.0,7.9,1010.1
2021-04-04,27.7,24.0,32.0,10.7,29.0,6.4,1009.5
2021-04-05,27.2,25.0,32.0,6.1,101.0,4.7,1010.1
2021-04-06,27.4,25.0,31.0,7.1,150.0,4.3,1010.7
2021-04-07,27.7,25.0,31.0,2.4,180.0,8.0,1010.4
