time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,27.4,22.1,34.6,,133.0,22.8,1012.7
2021-01-02,22.4,20.6,25.2,0.5,199.0,30.7,1021.0
2021-01-03,25.4,20.0,30.7,4.1,171.0,18.5,1017.1
2021-01-04,27.5,22.9,32.8,0.0,65.0,14.4,1011.9
2021-01-05,28.9,25.0,35.0,,39.0,17.6,1007.6
2021-01-06,26.4,24.0,29.0,,189.0,17.9,1008.9
2021-01-07,25.7,23.5,28.6,0.5,198.0,21.5,1013.6
2021-01-08,25.9,22.5,32.4,0.0,145.0,14.0,1010.5
2021-01-09,27.5,24.8,31.0,,130.0,14.1,1010.2
2021-01-10,27.6,22.8,32.2,,70.0,14.7,1009.2
2021-01-11,27.5,23.4,32.2,0.0,160.0,17.5,1012.5
2021-01-12,28.2,23.0,33.0,0.0,156.0,13.6,1012.4
2021-01-13,29.1,25.3,32.0,,154.0,15.5,1013.1
2021-01-14,28.4,23.9,32.0,,136.0,14.7,1011.3
2021-01-15,29.3,24.6,34.6,,98.0,16.3,1007.2
2021-01-16,29.9,25.5,39.2,,353.0,18.9,1003.4
2021-01-17,26.3,24.6,28.1,,200.0,23.2,1008.2
2021-01-18,26.7,23.2,30.6,,174.0,24.1,1011.7
2021-01-19,26.8,22.5,31.0,,139.0,16.0,1012.4
2021-01-20,28.3,23.5,32.0,,160.0,17.9,1013.3
2021-01-21,26.4,22.6,30.5,0.0,172.0,20.0,1015.6
2021-01-22,26.9,22.0,31.0,0.0,136.0,12.0,1013.9
2021-01-23,27.3,24.0,31.0,,162.0,12.7,1010.7
2021-01-24,28.4,24.0,32.0,,114.0,21.6,1007.8
2021-01-25,22.8,20.9,24.0,50.0,212.0,19.0,1013.0
2021-01-26,26.2,21.6,31.3,26.9,24.0,12.6,1012.6
2021-01-27,29.1,24.7,34.7,0.0,21.0,16.8,1008.9
2021-01-28,24.9,23.5,27.0,,205.0,18.9,1011.9
2021-01-29,26.9,23.4,31.0,,173.0,14.8,1013.5
2021-01-30,28.3,25.0,32.0,,110.0,10.7,1011.2
2021-01-31,28.4,25.2,33.0,,30.0,12.3,1008.7
2021-02-01,27.1,22.7,35.0,,356.0,19.3,1010.1
2021-02-02,21.8,20.7,24.0,,208.0,29.0,1019.2
2021-02-03,24.3,20.0,28.0,,213.0,16.8,1014.6
2021-02-04,28.0,24.0,34.0,,357.0,10.4,1011.6
2021-02-05,27.3,24.0,32.0,3.0,188.0,14.3,1013.4
2021-02-06,27.4,24.7,30.0,0.0,152.0,12.4,1012.8
2021-02-07,27.1,24.7,31.8,,44.0,7.0,1009.5
2021-02-08,28.1,23.9,32.7,,157.0,11.5,1010.3
2021-02-09,27.7,25.0,31.0,,150.0,13.5,1013.0
2021-02-10,26.9,23.6,31.0,,166.0,16.9,1013.0
2021-02-11,27.7,24.0,32.0,,187.0,21.7,1011.3
2021-02-12,25.8,24.0,29.0,,170.0,19.3,1007.6
2021-02-13,25.6,24.0,27.0,,213.0,17.9,1005.0
2021-02-14,27.1,24.6,29.0,,154.0,16.5,1003.6
2021-02-15,26.4,23.0,31.0,41.9,174.0,19.9,1002.3
2021-02-16,23.6,19.9,27.0,16.0,204.0,45.8,1008.1
2021-02-17,24.8,21.9,29.0,0.0,202.0,33.6,1009.4
2021-02-18,26.4,22.4,32.1,,186.0,22.0,1007.4
2021-02-19,26.3,24.5,30.0,0.0,213.0,33.9,1007.5
2021-02-20,28.9,25.0,34.0,,228.0,22.1,1004.4
2021-02-21,26.9,23.5,33.0,,166.0,17.5,1008.2
2021-02-22,27.1,24.6,30.0,,150.0,15.7,1017.6
2021-02-23,27.1,23.0,31.1,,35.0,12.1,1016.1
2021-02-24,27.4,24.0,31.0,,58.0,9.2,1012.3
2021-02-25,24.7,23.0,29.0,4.1,221.0,12.4,1010.3
2021-02-26,24.2,22.5,28.0,,200.0,18.0,1012.8
2021-02-27,24.7,21.0,28.1,,182.0,19.8,1015.9
2021-02-28,24.2,20.6,27.7,,195.0,17.5,1017.8
2021-03-01,23.7,20.5,27.0,,187.0,16.6,1018.5
2021-03-02,24.9,20.9,28.1,,178.0,14.9,1016.9
2021-03-03,25.4,20.7,29.5,,160.0,11.9,1012.8
2021-03-04,25.8,19.6,31.0,,68.0,9.0,1009.8
2021-03-05,26.7,21.0,31.0,,86.0,12.1,1010.8
2021-03-06,26.4,23.6,29.2,,172.0,16.3,1014.4
2021-03-07,26.7,23.0,30.0,,52.0,11.8,1012.6
2021-03-08,28.3,23.9,34.8,,33.0,16.1,1009.4
2021-03-09,28.9,23.0,36.7,,37.0,17.1,1007.7
2021-03-10,30.6,24.0,38.4,,20.0,19.3,1006.5
2021-03-11,29.9,26.0,37.2,,46.0,18.7,1008.2
2021-03-12,27.2,25.0,32.0,0.8,169.0,18.4,1015.4
2021-03-13,27.0,23.5,31.0,1.0,142.0,10.9,1017.2
2021-03-14,26.8,22.0,31.0,0.0,130.0,11.3,1016.1
2021-03-15,26.7,22.0,32.0,,169.0,10.5,1012.1
2021-03-16,27.3,22.0,33.0,,52.0,12.7,1012.4
2021-03-17,27.6,24.0,32.0,,50.0,12.5,1012.4
2021-03-18,27.0,22.0,34.0,,13.0,12.1,1012.0
2021-03-19,27.1,23.0,32.0,,196.0,9.2,1013.2
2021-03-20,26.7,20.2,31.0,,182.0,11.3,1013.4
2021-03-21,26.0,23.6,32.3,0.0,266.0,12.9,1011.7
2021-03-22,24.9,22.7,29.4,14.0,207.0,19.8,1016.2
2021-03-23,24.4,20.7,28.7,,191.0,16.3,1019.6
2021-03-24,24.5,21.0,28.1,,171.0,13.1,1017.8
2021-03-25,24.8,21.0,28.2,,157.0,10.6,1013.1
