time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,26.9,22.4,33.3,,18.0,11.8,1012.7
2021-01-02,27.0,23.4,32.3,,41.0,19.0,1012.4
2021-01-03,26.9,24.2,31.7,,36.0,18.6,1012.4
2021-01-04,,,,,,,
2021-01-05,25.8,21.5,33.0,,24.0,9.7,1011.3
2021-01-06,26.3,22.4,32.7,,2.0,9.2,1011.5
2021-01-07,27.0,22.8,33.7,,357.0,8.9,1011.5
2021-01-08,26.2,24.1,29.6,,15.0,8.2,1012.0
2021-01-09,26.1,24.2,29.9,,357.0,7.1,1011.3
2021-01-10,26.4,22.9,31.0,,8.0,9.9,1011.4
2021-01-11,26.8,24.0,31.5,,33.0,13.7,1011.9
2021-01-12,26.1,21.8,31.4,,20.0,13.7,1012.1
2021-01-13,26.6,23.1,31.9,,23.0,8.8,1010.6
2021-01-14,26.5,21.6,32.7,,8.0,9.6,1009.8
2021-01-15,26.5,22.2,32.4,,7.0,11.7,1010.2
2021-01-16,26.7,22.7,33.0,,15.0,9.6,1010.7
2021-01-17,26.7,22.3,32.4,,16.0,11.8,1010.9
2021-01-18,26.5,22.3,32.4,,16.0,11.8,1011.8
2021-01-19,27.0,22.7,33.4,,30.0,13.8,1012.1
2021-01-20,27.1,23.6,32.6,,27.0,15.7,1010.9
2021-01-21,27.0,22.8,33.0,,23.0,11.7,1010.7
2021-01-22,27.2,22.9,33.4,,37.0,11.0,1011.1
2021-01-23,,,,,,,
2021-01-24,27.5,23.5,33.6,,23.0,15.8,1010.6
2021-01-25,27.0,22.9,32.7,,31.0,15.7,1010.5
2021-01-26,27.2,23.2,33.5,,30.0,12.8,1010.9
2021-01-27,27.0,22.5,33.8,,30.0,10.8,1011.0
2021-01-28,,,,,,,
2021-01-29,26.4,22.7,31.2,,14.0,16.5,1011.1
2021-01-30,26.7,22.0,33.4,,28.0,14.2,1011.3
2021-01-31,27.4,22.8,34.4,,47.0,12.0,1010.5
2021-02-01,,,,,,,
2021-02-02,27.5,22.6,34.7,,355.0,10.5,1008.8
2021-02-03,27.8,24.0,34.1,,5.0,15.5,1009.5
2021-02-04,28.1,24.1,35.3,,20.0,14.7,1010.6
2021-02-05,28.0,23.8,35.0,,19.0,15.9,1010.3
2021-02-06,27.3,23.1,33.3,,14.0,14.5,1011.1
2021-02-07,27.3,22.5,34.0,,13.0,12.9,1010.2
2021-02-08,27.3,23.1,33.7,,14.0,16.4,1010.8
2021-02-09,27.6,24.0,33.7,,35.0,15.9,1011.4
2021-02-10,27.2,23.3,32.8,,21.0,14.1,1011.3
2021-02-11,26.6,21.5,33.6,,24.0,13.1,1010.6
2021-02-12,27.2,22.3,34.1,,32.0,11.8,1009.7
2021-02-13,27.8,23.2,34.9,,24.0,11.3,1009.6
2021-02-14,27.5,24.6,32.4,,13.0,12.6,1010.8
2021-02-15,27.6,23.6,33.6,,16.0,13.8,1011.8
2021-02-16,27.4,23.8,33.6,,34.0,16.1,1012.5
2021-02-17,27.0,22.6,33.4,,35.0,15.2,1012.6
2021-02-18,26.9,21.9,33.5,,15.0,14.7,1012.7
2021-02-19,26.8,21.4,34.7,,,12.2,1012.8
2021-02-20,26.9,22.5,33.5,,19.0,14.2,1012.7
2021-02-21,26.7,23.0,32.5,,18.0,16.6,1012.8
2021-02-22,26.7,22.8,32.0,,21.0,16.0,1012.4
2021-02-23,27.3,22.6,34.1,,29.0,12.3,1011.5
2021-02-24,27.5,23.6,34.4,,17.0,15.6,1011.2
