time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,11.8,3.0,15.0,0.0,219.0,14.8,1013.6
2021-01-02,14.9,11.2,15.2,16.0,163.0,28.8,1011.1
2021-01-03,11.0,8.6,13.7,0.8,244.0,8.8,1012.5
2021-01-04,10.9,7.0,16.4,0.1,288.0,8.6,1010.7
2021-01-05,10.6,3.0,21.0,0.0,236.0,9.7,1012.9
2021-01-06,12.1,10.7,14.2,1.3,202.0,9.8,1014.1
2021-01-07,11.6,10.0,13.0,3.4,326.0,8.2,1012.1
2021-01-08,11.4,8.8,13.6,6.1,315.0,12.7,1008.2
2021-01-09,9.7,8.4,10.6,6.1,315.0,11.0,1011.5
2021-01-10,11.0,8.6,12.6,14.0,320.0,11.7,1009.2
2021-01-11,10.1,8.0,12.2,3.0,316.0,16.0,1010.7
2021-01-12,8.8,7.0,11.0,0.0,310.0,15.3,1010.9
2021-01-13,8.1,3.6,14.4,0.0,309.0,14.8,1010.9
2021-01-14,9.3,3.6,15.6,0.1,338.0,10.6,1009.3
2021-01-15,7.6,5.0,11.2,0.8,323.0,8.9,1011.1
2021-01-16,6.8,4.6,10.0,2.0,329.0,16.7,1012.9
2021-01-17,6.1,2.0,10.0,1.0,264.0,14.2,1014.4
2021-01-18,5.1,3.0,8.2,6.1,319.0,15.3,1017.7
2021-01-19,6.1,2.0,14.2,0.0,283.0,11.8,1023.3
2021-01-20,7.9,1.8,14.0,0.0,267.0,12.3,1022.8
2021-01-21,8.8,3.6,15.0,0.0,327.0,9.6,1019.9
2021-01-22,13.2,8.0,18.0,0.0,225.0,13.4,1014.3
2021-01-23,13.7,11.0,16.0,1.0,209.0,19.9,1005.6
2021-01-24,12.0,7.8,15.0,5.4,219.0,22.6,1001.3
2021-01-25,10.8,5.0,15.2,0.0,257.0,14.1,1004.1
2021-01-26,9.6,6.0,14.0,0.0,320.0,22.1,1006.9
2021-01-27,7.0,5.0,11.2,0.0,307.0,22.2,1014.0
2021-01-28,8.1,1.0,13.2,0.0,250.0,13.6,1013.5
2021-01-29,12.2,5.8,18.0,0.0,291.0,11.9,1006.9
2021-01-30,13.3,8.0,20.0,0.0,254.0,12.7,1003.1
2021-01-31,11.5,8.0,15.0,2.0,255.0,11.9,996.7
2021-02-01,12.1,7.8,16.2,2.0,273.0,10.3,999.2
2021-02-02,12.6,9.0,17.2,1.0,323.0,7.6,1007.9
2021-02-03,10.8,6.0,16.2,0.0,284.0,10.3,1014.9
2021-02-04,12.4,8.0,16.0,0.0,44.0,7.5,1015.4
2021-02-05,14.1,11.8,15.2,0.0,212.0,7.2,1016.0
2021-02-06,13.3,12.8,14.0,0.0,198.0,7.3,1013.6
2021-02-07,14.9,13.0,16.4,0.0,106.0,11.0,1005.1
2021-02-08,14.2,12.0,18.2,2.0,252.0,13.7,999.7
2021-02-09,14.0,10.8,17.4,4.1,222.0,19.5,1006.2
2021-02-10,14.8,11.0,20.0,5.4,208.0,18.8,1007.2
2021-02-11,14.2,10.0,19.0,1.5,303.0,17.0,1007.4
2021-02-12,10.1,9.0,12.4,0.0,0.0,10.2,1018.5
2021-02-13,6.1,4.8,9.0,17.5,342.0,15.4,1017.3
2021-02-14,4.3,2.8,6.8,0.0,331.0,28.5,1022.5
2021-02-15,6.0,3.0,9.4,0.0,353.0,24.3,1029.6
2021-02-16,6.8,3.0,13.0,0.0,307.0,13.6,1027.0
2021-02-17,8.7,2.8,14.2,0.0,285.0,11.0,1022.2
2021-02-18,10.1,6.0,17.4,0.0,307.0,10.4,1022.2
2021-02-19,7.2,4.0,16.0,0.0,350.0,10.1,1024.9
2021-02-20,10.7,6.0,17.2,0.0,294.0,9.6,1024.9
2021-02-21,10.1,6.4,17.2,0.0,293.0,9.2,1026.4
2021-02-22,10.8,5.2,17.2,0.0,13.0,9.2,1027.9
2021-02-23,11.4,6.0,19.8,0.0,317.0,12.7,1030.3
2021-02-24,13.4,5.6,21.4,0.0,330.0,13.1,1029.0
2021-02-25,12.7,7.8,20.0,0.0,292.0,11.9,1027.5
2021-02-26,12.1,0.0,21.8,0.0,280.0,11.8,1024.2
2021-02-27,11.9,6.8,19.2,0.0,299.0,11.7,1019.1
2021-02-28,13.0,8.0,17.4,0.0,331.0,19.4,1022.9
2021-03-01,11.1,6.0,18.0,0.0,332.0,15.1,1024.6
2021-03-02,11.3,6.0,18.0,0.0,338.0,14.7,1028.0
2021-03-03,10.4,5.0,19.0,0.0,282.0,12.2,1028.1
2021-03-04,10.2,4.8,16.4,0.0,300.0,11.2,1021.8
2021-03-05,10.3,5.0,17.0,0.0,286.0,11.8,1016.0
2021-03-06,12.3,5.0,18.4,0.0,331.0,12.4,1019.9
2021-03-07,12.5,8.4,17.2,0.0,258.0,10.6,1021.3
2021-03-08,14.0,10.0,16.8,0.0,104.0,11.9,1014.4
2021-03-09,14.7,13.0,18.2,0.0,130.0,13.8,1010.1
2021-03-10,11.1,8.0,14.0,9.9,316.0,17.2,1010.7
2021-03-11,11.2,5.8,17.2,0.0,323.0,18.8,1018.2
2021-03-12,11.5,5.0,18.0,0.0,54.0,10.2,1016.4
2021-03-13,12.9,9.0,18.2,0.8,80.0,7.5,1014.2
2021-03-14,13.6,6.8,21.4,0.0,264.0,14.1,1009.0
2021-03-15,10.1,7.0,14.0,0.3,301.0,27.3,1006.1
2021-03-16,9.6,3.8,16.4,0.0,308.0,19.5,1009.8
2021-03-17,9.9,6.8,15.4,0.0,316.0,22.3,1013.2
2021-03-18,8.6,3.6,15.2,0.0,313.0,10.6,1013.9
2021-03-19,9.1,3.0,14.4,0.0,315.0,11.0,1012.9
2021-03-20,8.0,6.0,9.2,11.9,324.0,13.1,1012.1
2021-03-21,7.8,6.0,9.0,23.9,315.0,17.8,1005.6
2021-03-22,9.7,6.2,14.4,0.3,318.0,22.4,1004.3
2021-03-23,8.8,6.6,13.0,1.0,328.0,23.8,1011.7
2021-03-24,9.5,4.8,16.2,0.0,317.0,18.5,1018.1
2021-03-25,10.8,6.2,15.6,0.3,306.0,12.8,1020.3
2021-03-26,14.7,4.6,17.2,0.0,256.0,9.6,1024.6
