time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-02,23.9,21.9,26.7,2.5,44.0,14.0,1013.8
2021-01-03,24.0,20.9,28.0,0.2,36.0,12.9,1013.2
2021-01-04,23.9,20.5,29.2,0.0,45.0,10.9,1011.9
2021-01-05,23.9,19.1,28.6,0.0,44.0,9.7,1011.8
2021-01-06,24.7,22.1,28.5,4.3,45.0,8.6,1012.2
2021-01-07,24.1,22.5,27.5,11.9,50.0,9.4,1013.2
2021-01-08,23.8,22.5,26.8,7.7,57.0,9.3,1013.5
2021-01-09,23.7,22.0,27.7,6.4,60.0,8.5,1013.7
2021-01-10,24.0,22.1,28.0,3.8,57.0,10.0,1014.3
2021-01-11,24.5,21.9,29.3,2.1,46.0,12.4,1014.6
2021-01-12,24.3,20.5,28.9,0.2,48.0,9.7,1014.1
2021-01-13,24.0,19.6,29.1,0.7,51.0,9.9,1013.4
2021-01-14,23.9,21.9,27.0,2.2,52.0,9.3,1012.4
2021-01-15,24.0,20.2,28.6,1.2,44.0,8.5,1012.2
2021-01-16,24.4,20.4,29.2,0.0,42.0,9.7,1012.1
2021-01-17,24.7,22.0,29.2,0.9,45.0,12.4,1012.1
2021-01-18,24.2,21.7,27.7,1.2,41.0,9.9,1013.0
2021-01-19,24.0,22.1,27.1,5.0,46.0,11.8,1013.5
2021-01-20,24.3,21.3,29.0,1.6,50.0,10.4,1012.5
2021-01-21,24.2,20.7,28.7,1.1,50.0,9.2,1012.7
2021-01-22,24.7,20.8,29.5,1.5,43.0,7.9,1013.2
2021-01-23,24.9,22.2,28.7,4.5,51.0,10.1,1013.5
2021-01-24,25.0,22.0,29.9,0.0,47.0,10.5,1012.5
2021-01-25,24.7,21.6,28.9,1.3,46.0,11.1,1012.7
2021-01-26,24.9,21.5,29.4,1.0,46.0,13.4,1013.3
2021-01-27,24.6,20.3,30.1,1.2,52.0,12.3,1013.6
2021-01-28,24.4,21.5,28.6,1.2,48.0,11.6,1012.7
2021-01-29,24.7,20.8,30.0,0.2,57.0,9.2,1012.3
2021-01-30,24.5,21.3,28.5,3.2,48.0,10.7,1013.4
2021-01-31,23.7,21.8,26.7,5.8,51.0,10.7,1013.6
2021-02-01,24.4,20.9,29.3,0.4,50.0,10.1,1012.9
2021-02-02,24.1,20.8,28.3,1.9,49.0,9.0,1012.4
2021-02-03,24.9,22.3,29.5,3.6,49.0,9.1,1012.7
2021-02-04,24.9,22.3,29.0,2.6,55.0,10.3,1013.8
2021-02-05,25.0,22.6,29.4,1.5,54.0,11.5,1013.5
2021-02-06,24.2,21.2,28.7,1.7,46.0,11.0,1014.2
2021-02-07,24.7,21.5,28.6,2.0,52.0,10.1,1013.7
2021-02-08,25.1,22.2,29.5,1.3,48.0,11.4,1013.7
2021-02-09,24.9,21.4,30.2,0.6,48.0,11.8,1013.5
2021-02-10,24.1,20.1,29.6,0.9,48.0,10.7,1013.0
2021-02-11,24.3,20.8,28.7,2.7,51.0,10.9,1012.4
2021-02-12,23.4,21.4,27.4,7.9,44.0,9.6,1012.7
2021-02-13,24.7,21.9,28.5,5.5,58.0,11.0,1013.2
2021-02-14,25.1,21.7,29.3,1.7,50.0,12.4,1013.9
2021-02-15,24.7,22.0,28.5,4.2,52.0,12.9,1014.7
2021-02-16,24.3,21.4,29.1,1.0,45.0,12.0,1014.8
2021-02-17,24.1,19.8,29.1,1.5,47.0,11.2,1014.5
2021-02-18,23.6,21.4,27.1,5.0,51.0,12.1,1014.8
2021-02-19,24.5,20.6,30.7,0.8,49.0,12.2,1014.8
2021-02-20,24.2,20.9,28.4,1.2,45.0,10.8,1014.2
2021-02-21,25.0,20.9,30.6,0.0,50.0,9.5,1013.5
2021-02-22,24.7,21.6,29.7,3.4,48.0,11.5,1013.3
