time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,13.9,7.0,22.0,,,8.0,
2021-01-02,15.3,7.0,25.0,0.0,350.0,7.7,1016.8
2021-01-03,16.1,9.0,26.0,0.0,356.0,5.8,1016.1
2021-01-04,18.2,11.0,27.0,0.0,344.0,6.2,1014.5
2021-01-05,18.5,11.0,29.0,0.0,345.0,5.6,1013.4
2021-01-06,18.8,13.0,27.0,0.0,353.0,3.4,1013.4
2021-01-07,18.1,14.0,25.0,0.0,23.0,2.2,1014.2
2021-01-08,18.9,14.0,26.0,0.0,348.0,4.8,1014.9
2021-01-09,18.6,14.0,25.0,0.0,25.0,6.4,1014.8
2021-01-10,18.6,14.0,25.0,0.0,351.0,5.7,1015.0
2021-01-11,17.5,12.0,25.0,0.0,350.0,5.6,1015.2
2021-01-12,16.2,9.0,24.0,0.0,343.0,7.4,1016.5
2021-01-13,16.9,9.0,27.0,0.0,344.0,6.2,1015.4
2021-01-14,17.3,9.0,28.0,0.0,331.0,5.7,1014.6
2021-01-15,16.8,7.0,28.0,0.0,0.0,7.7,1013.1
2021-01-16,15.5,8.0,26.0,0.0,354.0,5.8,1013.5
2021-01-17,16.6,8.0,30.0,0.0,353.0,6.9,1013.2
2021-01-18,17.1,9.0,28.0,0.0,10.0,6.4,1012.6
2021-01-19,20.0,15.0,27.0,0.0,26.0,5.2,1014.1
2021-01-20,19.9,17.0,26.0,0.2,336.0,3.6,1016.5
2021-01-21,22.7,18.0,29.0,0.0,327.0,9.7,1015.4
2021-01-22,21.5,15.0,28.0,0.0,318.0,8.2,1013.8
2021-01-23,20.3,16.0,27.0,0.0,325.0,7.1,1012.6
2021-01-24,18.4,14.0,24.0,0.0,323.0,7.1,1013.7
2021-01-25,18.2,15.0,24.0,0.0,327.0,10.1,1014.0
2021-01-26,17.1,10.0,24.0,0.0,322.0,8.6,1013.9
2021-01-27,16.7,10.2,25.8,0.0,314.0,8.1,1012.2
2021-01-28,19.5,9.0,30.0,0.0,358.0,5.5,1015.3
2021-01-29,20.3,15.0,27.0,0.0,335.0,7.2,1014.8
2021-01-30,19.5,13.0,27.0,0.0,320.0,6.7,1013.0
2021-01-31,19.0,12.0,27.0,0.0,306.0,7.7,1012.2
2021-02-01,17.7,12.0,25.0,0.0,176.0,4.0,1013.2
2021-02-02,19.9,14.0,28.0,0.0,328.0,7.5,1013.7
2021-02-03,18.7,13.0,27.0,0.0,277.0,5.5,1012.7
2021-02-04,18.6,12.0,26.0,0.0,333.0,5.0,1012.9
2021-02-05,18.4,12.0,27.0,0.0,334.0,7.3,1010.9
2021-02-06,17.5,11.0,27.0,0.0,14.0,6.0,1012.1
2021-02-07,16.1,9.0,25.0,0.0,4.0,5.6,1012.3
2021-02-08,16.8,9.0,27.0,0.0,342.0,7.9,1013.8
2021-02-09,17.1,10.0,26.0,0.0,355.0,6.5,1014.4
2021-02-10,16.5,10.0,23.6,0.0,42.0,7.5,1014.1
2021-02-11,19.3,13.0,25.0,0.0,343.0,7.9,1012.4
2021-02-12,18.4,12.0,27.0,0.0,341.0,7.9,1011.3
2021-02-13,18.0,12.0,24.0,0.0,110.0,6.7,1012.7
2021-02-14,18.0,12.0,25.0,0.0,124.0,8.3,1014.0
2021-02-15,18.8,14.0,24.0,0.7,46.0,8.0,1015.4
2021-02-16,18.5,12.0,25.0,0.0,327.0,8.3,1015.9
2021-02-17,19.0,14.0,24.0,0.0,357.0,6.4,1015.2
2021-02-18,19.6,15.0,25.0,0.0,342.0,10.5,1015.2
2021-02-19,18.3,11.0,26.0,0.0,335.0,7.5,1015.3
2021-02-20,19.0,13.0,25.0,0.0,343.0,8.5,1017.5
2021-02-21,19.1,13.0,25.0,0.0,352.0,8.6,1016.5
2021-02-22,19.4,13.0,27.0,0.0,343.0,6.8,1014.3
2021-02-23,19.5,13.0,27.0,0.0,328.0,7.2,1012.9
2021-02-24,20.0,13.0,28.0,0.0,337.0,6.8,1013.1
2021-02-25,20.4,15.0,26.0,0.0,180.0,5.5,1012.6
2021-02-26,20.6,16.0,27.0,0.0,314.0,5.7,1011.4
2021-02-27,20.6,14.0,30.0,0.0,316.0,6.1,1011.3
2021-02-28,19.8,12.0,28.0,0.0,334.0,8.3,1012.2
2021-03-01,18.7,12.0,26.0,0.0,335.0,9.5,1011.1
2021-03-02,17.9,11.0,29.0,0.0,345.0,6.0,1011.2
2021-03-03,17.9,11.0,27.0,0.0,323.0,6.3,1013.9
2021-03-04,19.8,12.0,29.0,0.0,328.0,7.4,1014.8
2021-03-05,19.3,13.0,27.0,0.0,327.0,9.3,1011.3
2021-03-06,18.9,12.0,27.0,0.0,203.0,5.6,1010.8
2021-03-07,20.0,12.0,29.0,0.0,340.0,7.5,1015.0
2021-03-08,20.7,14.0,28.0,0.0,326.0,9.3,1016.7
2021-03-09,19.7,13.0,28.0,0.0,286.0,7.5,1015.9
2021-03-10,19.8,13.0,27.0,0.0,326.0,8.3,1014.0
2021-03-11,19.1,12.0,27.0,0.0,344.0,7.4,1014.8
2021-03-12,20.5,13.0,28.0,0.0,341.0,9.1,1015.3
2021-03-13,19.2,12.0,27.0,0.0,313.0,11.5,1015.8
2021-03-14,17.5,10.0,26.0,0.0,310.0,6.9,1013.9
2021-03-15,17.0,9.0,25.0,0.0,335.0,7.7,1012.7
2021-03-16,17.1,9.0,26.0,0.0,329.0,6.0,1012.0
2021-03-17,17.3,8.0,26.4,0.0,331.0,9.5,1012.6
2021-03-18,18.0,9.0,28.0,0.0,316.0,9.9,1013.9
2021-03-19,18.0,9.0,25.7,0.0,329.0,8.5,1014.8
2021-03-20,18.5,9.0,28.0,0.0,326.0,8.6,1014.0
2021-03-21,18.1,9.0,28.0,0.0,314.0,8.1,1013.8
