time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,24.1,,,1.0,,,
2021-01-02,24.5,21.0,28.1,5.1,62.0,5.0,1012.4
2021-01-03,26.5,19.7,31.0,0.0,176.0,4.9,1012.3
2021-01-04,23.7,20.2,28.1,7.0,267.0,4.3,1011.1
2021-01-05,26.9,20.4,30.8,0.0,225.0,5.0,1010.7
2021-01-06,24.9,21.1,30.6,8.2,35.0,5.0,1010.0
2021-01-07,26.2,20.0,30.3,11.0,233.0,4.7,1010.1
2021-01-08,21.7,19.9,24.7,0.0,286.0,4.8,1012.1
2021-01-09,22.6,18.5,27.6,0.1,355.0,5.0,1010.8
2021-01-10,24.7,18.6,30.2,4.7,313.0,4.7,1010.0
2021-01-11,24.1,20.9,30.2,4.4,318.0,4.0,1009.8
2021-01-12,25.4,20.3,27.2,5.4,316.0,6.6,1010.9
2021-01-13,23.1,19.7,29.6,3.0,241.0,5.9,1011.3
2021-01-14,22.6,20.7,25.1,2.7,347.0,7.2,1011.9
2021-01-15,22.9,19.4,28.0,0.1,114.0,5.0,1011.7
2021-01-16,23.5,20.0,29.4,0.1,69.0,5.7,1010.5
2021-01-17,24.3,19.5,31.0,1.7,342.0,6.2,1010.5
2021-01-18,22.2,19.0,28.7,0.6,36.0,4.9,1011.4
2021-01-19,27.6,20.6,29.6,0.0,233.0,4.9,1010.9
2021-01-20,25.7,19.2,31.2,0.1,359.0,5.2,1011.0
2021-01-21,25.4,20.1,29.0,0.0,81.0,3.8,1011.2
2021-01-22,24.2,19.4,31.0,0.2,36.0,4.2,1010.4
2021-01-23,24.4,20.7,30.0,0.0,248.0,6.1,1011.0
2021-01-24,23.2,20.0,29.8,11.3,91.0,3.6,1011.2
2021-01-25,23.8,20.8,27.8,103.1,218.0,3.9,1011.9
2021-01-26,27.0,20.5,31.0,0.0,102.0,5.0,1011.2
2021-01-27,26.8,20.2,30.9,2.0,204.0,5.5,1010.5
2021-01-28,22.9,19.0,27.3,0.6,229.0,9.2,1012.4
2021-01-29,25.1,19.9,31.7,0.0,174.0,3.8,1011.1
2021-01-30,25.2,19.8,32.3,0.7,236.0,4.6,1010.3
2021-01-31,25.1,20.0,30.7,1.1,218.0,6.7,1010.9
2021-02-01,25.0,20.4,31.9,0.3,151.0,4.3,1011.4
2021-02-02,24.7,20.4,31.0,0.0,128.0,4.8,1013.0
2021-02-03,25.0,19.8,32.3,0.8,174.0,5.5,1011.8
2021-02-04,26.0,20.4,33.1,0.0,145.0,6.9,1011.0
2021-02-05,25.8,20.4,33.3,0.0,208.0,4.0,1010.8
2021-02-06,25.0,21.5,32.4,6.5,239.0,4.7,1010.9
2021-02-07,24.3,19.8,30.0,0.9,263.0,8.0,1010.5
2021-02-08,25.4,21.8,31.1,0.1,11.0,4.8,1008.9
2021-02-09,26.1,20.9,31.5,3.3,46.0,6.5,1010.1
2021-02-10,26.4,21.3,32.4,0.2,249.0,7.5,1009.7
2021-02-11,25.0,22.3,31.7,0.3,357.0,6.0,1010.2
2021-02-12,25.0,22.0,31.1,5.8,39.0,5.0,1009.8
2021-02-13,25.9,20.3,33.3,4.3,231.0,5.1,1009.5
2021-02-14,27.2,20.8,34.5,0.0,226.0,4.8,1008.3
2021-02-15,27.2,21.1,34.0,0.0,94.0,4.2,1007.7
2021-02-16,25.8,21.1,31.7,2.0,261.0,8.0,1008.7
2021-02-17,23.9,20.9,28.7,3.4,206.0,7.3,1010.2
2021-02-18,24.6,21.7,30.2,5.4,318.0,5.7,1010.9
2021-02-19,24.5,20.9,30.5,0.2,350.0,6.5,1012.4
2021-02-20,24.8,18.8,32.5,0.0,303.0,6.9,1012.7
2021-02-21,25.1,19.9,31.3,0.0,133.0,5.9,1012.4
2021-02-22,23.8,20.5,28.5,2.8,141.0,4.8,1012.1
2021-02-23,24.0,20.6,27.0,1.0,233.0,5.0,1012.5
2021-02-24,24.0,20.2,31.2,0.4,29.0,6.6,1011.5
2021-02-25,25.6,20.0,32.5,0.4,68.0,5.2,1009.8
2021-02-26,23.9,20.6,29.1,8.4,226.0,8.5,1011.1
2021-02-27,25.0,20.6,32.0,0.6,127.0,5.6,1010.7
2021-02-28,28.3,21.1,32.0,1.5,291.0,8.2,1009.7
2021-03-01,27.3,21.3,35.2,0.2,164.0,6.8,1007.7
2021-03-02,25.6,21.5,34.5,11.1,253.0,9.1,1009.1
2021-03-03,24.5,21.0,30.0,9.1,108.0,8.9,1011.0
2021-03-04,25.0,20.1,31.2,0.0,113.0,4.2,1010.0
2021-03-05,26.1,21.1,32.0,0.0,174.0,6.5,1010.1
2021-03-06,26.4,21.7,32.1,0.2,201.0,6.0,1010.1
2021-03-07,22.4,20.0,25.7,8.4,333.0,6.8,1012.6
2021-03-08,23.9,20.0,30.3,0.2,339.0,7.9,1011.5
2021-03-09,23.9,17.9,32.0,0.0,147.0,5.6,1011.1
2021-03-10,26.0,20.3,33.0,0.0,173.0,4.4,1010.5
2021-03-11,27.3,20.3,34.8,0.0,127.0,5.7,1007.4
2021-03-12,27.4,21.9,34.0,0.0,178.0,8.2,1007.8
2021-03-13,28.2,21.4,34.7,0.0,179.0,7.0,1009.2
2021-03-14,27.7,21.0,34.7,0.0,142.0,6.0,1008.4
2021-03-15,27.4,20.9,34.1,0.1,107.0,5.6,1007.5
2021-03-16,26.3,21.9,34.8,4.9,270.0,6.9,1008.6
2021-03-17,24.8,21.0,32.0,29.0,278.0,5.0,1010.6
2021-03-18,25.6,20.0,32.7,0.0,68.0,3.9,1009.9
2021-03-19,25.1,21.0,32.0,5.2,154.0,5.6,1009.6
2021-03-20,26.0,21.7,31.4,0.2,130.0,5.0,1008.5
2021-03-21,25.9,20.9,32.6,6.3,262.0,5.3,1008.5
2021-03-22,25.3,20.3,29.8,3.1,209.0,3.9,1009.9
2021-03-23,26.3,19.3,33.5,0.0,130.0,5.9,1009.7
2021-03-24,26.4,20.2,33.8,0.5,239.0,5.0,1009.5
2021-03-25,24.6,20.7,31.0,11.0,268.0,9.1,1010.2
2021-03-26,23.1,20.9,28.9,1.1,294.0,5.4,1013.5
2021-03-27,26.2,20.1,30.0,0.0,264.0,4.6,1013.3
2021-03-28,29.1,18.7,32.4,0.9,117.0,5.9,1010.4
2021-03-29,23.7,20.8,29.0,9.2,239.0,7.9,1010.8
2021-03-30,24.1,20.9,29.0,3.0,165.0,6.3,1011.4
2021-03-31,23.9,20.1,29.5,0.2,129.0,6.2,1011.5
2021-04-01,24.7,19.6,30.8,0.3,160.0,4.6,1011.5
2021-04-02,26.1,20.8,30.0,2.3,179.0,8.3,1011.5
2021-04-03,24.1,20.0,32.8,3.0,176.0,7.3,1010.9
2021-04-04,24.5,20.8,31.0,4.2,164.0,7.4,1011.5
2021-04-05,25.1,22.0,31.4,5.3,161.0,8.2,1010.7
2021-04-06,25.0,21.5,30.6,0.7,133.0,5.5,1010.7
2021-04-07,25.4,20.8,29.3,2.3,150.0,6.7,1012.5
2021-04-08,23.6,21.0,29.0,7.0,177.0,6.1,1013.0
2021-04-09,27.7,20.4,31.0,6.1,171.0,8.4,1011.7
2021-04-10,24.2,21.4,36.0,12.1,176.0,7.1,1010.6
2021-04-11,24.8,20.2,32.6,4.5,138.0,7.0,1011.0
2021-04-12,24.0,20.6,30.1,4.8,160.0,7.7,1012.9
2021-04-13,24.1,20.0,31.4,18.2,178.0,6.8,1013.2
2021-04-14,23.9,20.0,26.2,6.4,184.0,9.7,1014.3
2021-04-15,24.2,19.0,31.0,2.3,155.0,7.6,1012.7
2021-04-16,26.3,20.0,31.1,1.4,166.0,6.3,1011.5
2021-04-17,28.4,20.8,32.0,0.4,163.0,8.4,1010.2
2021-04-18,26.0,21.5,32.8,0.2,156.0,7.8,1010.9
2021-04-19,25.9,21.2,32.2,0.4,170.0,7.5,1011.2
2021-04-20,28.2,21.0,31.3,1.0,191.0,6.5,1011.9
2021-04-21,24.4,20.9,30.6,1.0,100.0,7.1,1013.3
2021-04-22,25.5,20.8,33.0,0.0,175.0,8.7,1011.7
2021-04-23,25.1,21.0,33.0,1.6,161.0,6.8,1009.8
2021-04-24,23.3,20.8,29.2,7.0,257.0,7.8,1011.3
2021-04-25,24.4,20.7,31.0,0.7,198.0,6.3,1012.1
2021-04-26,24.2,21.0,28.1,3.2,169.0,5.8,1011.6
2021-04-27,25.3,20.9,31.8,2.5,159.0,6.3,1010.2
2021-04-28,24.8,20.7,31.6,7.0,163.0,5.1,1009.7
2021-04-29,26.4,20.4,31.0,10.9,217.0,7.5,1011.5
2021-04-30,22.8,20.0,29.4,8.0,174.0,5.5,1011.5
2021-05-01,24.1,20.9,29.8,0.3,95.0,5.7,1011.8
2021-05-02,24.6,20.9,31.0,0.5,181.0,8.4,1011.5
2021-05-03,23.2,20.9,28.2,9.6,220.0,5.2,1010.9
2021-05-04,24.9,20.4,31.0,2.0,140.0,6.8,1010.1
2021-05-05,24.5,20.1,31.2,7.0,142.0,4.2,1010.1
2021-05-06,23.8,20.6,28.7,12.1,224.0,3.7,1012.7
2021-05-07,24.5,20.8,29.7,7.5,223.0,3.6,1012.9
2021-05-08,23.8,20.4,28.1,3.0,329.0,6.0,1013.2
2021-05-09,23.4,20.8,28.1,1.1,349.0,4.5,1013.9
2021-05-10,23.9,20.2,29.3,0.6,18.0,4.7,1013.7
2021-05-11,24.3,19.3,31.9,0.0,110.0,6.0,1013.3
2021-05-12,23.8,16.9,31.6,0.0,169.0,5.4,1012.1
2021-05-13,24.2,18.8,31.3,0.0,178.0,5.1,1011.5
2021-05-14,24.1,17.2,31.8,0.0,186.0,5.6,1011.6
2021-05-15,24.7,19.0,31.3,0.1,127.0,4.4,1011.1
2021-05-16,25.9,20.6,33.1,0.1,123.0,5.4,1010.1
2021-05-17,26.1,19.6,33.2,0.0,129.0,4.6,1010.5
2021-05-18,24.7,18.7,32.2,0.0,243.0,4.5,1012.2
2021-05-19,24.8,17.9,33.1,0.0,166.0,4.4,1011.9
2021-05-20,25.6,18.9,32.7,0.0,75.0,5.5,1012.0
2021-05-21,26.0,19.3,32.6,0.1,164.0,5.1,1011.4
