time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,23.7,21.7,27.2,0.0,145.0,17.6,1020.9
2021-01-02,23.6,20.6,28.9,0.0,175.0,13.7,1019.4
2021-01-03,20.4,16.7,26.7,0.0,232.0,14.8,1017.1
2021-01-04,14.7,8.3,20.6,0.0,322.0,12.2,1017.2
2021-01-05,13.2,5.6,21.7,0.0,284.0,11.9,1017.1
2021-01-06,14.4,7.8,21.1,0.0,340.0,13.7,1018.8
2021-01-07,18.0,10.0,23.9,0.0,195.0,13.0,1016.5
2021-01-08,17.5,11.1,22.2,0.3,262.0,21.2,1013.2
2021-01-09,10.3,4.4,15.0,0.0,309.0,15.1,1018.8
2021-01-10,10.1,2.2,17.8,0.0,338.0,10.8,1023.4
2021-01-11,17.1,10.6,22.8,0.0,105.0,9.0,1021.9
2021-01-12,17.6,12.8,21.1,0.0,247.0,11.2,1020.8
2021-01-13,14.3,10.6,17.2,0.0,330.0,11.9,1019.6
2021-01-14,13.7,7.8,19.4,0.0,326.0,11.2,1016.3
2021-01-15,14.5,5.0,22.8,0.5,214.0,11.2,1012.5
2021-01-16,13.0,6.1,18.9,0.0,270.0,15.5,1014.3
2021-01-17,11.5,4.4,17.2,0.0,321.0,6.1,1017.4
2021-01-18,14.0,8.3,18.9,0.0,334.0,8.6,1020.8
2021-01-19,13.7,5.6,21.7,0.0,352.0,7.9,1026.2
2021-01-20,15.0,7.2,22.2,0.0,351.0,6.8,1024.4
2021-01-21,16.5,7.8,25.6,0.0,261.0,13.3,1019.3
2021-01-22,18.8,11.1,26.1,0.0,239.0,13.3,1015.8
2021-01-23,18.1,13.9,24.4,0.0,300.0,13.0,1017.8
2021-01-24,20.8,15.6,24.4,0.3,65.0,9.4,1019.4
2021-01-25,21.6,18.9,25.0,0.0,150.0,14.0,1017.4
2021-01-26,20.7,15.0,27.8,0.0,196.0,8.3,1016.4
2021-01-27,22.2,16.7,28.9,0.0,230.0,14.8,1016.7
2021-01-28,16.5,9.4,21.7,0.0,335.0,26.3,1021.8
2021-01-29,12.8,7.2,19.4,0.0,339.0,14.4,1024.4
2021-01-30,15.3,6.7,21.7,0.0,43.0,9.4,1023.0
2021-01-31,19.8,11.7,26.1,0.0,184.0,14.8,1017.9
2021-02-01,16.2,7.8,21.7,1.8,256.0,31.0,1009.8
2021-02-02,9.0,5.0,14.4,0.0,283.0,26.6,1012.9
2021-02-03,7.9,1.7,16.1,0.0,301.0,14.0,1017.2
2021-02-04,10.2,-0.5,18.9,0.0,82.0,7.9,1019.3
2021-02-05,17.4,6.7,27.2,0.0,205.0,13.3,1015.1
2021-02-06,18.9,11.7,23.9,0.8,47.0,8.3,1014.2
2021-02-07,21.8,17.2,27.8,14.5,256.0,18.4,1013.4
2021-02-08,20.0,17.2,22.8,0.3,42.0,11.9,1019.8
2021-02-09,22.1,18.9,28.3,0.0,49.0,7.6,1019.8
2021-02-10,22.7,18.3,28.9,0.0,129.0,10.8,1019.7
2021-02-11,22.4,17.2,27.2,0.0,147.0,11.9,1017.2
2021-02-12,23.1,19.4,27.2,0.3,161.0,11.9,1014.8
2021-02-13,23.8,20.6,31.1,5.6,177.0,15.8,1013.1
2021-02-14,24.3,21.1,31.7,14.0,206.0,13.0,1013.5
2021-02-15,24.4,20.6,31.7,2.5,163.0,13.0,1014.6
2021-02-16,22.7,18.9,25.6,5.3,272.0,16.6,1015.7
2021-02-17,19.7,17.2,22.2,10.2,5.0,11.5,1018.5
2021-02-18,24.9,20.6,30.6,0.0,167.0,13.7,1017.4
