time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,8.8,6.1,13.3,20.1,212.0,18.7,1010.9
2021-01-02,5.9,3.3,6.1,1.0,230.0,10.8,1017.7
2021-01-03,4.9,1.1,12.8,0.0,213.0,8.6,1019.3
2021-01-04,8.3,3.9,13.3,0.0,226.0,8.6,1016.6
2021-01-05,6.8,2.2,11.7,0.0,0.0,9.0,1021.4
2021-01-06,6.5,2.2,12.8,0.0,92.0,14.8,1021.3
2021-01-07,6.6,1.7,8.9,4.3,38.0,20.5,1016.1
2021-01-08,2.4,1.1,4.4,0.0,347.0,17.3,1022.5
2021-01-09,2.2,1.1,2.8,0.0,357.0,14.8,1026.8
2021-01-10,1.6,0.6,2.8,0.0,24.0,13.3,1027.9
2021-01-11,0.4,-2.7,1.7,0.8,9.0,13.0,1027.9
2021-01-12,-0.6,-6.0,7.2,0.0,260.0,5.8,1027.4
2021-01-13,3.3,-2.1,11.1,0.0,208.0,13.0,1019.3
2021-01-14,8.1,4.4,13.3,0.0,228.0,18.4,1009.1
2021-01-15,6.4,1.7,10.6,0.0,254.0,21.2,1007.6
2021-01-16,4.7,1.7,8.9,0.0,269.0,15.5,1013.1
2021-01-17,5.4,-0.5,10.6,0.0,257.0,11.9,1013.8
2021-01-18,6.9,-1.0,14.4,0.0,220.0,13.7,1018.3
2021-01-19,10.6,4.4,15.0,0.0,281.0,8.6,1025.1
2021-01-20,6.6,2.2,10.6,4.8,329.0,7.9,1026.4
2021-01-21,8.0,6.7,11.7,6.4,336.0,7.2,1015.6
2021-01-22,8.4,3.3,11.7,0.0,35.0,14.0,1018.2
2021-01-23,4.9,-0.5,12.8,0.0,82.0,14.4,1022.6
2021-01-24,9.1,7.8,11.1,15.7,140.0,8.3,1016.8
2021-01-25,15.7,10.6,22.2,30.0,194.0,23.0,1005.2
2021-01-26,13.3,7.2,16.1,0.0,321.0,11.9,1012.7
2021-01-27,5.7,1.7,7.2,0.5,12.0,20.2,1023.1
2021-01-28,2.4,-0.5,6.7,0.0,36.0,14.4,1035.5
2021-01-29,3.2,-1.0,11.7,0.0,139.0,10.1,1027.6
2021-01-30,10.3,8.3,15.6,6.6,175.0,21.6,1013.0
2021-01-31,11.2,3.3,15.6,0.0,298.0,23.0,1013.9
2021-02-01,3.7,1.7,5.0,0.0,333.0,21.6,1024.2
2021-02-02,2.7,-1.0,6.1,0.0,355.0,14.0,1024.8
2021-02-03,2.6,-3.8,11.1,0.0,44.0,4.0,1020.7
2021-02-04,8.9,2.2,13.3,1.8,193.0,24.5,1009.2
2021-02-05,5.0,-2.7,11.7,0.0,240.0,7.9,1015.1
2021-02-06,6.9,2.2,13.3,3.6,86.0,13.0,1014.8
2021-02-07,2.6,0.0,3.9,0.3,45.0,15.1,1020.6
2021-02-08,4.6,1.7,11.7,0.0,116.0,10.4,1020.7
2021-02-09,6.8,1.1,10.0,0.0,15.0,14.0,1021.0
2021-02-10,1.8,-1.0,5.6,5.8,6.0,13.3,1021.2
2021-02-11,-1.2,-2.7,-0.5,9.9,8.0,17.6,1021.2
2021-02-12,-2.9,-4.9,-2.7,0.0,10.0,20.5,1023.8
2021-02-13,-5.8,-7.7,-4.9,0.0,6.0,19.4,1023.6
2021-02-14,-8.6,-9.9,-7.1,1.3,11.0,21.2,1025.0
2021-02-15,-10.7,-12.7,-9.3,17.3,347.0,20.9,1019.4
2021-02-16,-12.9,-17.1,-7.7,0.0,320.0,11.5,1024.4
2021-02-17,-7.6,-9.3,-4.3,9.1,56.0,13.3,1023.5
2021-02-18,-4.5,-6.0,-1.6,0.0,0.0,14.8,1025.2
2021-02-19,-5.3,-11.0,-0.5,0.0,349.0,9.0,1031.0
2021-02-20,-4.1,-12.7,5.6,0.0,21.0,3.6,1029.5
2021-02-21,4.3,-0.5,12.8,3.6,166.0,16.6,1022.1
2021-02-22,8.9,3.9,12.8,3.8,243.0,12.6,1020.1
2021-02-23,11.3,4.4,20.6,0.0,215.0,13.3,1017.4
2021-02-24,15.0,10.0,19.4,0.0,207.0,16.6,1015.9
2021-02-25,12.3,7.8,15.6,0.8,37.0,19.1,1023.8
2021-02-26,10.2,6.1,15.6,55.9,146.0,15.5,1015.8
2021-02-27,13.2,9.4,17.8,21.3,65.0,9.4,1016.1
2021-02-28,19.4,14.4,23.9,42.2,197.0,22.0,1012.4
2021-03-01,11.1,5.6,14.4,8.1,13.0,15.1,1022.9
2021-03-02,6.8,2.8,10.0,0.0,35.0,9.4,1024.5
2021-03-03,7.4,-0.5,17.2,0.0,285.0,5.4,1020.9
2021-03-04,12.2,3.3,23.3,0.0,346.0,3.6,1020.1
2021-03-05,12.1,7.2,13.3,0.0,54.0,20.9,1021.5
2021-03-06,9.1,3.3,15.6,0.0,35.0,13.7,1026.2
2021-03-07,9.8,2.2,18.3,0.0,4.0,3.6,1029.9
2021-03-08,11.7,2.2,21.1,0.0,205.0,9.4,1031.5
2021-03-09,14.0,7.8,21.7,0.0,183.0,15.8,1027.7
2021-03-10,17.0,13.9,23.9,0.0,184.0,24.1,1022.4
2021-03-11,19.8,17.2,22.8,0.0,193.0,21.6,1022.3
2021-03-12,20.3,16.1,25.0,0.0,218.0,14.8,1024.6
2021-03-13,17.5,13.3,21.7,3.3,60.0,14.8,1023.2
2021-03-14,18.1,13.3,25.0,0.0,,15.1,
2021-03-15,19.7,13.3,25.0,10.4,211.0,13.7,1011.8
2021-03-16,19.2,11.7,27.2,0.0,17.0,5.0,1011.8
2021-03-17,19.4,15.6,20.6,35.1,134.0,17.6,1006.4
2021-03-18,12.5,6.7,17.2,0.3,278.0,24.5,1009.2
2021-03-19,8.0,5.0,10.6,0.0,1.0,19.1,1023.0
2021-03-20,11.8,7.2,20.0,0.0,51.0,10.1,1027.5
2021-03-21,13.6,5.6,20.6,0.0,103.0,9.4,1024.5
2021-03-22,15.2,8.3,21.7,0.0,141.0,13.7,1017.9
2021-03-23,17.5,13.9,21.1,9.7,157.0,23.4,1008.2
2021-03-24,18.0,12.8,23.9,0.0,193.0,11.9,1010.6
2021-03-25,18.9,12.8,23.3,29.2,193.0,15.1,1006.5
