time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,23.4,12.5,33.6,0.0,,6.9,1014.3
2021-01-02,25.9,13.9,34.7,0.0,77.0,7.5,1014.0
2021-01-03,26.6,18.4,36.5,0.0,85.0,16.5,1012.1
2021-01-04,26.9,19.8,34.2,0.0,112.0,13.4,1008.1
2021-01-05,26.3,20.3,35.3,0.0,120.0,9.0,1006.1
2021-01-06,23.3,17.4,35.0,0.0,300.0,13.6,1007.6
2021-01-07,24.3,16.0,32.4,0.0,282.0,13.2,1008.3
2021-01-08,24.7,14.7,34.3,0.0,235.0,15.3,1009.8
2021-01-09,24.8,18.6,36.2,0.0,110.0,18.2,1010.8
2021-01-10,28.3,18.9,38.2,0.0,67.0,11.7,1007.8
2021-01-11,23.3,18.6,38.6,13.0,148.0,13.4,1006.5
2021-01-12,22.0,17.2,28.2,11.7,151.0,15.1,1015.8
2021-01-13,22.6,14.8,29.9,0.0,110.0,14.3,1018.8
2021-01-14,23.9,15.1,31.3,0.0,82.0,18.2,1016.7
2021-01-15,23.0,19.4,32.5,0.0,89.0,13.4,1008.6
2021-01-16,24.4,19.6,30.7,8.4,200.0,11.6,1003.1
2021-01-17,22.7,15.6,31.6,0.0,226.0,17.7,1008.7
2021-01-18,21.7,9.8,32.0,0.0,241.0,5.8,1014.2
2021-01-19,24.1,11.5,34.4,0.0,83.0,7.1,1016.4
2021-01-20,24.8,15.4,35.6,0.0,101.0,12.3,1016.8
2021-01-21,26.5,18.2,36.6,0.0,74.0,17.0,1017.7
2021-01-22,27.7,19.6,35.1,0.0,88.0,16.9,1017.7
2021-01-23,29.5,22.4,36.8,0.0,80.0,13.4,1014.1
2021-01-24,29.6,23.7,37.9,0.0,87.0,9.9,1010.2
2021-01-25,30.1,20.4,38.6,0.0,63.0,8.4,1005.5
2021-01-26,25.8,20.9,38.6,0.3,99.0,11.8,1002.9
2021-01-27,27.3,21.1,35.1,1.8,177.0,14.8,1004.2
2021-01-28,25.6,17.9,31.1,0.0,81.0,9.7,1005.6
2021-01-29,24.7,17.9,31.7,0.0,149.0,11.5,1004.1
2021-01-30,21.7,16.0,32.8,0.0,151.0,17.9,1006.9
2021-01-31,19.9,15.8,24.4,16.8,147.0,24.0,1011.4
2021-02-01,23.0,18.2,27.8,0.0,198.0,11.1,1010.6
2021-02-02,21.6,16.2,28.7,0.0,183.0,11.7,1011.8
2021-02-03,21.2,18.5,28.2,3.0,171.0,15.4,1011.6
2021-02-04,21.6,16.9,27.3,22.1,193.0,16.1,1014.9
2021-02-05,20.6,12.8,29.0,0.0,158.0,8.9,1013.8
2021-02-06,21.1,10.3,32.5,0.0,60.0,3.6,1013.1
2021-02-07,23.9,13.2,33.3,0.0,26.0,6.3,1013.0
2021-02-08,23.3,15.2,33.5,0.0,149.0,13.0,1013.0
2021-02-09,23.0,16.1,29.6,0.0,153.0,17.8,1016.6
2021-02-10,20.3,18.4,29.5,2.3,117.0,12.8,1015.7
2021-02-11,21.9,19.5,26.4,10.9,84.0,12.0,1013.0
2021-02-12,22.0,18.9,25.5,5.1,66.0,9.3,1011.7
2021-02-13,26.6,16.5,31.4,0.0,62.0,6.6,1008.5
2021-02-14,23.1,17.2,32.0,1.0,330.0,5.4,1005.5
2021-02-15,23.4,18.0,31.2,2.8,184.0,11.7,1007.7
2021-02-16,21.3,16.4,28.9,0.0,225.0,15.7,1008.8
2021-02-17,21.2,16.9,26.8,0.0,230.0,11.4,1008.4
2021-02-18,22.4,12.6,32.7,0.0,276.0,6.9,1008.4
2021-02-19,20.8,14.4,33.5,0.0,262.0,11.4,1011.1
2021-02-20,27.7,14.7,29.5,0.0,183.0,9.5,1015.2
2021-02-21,23.8,11.4,34.0,0.1,62.0,10.6,1012.9
2021-02-22,24.3,20.0,34.3,0.0,69.0,6.5,1010.0
2021-02-23,24.1,18.2,30.5,20.6,157.0,10.7,1012.0
2021-02-24,22.2,11.9,31.7,0.0,39.0,4.2,1014.4
2021-02-25,22.9,11.7,33.3,0.0,87.0,5.7,1013.6
2021-02-26,23.8,14.1,34.4,0.0,106.0,9.8,1013.6
2021-02-27,25.3,19.0,33.4,0.0,97.0,15.6,1016.6
2021-02-28,26.2,19.9,33.1,0.0,78.0,15.5,1015.5
2021-03-01,26.4,20.4,33.3,0.0,97.0,14.5,1012.1
2021-03-02,26.6,21.0,32.7,0.0,110.0,10.9,1011.8
2021-03-03,26.9,21.4,33.0,0.0,111.0,13.8,1013.2
2021-03-04,25.1,21.3,33.5,0.0,131.0,13.2,1011.0
2021-03-05,22.4,17.9,30.7,6.1,175.0,14.5,1011.2
2021-03-06,18.8,9.3,28.6,0.0,169.0,9.0,1011.9
2021-03-07,22.1,11.9,31.5,0.0,77.0,7.6,1011.8
2021-03-08,22.8,14.2,31.6,0.0,195.0,7.6,1012.9
2021-03-09,23.9,17.2,31.4,0.0,150.0,10.9,1014.6
2021-03-10,23.5,17.1,31.6,0.0,92.0,9.4,1011.7
2021-03-11,25.0,15.7,33.6,0.0,14.0,8.2,1010.9
2021-03-12,24.8,16.4,34.1,0.0,180.0,8.9,1012.8
2021-03-13,23.8,15.3,33.7,0.0,136.0,12.8,1014.8
2021-03-14,22.7,12.0,32.8,0.0,100.0,8.6,1016.2
2021-03-15,24.4,18.0,31.8,0.0,87.0,11.9,1014.2
2021-03-16,22.2,20.0,25.9,0.0,40.0,13.0,1007.9
2021-03-17,19.4,17.6,23.6,6.1,219.0,22.6,1010.6
2021-03-18,16.6,10.5,22.7,0.0,189.0,11.7,1018.1
2021-03-19,19.9,13.0,27.6,0.0,110.0,11.6,1015.0
2021-03-20,20.4,16.5,28.4,0.0,167.0,11.1,1012.0
2021-03-21,19.7,15.6,25.0,0.0,188.0,13.6,1017.9
2021-03-22,19.1,13.7,26.0,2.7,122.0,11.5,1019.0
2021-03-23,20.7,14.1,28.8,0.0,109.0,6.1,1016.4
2021-03-24,21.7,15.4,29.0,0.0,83.0,10.4,1015.0
2021-03-25,20.5,19.0,23.1,67.5,104.0,16.2,1011.6
2021-03-26,21.5,18.9,25.4,16.0,225.0,8.7,1009.5
2021-03-27,19.3,14.1,25.4,0.3,299.0,13.3,1012.0
2021-03-28,18.3,13.4,23.3,0.6,306.0,8.5,1012.5
2021-03-29,18.2,14.0,23.0,1.2,211.0,12.1,1014.6
2021-03-30,19.0,12.3,26.0,0.0,125.0,6.5,1017.0
2021-03-31,18.0,11.8,24.2,0.0,125.0,9.7,1017.4
2021-04-01,18.7,14.0,25.1,1.5,120.0,10.0,1017.2
2021-04-02,19.3,13.6,26.5,0.0,118.0,9.9,1018.5
2021-04-03,20.4,14.7,26.6,0.0,108.0,10.5,1017.9
2021-04-04,21.2,16.0,28.0,0.0,113.0,10.0,1016.2
2021-04-05,22.9,17.4,29.4,0.6,104.0,9.0,1014.2
2021-04-06,22.9,16.5,31.0,0.3,94.0,5.1,1015.6
2021-04-07,24.8,18.9,32.0,0.0,79.0,9.6,1014.8
2021-04-08,25.2,18.8,32.2,0.0,43.0,13.1,1011.1
2021-04-09,20.3,18.3,32.5,74.9,89.0,11.8,1012.4
2021-04-10,20.0,19.0,21.3,77.0,86.0,13.7,1008.8
2021-04-11,18.4,15.2,21.5,30.7,266.0,15.9,1011.3
2021-04-12,16.9,9.4,25.0,0.0,343.0,4.1,1019.1
2021-04-13,17.1,8.8,25.5,0.0,61.0,4.2,1020.9
2021-04-14,17.4,10.2,25.7,0.0,108.0,8.4,1016.7
2021-04-15,20.9,16.7,26.6,0.8,31.0,2.8,1013.2
2021-04-16,19.6,13.4,27.6,0.0,116.0,3.9,1013.9
2021-04-17,19.3,12.2,28.0,0.0,99.0,6.5,1016.6
2021-04-18,19.0,13.9,27.4,0.0,94.0,10.4,1017.8
2021-04-19,19.8,15.0,26.1,0.0,85.0,12.1,1019.1
2021-04-20,19.8,14.9,26.5,0.0,82.0,13.1,1018.3
2021-04-21,20.9,16.9,26.8,0.0,79.0,18.0,1016.3
2021-04-22,21.8,17.2,28.0,0.0,76.0,12.6,1014.5
2021-04-23,21.9,15.6,28.5,0.0,71.0,9.5,1012.7
2021-04-24,19.4,15.7,28.6,0.5,206.0,14.6,1013.6
2021-04-25,15.4,9.2,23.8,0.0,204.0,10.5,1018.4
2021-04-26,14.5,8.6,22.1,0.0,195.0,7.4,1018.9
2021-04-27,13.9,6.4,23.1,0.0,59.0,3.5,1019.2
2021-04-28,13.8,5.8,23.6,0.0,328.0,4.3,1021.6
2021-04-29,13.9,5.3,24.2,0.0,101.0,6.8,1022.7
2021-04-30,15.3,6.6,26.9,0.0,63.0,7.5,1019.4
2021-05-01,16.9,8.6,27.0,0.0,75.0,8.1,1016.3
2021-05-02,19.4,10.4,28.6,0.0,64.0,7.4,1013.9
2021-05-03,21.9,16.3,29.0,0.0,38.0,12.4,1009.2
2021-05-04,16.7,9.9,29.6,8.1,177.0,20.9,1019.6
2021-05-05,12.1,8.4,18.5,0.0,170.0,11.6,1025.0
2021-05-06,9.4,2.3,17.8,0.0,250.0,6.5,1025.1
2021-05-07,8.8,-0.1,19.8,0.0,80.0,3.7,1025.6
2021-05-08,11.4,3.5,20.0,0.0,91.0,8.8,1025.8
2021-05-09,13.7,6.2,20.6,1.5,92.0,6.8,1021.5
2021-05-10,15.5,12.2,21.0,0.0,209.0,12.3,1020.8
2021-05-11,10.0,2.1,19.6,0.0,202.0,7.9,1023.3
2021-05-12,8.7,0.0,19.2,0.0,352.0,4.4,1022.0
2021-05-13,9.8,0.8,21.0,0.0,10.0,4.3,1021.4
2021-05-14,9.9,0.6,21.8,0.0,128.0,5.1,1021.1
2021-05-15,10.8,2.0,22.2,0.0,112.0,4.6,1019.8
2021-05-16,10.8,3.2,23.1,0.0,144.0,5.9,1019.0
2021-05-17,9.9,1.6,20.8,0.0,165.0,7.2,1020.3
2021-05-18,8.9,0.5,18.7,0.0,104.0,6.6,1020.2
2021-05-19,11.3,4.3,19.6,0.9,112.0,11.1,1016.3
2021-05-20,13.6,7.4,19.8,6.4,103.0,15.0,1014.0
2021-05-21,13.3,10.4,17.7,0.0,115.0,13.4,1009.2
2021-05-22,12.6,11.0,14.5,46.0,286.0,30.3,1000.4
2021-05-23,12.6,10.7,14.4,1.8,255.0,25.1,1009.9
2021-05-24,11.3,5.0,18.0,0.0,307.0,13.8,1015.3
2021-05-25,12.2,7.1,19.2,0.0,307.0,12.3,1016.5
2021-05-26,10.4,2.3,20.3,0.0,355.0,6.6,1016.7
2021-05-27,13.7,6.0,22.8,0.0,6.0,8.6,1011.3
2021-05-28,14.9,7.6,23.0,0.0,290.0,8.5,1003.0
2021-05-29,11.6,7.3,23.4,0.0,254.0,11.3,1013.6
2021-05-30,8.2,0.5,16.6,0.0,332.0,6.5,1020.3
2021-05-31,12.2,5.4,21.0,0.0,328.0,13.5,1016.4
2021-06-01,13.3,8.7,23.4,0.0,336.0,11.0,1010.6
2021-06-02,15.3,6.3,21.8,0.6,226.0,10.6,1013.7
2021-06-03,11.5,3.0,21.3,0.0,37.0,6.5,1015.1
2021-06-04,16.9,10.8,23.2,47.7,42.0,5.8,1009.6
2021-06-05,15.6,7.2,22.6,66.5,181.0,16.2,1012.0
2021-06-06,8.7,2.0,16.1,0.0,108.0,7.1,1021.2
2021-06-07,11.3,5.6,17.0,0.0,110.0,10.3,1020.3
2021-06-08,15.0,12.0,19.2,0.0,99.0,9.0,1018.4
2021-06-09,16.3,12.2,19.4,0.3,54.0,6.3,1017.1
2021-06-10,14.4,10.4,19.8,0.8,242.0,7.7,1018.6
2021-06-11,10.4,2.8,20.0,0.0,305.0,9.3,1021.3
2021-06-12,12.9,5.2,21.6,0.0,359.0,9.8,1016.8
2021-06-13,14.8,10.0,21.9,0.0,26.0,7.7,1017.0
2021-06-14,12.4,4.3,22.1,0.0,148.0,8.2,1018.8
2021-06-15,10.1,6.2,21.6,0.0,183.0,11.0,1026.3
2021-06-16,6.2,1.5,14.0,0.0,164.0,11.8,1028.8
2021-06-17,7.7,1.8,13.0,0.2,172.0,9.4,1028.9
2021-06-18,5.1,-1.2,13.5,0.0,125.0,6.3,1027.4
2021-06-19,7.5,0.2,14.6,0.0,139.0,7.8,1025.7
2021-06-20,7.0,1.6,15.6,0.0,93.0,7.7,1023.0
2021-06-21,8.8,2.1,14.9,0.0,71.0,4.9,1022.2
2021-06-22,11.7,8.4,17.6,0.0,93.0,10.3,1022.1
2021-06-23,12.0,8.2,17.6,0.0,70.0,8.9,1014.5
2021-06-24,13.4,7.3,15.6,8.9,248.0,13.2,1009.2
2021-06-25,11.0,4.4,19.2,0.0,21.0,5.6,1015.1
2021-06-26,10.7,4.6,19.8,0.0,176.0,14.0,1013.1
2021-06-27,6.8,3.8,16.0,0.0,258.0,21.3,1019.3
2021-06-28,6.7,4.0,9.6,0.0,268.0,24.3,1022.7
2021-06-29,7.4,4.9,10.2,0.0,254.0,15.0,1026.1
2021-06-30,5.8,-0.4,11.6,0.0,20.0,8.0,1026.4
2021-07-01,10.2,5.4,16.5,0.0,42.0,11.1,1021.8
2021-07-02,7.0,2.0,16.7,0.0,298.0,7.4,1020.8
2021-07-03,7.7,2.3,15.2,0.0,306.0,8.6,1024.9
2021-07-04,8.8,3.6,18.5,0.0,44.0,7.8,1023.4
2021-07-05,8.6,-0.4,18.6,0.0,111.0,6.8,1023.3
2021-07-06,12.8,7.0,20.3,0.0,85.0,14.4,1018.8
2021-07-07,15.8,10.2,20.6,0.0,65.0,7.6,1016.4
2021-07-08,15.0,8.1,23.8,0.0,92.0,8.4,1017.4
2021-07-09,17.7,12.6,25.2,0.0,67.0,10.7,1014.8
2021-07-10,16.2,1.3,25.6,0.0,216.0,14.7,1016.1
2021-07-11,6.3,-3.3,19.4,0.0,97.0,8.8,1018.0
2021-07-12,15.7,11.0,19.8,8.5,96.0,10.2,1012.6
2021-07-13,13.9,11.0,20.4,0.0,138.0,10.9,1014.7
2021-07-14,11.6,9.2,16.4,35.3,144.0,16.2,1015.7
2021-07-15,11.7,5.0,14.0,10.7,237.0,10.1,1018.5
2021-07-16,8.1,2.6,14.1,0.0,14.0,6.2,1017.4
2021-07-17,9.3,3.9,14.5,0.0,282.0,14.9,1018.4
2021-07-18,7.8,4.4,13.5,0.0,247.0,21.0,1023.5
2021-07-19,5.7,0.7,12.5,0.0,297.0,5.5,1025.7
2021-07-20,8.2,1.2,16.8,0.0,359.0,10.0,1022.2
2021-07-21,9.7,2.2,19.3,0.0,21.0,6.2,1022.1
2021-07-22,12.8,6.0,21.0,0.0,74.0,7.4,1021.7
2021-07-23,15.0,7.7,25.8,0.0,84.0,7.6,1015.8
2021-07-24,16.1,9.3,26.2,0.0,103.0,10.6,1011.9
2021-07-25,16.7,13.2,20.5,19.9,199.0,10.9,1007.7
2021-07-26,11.8,6.5,21.5,0.0,180.0,12.7,1015.5
2021-07-27,6.8,-0.5,17.0,0.0,258.0,16.6,1021.5
2021-07-28,7.2,3.1,11.6,0.0,235.0,18.0,1024.9
2021-07-29,5.3,-0.5,12.5,0.0,304.0,8.9,1026.8
2021-07-30,7.3,-0.7,16.1,0.0,23.0,8.2,1025.8
2021-07-31,8.9,0.0,17.6,0.0,80.0,5.6,1026.8
2021-08-01,8.1,0.6,18.4,0.0,162.0,6.6,1030.4
2021-08-02,7.9,-0.5,17.6,0.0,104.0,4.2,1029.6
