time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,14.2,7.8,20.5,,5.0,3.7,1019.4
2021-01-02,16.3,10.0,19.6,,7.0,6.8,1020.6
2021-01-03,15.9,11.0,20.6,,9.0,7.2,1020.0
2021-01-04,15.8,10.0,21.2,,91.0,7.4,1018.1
2021-01-05,16.9,12.2,20.4,,329.0,14.7,1018.0
2021-01-06,17.2,12.0,21.0,,30.0,9.5,1021.0
2021-01-07,16.0,11.0,20.0,,16.0,7.3,1020.6
2021-01-08,16.5,13.0,20.0,,344.0,6.0,1019.7
2021-01-09,15.2,9.2,20.6,,352.0,4.8,1020.2
2021-01-10,17.2,13.0,24.0,,297.0,6.5,1021.5
2021-01-11,17.2,11.4,24.0,,85.0,11.0,1021.8
2021-01-12,18.3,12.0,25.0,,146.0,19.2,1016.3
2021-01-13,16.6,13.9,19.6,,240.0,22.3,1012.6
2021-01-14,14.6,10.6,18.8,,250.0,29.4,1013.8
2021-01-15,14.8,9.4,20.0,,217.0,17.7,1015.7
2021-01-16,16.3,12.6,20.0,,227.0,26.2,1011.4
2021-01-17,13.3,11.0,18.0,,244.0,29.6,1014.3
2021-01-18,14.2,8.6,19.0,0.0,236.0,30.4,1018.4
2021-01-19,12.6,10.3,15.8,2.0,261.0,23.2,1020.4
2021-01-20,12.7,9.0,16.0,2.0,310.0,19.2,1027.3
2021-01-21,12.4,9.0,16.8,0.0,335.0,6.6,1030.7
2021-01-22,12.2,7.0,17.2,,4.0,5.6,1027.0
2021-01-23,12.8,9.0,17.8,,316.0,6.4,1022.2
2021-01-24,12.8,6.8,19.0,,248.0,7.7,1020.9
2021-01-25,13.9,6.0,21.0,,184.0,18.2,1020.1
2021-01-26,16.4,10.9,22.0,,172.0,23.5,1017.7
2021-01-27,15.0,12.0,18.0,,228.0,27.5,1013.5
2021-01-28,13.1,10.0,17.2,,233.0,29.5,1016.6
2021-01-29,13.0,10.0,17.1,7.9,258.0,21.2,1019.7
2021-01-30,17.6,11.2,24.0,0.0,207.0,29.5,1016.5
2021-01-31,16.3,12.0,21.7,,196.0,18.1,1015.1
2021-02-01,18.4,14.0,25.0,,160.0,27.4,1013.9
2021-02-02,16.9,13.0,22.2,,2.0,9.9,1013.3
2021-02-03,16.9,15.0,19.0,,311.0,20.1,1013.4
2021-02-04,16.9,15.4,19.0,,306.0,21.5,1018.0
2021-02-05,16.7,15.0,19.4,,297.0,20.1,1022.1
2021-02-06,15.6,11.9,19.2,,289.0,13.0,1022.4
2021-02-07,15.1,8.0,23.6,,51.0,8.8,1021.1
2021-02-08,18.6,11.0,24.2,,141.0,25.3,1017.9
2021-02-09,14.8,9.8,19.5,,287.0,9.7,1020.8
2021-02-10,12.4,7.0,23.0,,258.0,6.6,1022.0
2021-02-11,15.7,9.0,24.0,,115.0,10.4,1019.0
2021-02-12,15.0,10.0,18.0,,292.0,18.3,1018.5
2021-02-13,15.3,10.0,19.0,,317.0,11.0,1020.2
2021-02-14,14.2,8.0,20.0,,168.0,10.4,1017.8
2021-02-15,13.6,10.0,17.6,,255.0,22.5,1015.8
2021-02-16,9.1,7.6,11.2,,273.0,30.5,1013.9
2021-02-17,10.8,7.6,13.0,,284.0,36.2,1017.9
2021-02-18,12.7,9.0,16.0,,252.0,19.8,1022.3
2021-02-19,13.3,11.0,16.0,,304.0,16.4,1024.8
2021-02-20,14.0,9.0,17.0,,317.0,11.7,1026.4
2021-02-21,13.2,8.0,17.5,,247.0,11.0,1024.0
2021-02-22,13.1,9.4,15.8,0.8,292.0,14.3,1023.3
2021-02-23,15.3,11.8,17.5,1.0,335.0,23.6,1025.9
2021-02-24,15.2,12.3,18.2,0.0,301.0,18.4,1026.4
2021-02-25,14.9,10.0,18.6,,287.0,13.3,1023.6
2021-02-26,16.6,14.0,18.8,,345.0,17.0,1021.4
2021-02-27,15.9,12.1,18.2,,353.0,13.2,1020.0
2021-02-28,14.9,10.2,19.0,,251.0,17.2,1020.5
2021-03-01,15.3,11.9,18.0,,313.0,16.4,1022.0
2021-03-02,14.8,11.8,17.6,,321.0,15.0,1023.7
2021-03-03,13.8,12.8,15.0,,300.0,24.6,1022.8
2021-03-04,14.5,3.6,17.8,,314.0,18.4,1023.1
2021-03-05,13.8,8.0,19.1,,355.0,8.3,1024.1
2021-03-06,14.7,8.8,21.8,,94.0,11.5,1023.3
2021-03-07,14.7,8.8,21.0,,77.0,11.8,1020.4
2021-03-08,15.2,9.0,20.0,,78.0,14.9,1017.6
2021-03-09,21.7,12.4,29.0,71.9,131.0,28.5,1011.2
2021-03-10,19.5,16.7,24.1,0.0,253.0,30.3,1009.8
2021-03-11,16.4,13.0,19.0,,276.0,26.9,1015.4
2021-03-12,15.4,13.8,18.0,,303.0,28.9,1019.9
2021-03-13,15.4,13.0,18.0,,310.0,15.9,1020.2
2021-03-14,15.2,11.4,18.2,,336.0,10.1,1017.0
2021-03-15,15.1,11.0,18.5,,296.0,10.3,1012.9
2021-03-16,15.0,11.5,18.3,,271.0,13.3,1014.9
2021-03-17,14.9,11.0,19.6,,242.0,20.9,1014.5
2021-03-18,14.0,9.3,18.0,,259.0,14.6,1018.1
2021-03-19,15.8,8.5,21.2,,101.0,15.8,1017.4
2021-03-20,17.5,14.9,21.0,,74.0,27.0,1012.0
2021-03-21,21.1,13.9,31.1,,100.0,21.0,1006.3
2021-03-22,24.1,18.7,32.0,,138.0,24.2,1005.4
2021-03-23,19.8,16.4,34.0,,265.0,32.0,1006.3
2021-03-24,14.1,12.0,16.8,,256.0,29.0,1012.3
2021-03-25,13.3,11.0,16.6,0.5,244.0,17.0,1016.8
2021-03-26,13.1,11.2,15.3,1.0,323.0,16.1,1023.4
2021-03-27,14.4,11.6,16.8,0.3,314.0,15.7,1028.7
2021-03-28,15.0,11.0,17.3,0.0,312.0,13.2,1029.4
2021-03-29,15.6,13.8,18.0,,329.0,17.5,1026.7
2021-03-30,16.2,14.0,19.5,,306.0,18.4,1021.0
2021-03-31,15.0,12.5,17.5,,291.0,16.4,1017.5
2021-04-01,14.1,11.0,17.5,,245.0,29.2,1017.2
2021-04-02,15.0,11.2,18.6,,270.0,18.2,1020.8
2021-04-03,15.9,9.0,25.6,,111.0,12.8,1021.2
2021-04-04,21.6,13.0,30.0,,160.0,17.0,1019.6
2021-04-05,22.0,16.0,29.6,,119.0,17.9,1017.2
2021-04-06,23.3,14.0,33.4,,156.0,18.4,1012.0
2021-04-07,17.2,16.0,19.4,,318.0,17.9,1015.6
2021-04-08,15.8,9.0,20.4,,314.0,13.0,1018.4
2021-04-09,15.4,13.0,17.6,,326.0,22.9,1020.4
2021-04-10,14.5,12.0,17.0,,328.0,28.1,1022.2
2021-04-11,15.1,12.5,17.4,,309.0,15.8,1022.6
2021-04-12,15.6,13.7,18.0,,331.0,15.2,1022.4
2021-04-13,15.2,8.9,20.0,,56.0,11.0,1021.3
2021-04-14,17.9,11.0,26.0,,86.0,14.5,1018.9
2021-04-15,19.6,13.0,26.0,,84.0,14.2,1015.9
2021-04-16,21.6,16.0,28.0,,73.0,16.6,1013.3
2021-04-17,28.2,19.0,38.0,,103.0,24.7,1011.9
2021-04-18,26.0,23.0,33.0,,85.0,17.3,1011.9
2021-04-19,19.9,17.9,23.1,,309.0,22.7,1011.5
2021-04-20,17.4,13.0,20.0,,314.0,27.1,1017.4
2021-04-21,17.1,15.0,20.0,,320.0,19.6,1020.5
2021-04-22,17.1,15.0,19.0,,348.0,15.8,1021.8
2021-04-23,17.4,13.0,22.0,,19.0,12.1,1019.1
2021-04-24,18.8,12.0,25.0,,67.0,12.4,1013.2
2021-04-25,19.2,17.0,22.0,,285.0,23.0,1008.5
2021-04-26,18.2,15.3,21.0,,287.0,21.9,1014.8
2021-04-27,17.4,12.0,22.0,,302.0,10.2,1016.5
2021-04-28,21.1,14.5,30.4,,94.0,12.2,1016.4
2021-04-29,22.2,14.7,32.0,,72.0,11.3,1016.8
2021-04-30,23.8,15.9,35.0,,75.0,13.8,1016.6
2021-05-01,27.0,19.4,37.0,,98.0,13.1,1016.4
2021-05-02,27.0,20.0,33.8,,13.0,9.7,1015.6
2021-05-03,27.3,19.0,35.8,,13.0,7.1,1014.9
2021-05-04,27.1,20.0,42.2,,257.0,15.1,1013.1
2021-05-05,22.8,19.0,27.2,,315.0,13.4,1013.2
2021-05-06,23.5,19.0,35.0,,343.0,10.6,1015.0
2021-05-07,24.5,17.4,31.0,,45.0,13.5,1014.5
2021-05-08,30.2,21.0,44.0,,146.0,26.3,1010.3
2021-05-09,21.3,20.0,22.7,,301.0,23.0,1013.0
2021-05-10,21.4,19.0,31.0,,321.0,19.5,1014.2
2021-05-11,19.8,15.0,23.0,,311.0,11.7,1013.1
2021-05-12,19.7,14.6,23.2,,319.0,9.2,1012.0
2021-05-13,20.3,13.4,24.2,,352.0,8.7,1013.7
2021-05-14,20.6,17.0,23.2,,23.0,10.3,1015.8
2021-05-15,22.2,17.0,27.4,,68.0,18.1,1013.0
2021-05-16,21.4,19.0,24.0,,307.0,23.2,1011.1
2021-05-17,20.9,18.7,23.0,,296.0,25.2,1014.5
