time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,26.8,22.7,,,,,
2021-01-02,26.4,23.5,30.8,,,,
2021-01-03,25.9,23.4,28.3,7.2,88.0,4.0,1009.1
2021-01-04,26.7,22.2,31.8,0.0,78.0,5.2,1009.2
2021-01-05,27.3,22.9,31.0,0.0,310.0,6.0,1009.2
2021-01-06,27.4,22.7,32.4,2.0,108.0,4.2,1008.5
2021-01-07,27.6,23.2,30.6,1.7,99.0,4.6,1007.6
2021-01-08,25.4,22.2,30.5,21.6,101.0,5.1,1008.1
2021-01-09,26.1,22.4,31.1,24.0,101.0,5.0,1008.2
2021-01-10,26.1,22.7,31.5,36.6,69.0,3.9,1009.5
2021-01-11,26.6,23.8,31.8,2.1,66.0,3.9,1009.3
2021-01-12,26.4,22.1,31.1,17.7,37.0,4.7,1009.6
2021-01-13,26.8,23.0,31.0,18.7,103.0,5.2,1010.4
2021-01-14,27.6,23.4,32.1,0.4,90.0,4.5,1009.3
2021-01-15,27.4,24.2,31.9,0.1,117.0,5.9,1008.7
2021-01-16,23.9,22.4,25.6,24.9,75.0,4.7,1009.5
2021-01-17,27.3,21.9,31.8,0.3,302.0,4.7,1008.9
2021-01-18,27.3,22.7,30.9,8.0,69.0,4.1,1009.4
2021-01-19,27.5,23.9,30.9,3.0,100.0,4.8,1009.4
2021-01-20,26.7,22.6,31.4,3.2,349.0,3.6,1010.5
2021-01-21,27.0,22.6,31.0,1.9,65.0,4.5,1010.0
2021-01-22,26.8,22.6,31.6,2.5,104.0,5.0,1009.9
2021-01-23,27.1,22.8,31.3,0.2,18.0,3.7,1009.5
2021-01-24,26.9,22.6,31.5,0.0,71.0,5.4,1009.4
2021-01-25,26.7,22.0,31.3,1.8,99.0,5.4,1009.5
2021-01-26,27.4,22.1,32.0,11.8,77.0,7.7,1009.1
2021-01-27,27.2,21.8,31.2,18.5,108.0,5.1,1010.1
2021-01-28,26.4,23.2,31.4,10.0,68.0,5.2,1010.5
2021-01-29,26.9,23.5,30.6,4.3,77.0,4.7,1010.7
2021-01-30,27.4,23.6,31.6,6.2,111.0,5.2,1010.3
2021-01-31,26.9,23.6,30.9,4.3,88.0,4.6,1010.3
2021-02-01,27.3,23.7,31.4,21.9,27.0,4.4,1011.0
2021-02-02,26.9,23.6,31.1,7.8,28.0,5.6,1011.3
2021-02-03,27.6,24.1,31.6,4.7,45.0,4.9,1010.9
2021-02-04,27.3,22.0,31.0,7.6,34.0,5.1,1010.7
2021-02-05,27.9,24.0,31.6,10.0,70.0,4.7,1010.0
2021-02-06,27.6,23.0,32.3,4.5,6.0,4.6,1009.4
2021-02-07,27.8,22.7,32.2,1.3,113.0,4.6,1009.6
2021-02-08,28.3,22.9,32.0,1.5,69.0,5.2,1009.9
2021-02-09,27.7,23.9,31.8,3.7,25.0,4.6,1009.1
2021-02-10,29.2,24.0,31.6,6.8,68.0,4.5,1009.2
2021-02-11,25.9,22.7,29.8,1.9,83.0,3.5,1010.2
2021-02-12,26.6,22.5,31.8,0.0,313.0,4.1,1010.3
2021-02-13,26.6,22.2,32.4,0.9,321.0,4.9,1011.5
2021-02-14,28.3,22.6,32.8,2.1,344.0,6.4,1010.9
2021-02-15,28.2,23.1,32.2,3.8,78.0,6.1,1009.6
2021-02-16,27.7,24.6,32.0,4.9,110.0,6.5,1009.2
2021-02-17,28.3,24.0,31.7,1.9,98.0,6.2,1009.6
2021-02-18,27.7,24.3,33.7,2.0,102.0,7.2,1010.6
2021-02-19,29.3,23.8,31.8,0.4,45.0,4.9,1010.2
2021-02-20,25.8,22.1,31.3,8.2,152.0,3.8,1010.2
2021-02-21,26.2,22.6,30.9,4.1,57.0,3.8,1009.7
2021-02-22,27.2,23.3,31.6,4.7,120.0,4.0,1010.3
2021-02-23,28.3,24.3,32.0,2.5,23.0,4.7,1010.0
2021-02-24,27.3,22.7,31.5,14.0,82.0,5.4,1010.7
2021-02-25,27.7,23.2,31.6,2.7,16.0,5.6,1009.8
2021-02-26,27.6,23.4,31.1,4.2,345.0,5.6,1009.1
2021-02-27,27.5,22.2,31.7,0.0,4.0,6.2,1008.3
2021-02-28,28.0,23.4,31.9,1.1,84.0,5.9,1009.1
2021-03-01,27.6,23.4,32.2,5.5,74.0,5.1,1010.8
2021-03-02,26.6,22.9,32.8,25.2,83.0,5.8,1010.5
2021-03-03,26.4,23.5,29.3,6.9,95.0,6.1,1010.9
2021-03-04,27.8,22.8,32.2,3.8,337.0,6.2,1009.8
2021-03-05,28.2,22.8,31.3,16.0,355.0,5.6,1011.0
2021-03-06,27.4,24.6,31.2,27.7,63.0,5.0,1011.9
2021-03-07,25.5,22.2,29.8,30.5,76.0,6.3,1012.2
2021-03-08,27.1,23.6,31.0,10.8,34.0,5.1,1011.4
2021-03-09,27.2,22.2,32.4,25.1,12.0,6.4,1011.2
2021-03-10,27.2,22.5,32.4,1.2,26.0,6.6,1011.1
2021-03-11,27.6,22.2,32.2,2.5,58.0,6.0,1011.0
2021-03-12,26.4,23.8,31.0,11.4,83.0,5.1,1012.3
2021-03-13,25.9,23.2,31.6,22.0,58.0,5.8,1011.9
2021-03-14,26.9,22.6,31.9,2.8,54.0,5.9,1010.2
2021-03-15,28.2,22.7,31.9,8.5,64.0,5.8,1009.0
2021-03-16,26.8,22.6,31.6,17.0,49.0,5.2,1009.6
2021-03-17,27.1,22.4,31.6,15.3,35.0,6.3,1009.5
2021-03-18,27.3,22.9,31.8,23.6,359.0,5.7,1009.1
2021-03-19,26.8,23.4,31.4,6.8,343.0,6.1,1009.1
2021-03-20,26.5,23.7,31.1,30.2,112.0,5.1,1008.5
2021-03-21,27.1,23.1,31.1,11.9,85.0,5.1,1008.2
2021-03-22,27.0,23.0,32.0,18.6,54.0,4.6,1009.6
2021-03-23,27.8,22.0,31.8,13.0,20.0,5.5,1009.8
2021-03-24,26.8,23.6,30.2,10.5,55.0,4.3,1009.3
2021-03-25,26.6,24.1,31.7,37.2,13.0,5.9,1008.1
2021-03-26,26.4,23.6,30.7,16.3,44.0,4.6,1008.8
2021-03-27,26.1,22.3,31.7,49.1,33.0,6.1,1007.9
2021-03-28,25.6,23.4,30.6,29.6,41.0,4.3,1008.8
2021-03-29,25.8,22.4,29.6,14.9,107.0,5.5,1009.0
2021-03-30,26.1,22.8,32.7,11.6,84.0,5.8,1008.7
2021-03-31,25.8,22.7,29.5,68.3,123.0,5.7,1009.0
2021-04-01,24.2,21.6,30.3,84.6,50.0,6.0,1009.3
2021-04-02,27.3,22.4,31.2,7.4,6.0,4.4,1009.6
2021-04-03,26.2,22.2,31.0,16.7,335.0,5.0,1009.5
2021-04-04,27.5,22.4,31.4,6.4,332.0,3.9,1009.7
2021-04-05,28.2,23.1,31.8,1.9,33.0,4.9,1009.7
2021-04-06,27.3,24.2,31.4,4.4,126.0,5.6,1010.5
2021-04-07,26.7,24.1,31.1,4.9,89.0,4.8,1011.6
2021-04-08,27.6,23.8,32.6,2.0,0.0,3.8,1010.3
2021-04-09,26.6,22.6,31.9,0.9,339.0,5.1,1009.6
2021-04-10,27.4,24.0,32.2,4.0,82.0,5.1,1010.3
2021-04-11,27.3,24.4,31.8,19.5,109.0,3.5,1011.6
2021-04-12,26.6,24.2,32.3,19.6,70.0,6.0,1012.2
2021-04-13,26.3,23.7,30.8,10.8,119.0,4.8,1012.0
2021-04-14,27.4,22.9,31.6,0.9,60.0,4.9,1011.4
2021-04-15,28.2,23.0,32.6,2.4,338.0,5.0,1010.7
2021-04-16,26.6,22.9,31.8,16.3,18.0,5.3,1011.4
2021-04-17,27.3,22.5,31.7,0.4,356.0,5.9,1011.9
2021-04-18,27.7,23.0,32.2,3.5,358.0,4.8,1012.2
2021-04-19,25.6,22.7,32.6,10.4,324.0,4.9,1011.9
2021-04-20,26.6,22.2,31.8,0.0,335.0,4.2,1010.4
2021-04-21,27.8,22.6,31.5,2.2,359.0,4.7,1010.7
2021-04-22,27.6,23.4,32.8,11.4,312.0,4.2,1011.4
2021-04-23,25.7,23.0,31.4,9.4,343.0,3.2,1011.2
2021-04-24,25.4,23.6,30.8,22.9,43.0,4.4,1011.7
2021-04-25,27.4,23.0,32.0,0.7,110.0,4.3,1010.8
2021-04-26,27.6,23.1,32.8,6.5,320.0,3.5,1010.2
2021-04-27,26.0,22.8,31.8,6.7,341.0,4.0,1010.2
2021-04-28,26.9,23.2,31.7,10.9,84.0,4.7,1010.9
2021-04-29,27.5,23.2,32.8,14.1,105.0,4.4,1010.7
2021-04-30,27.8,23.6,31.5,12.3,86.0,3.7,1010.3
2021-05-01,28.0,23.5,31.9,4.8,35.0,3.4,1009.2
2021-05-02,27.7,24.0,32.0,0.0,83.0,2.9,1009.3
2021-05-03,28.2,23.1,32.8,14.4,15.0,4.3,1007.7
2021-05-04,25.9,22.9,31.2,17.7,64.0,3.0,1008.1
2021-05-05,25.3,23.1,30.0,27.5,133.0,5.2,1008.8
2021-05-06,27.5,23.4,32.8,10.0,121.0,4.0,1009.5
2021-05-07,26.4,22.9,30.7,4.5,44.0,3.9,1009.8
2021-05-08,27.9,23.8,31.8,0.2,12.0,4.0,1009.4
2021-05-09,27.9,24.0,31.7,6.8,36.0,3.3,1008.6
2021-05-10,27.9,24.1,32.8,7.8,32.0,3.4,1008.4
2021-05-11,26.5,23.0,31.6,12.6,100.0,3.8,1008.2
2021-05-12,27.7,24.4,31.9,24.3,44.0,3.4,1008.1
2021-05-13,26.7,24.0,32.8,22.1,92.0,3.9,1007.3
2021-05-14,25.6,23.3,30.8,26.3,83.0,3.4,1008.0
2021-05-15,27.2,22.6,32.4,31.1,131.0,4.4,1008.1
2021-05-16,27.2,23.0,31.0,26.4,127.0,4.3,1008.7
