time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-20.1,-22.2,-17.2,0.0,4.0,0.8,996.5
2021-01-02,-19.5,-21.1,-15.6,0.0,3.0,0.7,986.7
2021-01-03,-20.3,-21.1,-16.1,0.0,11.0,1.4,989.0
2021-01-04,-20.7,-21.1,-18.3,0.3,19.0,1.9,989.6
2021-01-05,-23.8,-23.3,-20.0,0.0,351.0,0.7,983.1
2021-01-06,-25.2,-26.7,-20.0,0.0,357.0,0.8,981.9
2021-01-07,-19.1,-26.1,-20.0,0.0,2.0,0.7,991.3
2021-01-08,-17.3,-20.6,-13.9,0.0,357.0,0.3,995.0
2021-01-09,-15.3,-18.9,-13.9,0.0,1.0,1.6,997.5
2021-01-10,-6.7,-16.7,-2.8,0.0,10.0,1.9,979.1
2021-01-11,-11.4,-12.8,-3.9,0.0,1.0,0.5,977.8
2021-01-12,-20.5,-18.9,-8.9,0.0,359.0,0.2,980.8
2021-01-13,-22.8,-22.8,-17.2,0.0,0.0,0.0,998.6
2021-01-14,-15.5,-22.8,-16.7,0.0,10.0,3.5,1003.3
2021-01-15,-11.5,-19.4,-6.7,0.0,32.0,3.9,993.2
2021-01-16,-19.1,-18.9,-10.0,0.0,1.0,0.3,1000.7
2021-01-17,-14.7,-21.1,-13.3,0.0,355.0,1.1,1000.4
2021-01-18,-8.5,-16.1,-10.6,0.0,1.0,0.9,992.2
2021-01-19,-10.7,-11.7,-0.6,0.0,262.0,7.9,1004.6
2021-01-20,-14.8,-17.8,-9.4,0.0,355.0,0.5,1016.4
2021-01-21,-12.2,-16.7,-11.1,0.0,352.0,1.1,1017.4
2021-01-22,-9.3,-12.8,-7.8,0.0,356.0,0.5,1014.1
2021-01-23,-10.4,-13.3,-7.2,0.0,357.0,0.8,1002.8
2021-01-24,-8.0,-11.1,-6.1,0.0,7.0,0.8,1014.7
2021-01-25,-11.1,-11.1,-5.6,0.0,12.0,2.1,1016.5
2021-01-26,-21.4,-26.1,-15.0,0.0,2.0,0.2,1026.7
2021-01-27,-25.4,-26.1,-20.0,0.0,355.0,0.5,1018.6
2021-01-28,-21.2,-27.2,-21.1,0.0,40.0,3.3,1001.4
2021-01-29,-21.4,-23.9,-19.4,0.0,356.0,0.7,999.9
2021-01-30,-19.1,-23.9,-19.4,0.8,357.0,0.5,1017.8
2021-01-31,-24.3,-25.6,-16.7,0.0,1.0,0.7,1029.5
2021-02-01,-24.5,-28.3,-22.8,0.0,49.0,8.8,1029.3
2021-02-02,-22.2,-26.1,-21.7,0.0,56.0,9.6,1017.7
2021-02-03,-24.8,-27.2,-20.6,0.8,60.0,6.0,1016.3
2021-02-04,-23.4,-25.0,-22.8,4.1,24.0,2.3,1028.8
2021-02-05,-25.4,-27.2,-21.7,1.0,3.0,1.4,1032.9
2021-02-06,-17.4,-26.1,-20.6,0.5,355.0,0.5,1033.9
2021-02-07,-15.6,-21.7,-11.7,0.0,8.0,1.5,1035.4
2021-02-08,-21.5,-22.8,-14.4,0.0,40.0,6.1,1037.6
2021-02-09,-27.8,-27.8,-20.0,0.0,40.0,6.1,1035.4
2021-02-10,-23.8,-31.7,-25.0,0.0,77.0,7.7,1030.1
2021-02-11,-14.0,-25.6,-13.9,5.6,9.0,1.0,1020.4
2021-02-12,-13.3,-15.6,-11.7,0.0,2.0,0.5,1019.7
2021-02-13,-19.5,-22.2,-9.4,0.0,357.0,0.2,1012.6
2021-02-14,-23.9,-26.7,-15.6,0.0,2.0,0.2,1006.3
2021-02-15,-16.6,-27.2,-16.7,0.0,5.0,1.4,1006.6
2021-02-16,-13.7,-16.7,-13.3,4.1,79.0,5.4,1009.3
2021-02-17,-13.8,-17.2,-13.3,1.5,76.0,5.4,1007.2
2021-02-18,-17.0,-32.2,-17.2,1.6,338.0,8.6,1004.7
2021-02-19,-27.4,-33.9,-25.6,0.0,279.0,6.6,1008.4
2021-02-20,-28.0,-30.6,-23.3,0.0,39.0,9.0,996.5
2021-02-21,-26.7,-33.9,-24.4,0.0,353.0,5.0,994.3
2021-02-22,-27.1,-33.9,-20.0,0.0,238.0,9.1,1013.8
2021-02-23,-23.8,-28.9,-25.6,1.4,92.0,5.0,1020.3
2021-02-24,-13.6,-29.4,-15.0,3.8,102.0,6.3,1005.6
2021-02-25,-7.6,-15.0,-10.6,4.6,226.0,8.7,1007.1
2021-02-26,-9.0,-12.2,-3.9,0.8,52.0,7.4,1011.1
2021-02-27,-15.3,-17.2,-10.0,7.4,60.0,9.6,1001.2
2021-02-28,-18.9,-18.9,-15.6,5.1,281.0,7.4,1011.2
2021-03-01,-19.9,-25.0,-17.8,0.3,72.0,8.9,995.3
2021-03-02,-18.3,-20.0,-17.8,2.5,63.0,6.5,992.2
2021-03-03,-18.2,-20.9,-16.4,0.4,344.0,6.9,1009.1
2021-03-04,-21.2,-25.6,-14.4,0.0,73.0,8.4,1009.0
2021-03-05,-17.0,-24.4,-16.7,0.0,112.0,4.2,1001.1
2021-03-06,-13.5,-18.9,-12.2,1.3,255.0,5.8,1011.3
2021-03-07,-9.9,-18.9,-8.9,0.0,166.0,6.1,1021.3
2021-03-08,-8.2,-16.1,-5.0,0.0,92.0,7.5,1015.9
2021-03-09,-4.3,-16.1,-3.9,1.3,177.0,5.0,1017.4
