time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,1.3,0.0,2.1,20.1,45.0,9.3,1005.8
2021-01-02,-0.4,-1.2,0.0,,243.0,13.2,1016.5
2021-01-03,0.2,-0.3,0.5,3.8,125.0,11.3,1022.0
2021-01-04,0.7,0.3,1.1,2.3,107.0,9.8,1017.8
2021-01-05,0.2,-1.0,1.0,,92.0,16.1,1017.8
2021-01-06,-1.2,-1.8,-0.9,1.8,115.0,16.7,1017.1
2021-01-07,-0.7,-1.2,-0.3,3.0,107.0,13.8,1012.2
2021-01-08,-1.9,-3.0,-1.0,13.0,330.0,12.5,1008.0
2021-01-09,-2.5,-3.2,-1.9,6.1,297.0,9.8,1011.9
2021-01-10,-3.3,-3.9,-3.0,0.0,326.0,9.2,1018.7
2021-01-11,-3.4,-4.8,-2.0,,238.0,10.5,1020.0
2021-01-12,-2.9,-6.2,-2.0,,179.0,18.9,1013.4
2021-01-13,-3.1,-5.0,-2.0,,123.0,19.8,1005.9
2021-01-14,-8.3,-12.0,-5.0,1.8,27.0,11.7,1005.1
2021-01-15,-15.3,-21.0,-11.0,2.0,343.0,17.9,1009.8
2021-01-16,-20.6,-24.0,-17.5,0.3,,7.8,1012.6
2021-01-17,-19.2,-25.0,-15.8,,349.0,15.6,1016.2
2021-01-18,-19.6,-24.6,-12.4,,342.0,9.2,1019.1
2021-01-19,-11.3,-19.1,-8.0,0.5,258.0,5.6,1017.8
2021-01-20,-12.4,-18.4,-10.0,0.3,152.0,13.8,1016.1
2021-01-21,-1.2,-10.7,1.1,,188.0,17.6,1008.4
2021-01-22,-1.1,-3.0,1.5,,170.0,12.9,1004.8
2021-01-23,1.6,-2.3,6.1,,169.0,12.0,1003.8
2021-01-24,0.7,-0.5,2.5,,142.0,20.1,1000.4
2021-01-25,1.7,1.0,2.8,2.8,128.0,15.9,998.7
2021-01-26,1.2,0.0,3.9,32.0,60.0,14.0,989.1
2021-01-27,-0.2,-0.8,0.4,9.9,236.0,19.8,999.8
2021-01-28,-1.2,-2.0,-1.0,,316.0,12.3,1001.6
2021-01-29,-3.7,-4.0,-2.0,,294.0,14.1,991.5
2021-01-30,-3.9,-5.0,-2.8,,239.0,16.5,992.8
2021-01-31,-3.3,-4.6,-2.4,0.5,248.0,14.9,998.3
2021-02-01,-7.7,-11.0,-3.6,,207.0,12.5,1007.9
2021-02-02,-8.1,-16.0,-4.0,,,10.8,1012.1
2021-02-03,-0.7,-4.0,0.0,,199.0,12.3,1004.9
