time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,26.8,22.7,30.1,17.5,,8.1,1008.4
2021-01-02,27.6,24.0,32.0,0.5,46.0,6.0,1007.8
2021-01-03,26.4,24.0,30.0,0.3,232.0,7.4,1008.2
2021-01-04,25.9,24.0,30.0,6.9,165.0,8.0,1008.4
2021-01-05,25.9,23.6,30.0,2.5,163.0,8.3,1008.6
2021-01-06,26.9,23.2,31.0,13.2,75.0,7.4,1007.4
2021-01-07,26.9,23.8,31.0,0.0,69.0,7.5,1006.2
2021-01-08,27.1,23.9,30.0,13.2,63.0,5.8,1006.3
2021-01-09,26.2,23.0,31.0,0.0,81.0,10.3,1006.7
2021-01-10,27.0,23.3,31.0,7.9,86.0,6.1,1006.7
2021-01-11,26.2,23.9,30.2,0.8,218.0,8.1,1008.0
2021-01-12,26.3,24.1,30.0,1.5,45.0,5.9,1007.7
2021-01-13,26.6,24.8,31.0,8.4,52.0,9.6,1007.1
2021-01-14,25.9,23.9,28.1,16.5,154.0,7.9,1008.7
2021-01-15,25.7,24.0,29.0,6.1,217.0,10.0,1008.3
2021-01-16,24.7,23.4,26.0,35.3,206.0,9.9,1008.7
2021-01-17,24.8,23.8,27.4,27.4,82.0,8.2,1010.0
2021-01-18,25.5,23.2,29.0,1.0,19.0,7.5,1009.1
2021-01-19,26.0,23.6,29.0,46.5,7.0,5.5,1008.0
2021-01-20,25.7,23.9,28.2,0.8,216.0,5.1,1008.5
2021-01-21,25.1,23.8,27.0,40.6,237.0,6.3,1009.5
2021-01-22,24.8,23.9,27.0,2.8,241.0,4.6,1009.5
2021-01-23,26.3,23.6,29.0,1.5,134.0,5.8,1010.0
2021-01-24,27.1,24.5,30.4,0.0,348.0,5.9,1009.9
2021-01-25,27.2,24.0,31.0,0.0,38.0,6.2,1009.3
2021-01-26,26.4,24.0,29.7,0.0,45.0,8.0,1008.4
2021-01-27,26.6,24.0,30.5,3.8,37.0,8.9,1008.1
2021-01-28,26.3,24.2,29.2,6.1,30.0,6.8,1009.2
2021-01-29,27.0,23.7,31.1,46.7,45.0,11.6,1008.5
2021-01-30,27.5,24.8,32.0,0.0,52.0,10.9,1008.7
2021-01-31,27.3,24.4,31.2,1.3,66.0,8.0,1009.0
2021-02-01,26.3,25.0,30.0,0.0,57.0,9.0,1010.3
2021-02-02,26.8,23.8,30.1,7.6,60.0,12.6,1010.4
2021-02-03,26.0,24.0,31.0,0.0,52.0,12.1,1009.7
2021-02-04,26.6,23.3,29.1,22.4,11.0,7.6,1009.7
2021-02-05,26.9,24.2,31.0,0.3,46.0,10.1,1009.4
