time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,27.6,24.9,31.0,,57.0,8.5,1011.4
2021-01-02,28.0,24.2,32.0,5.1,70.0,8.4,1011.7
2021-01-03,28.0,24.5,32.0,0.0,73.0,8.6,1011.4
2021-01-04,28.1,24.6,32.0,,69.0,12.2,1010.7
2021-01-05,27.4,24.2,31.0,,31.0,10.7,1011.1
2021-01-06,27.6,24.0,31.3,,33.0,12.9,1011.4
2021-01-07,27.7,24.0,32.0,,29.0,12.9,1010.0
2021-01-08,28.0,24.0,32.0,,38.0,12.1,1008.6
2021-01-09,27.5,24.6,31.5,,28.0,13.0,1008.6
2021-01-10,27.1,24.8,30.5,,23.0,14.4,1009.3
2021-01-11,27.0,24.3,31.2,,29.0,14.7,1010.0
2021-01-12,27.3,24.6,31.4,,31.0,15.1,1011.0
2021-01-13,27.3,24.5,31.6,,31.0,14.1,1011.7
2021-01-14,27.4,24.4,31.7,,32.0,12.7,1011.1
2021-01-15,27.5,24.4,31.6,,29.0,11.9,1010.3
2021-01-16,28.8,24.6,31.6,,39.0,9.7,1009.6
2021-01-17,27.7,24.8,32.2,,36.0,11.4,1009.2
2021-01-18,28.6,22.4,33.0,,34.0,12.2,1009.0
2021-01-19,27.9,24.6,32.4,,29.0,11.4,1009.3
2021-01-20,27.8,24.2,33.0,,26.0,12.4,1010.4
2021-01-21,27.6,24.9,32.5,,28.0,14.8,1010.8
2021-01-22,27.2,24.8,30.2,,40.0,12.6,1011.5
2021-01-23,27.3,24.0,31.2,,41.0,12.6,1011.4
2021-01-24,27.3,23.6,32.0,,43.0,11.8,1011.4
2021-01-25,28.0,24.6,32.0,,46.0,11.8,1012.0
2021-01-26,27.4,24.9,32.0,,35.0,10.2,1012.1
2021-01-27,27.5,22.9,33.0,,31.0,12.3,1011.2
2021-01-28,28.1,22.0,33.0,,31.0,13.5,1011.1
2021-01-29,27.8,24.6,32.0,,42.0,15.7,1012.2
2021-01-30,27.8,24.6,32.0,,45.0,12.6,1011.8
2021-01-31,27.7,24.5,32.0,,36.0,12.3,1010.8
2021-02-01,27.6,24.0,32.6,,46.0,13.5,1012.7
2021-02-02,28.0,23.5,32.0,,32.0,11.5,1013.3
2021-02-03,28.4,23.4,32.0,,48.0,10.3,1012.8
2021-02-04,28.1,24.1,33.0,,56.0,9.7,1012.2
2021-02-05,28.3,24.4,32.0,,64.0,10.4,1011.8
2021-02-06,28.6,24.6,32.0,,58.0,8.6,1010.4
2021-02-07,28.3,24.6,33.0,,36.0,11.0,1008.9
2021-02-08,26.9,24.8,31.0,,40.0,9.0,1010.2
2021-02-09,27.3,25.7,30.5,,34.0,11.1,1010.8
2021-02-10,27.1,24.8,32.0,,32.0,12.8,1010.2
2021-02-11,27.7,25.0,31.0,,38.0,9.4,1010.3
2021-02-12,27.7,25.0,30.9,,28.0,12.1,1009.6
2021-02-13,28.2,26.0,33.0,,42.0,10.3,1010.5
2021-02-14,27.7,23.0,32.7,,38.0,11.2,1010.7
2021-02-15,27.4,25.7,31.0,,33.0,14.4,1010.0
2021-02-16,26.9,24.5,30.5,,28.0,13.1,1009.9
2021-02-17,27.3,23.5,32.0,,49.0,10.9,1010.5
2021-02-18,27.4,23.8,32.0,,47.0,10.2,1011.0
2021-02-19,27.1,23.0,33.0,,41.0,9.7,1010.8
2021-02-20,28.2,25.0,33.0,,45.0,10.3,1010.7
2021-02-21,27.7,23.4,32.2,,50.0,9.4,1010.7
2021-02-22,28.3,26.0,32.0,,51.0,10.4,1011.3
2021-02-23,27.9,25.0,32.0,,37.0,10.7,1010.7
2021-02-24,28.1,24.9,31.7,,47.0,10.9,1010.7
2021-02-25,27.3,23.3,33.0,,59.0,10.0,1010.4
2021-02-26,27.8,23.8,32.7,,35.0,12.3,1009.4
2021-02-27,27.8,23.7,32.0,,51.0,10.7,1009.1
2021-02-28,28.1,24.4,33.2,,53.0,11.2,1009.5
2021-03-01,28.0,24.0,33.0,,52.0,10.5,1010.4
2021-03-02,28.2,24.4,33.0,,33.0,13.6,1010.2
2021-03-03,28.3,24.8,32.2,,42.0,13.9,1009.8
2021-03-04,28.0,25.4,32.0,,30.0,12.9,1010.6
2021-03-05,28.6,24.4,33.5,,42.0,15.0,1010.1
2021-03-06,29.0,25.6,34.0,,50.0,12.3,1010.8
