time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-02,7.1,5.0,9.5,61.7,164.0,37.8,1003.6
2021-01-03,5.7,3.8,8.0,17.0,174.0,24.8,1007.7
2021-01-04,5.3,4.0,8.0,25.0,167.0,15.7,1009.2
2021-01-05,5.1,4.0,6.0,21.8,186.0,20.0,1007.9
2021-01-06,4.7,3.0,7.0,1.0,233.0,10.5,1011.8
2021-01-07,4.5,3.0,7.3,2.9,104.0,9.0,1012.2
2021-01-08,3.7,2.0,6.0,0.5,20.0,10.1,1010.6
2021-01-09,3.2,2.0,4.2,2.7,50.0,25.2,1011.1
2021-01-10,4.7,3.0,6.0,10.6,30.0,19.1,1009.2
2021-01-11,1.8,0.0,3.4,0.7,16.0,13.6,1014.5
2021-01-12,2.5,-1.0,6.2,0.4,16.0,13.4,1015.6
2021-01-13,5.0,1.3,10.0,0.0,356.0,6.6,1015.1
2021-01-14,6.4,4.1,9.0,0.0,60.0,10.1,1011.2
2021-01-15,4.7,2.8,7.0,1.1,45.0,15.0,1012.1
2021-01-16,2.1,-1.0,5.6,0.0,44.0,21.2,1019.5
2021-01-17,2.1,0.4,4.0,0.8,75.0,16.9,1015.5
2021-01-18,3.5,0.8,8.0,0.0,28.0,11.3,1022.7
2021-01-19,5.1,2.3,8.6,0.3,145.0,11.0,1025.7
2021-01-20,8.3,7.0,10.0,0.7,181.0,21.4,1021.7
2021-01-21,9.8,9.0,10.4,1.1,165.0,27.4,1015.3
2021-01-22,9.9,9.0,10.6,8.5,194.0,45.7,1006.8
2021-01-23,7.7,4.0,9.8,0.3,231.0,30.3,1000.2
2021-01-24,7.2,4.0,9.9,14.1,252.0,36.3,998.3
2021-01-25,6.9,4.5,10.4,2.0,263.0,24.6,1003.8
2021-01-26,3.6,0.0,7.0,0.0,339.0,15.2,1014.3
2021-01-27,4.5,1.5,8.0,0.0,22.0,6.0,1017.0
2021-01-28,6.1,2.1,9.0,0.9,118.0,15.1,1014.7
2021-01-29,9.2,7.0,12.0,0.0,89.0,21.4,1008.0
2021-01-30,9.5,6.8,12.0,5.9,185.0,22.0,1003.7
2021-01-31,7.7,5.0,9.8,9.5,251.0,23.1,994.2
2021-02-01,7.1,4.5,10.0,2.0,120.0,9.1,998.0
2021-02-02,8.3,5.4,11.0,0.1,345.0,6.7,1009.1
2021-02-03,10.0,7.5,11.0,0.2,152.0,24.4,1014.8
2021-02-04,10.5,10.0,11.0,0.7,153.0,26.7,1015.9
2021-02-05,9.9,8.0,11.0,0.0,140.0,20.3,1015.5
2021-02-06,10.7,8.8,13.0,0.0,143.0,31.1,1010.5
2021-02-07,10.8,8.2,12.5,3.1,176.0,39.5,999.3
2021-02-08,8.7,5.0,12.0,1.6,194.0,27.5,998.8
2021-02-09,9.4,7.0,11.4,8.4,210.0,24.5,1001.8
2021-02-10,9.3,6.4,10.8,4.9,210.0,32.9,1000.5
2021-02-11,8.5,6.5,11.2,0.0,343.0,10.2,1010.4
2021-02-12,6.1,4.0,8.5,4.6,73.0,17.3,1017.8
2021-02-13,0.8,-3.0,4.0,9.6,41.0,36.6,1018.5
2021-02-14,-1.1,-5.2,3.0,0.0,19.0,32.9,1033.4
2021-02-15,0.6,-4.0,5.0,0.0,4.0,10.8,1037.6
