time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-02,27.8,23.2,33.0,0.0,220.0,6.3,1009.5
2021-01-03,27.7,24.0,32.3,0.8,255.0,7.0,1009.6
2021-01-04,26.7,24.1,30.3,1.9,271.0,7.3,1009.5
2021-01-05,27.0,23.4,31.3,0.2,232.0,6.6,1009.4
2021-01-06,26.5,23.1,31.2,0.6,268.0,6.2,1010.6
2021-01-07,26.8,22.6,32.2,0.5,273.0,6.2,1011.0
2021-01-08,26.9,24.0,31.7,2.4,268.0,5.2,1010.8
2021-01-09,25.9,23.9,29.3,9.8,236.0,4.8,1010.6
2021-01-10,26.6,23.1,31.5,3.4,282.0,6.5,1010.2
2021-01-11,27.2,23.6,32.4,6.5,209.0,7.0,1009.8
2021-01-12,27.3,23.1,32.8,1.0,227.0,7.9,1009.4
2021-01-13,27.9,24.0,33.5,0.0,286.0,6.1,1008.5
2021-01-14,27.6,23.8,32.8,0.0,272.0,6.8,1008.5
2021-01-15,27.5,23.8,32.3,0.8,260.0,6.2,1008.8
2021-01-16,27.4,23.6,32.9,0.4,281.0,7.3,1009.6
2021-01-17,27.4,23.2,33.0,0.0,229.0,7.2,1009.1
2021-01-18,27.7,23.8,31.8,1.2,307.0,5.9,1009.4
2021-01-19,28.3,23.5,34.6,0.0,30.0,7.9,1008.7
2021-01-20,28.2,22.9,34.9,0.0,20.0,8.5,1007.9
2021-01-21,28.3,23.6,34.6,0.0,346.0,6.9,1008.0
2021-01-22,28.1,23.4,34.3,0.1,277.0,6.9,1008.8
2021-01-23,27.9,23.8,33.9,0.0,268.0,7.3,1009.2
2021-01-24,28.4,23.7,34.8,0.1,245.0,7.3,1008.3
2021-01-25,28.9,24.7,35.0,0.0,194.0,6.7,1007.2
2021-01-26,28.9,23.6,35.6,0.0,322.0,7.9,1007.4
2021-01-27,28.7,23.8,35.4,0.0,286.0,7.4,1008.3
2021-01-28,28.4,24.0,35.3,0.0,308.0,6.5,1009.1
2021-01-29,27.0,24.0,34.5,0.1,357.0,8.2,1008.1
2021-01-30,28.7,23.2,35.7,0.0,23.0,8.6,1007.5
2021-01-31,27.7,23.0,36.3,0.0,337.0,7.5,1006.7
2021-02-01,28.7,25.0,35.0,0.5,255.0,8.2,1007.5
2021-02-02,29.6,25.2,33.0,1.5,302.0,9.7,1008.2
2021-02-03,28.6,25.0,34.1,0.8,351.0,10.3,1008.5
2021-02-04,28.7,24.0,34.9,0.0,334.0,8.3,1009.0
2021-02-05,28.7,24.8,35.1,0.0,293.0,7.4,1008.5
2021-02-06,28.7,24.0,35.0,0.3,257.0,7.6,1008.9
2021-02-07,29.1,25.7,35.2,0.3,284.0,8.1,1008.1
2021-02-08,29.0,25.0,34.7,0.3,282.0,8.2,1008.5
2021-02-09,28.6,25.6,33.4,1.5,251.0,7.7,1009.2
2021-02-10,28.0,24.0,33.0,3.8,263.0,6.9,1009.3
2021-02-11,28.6,24.6,34.0,0.2,238.0,8.2,1008.0
2021-02-12,28.6,24.9,34.4,0.1,244.0,7.4,1007.7
2021-02-13,28.5,24.9,34.9,0.0,275.0,8.7,1008.9
2021-02-14,28.6,24.0,34.4,0.6,265.0,7.1,1010.6
2021-02-15,29.0,25.0,35.1,1.4,267.0,8.3,1010.7
2021-02-16,28.6,25.0,33.4,2.3,272.0,7.9,1010.9
2021-02-17,29.5,24.7,34.4,2.0,261.0,6.9,1010.4
2021-02-18,28.0,23.0,34.2,1.1,252.0,8.3,1010.7
2021-02-19,28.3,24.7,33.6,0.6,281.0,9.2,1011.5
2021-02-20,28.0,24.5,32.6,1.5,269.0,8.3,1011.3
2021-02-21,28.4,24.0,34.1,0.4,260.0,5.8,1010.5
2021-02-22,28.6,24.1,34.5,0.7,347.0,7.3,1009.5
2021-02-23,28.6,24.0,34.6,0.8,296.0,7.7,1009.0
2021-02-24,29.4,24.0,37.5,0.4,334.0,7.9,1007.8
2021-02-25,30.1,25.0,38.3,0.7,346.0,9.3,1006.8
2021-02-26,27.7,25.7,37.8,0.6,269.0,7.9,1006.5
2021-02-27,30.2,25.5,34.9,1.5,260.0,7.8,1007.3
2021-02-28,29.6,24.4,37.9,0.0,0.0,10.4,1006.6
2021-03-01,29.2,23.8,37.2,0.0,226.0,8.8,1006.7
2021-03-02,28.3,23.4,34.9,0.1,276.0,8.6,1008.4
2021-03-03,28.5,23.5,36.3,0.0,262.0,8.2,1009.5
2021-03-04,28.1,23.0,34.0,0.2,292.0,10.3,1010.6
2021-03-05,28.5,23.0,35.9,0.6,333.0,9.4,1009.6
2021-03-06,28.6,24.0,34.8,0.8,331.0,9.0,1009.3
2021-03-07,29.2,25.0,36.2,0.8,324.0,8.7,1009.1
2021-03-08,28.6,26.0,33.6,5.4,333.0,6.5,1010.2
2021-03-09,28.0,24.6,34.9,3.5,223.0,8.1,1010.1
2021-03-10,28.0,24.0,35.0,7.8,239.0,8.4,1010.1
2021-03-11,27.4,24.0,32.7,5.8,275.0,11.4,1011.4
2021-03-12,28.7,24.0,34.0,1.7,273.0,8.4,1012.0
2021-03-13,29.4,23.3,33.6,0.2,306.0,6.9,1011.6
2021-03-14,28.1,24.1,33.7,0.3,301.0,6.9,1011.0
2021-03-15,28.3,24.4,35.5,0.8,288.0,6.5,1010.1
2021-03-16,28.0,24.9,34.5,4.9,222.0,5.9,1009.6
2021-03-17,26.8,24.8,34.0,12.4,278.0,7.8,1009.3
2021-03-18,26.7,23.3,31.8,15.0,206.0,6.5,1010.2
2021-03-19,28.5,23.7,30.7,8.6,217.0,5.1,1010.5
2021-03-20,26.6,23.1,31.3,10.3,254.0,5.8,1010.4
2021-03-21,27.4,23.5,32.7,0.5,288.0,7.0,1009.2
2021-03-22,27.5,23.9,32.6,0.3,267.0,8.1,1009.8
2021-03-23,27.3,23.9,31.6,1.2,267.0,8.7,1010.9
2021-03-24,27.7,23.2,34.0,1.6,262.0,6.0,1010.1
2021-03-25,29.6,24.6,34.0,5.0,278.0,6.3,1010.0
2021-03-26,28.3,24.7,34.5,1.2,244.0,7.7,1009.0
2021-03-27,28.4,24.1,34.5,0.2,143.0,8.1,1008.6
2021-03-28,27.5,24.0,36.0,0.0,118.0,8.8,1007.4
2021-03-29,29.5,24.7,36.0,0.4,215.0,7.1,1007.1
2021-03-30,29.7,25.0,37.8,3.3,216.0,7.4,1006.9
2021-03-31,31.8,25.5,37.2,0.8,190.0,9.4,1006.2
2021-04-01,28.0,24.0,33.2,2.1,240.0,6.3,1006.2
2021-04-02,26.4,23.8,32.4,36.2,234.0,6.6,1007.5
2021-04-03,23.8,22.0,30.8,6.0,261.0,5.3,1008.7
2021-04-04,29.0,23.8,33.0,13.8,250.0,4.2,1008.0
2021-04-05,26.5,24.1,30.1,18.9,257.0,6.2,1008.3
2021-04-06,28.3,23.6,30.0,19.1,243.0,5.9,1008.8
2021-04-07,25.8,23.0,30.4,17.9,220.0,4.3,1009.0
2021-04-08,26.2,24.1,31.0,31.2,238.0,5.3,1009.8
2021-04-09,24.5,22.0,28.2,5.9,295.0,3.4,1010.4
2021-04-10,26.2,23.8,32.0,7.4,192.0,4.4,1009.8
2021-04-11,26.8,24.1,30.6,6.1,215.0,5.7,1008.3
2021-04-12,28.8,24.1,34.0,14.1,288.0,5.7,1007.9
2021-04-13,27.4,23.9,32.5,1.6,236.0,6.3,1007.9
2021-04-14,28.5,23.0,31.0,10.0,288.0,4.2,1009.2
2021-04-15,28.2,24.5,32.0,27.5,260.0,5.5,1008.2
2021-04-16,27.7,23.4,32.0,8.0,213.0,5.6,1008.9
2021-04-17,26.7,24.2,31.1,9.4,269.0,5.1,1009.8
2021-04-18,26.0,23.0,30.2,7.5,272.0,4.0,1010.5
2021-04-19,26.8,23.9,30.5,2.2,295.0,5.5,1010.6
2021-04-20,33.0,24.2,35.0,1.7,280.0,4.8,1009.9
2021-04-21,28.0,24.9,31.2,2.8,264.0,7.5,1009.8
2021-04-22,27.3,23.8,31.4,1.5,265.0,5.8,1009.1
2021-04-23,27.8,24.4,32.3,2.7,233.0,6.4,1008.9
2021-04-24,27.3,24.6,31.6,2.4,262.0,7.3,1009.7
2021-04-25,27.6,24.2,31.7,1.5,253.0,6.0,1009.2
2021-04-26,27.6,24.9,34.0,6.7,225.0,6.0,1008.5
2021-04-27,26.6,23.7,32.0,14.5,81.0,6.0,1009.4
2021-04-28,28.4,24.2,32.0,9.0,283.0,10.4,1010.1
2021-04-29,27.4,22.9,33.0,1.1,255.0,6.4,1011.2
2021-04-30,26.6,23.0,31.0,2.4,266.0,4.4,1011.6
2021-05-01,28.5,23.6,32.0,6.4,215.0,5.7,1012.0
2021-05-02,26.3,23.0,31.4,6.6,249.0,4.2,1012.0
2021-05-03,25.5,23.0,28.4,6.4,187.0,5.3,1012.7
2021-05-04,25.6,23.4,31.0,3.2,31.0,4.4,1012.7
2021-05-05,26.2,23.0,30.6,6.9,271.0,4.6,1012.4
2021-05-06,26.2,23.7,30.5,10.4,191.0,5.2,1011.5
2021-05-07,26.1,22.0,30.3,12.4,260.0,4.5,1011.3
2021-05-08,29.8,23.5,37.0,5.7,134.0,4.5,1011.0
2021-05-09,26.9,23.5,32.0,2.8,146.0,5.8,1009.9
2021-05-10,29.5,24.4,32.5,9.6,262.0,3.9,1008.0
2021-05-11,27.3,24.3,31.2,0.3,210.0,5.6,1008.7
2021-05-12,26.9,24.6,32.0,9.7,256.0,4.5,1009.2
2021-05-13,29.8,24.1,32.6,0.5,191.0,6.2,1008.3
2021-05-14,28.0,24.7,33.0,0.7,240.0,6.8,1008.6
2021-05-15,27.9,25.5,32.0,3.6,244.0,6.5,1008.8
2021-05-16,27.6,25.5,33.0,2.6,249.0,6.4,1009.6
2021-05-17,26.8,24.6,32.0,6.1,239.0,6.8,1010.7
2021-05-18,26.0,24.0,30.8,16.9,237.0,4.3,1011.0
2021-05-19,29.0,23.0,34.0,2.0,321.0,5.0,1009.7
2021-05-20,27.9,24.0,35.0,3.0,351.0,4.6,1008.4
2021-05-21,27.6,25.1,31.9,2.2,230.0,5.7,1008.6
2021-05-22,29.3,24.8,32.0,5.2,241.0,5.8,1008.6
2021-05-23,26.8,24.5,30.3,10.3,237.0,4.7,1009.1
2021-05-24,27.5,23.9,32.4,8.5,228.0,5.2,1009.3
2021-05-25,29.0,23.0,33.0,10.8,291.0,5.7,1010.2
2021-05-26,27.6,24.3,35.0,2.9,237.0,6.1,1010.4
2021-05-27,26.8,24.0,32.0,10.6,263.0,5.9,1010.9
2021-05-28,28.0,24.3,33.0,15.0,276.0,6.2,1010.9
2021-05-29,25.9,23.8,28.0,4.0,257.0,8.4,1010.7
2021-05-30,26.7,23.9,31.0,5.3,276.0,5.5,1011.2
2021-05-31,26.9,24.0,32.0,13.5,256.0,4.8,1010.7
2021-06-01,26.8,23.9,29.9,10.0,206.0,4.8,1010.1
2021-06-02,26.2,24.0,31.0,3.0,208.0,3.6,1009.4
2021-06-03,26.0,23.0,33.0,8.0,262.0,4.1,1009.3
2021-06-04,26.7,24.3,30.6,9.5,179.0,4.8,1009.4
2021-06-05,27.4,24.2,29.1,23.0,265.0,4.3,1009.3
2021-06-06,26.5,24.0,31.1,15.1,247.0,5.6,1008.9
2021-06-07,25.4,23.7,28.0,21.7,244.0,5.3,1010.2
2021-06-08,25.7,22.8,30.0,12.3,263.0,7.7,1012.2
2021-06-09,25.0,23.0,29.5,18.5,211.0,5.3,1012.8
2021-06-10,25.0,23.5,30.9,3.0,95.0,5.2,1011.9
2021-06-11,26.5,23.7,33.0,16.3,215.0,5.1,1010.7
2021-06-12,26.1,23.9,29.3,11.3,298.0,3.7,1010.0
2021-06-13,25.8,23.3,29.8,16.8,248.0,4.8,1010.7
2021-06-14,26.1,23.7,29.6,3.8,257.0,6.1,1012.6
2021-06-15,26.3,23.6,32.0,3.9,283.0,3.8,1013.0
2021-06-16,26.8,23.5,33.0,1.7,18.0,4.9,1010.9
2021-06-17,26.8,23.4,32.0,10.9,218.0,6.5,1009.3
2021-06-18,29.2,23.9,31.0,3.7,275.0,5.0,1010.3
2021-06-19,28.3,23.3,31.0,3.9,285.0,5.3,1011.3
2021-06-20,26.7,24.1,30.7,8.2,215.0,5.8,1011.2
2021-06-21,27.4,23.0,30.0,2.5,246.0,5.3,1012.0
2021-06-22,26.0,23.6,29.6,8.6,207.0,4.7,1012.7
2021-06-23,29.6,23.0,33.0,5.6,159.0,3.5,1012.6
2021-06-24,25.4,23.1,28.8,5.2,193.0,5.0,1011.6
2021-06-25,26.1,23.3,32.0,18.4,250.0,5.0,1011.0
2021-06-26,25.7,22.8,29.7,11.5,247.0,5.0,1011.0
2021-06-27,29.0,22.9,33.0,11.9,80.0,4.3,1011.2
2021-06-28,26.2,22.7,31.0,4.4,179.0,4.4,1011.2
2021-06-29,27.1,23.9,32.1,8.8,185.0,5.9,1010.0
2021-06-30,32.0,23.7,33.0,3.9,227.0,7.4,1009.8
2021-07-01,26.2,23.6,30.8,6.5,280.0,5.5,1011.1
2021-07-02,26.4,23.0,30.2,7.3,93.0,4.9,1011.5
2021-07-03,25.9,23.8,28.9,14.7,200.0,4.5,1011.8
2021-07-04,25.9,23.0,30.1,9.2,216.0,5.9,1012.5
2021-07-05,27.0,23.0,33.0,2.6,192.0,4.5,1012.3
2021-07-06,26.8,23.0,33.0,3.0,123.0,6.5,1011.0
2021-07-07,27.3,23.0,34.0,4.0,177.0,6.7,1008.4
2021-07-08,27.2,23.0,32.1,3.1,175.0,7.2,1008.2
2021-07-09,26.4,23.7,30.6,12.8,224.0,6.1,1009.6
2021-07-10,25.7,23.6,28.6,2.3,252.0,5.0,1010.5
2021-07-11,26.1,22.6,30.0,2.4,323.0,4.0,1010.4
2021-07-12,26.9,24.1,31.2,3.8,218.0,4.9,1009.8
2021-07-13,27.2,23.0,31.8,3.3,118.0,4.4,1010.5
2021-07-14,30.2,23.6,33.0,2.2,238.0,6.5,1011.0
2021-07-15,26.8,23.6,34.0,10.4,226.0,3.6,1010.3
2021-07-16,27.0,23.8,31.2,4.6,260.0,5.5,1009.7
