time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,26.3,16.5,35.8,,31.0,8.0,1010.4
2021-01-02,27.0,18.3,36.5,,19.0,8.4,1009.5
2021-01-03,26.6,18.0,35.4,,19.0,8.4,1009.3
2021-01-04,27.1,20.5,35.9,,23.0,9.4,1009.8
2021-01-05,26.6,20.0,34.7,,25.0,12.3,1010.2
2021-01-06,25.8,16.4,35.4,,30.0,12.1,1011.1
2021-01-07,28.5,19.3,38.5,,42.0,12.8,1011.0
2021-01-08,28.9,19.8,38.5,,71.0,11.9,1010.0
2021-01-09,28.9,19.5,39.0,,71.0,9.8,1009.4
2021-01-10,28.4,20.0,39.2,,43.0,10.6,1008.8
2021-01-11,26.3,20.5,33.6,,22.0,15.4,1010.0
2021-01-12,27.3,20.0,37.5,,29.0,13.4,1011.4
2021-01-13,26.8,19.0,36.5,,43.0,11.8,1012.3
2021-01-14,25.6,17.5,36.0,,39.0,12.6,1012.2
2021-01-15,25.7,19.0,33.2,,23.0,15.2,1011.6
2021-01-16,24.3,17.6,32.0,,24.0,16.1,1011.3
2021-01-17,23.7,17.7,33.2,,25.0,14.6,1011.8
2021-01-18,24.4,15.3,35.0,,26.0,11.8,1011.9
2021-01-19,26.1,17.7,36.0,,43.0,11.5,1012.2
2021-01-20,26.6,17.5,35.2,,56.0,13.0,1012.1
2021-01-21,25.1,16.0,33.5,,55.0,14.5,1012.9
2021-01-22,24.7,16.4,32.3,,48.0,15.2,1013.7
2021-01-23,24.4,15.0,32.8,,42.0,13.3,1013.3
2021-01-24,23.6,13.1,33.5,,41.0,11.5,1012.0
2021-01-25,24.2,12.0,34.9,,47.0,10.8,1011.8
2021-01-26,25.7,11.8,35.5,,44.0,12.9,1011.9
2021-01-27,25.1,14.4,35.2,,46.0,13.5,1011.7
2021-01-28,24.8,13.5,35.5,,48.0,11.5,1011.3
2021-01-29,25.6,16.2,35.5,,60.0,14.3,1012.0
2021-01-30,25.9,15.5,35.4,,49.0,11.6,1012.3
2021-01-31,25.4,17.2,34.4,,30.0,11.9,1011.8
2021-02-01,25.9,18.5,34.6,,37.0,13.2,1012.0
2021-02-02,24.8,15.0,34.5,,51.0,12.3,1012.3
2021-02-03,25.2,13.8,36.0,,56.0,10.4,1011.9
2021-02-04,25.9,13.3,36.8,,68.0,9.2,1010.4
2021-02-05,27.8,18.5,37.7,,79.0,9.0,1009.9
2021-02-06,29.1,20.5,38.2,,57.0,9.0,1009.7
2021-02-07,24.6,22.0,29.2,,24.0,18.1,1011.2
2021-02-08,25.4,19.8,33.2,,22.0,15.3,1011.2
2021-02-09,27.3,19.4,36.4,,27.0,12.2,1011.0
2021-02-10,23.5,21.9,37.0,,29.0,12.4,1010.6
2021-02-11,28.5,19.0,37.0,,36.0,12.5,1010.4
2021-02-12,29.2,19.0,39.0,,45.0,10.0,1009.4
2021-02-13,35.2,19.0,39.5,,69.0,9.2,1007.6
2021-02-14,30.2,17.7,39.8,,78.0,9.8,1006.4
2021-02-15,30.9,21.2,40.3,,77.0,10.1,1006.5
2021-02-16,30.8,20.5,40.5,,81.0,10.9,1006.6
2021-02-17,30.5,22.6,37.8,,97.0,13.7,1007.7
2021-02-18,30.1,26.1,33.7,,92.0,16.1,1010.6
2021-02-19,26.7,23.4,34.0,,80.0,16.3,1012.9
2021-02-20,28.3,23.3,34.0,,81.0,14.5,1013.8
2021-02-21,28.3,22.6,35.0,,69.0,13.2,1012.5
2021-02-22,27.6,19.1,36.0,,70.0,15.4,1011.7
2021-02-23,27.1,18.8,35.2,,63.0,12.8,1012.0
2021-02-24,26.8,16.2,36.1,,50.0,11.7,1012.0
2021-02-25,26.2,20.0,33.0,,33.0,17.3,1012.2
2021-02-26,24.7,17.4,32.4,,18.0,13.4,1011.6
2021-02-27,25.6,18.0,34.0,,20.0,10.4,1009.8
2021-02-28,27.9,18.8,38.0,,39.0,10.2,1008.1
2021-03-01,30.7,23.5,38.6,,52.0,13.3,1007.7
2021-03-02,30.9,25.4,38.3,,63.0,13.6,1008.3
2021-03-03,31.4,24.0,39.5,,48.0,12.0,1008.4
2021-03-04,31.2,23.0,39.5,,43.0,17.2,1007.6
2021-03-05,31.8,24.4,39.3,,69.0,15.4,1007.3
2021-03-06,31.7,24.2,40.5,,84.0,10.6,1007.7
2021-03-07,32.4,24.2,41.0,,48.0,8.7,1008.2
2021-03-08,32.7,26.6,39.5,,29.0,13.6,1007.1
2021-03-09,31.7,26.5,38.7,,19.0,14.8,1006.0
2021-03-10,29.0,23.7,35.0,,10.0,15.2,1007.1
2021-03-11,27.8,21.0,34.0,,10.0,15.6,1008.1
2021-03-12,26.1,19.9,32.1,,20.0,17.7,1009.4
2021-03-13,26.4,20.5,33.0,,23.0,13.9,1010.3
2021-03-14,26.6,20.2,33.6,,14.0,11.5,1010.6
2021-03-15,27.6,19.8,35.0,,13.0,11.8,1008.7
2021-03-16,28.7,20.3,37.0,,10.0,10.3,1006.9
2021-03-17,29.8,22.8,36.6,,13.0,11.7,1006.7
2021-03-18,30.8,24.6,37.0,,18.0,11.8,1007.5
2021-03-19,31.4,24.0,39.0,,33.0,12.0,1007.2
2021-03-20,31.9,22.0,39.5,,100.0,10.4,1006.6
2021-03-21,31.8,21.2,38.6,,359.0,10.4,1006.6
2021-03-22,33.6,26.9,40.0,,32.0,14.4,1006.5
2021-03-23,32.9,26.8,40.0,,39.0,19.1,1008.5
2021-03-24,33.0,25.0,40.8,,34.0,20.5,1010.0
2021-03-25,32.1,25.5,39.0,,32.0,20.3,1009.6
2021-03-26,30.7,23.2,38.8,,34.0,19.2,1009.3
2021-03-27,31.1,21.0,39.7,,66.0,17.2,1008.6
2021-03-28,32.5,26.8,39.0,,79.0,16.8,1009.6
2021-03-29,31.7,24.8,38.0,,82.0,15.5,1009.9
2021-03-30,30.9,22.5,38.6,,79.0,12.6,1009.1
2021-03-31,31.9,24.5,39.5,,79.0,13.4,1008.1
2021-04-01,32.2,25.1,39.8,,70.0,15.6,1008.7
2021-04-02,31.8,22.0,40.7,,71.0,17.8,1009.7
2021-04-03,31.9,22.6,39.8,,69.0,12.1,1008.6
2021-04-04,31.9,21.5,41.3,,76.0,10.8,1007.6
2021-04-05,33.0,21.2,42.8,,73.0,9.8,1006.9
2021-04-06,33.6,24.2,41.8,,45.0,14.0,1007.0
2021-04-07,33.3,23.4,42.5,,39.0,15.9,1007.7
2021-04-08,34.7,21.4,42.8,,42.0,19.9,1007.9
2021-04-09,34.2,25.4,42.4,,41.0,17.0,1006.8
2021-04-10,34.1,22.5,43.3,,45.0,15.9,1005.1
2021-04-11,35.6,25.6,44.0,,66.0,13.1,1004.7
2021-04-12,35.0,25.6,43.7,,74.0,11.8,1006.0
2021-04-13,35.0,24.0,43.6,,95.0,10.5,1006.7
2021-04-14,34.5,27.5,40.8,,184.0,13.2,1006.4
2021-04-15,35.3,29.0,42.4,,208.0,9.3,1005.9
2021-04-16,35.9,31.2,42.7,,21.0,10.9,1004.2
2021-04-17,34.6,30.3,39.5,,15.0,13.7,1005.3
2021-04-18,33.4,26.7,41.0,,21.0,14.3,1007.3
2021-04-19,34.3,26.5,41.5,,33.0,12.9,1007.0
2021-04-20,34.7,27.5,41.8,,38.0,11.8,1005.8
2021-04-21,34.6,24.6,42.5,,35.0,10.4,1005.7
2021-04-22,34.4,25.2,42.2,,97.0,9.4,1006.3
2021-04-23,33.0,25.0,41.5,,170.0,9.4,1006.6
2021-04-24,35.0,26.9,43.0,,38.0,10.5,1005.3
2021-04-25,33.9,25.3,42.8,,64.0,9.5,1005.1
2021-04-26,35.2,28.0,42.8,,181.0,10.3,1005.5
2021-04-27,34.9,24.8,43.2,,97.0,9.6,1004.2
2021-04-28,35.6,27.2,43.1,,200.0,12.4,1004.2
2021-04-29,34.8,29.4,41.8,,202.0,13.6,1005.1
2021-04-30,33.3,29.6,41.4,,259.0,12.1,1005.5
2021-05-01,32.8,28.7,38.0,,30.0,14.0,1006.8
2021-05-02,35.3,27.8,42.0,,27.0,9.2,1004.8
2021-05-03,35.2,31.6,39.5,,50.0,11.6,1004.5
2021-05-04,34.7,30.5,41.2,,200.0,12.7,1005.1
2021-05-05,34.8,29.8,41.6,,216.0,14.2,1005.3
2021-05-06,35.0,31.2,39.7,,229.0,11.8,1006.6
2021-05-07,34.9,29.3,40.6,,256.0,10.9,1008.4
2021-05-08,34.8,28.2,41.5,,251.0,11.1,1008.2
2021-05-09,36.1,30.5,41.8,,225.0,13.0,1007.2
2021-05-10,34.7,30.0,42.3,,199.0,12.5,1007.6
2021-05-11,34.8,30.0,41.5,,171.0,12.6,1008.7
2021-05-12,35.0,28.3,41.5,,276.0,13.4,1008.6
2021-05-13,36.5,26.8,44.8,,342.0,14.8,1006.0
2021-05-14,35.8,26.9,43.5,,174.0,10.4,1005.1
2021-05-15,36.0,32.0,42.5,,202.0,13.1,1006.3
2021-05-16,35.8,27.5,42.8,,225.0,11.5,1007.0
2021-05-17,37.6,30.0,44.5,0.8,193.0,12.5,1006.1
2021-05-18,36.4,31.0,43.3,0.0,197.0,12.4,1006.4
2021-05-19,35.2,28.7,43.4,,237.0,12.5,1007.5
2021-05-20,30.9,27.6,33.2,,219.0,14.6,1008.5
2021-05-21,34.0,28.2,40.5,,215.0,15.8,1008.1
2021-05-22,33.3,29.0,41.5,,205.0,14.2,1008.7
2021-05-23,34.4,28.0,42.2,,219.0,13.2,1008.3
2021-05-24,33.8,30.0,39.6,,217.0,11.8,1008.2
2021-05-25,33.5,29.4,41.5,,219.0,13.1,1007.9
2021-05-26,33.6,28.0,42.0,,232.0,17.0,1007.5
2021-05-27,33.8,25.8,41.0,4.1,250.0,14.2,1006.3
2021-05-28,33.8,29.0,38.5,0.0,197.0,16.6,1006.2
2021-05-29,35.3,29.2,41.8,,162.0,14.8,1007.5
2021-05-30,36.0,28.6,42.2,,213.0,11.1,1006.2
2021-05-31,35.3,28.8,41.4,,240.0,16.3,1006.7
2021-06-01,36.0,31.0,42.1,,224.0,18.5,1005.8
2021-06-02,35.9,24.1,42.7,,206.0,16.1,1006.1
2021-06-03,35.0,29.8,43.0,,218.0,15.8,1007.7
2021-06-04,35.1,25.0,41.8,,216.0,12.1,1008.0
2021-06-05,36.0,29.8,42.5,,224.0,14.1,1006.8
2021-06-06,33.4,28.5,39.8,,188.0,18.1,1007.0
2021-06-07,34.7,28.9,40.6,,184.0,13.5,1007.7
2021-06-08,33.9,29.4,41.5,,203.0,15.1,1008.1
2021-06-09,32.0,24.6,39.4,0.0,217.0,13.0,1008.1
2021-06-10,34.7,28.6,41.0,0.0,212.0,11.4,1007.8
2021-06-11,33.3,25.2,37.8,2.0,234.0,17.4,1007.7
