time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,29.1,25.0,35.1,0.0,59.0,15.1,1005.1
2021-01-02,29.4,22.5,35.0,0.0,64.0,13.6,1004.7
2021-01-03,27.9,25.0,33.4,0.0,30.0,13.4,1003.8
2021-01-04,30.6,22.6,36.8,0.0,137.0,11.3,1003.2
2021-01-05,31.7,25.0,37.4,0.0,125.0,14.5,1004.8
2021-01-06,32.2,26.5,37.5,0.0,173.0,25.0,1006.7
2021-01-07,31.7,27.5,36.9,0.0,137.0,17.6,1006.3
2021-01-08,32.3,26.2,37.9,0.0,159.0,18.3,1007.3
2021-01-09,30.6,27.0,37.6,0.0,155.0,14.5,1006.7
2021-01-10,29.6,23.8,37.1,0.0,70.0,12.1,1006.9
2021-01-11,30.7,25.0,36.6,0.0,56.0,11.3,1006.9
2021-01-12,32.3,24.1,37.9,0.0,120.0,10.6,1006.3
2021-01-13,32.9,26.5,38.1,0.0,96.0,14.2,1007.4
2021-01-14,31.9,27.7,38.4,0.0,108.0,15.6,1007.7
2021-01-15,34.0,22.3,40.3,0.0,78.0,12.7,1006.0
2021-01-16,33.5,28.0,40.0,0.0,154.0,20.0,1006.1
2021-01-17,32.3,25.7,39.7,0.0,159.0,22.1,1007.8
2021-01-18,32.1,24.2,39.2,0.0,151.0,17.5,1007.4
2021-01-19,32.3,24.5,40.2,0.0,105.0,13.6,1007.8
2021-01-20,32.4,24.5,39.9,0.4,23.0,9.3,1009.5
2021-01-21,29.3,27.0,38.8,2.0,6.0,13.5,1008.3
2021-01-22,28.5,24.4,36.2,8.2,21.0,12.4,1008.0
2021-01-23,29.6,24.6,36.9,0.0,19.0,7.6,1007.2
2021-01-24,31.0,24.2,37.8,0.0,25.0,10.9,1006.7
2021-01-25,32.8,24.6,38.4,0.0,26.0,11.2,1004.0
2021-01-26,28.9,26.0,37.0,0.2,326.0,11.3,1003.1
2021-01-27,31.7,24.6,38.4,15.6,359.0,8.1,1002.8
2021-01-28,31.2,26.3,38.2,0.0,92.0,11.6,1002.8
2021-01-29,32.9,23.1,38.5,0.0,41.0,9.8,1003.5
2021-01-30,34.2,26.4,39.3,0.0,113.0,10.4,1004.4
2021-01-31,33.7,29.0,40.4,0.0,72.0,10.9,1004.8
2021-02-01,32.9,26.2,40.1,0.0,359.0,8.1,1005.4
2021-02-02,31.6,27.0,41.5,4.6,261.0,14.6,1004.5
2021-02-03,32.2,24.8,40.8,1.4,318.0,11.4,1003.1
2021-02-04,32.1,26.0,39.9,0.0,358.0,17.2,1003.1
2021-02-05,32.5,27.0,38.4,0.0,18.0,19.0,1003.0
2021-02-06,27.8,24.0,36.0,0.6,125.0,15.5,1003.8
2021-02-07,26.6,23.1,30.1,66.8,103.0,13.4,1004.5
2021-02-08,28.6,25.0,34.2,2.2,49.0,14.0,1005.0
2021-02-09,29.1,24.1,33.7,0.0,28.0,9.8,1006.0
2021-02-10,33.4,25.5,35.9,0.0,5.0,9.8,1005.6
2021-02-11,31.6,26.0,37.0,0.0,325.0,12.7,1007.0
2021-02-12,31.2,27.0,36.0,0.0,6.0,15.9,1007.7
2021-02-13,27.9,26.0,37.7,0.0,23.0,11.2,1008.3
2021-02-14,27.8,23.7,34.7,5.6,277.0,15.2,1007.4
2021-02-15,28.2,24.6,35.3,9.2,129.0,8.8,1005.9
2021-02-16,30.1,20.2,36.0,0.0,95.0,9.8,1005.5
2021-02-17,27.7,24.5,32.0,0.0,63.0,17.1,1007.2
2021-02-18,27.7,24.0,32.8,0.0,52.0,18.9,1007.4
2021-02-19,30.6,22.2,33.0,0.0,51.0,15.3,1007.9
2021-02-20,28.1,22.0,35.0,0.0,66.0,19.3,1009.1
2021-02-21,25.8,22.7,34.1,0.0,49.0,17.0,1008.6
2021-02-22,31.4,21.6,38.0,0.0,40.0,10.0,1007.3
2021-02-23,33.3,26.8,39.5,0.0,193.0,16.7,1006.8
2021-02-24,30.5,26.0,37.7,0.0,176.0,19.1,1006.6
2021-02-25,29.6,22.8,36.6,0.0,168.0,13.7,1006.1
2021-02-26,29.5,22.7,36.9,0.0,166.0,11.4,1005.2
2021-02-27,30.5,24.0,37.6,0.0,172.0,15.9,1005.5
2021-02-28,31.7,23.3,39.2,0.0,166.0,9.1,1005.8
2021-03-01,31.1,23.0,38.4,0.0,97.0,11.5,1005.5
2021-03-02,32.2,23.2,39.0,0.0,48.0,8.2,1006.0
2021-03-03,32.5,25.0,38.9,0.0,120.0,14.0,1007.0
2021-03-04,30.0,23.6,38.4,0.0,160.0,21.9,1006.7
2021-03-05,26.3,22.2,36.1,0.0,165.0,13.1,1006.5
2021-03-06,28.4,14.0,38.1,0.0,42.0,7.1,1005.9
2021-03-07,31.9,18.8,39.5,0.0,4.0,9.8,1006.2
2021-03-08,30.4,26.0,36.7,0.0,31.0,19.2,1008.3
2021-03-09,29.9,23.6,36.5,0.0,13.0,13.1,1010.5
2021-03-10,28.3,22.5,37.4,0.0,82.0,12.0,1012.4
2021-03-11,27.1,22.0,34.2,8.0,348.0,6.7,1013.0
2021-03-12,30.1,22.4,37.6,0.0,46.0,6.7,1012.1
2021-03-13,29.4,22.9,37.1,0.0,344.0,9.8,1010.7
2021-03-14,26.6,23.6,34.4,0.0,164.0,17.6,1010.9
2021-03-15,25.4,21.7,31.5,0.4,174.0,20.9,1012.8
2021-03-16,27.6,22.1,32.9,0.0,167.0,18.4,1012.0
2021-03-17,28.9,22.3,35.1,0.0,156.0,15.4,1010.4
2021-03-18,29.6,23.1,35.4,0.0,154.0,15.5,1009.7
2021-03-19,30.6,24.0,36.3,0.0,128.0,14.5,1008.9
2021-03-20,27.1,24.0,35.6,0.0,97.0,12.6,1008.2
