time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-9.2,-10.0,-8.0,,225.0,8.3,1017.3
2021-01-02,-6.8,-9.0,-4.0,0.7,200.0,12.7,1006.3
2021-01-03,-2.5,-4.0,0.0,0.0,208.0,12.5,997.5
2021-01-04,-5.9,-14.0,0.0,3.4,270.0,14.7,1000.8
2021-01-05,-16.0,-21.0,-12.0,0.0,295.0,4.5,1021.7
2021-01-06,-8.1,-21.0,-3.0,0.0,175.0,10.2,1026.8
2021-01-07,-1.7,-5.0,1.0,0.1,218.0,23.1,1024.2
2021-01-08,-3.3,-8.0,-1.0,0.0,235.0,15.7,1026.3
2021-01-09,-9.1,-12.0,-6.0,0.0,235.0,12.5,1025.9
2021-01-10,-6.4,-9.0,-4.0,0.3,228.0,21.6,1014.5
2021-01-11,-8.3,-12.0,-6.0,0.0,227.0,16.2,1009.6
2021-01-12,-6.1,-10.0,-3.0,0.6,221.0,14.5,1003.3
2021-01-13,-2.5,-3.0,-2.0,0.1,220.0,9.2,1001.5
2021-01-14,-3.0,-4.0,-2.0,0.0,136.0,7.8,1002.5
2021-01-15,-9.6,-21.0,-3.0,4.9,348.0,10.0,1015.4
2021-01-16,-14.9,-22.0,-9.0,0.0,197.0,4.9,1013.9
2021-01-17,-14.9,-21.0,-10.0,2.2,337.0,12.2,1011.7
2021-01-18,-22.0,-23.0,-21.0,0.0,355.0,10.2,1020.3
2021-01-19,-21.3,-23.0,-19.0,0.0,256.0,16.4,1020.4
2021-01-20,-16.8,-22.0,-13.0,6.4,99.0,14.5,994.4
2021-01-21,-21.3,-24.0,-20.0,0.6,336.0,15.8,1011.2
2021-01-22,-22.5,-27.0,-19.0,0.0,237.0,7.2,1019.0
2021-01-23,-21.8,-29.0,-18.0,0.1,97.0,8.7,1023.3
2021-01-24,-15.9,-19.0,-12.0,3.8,61.0,9.9,1018.5
2021-01-25,-21.6,-24.0,-17.0,0.1,283.0,6.5,1026.5
2021-01-26,-25.2,-29.0,-22.0,0.1,248.0,5.9,1029.6
2021-01-27,-25.4,-33.0,-21.0,0.0,240.0,9.2,1036.0
2021-01-28,-27.0,-34.0,-17.0,0.0,250.0,4.2,1039.4
2021-01-29,-23.3,-34.0,-12.0,0.0,101.0,3.6,1033.3
2021-01-30,-11.8,-16.0,-7.0,1.1,117.0,6.8,1025.7
2021-01-31,-8.1,-10.0,-5.0,2.1,50.0,2.9,1025.5
2021-02-01,-11.1,-18.0,-9.0,0.2,332.0,5.0,1028.8
2021-02-02,-8.7,-16.0,-5.0,0.4,172.0,11.7,1023.6
2021-02-03,-4.3,-5.0,-3.9,2.2,222.0,12.8,1007.3
2021-02-04,-13.2,-19.6,-3.9,10.1,0.0,16.5,1002.4
2021-02-05,-22.3,-24.6,-19.6,3.8,333.0,18.0,1005.9
2021-02-06,-26.7,-28.7,-24.6,4.2,308.0,21.1,1013.5
2021-02-07,-29.6,-31.5,-28.3,0.7,276.0,18.3,1018.0
2021-02-08,-30.3,-33.5,-26.0,0.1,237.0,20.3,1014.7
2021-02-09,-29.0,-32.0,-25.0,0.0,233.0,11.2,1017.5
2021-02-10,-34.5,-44.0,-28.0,0.0,269.0,6.3,1030.7
2021-02-11,-34.3,-42.0,-27.0,0.0,210.0,7.3,1037.5
2021-02-12,-35.7,-45.0,-25.0,0.0,107.0,4.7,1041.0
2021-02-13,-33.2,-42.0,-24.0,0.0,3.0,3.2,1039.4
2021-02-14,-30.4,-41.0,-21.0,0.0,219.0,11.4,1035.2
2021-02-15,-22.6,-28.3,-18.0,0.0,230.0,16.3,1028.0
2021-02-16,-20.4,-26.0,-13.0,0.0,235.0,9.5,1022.3
2021-02-17,-21.5,-29.0,-12.0,0.0,215.0,10.6,1024.9
2021-02-18,-22.2,-31.0,-12.0,0.0,227.0,7.5,1027.7
2021-02-19,-23.3,-34.0,-11.0,0.0,217.0,6.9,1024.2
2021-02-20,-13.3,-26.0,-2.0,0.0,194.0,14.3,1014.1
2021-02-21,-4.3,-10.0,2.0,0.0,210.0,18.3,1003.4
2021-02-22,-2.3,-4.0,0.0,5.8,238.0,15.8,984.9
2021-02-23,-15.4,-28.0,-5.0,0.6,330.0,10.7,1005.7
2021-02-24,-23.4,-35.0,-14.0,0.0,250.0,7.9,1020.7
2021-02-25,-16.7,-33.0,-5.0,0.0,215.0,15.3,1013.8
2021-02-26,-15.2,-26.0,-3.0,5.9,11.0,18.2,1001.5
2021-02-27,-26.9,-38.0,-19.0,0.0,246.0,6.1,1021.1
2021-02-28,-24.1,-33.0,-16.0,0.4,271.0,8.8,1016.6
2021-03-01,-22.5,-31.0,-14.0,0.2,239.0,14.8,1021.7
