time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-02,19.0,17.1,21.4,11.9,341.0,10.1,1013.5
2021-01-03,19.1,16.5,23.4,2.7,321.0,7.9,1014.3
2021-01-04,19.2,16.3,24.6,1.6,317.0,7.4,1012.8
2021-01-05,20.3,16.4,25.8,1.4,305.0,6.7,1012.6
2021-01-06,20.3,15.1,27.1,3.1,331.0,4.6,1011.7
2021-01-07,19.4,17.2,23.6,31.7,341.0,6.1,1012.2
2021-01-08,20.1,17.3,25.0,1.0,334.0,9.9,1011.9
2021-01-09,20.6,16.0,26.4,0.0,337.0,10.2,1011.2
2021-01-10,19.6,16.8,24.8,1.2,336.0,9.5,1011.1
2021-01-11,19.4,17.1,23.5,15.7,335.0,8.9,1011.3
2021-01-12,19.5,16.6,24.9,10.2,327.0,4.4,1012.0
2021-01-13,18.7,17.2,21.8,23.7,330.0,5.3,1012.4
2021-01-14,18.6,16.8,22.0,8.1,326.0,8.9,1012.4
2021-01-15,19.0,16.2,23.5,6.1,317.0,12.2,1012.4
2021-01-16,20.3,16.7,25.6,1.4,318.0,10.0,1011.0
2021-01-17,20.6,16.3,26.6,2.3,332.0,9.5,1011.0
2021-01-18,20.4,16.9,25.4,6.1,335.0,10.5,1011.1
2021-01-19,19.1,17.5,23.5,11.5,339.0,12.9,1012.2
2021-01-20,20.8,17.1,26.3,0.8,338.0,10.4,1012.5
2021-01-21,18.8,17.1,21.0,10.9,354.0,9.8,1013.2
2021-01-22,19.3,16.9,23.0,13.8,320.0,7.3,1012.3
2021-01-23,19.7,16.5,25.7,8.0,320.0,7.3,1011.9
2021-01-24,18.8,17.2,23.1,9.1,328.0,10.1,1012.8
2021-01-25,18.7,16.1,22.6,11.4,344.0,9.3,1013.6
2021-01-26,19.1,16.0,23.0,3.7,341.0,7.4,1013.7
2021-01-27,20.1,16.0,25.4,0.4,338.0,7.3,1012.7
2021-01-28,19.8,15.8,26.2,2.2,323.0,8.8,1012.9
2021-01-29,20.7,16.0,26.8,0.0,333.0,6.5,1013.7
2021-01-30,21.3,16.6,27.7,0.3,356.0,3.9,1012.5
2021-01-31,20.6,16.8,25.8,3.3,336.0,6.3,1011.6
2021-02-01,20.8,16.3,27.1,0.0,320.0,6.9,1013.1
2021-02-02,20.1,16.6,26.0,5.5,1.0,8.0,1014.6
2021-02-03,19.2,17.4,22.5,16.7,340.0,6.2,1015.4
2021-02-04,20.9,15.2,27.4,0.0,356.0,5.3,1013.9
2021-02-05,21.0,16.1,27.2,7.9,17.0,3.9,1013.8
2021-02-06,20.7,16.9,27.2,7.0,20.0,3.1,1012.8
2021-02-07,20.0,16.5,24.0,14.3,329.0,7.7,1011.2
2021-02-08,20.6,17.4,25.6,4.1,340.0,8.5,1010.9
2021-02-09,20.4,17.3,26.4,11.2,343.0,8.4,1011.8
2021-02-10,20.1,17.1,25.7,9.0,323.0,7.4,1011.9
2021-02-11,20.5,16.5,26.2,4.2,331.0,9.4,1011.6
