time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-21.1,-23.1,-19.2,0.0,322.0,24.0,1009.6
2021-01-02,-22.4,-24.9,-19.8,0.0,297.0,13.3,1006.7
2021-01-03,-27.7,-32.5,-22.8,0.0,166.0,12.7,1002.9
2021-01-04,-35.2,-38.5,-31.8,0.0,155.0,9.8,1009.0
2021-01-05,-34.3,-38.7,-30.0,1.0,111.0,4.0,1010.8
2021-01-06,-25.3,-30.5,-20.1,0.4,96.0,29.0,999.8
2021-01-07,-26.0,-30.2,-21.7,1.5,152.0,8.3,1002.5
2021-01-08,-31.6,-37.2,-26.0,1.5,155.0,4.5,1013.5
2021-01-09,-31.9,-38.2,-25.5,1.0,359.0,3.0,1017.6
2021-01-10,-25.7,-28.9,-22.5,1.2,7.0,7.8,1013.2
2021-01-11,-26.2,-31.4,-21.0,2.0,2.0,14.4,1008.2
2021-01-12,-30.7,-32.4,-27.9,0.6,1.0,10.9,1007.2
2021-01-13,-28.8,-31.7,-25.8,0.0,343.0,12.2,1008.1
2021-01-14,-23.2,-26.3,-20.1,0.0,321.0,22.2,1019.6
2021-01-15,-24.7,-29.0,-20.3,0.7,337.0,9.5,1022.2
2021-01-16,-25.0,-29.2,-20.7,0.0,326.0,10.3,1023.3
2021-01-17,-34.3,-40.4,-28.3,1.3,157.0,4.8,1025.8
2021-01-18,-38.7,-42.0,-35.4,0.2,148.0,3.3,1030.5
2021-01-19,-30.8,-38.3,-23.3,0.0,27.0,12.2,1018.3
2021-01-20,-24.2,-26.6,-21.9,0.0,331.0,17.3,1020.7
2021-01-21,-25.8,-28.3,-23.3,0.0,319.0,20.8,1026.9
2021-01-22,-26.1,-29.3,-23.0,0.0,352.0,13.6,1032.8
2021-01-23,-24.0,-26.9,-21.1,0.0,360.0,9.9,1030.9
2021-01-24,-22.5,-27.6,-17.4,1.0,38.0,15.0,1028.1
2021-01-25,-25.3,-27.8,-22.1,0.0,136.0,26.1,1030.9
2021-01-26,-26.2,-29.3,-23.2,0.2,157.0,11.2,1030.9
2021-01-27,-33.6,-36.1,-28.3,1.3,161.0,7.0,1030.2
2021-01-28,-34.3,-37.2,-31.4,0.7,148.0,3.8,1021.3
2021-01-29,-29.5,-33.6,-25.5,1.7,352.0,4.8,1013.0
2021-01-30,-27.1,-29.5,-24.6,0.0,313.0,18.9,1017.7
2021-01-31,-29.1,-32.3,-25.9,0.0,349.0,7.2,1031.9
2021-02-01,-29.9,-35.7,-24.2,0.7,329.0,14.6,1036.3
2021-02-02,-33.2,-35.3,-31.2,0.0,322.0,28.8,1035.0
2021-02-03,-37.1,-42.1,-32.1,0.7,338.0,14.0,1030.7
2021-02-04,-43.6,-47.4,-39.9,0.8,151.0,4.1,1033.2
2021-02-05,-42.0,-47.5,-36.5,0.2,140.0,11.4,1034.8
2021-02-06,-36.8,-39.3,-34.3,0.0,163.0,22.5,1029.1
2021-02-07,-41.1,-45.2,-37.1,1.4,1.0,2.1,1045.1
2021-02-08,-34.1,-38.9,-29.3,0.2,326.0,22.7,1052.0
2021-02-09,-26.5,-29.4,-23.7,0.2,335.0,23.8,1054.8
2021-02-10,-28.3,-33.2,-23.5,1.3,345.0,8.3,1057.5
2021-02-11,-30.1,-35.0,-25.2,1.7,149.0,12.9,1048.5
2021-02-12,-23.2,-27.0,-19.3,0.0,169.0,26.7,1032.5
2021-02-13,-21.5,-25.5,-17.6,0.0,178.0,18.3,1017.7
2021-02-14,-28.3,-33.1,-20.2,0.0,297.0,14.6,1009.7
2021-02-15,-32.1,-33.9,-30.3,0.0,284.0,23.8,1005.7
2021-02-16,-30.0,-31.5,-28.5,0.0,290.0,29.0,1008.5
2021-02-17,-26.2,-28.8,-23.7,0.0,268.0,50.2,1003.0
2021-02-18,-29.1,-31.8,-26.4,0.2,251.0,24.4,1000.4
2021-02-19,-35.8,-42.1,-29.6,0.2,154.0,8.9,1001.9
2021-02-20,-34.1,-40.2,-28.0,0.5,176.0,15.9,995.1
2021-02-21,-34.4,-38.4,-30.4,0.0,192.0,21.1,984.1
2021-02-22,-40.9,-43.8,-38.0,0.0,164.0,19.9,995.1
2021-02-23,-43.7,-46.3,-41.1,0.0,160.0,20.5,1004.9
2021-02-24,-41.4,-46.5,-36.4,0.0,312.0,17.6,1012.5
2021-02-25,-35.2,-37.9,-32.5,0.0,308.0,31.2,1007.8
2021-02-26,-37.7,-41.8,-33.5,0.8,150.0,12.5,1014.6
2021-02-27,-31.5,-41.6,-21.5,0.9,252.0,23.0,1016.3
2021-02-28,-23.0,-26.0,-20.1,0.0,305.0,33.4,1015.6
2021-03-01,-24.8,-27.5,-22.1,0.0,330.0,26.0,1016.4
2021-03-02,-31.7,-37.2,-26.2,0.0,11.0,6.5,1017.7
2021-03-03,-39.4,-41.9,-36.0,0.0,152.0,14.1,1025.7
2021-03-04,-36.6,-39.5,-33.7,0.0,151.0,19.0,1037.6
2021-03-05,-31.1,-40.0,-22.3,0.2,4.0,10.5,1025.0
2021-03-06,-27.5,-32.1,-22.9,0.0,62.0,32.0,1011.9
2021-03-07,-26.8,-30.4,-23.2,0.5,4.0,20.9,1011.9
2021-03-08,-32.5,-34.7,-30.3,0.2,311.0,18.9,1020.5
2021-03-09,-33.6,-38.3,-29.0,0.0,0.0,10.3,1021.8
2021-03-10,-28.4,-37.2,-19.6,0.0,177.0,23.1,1014.6
2021-03-11,-27.1,-32.6,-21.6,0.0,346.0,6.6,1015.8
2021-03-12,-27.7,-31.6,-23.8,0.0,352.0,2.7,1028.7
