time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-1.1,-7.4,5.8,0.0,227.0,6.0,1030.7
2021-01-02,2.2,-5.3,8.0,0.0,86.0,7.4,1029.9
2021-01-03,6.2,-3.3,10.6,0.0,92.0,13.7,1029.9
2021-01-04,7.3,1.8,10.6,0.0,46.0,4.8,1028.4
2021-01-05,3.7,1.7,9.9,0.0,48.0,12.8,1031.2
2021-01-06,1.2,-4.7,6.8,0.0,16.0,9.3,1030.5
2021-01-07,-6.4,-7.2,4.6,0.0,354.0,15.8,1037.1
2021-01-08,-4.3,-10.0,1.0,0.0,278.0,10.8,1034.8
2021-01-09,-1.6,-8.1,5.0,0.0,279.0,7.4,1031.6
2021-01-10,0.1,-6.0,5.0,0.0,340.0,5.4,1031.8
2021-01-11,1.2,-4.2,7.0,0.0,272.0,10.5,1030.7
2021-01-12,5.7,-4.7,11.0,0.0,229.0,15.3,1022.3
2021-01-13,6.8,-2.3,16.3,0.0,240.0,11.9,1017.2
2021-01-14,8.4,-2.0,19.0,0.0,146.0,6.0,1017.1
2021-01-15,7.8,-1.0,17.8,0.0,2.0,9.0,1018.7
2021-01-16,1.9,0.0,15.4,0.0,49.0,11.9,1031.3
2021-01-17,1.4,-3.0,7.0,0.0,275.0,8.7,1033.8
2021-01-18,4.4,-3.1,13.0,0.0,192.0,6.9,1026.1
2021-01-19,6.7,-1.6,12.0,0.0,100.0,16.5,1025.8
2021-01-20,10.8,1.0,17.0,0.5,93.0,9.0,1022.2
2021-01-21,9.9,3.9,16.1,3.8,295.0,4.8,1020.0
2021-01-22,7.4,7.0,12.1,12.7,18.0,7.4,1019.7
2021-01-23,5.4,4.9,8.8,4.8,21.0,8.4,1021.1
2021-01-24,7.6,3.9,8.5,0.0,94.0,12.5,1024.1
2021-01-25,8.3,4.1,11.0,5.6,99.0,11.4,1021.5
2021-01-26,5.7,5.0,10.7,0.5,296.0,10.5,1023.9
2021-01-27,6.1,2.8,8.1,0.3,68.0,9.2,1024.5
2021-01-28,4.5,2.6,11.0,0.0,316.0,11.0,1027.5
2021-01-29,4.2,-1.4,11.0,0.0,134.0,7.5,1028.5
2021-01-30,10.2,-0.1,16.0,0.0,124.0,5.4,1024.9
2021-01-31,10.1,2.1,15.2,4.8,245.0,5.9,1022.5
2021-02-01,7.5,6.0,14.7,0.3,239.0,6.6,1021.3
2021-02-02,4.8,3.0,11.2,0.0,81.0,8.9,1028.1
2021-02-03,9.2,2.6,16.5,0.0,111.0,8.5,1024.3
2021-02-04,9.2,3.5,16.5,2.3,86.0,11.9,1027.7
2021-02-05,7.8,4.9,12.8,0.3,106.0,6.6,1021.4
2021-02-06,9.9,4.0,18.0,0.0,236.0,10.5,1019.6
2021-02-07,11.8,4.7,21.0,0.0,88.0,6.6,1021.6
2021-02-08,4.8,3.5,21.0,0.0,70.0,18.9,1031.2
2021-02-09,7.3,0.5,12.0,0.0,100.0,14.3,1027.8
2021-02-10,10.2,1.8,12.6,0.0,83.0,8.8,1023.1
2021-02-11,9.8,8.0,12.0,,98.0,12.4,1021.9
2021-02-12,11.2,9.0,14.0,,103.0,13.1,1021.6
2021-02-13,12.6,9.1,17.6,0.0,105.0,13.3,1021.1
2021-02-14,13.3,10.0,20.0,0.3,322.0,9.2,1015.2
2021-02-15,7.8,7.0,19.7,0.0,26.0,7.6,1020.4
2021-02-16,8.3,4.0,15.3,0.0,28.0,8.5,1020.6
2021-02-17,3.8,1.0,15.3,0.0,60.0,10.9,1028.9
2021-02-18,5.9,-0.4,13.0,0.0,190.0,5.1,1030.6
2021-02-19,15.6,2.2,20.1,0.0,200.0,11.0,1021.2
2021-02-20,16.9,9.0,25.0,,225.0,9.3,1015.3
2021-02-21,16.0,7.9,26.3,0.0,190.0,7.3,1012.1
2021-02-22,13.3,7.7,26.3,0.0,41.0,15.2,1016.9
2021-02-23,9.3,5.0,25.6,0.0,85.0,23.4,1023.8
2021-02-24,11.7,5.1,16.0,1.0,88.0,21.3,1019.4
2021-02-25,8.1,6.6,16.0,11.4,17.0,14.4,1015.3
2021-02-26,6.8,5.5,9.5,15.0,30.0,11.4,1020.6
2021-02-27,10.8,5.5,13.3,1.3,71.0,10.8,1022.5
2021-02-28,12.3,7.7,14.0,3.3,98.0,10.4,1019.1
2021-03-01,7.0,3.4,13.4,9.4,327.0,10.9,1020.2
2021-03-02,7.0,3.1,11.8,0.0,56.0,9.8,1029.9
2021-03-03,8.2,3.6,11.4,0.0,109.0,13.4,1025.2
2021-03-04,11.2,5.6,17.7,0.0,204.0,5.8,1020.8
2021-03-05,11.4,6.9,17.7,0.0,92.0,12.6,1019.4
2021-03-06,6.7,5.3,13.3,0.0,58.0,19.1,1026.0
2021-03-07,7.0,4.0,10.0,0.0,30.0,7.5,1029.3
2021-03-08,9.6,4.6,12.0,6.9,92.0,12.9,1026.2
2021-03-09,8.8,7.9,11.5,0.0,86.0,8.3,1026.4
2021-03-10,12.4,7.4,16.0,2.8,105.0,13.9,1026.5
2021-03-11,10.0,8.5,15.6,7.1,54.0,9.9,1021.8
2021-03-12,10.2,9.0,13.0,0.0,357.0,7.1,1025.3
2021-03-13,11.6,4.0,16.0,0.0,75.0,7.8,1023.1
2021-03-14,14.7,7.5,20.3,0.0,123.0,9.6,1018.2
2021-03-15,15.2,9.7,20.3,3.0,92.0,7.8,1012.3
2021-03-16,11.3,8.0,17.8,0.0,57.0,15.3,1018.2
2021-03-17,10.2,7.8,14.0,0.3,85.0,16.4,1019.0
2021-03-18,11.5,7.9,13.5,13.2,70.0,14.7,1017.8
2021-03-19,10.6,8.7,13.5,8.4,49.0,11.6,1016.3
2021-03-20,10.0,7.7,12.2,0.3,335.0,9.4,1018.5
2021-03-21,9.9,8.0,15.2,0.0,330.0,11.4,1025.6
2021-03-22,9.9,2.0,16.2,0.0,281.0,7.2,1028.5
2021-03-23,12.3,3.0,19.0,,154.0,7.7,1021.4
2021-03-24,14.9,12.0,21.0,0.0,200.0,6.2,1018.0
2021-03-25,17.3,9.1,23.0,0.0,109.0,9.2,1020.7
2021-03-26,20.0,12.2,26.4,1.8,129.0,12.8,1013.9
2021-03-27,14.1,10.8,26.4,0.3,275.0,8.1,1009.5
2021-03-28,16.8,9.8,25.0,0.0,231.0,9.8,1009.0
2021-03-29,18.4,10.0,27.0,,70.0,10.7,1007.1
2021-03-30,16.6,11.5,25.8,0.5,76.0,18.4,1009.3
2021-03-31,13.8,11.5,20.8,22.6,77.0,17.9,1007.4
2021-04-01,13.7,12.9,15.1,18.5,33.0,8.0,1010.0
2021-04-02,14.5,13.0,16.0,,319.0,7.1,1013.3
2021-04-03,12.0,8.8,15.9,1.5,330.0,10.4,1018.0
2021-04-04,12.4,8.7,17.0,,14.0,11.4,1024.7
2021-04-05,14.6,5.5,17.7,0.0,70.0,7.8,1024.0
2021-04-06,16.3,12.0,21.0,0.0,83.0,6.9,1022.1
2021-04-07,12.0,9.0,21.0,5.3,86.0,11.0,1021.7
2021-04-08,13.8,9.0,19.0,,72.0,12.0,1022.4
2021-04-09,14.2,6.0,21.0,,94.0,12.0,1024.3
2021-04-10,16.4,8.8,20.5,0.0,104.0,18.2,1025.0
2021-04-11,15.7,12.4,20.0,9.4,106.0,12.6,1021.7
2021-04-12,14.6,13.0,18.6,0.8,279.0,6.5,1016.5
2021-04-13,15.1,11.0,20.0,,63.0,11.8,1019.2
2021-04-14,11.9,10.0,19.9,0.0,85.0,15.6,1020.9
2021-04-15,14.9,10.0,21.0,,122.0,9.8,1015.8
2021-04-16,17.5,11.0,24.0,,334.0,5.5,1016.0
2021-04-17,14.8,11.0,23.0,0.0,341.0,8.4,1021.3
2021-04-18,15.1,8.7,21.0,0.0,96.0,6.1,1021.1
2021-04-19,17.2,7.0,25.0,,98.0,9.4,1016.6
2021-04-20,19.2,14.1,24.2,0.0,86.0,15.3,1014.8
2021-04-21,18.6,15.0,23.6,2.3,100.0,12.8,1013.7
2021-04-22,18.6,16.6,21.2,0.5,1.0,6.6,1011.0
2021-04-23,19.3,17.0,23.0,,342.0,6.9,1013.1
2021-04-24,17.1,14.4,22.1,0.0,47.0,12.4,1016.4
2021-04-25,16.6,14.3,20.2,1.0,18.0,7.4,1019.0
2021-04-26,19.8,16.0,26.0,,89.0,9.8,1017.2
2021-04-27,16.8,16.0,23.7,5.1,303.0,6.9,1016.8
2021-04-28,19.0,11.8,25.5,0.0,296.0,5.6,1017.3
2021-04-29,21.0,11.8,28.0,,246.0,16.8,1008.9
2021-04-30,23.6,15.0,31.1,0.0,228.0,15.7,1004.6
2021-05-01,20.4,14.6,31.1,0.0,340.0,8.4,1011.7
2021-05-02,18.9,15.0,26.8,0.0,78.0,19.9,1018.2
2021-05-03,21.6,14.0,29.0,,106.0,15.4,1010.6
2021-05-04,17.0,16.0,26.8,2.8,271.0,10.6,1009.3
2021-05-05,20.8,13.8,26.3,0.0,181.0,6.6,1017.3
2021-05-06,20.8,15.5,26.3,0.0,183.0,11.1,1013.2
2021-05-07,22.1,16.0,28.0,,276.0,10.0,1010.9
2021-05-08,24.2,16.0,32.0,,250.0,8.8,1006.7
2021-05-09,26.2,19.0,33.0,,192.0,7.9,1006.5
2021-05-10,28.0,20.0,35.0,,201.0,8.1,1004.3
2021-05-11,18.9,17.1,33.9,1.5,27.0,9.3,1006.4
2021-05-12,19.7,17.0,20.6,2.5,44.0,6.5,1008.9
2021-05-13,21.6,19.8,24.0,,96.0,12.6,1008.5
2021-05-14,25.6,20.3,30.0,37.6,143.0,9.9,1005.1
2021-05-15,23.4,22.5,30.8,28.7,183.0,9.7,1002.3
2021-05-16,17.0,13.9,30.8,4.1,294.0,12.5,1006.2
2021-05-17,19.9,13.9,24.0,0.0,306.0,7.6,1013.3
2021-05-18,20.8,18.0,24.0,,157.0,5.9,1011.8
2021-05-19,17.2,14.9,23.7,16.0,78.0,9.7,1008.7
2021-05-20,18.2,14.9,21.5,0.0,326.0,6.4,1008.5
2021-05-21,21.9,15.8,28.0,,125.0,9.0,1009.2
2021-05-22,24.1,20.0,29.0,,111.0,15.1,1008.1
2021-05-23,19.4,17.7,28.3,11.2,62.0,8.9,1009.0
2021-05-24,23.4,17.9,28.0,0.0,272.0,6.7,1012.2
2021-05-25,24.9,19.0,31.0,,265.0,7.1,1010.5
2021-05-26,19.4,18.4,30.2,25.9,140.0,7.8,1005.7
2021-05-27,23.8,19.0,29.0,,242.0,10.3,1006.2
2021-05-28,24.5,19.7,29.2,0.0,268.0,11.1,1005.9
2021-05-29,24.8,19.8,30.0,,235.0,10.0,1005.9
2021-05-30,26.1,20.0,32.0,,178.0,6.2,1005.3
2021-05-31,26.5,22.0,33.0,,112.0,11.8,1005.8
2021-06-01,26.1,20.3,31.1,0.0,100.0,14.7,1006.2
2021-06-02,24.7,22.5,29.6,0.0,111.0,15.2,1005.7
2021-06-03,20.0,18.0,26.7,11.7,31.0,8.1,1005.5
2021-06-04,23.2,17.0,28.9,0.0,243.0,10.1,1006.6
2021-06-05,25.7,18.9,32.3,0.0,238.0,10.1,1003.3
2021-06-06,27.4,19.9,33.4,0.0,186.0,7.1,1005.5
2021-06-07,27.8,21.8,35.2,0.0,129.0,10.4,1009.0
2021-06-08,26.3,21.7,35.2,0.0,95.0,11.1,1009.4
2021-06-09,27.6,23.0,33.0,,84.0,8.9,1007.7
2021-06-10,24.8,23.0,32.8,18.5,122.0,7.5,1006.4
2021-06-11,28.3,22.3,32.3,0.0,85.0,6.0,1008.5
2021-06-12,27.3,24.0,32.3,4.3,122.0,10.5,1010.1
2021-06-13,25.2,24.0,31.1,1.5,161.0,7.1,1007.6
2021-06-14,27.4,24.0,32.0,,148.0,8.6,1001.5
2021-06-15,27.6,22.9,33.8,5.8,261.0,10.1,997.6
2021-06-16,25.2,22.9,33.8,2.0,58.0,8.4,1002.7
2021-06-17,24.8,23.5,26.7,3.0,37.0,5.9,1003.5
2021-06-18,22.0,20.5,26.1,5.8,335.0,6.6,1004.1
2021-06-19,22.4,20.5,26.1,0.0,228.0,6.0,1003.8
2021-06-20,24.8,20.9,29.0,,120.0,5.9,1002.9
2021-06-21,26.1,22.9,31.2,0.0,115.0,7.8,1004.2
2021-06-22,26.2,20.0,32.0,,108.0,8.3,1007.2
2021-06-23,27.6,20.0,34.0,,106.0,9.3,1009.2
2021-06-24,29.0,24.6,34.2,0.0,111.0,13.4,1007.7
2021-06-25,25.4,22.0,34.2,3.3,130.0,10.1,1005.8
2021-06-26,25.7,22.0,31.2,8.4,145.0,6.6,1004.7
2021-06-27,26.0,23.0,28.3,1.0,83.0,7.8,1002.7
2021-06-28,27.7,24.5,32.0,,59.0,10.2,1002.4
2021-06-29,28.1,24.2,32.0,,110.0,10.5,1003.0
2021-06-30,28.1,24.9,31.5,0.0,107.0,11.9,1003.0
2021-07-01,28.5,25.0,33.0,,117.0,11.6,1003.1
2021-07-02,25.8,25.0,31.9,21.1,108.0,11.3,1002.7
2021-07-03,25.9,24.0,30.0,,234.0,13.5,1001.2
2021-07-04,23.6,22.5,28.8,19.8,108.0,9.9,1006.5
2021-07-05,26.4,24.0,30.0,,57.0,5.7,1006.2
2021-07-06,29.2,25.2,33.0,0.0,83.0,8.3,1005.2
2021-07-07,27.9,25.0,34.0,,213.0,7.5,1005.8
2021-07-08,23.9,22.6,33.8,32.5,220.0,8.3,1007.0
2021-07-09,28.7,22.5,33.1,0.0,217.0,9.8,1005.8
2021-07-10,28.4,24.3,34.1,1.0,165.0,8.9,1006.6
2021-07-11,30.4,25.7,35.0,,150.0,8.6,1007.1
2021-07-12,32.3,27.9,37.0,,195.0,12.6,1004.3
2021-07-13,31.9,28.7,36.0,,184.0,12.2,1002.6
2021-07-14,32.9,28.4,37.0,,175.0,10.2,1004.5
2021-07-15,31.2,28.0,37.0,5.1,142.0,8.7,1006.9
2021-07-16,27.0,23.0,37.0,12.7,119.0,9.9,1007.9
2021-07-17,24.7,22.5,33.6,26.9,88.0,8.3,1006.6
2021-07-18,26.9,23.0,33.0,,87.0,11.0,1005.4
2021-07-19,29.3,25.0,33.0,,99.0,14.9,1006.4
2021-07-20,30.4,27.1,34.0,,115.0,18.6,1007.7
2021-07-21,28.9,26.6,33.4,0.0,112.0,19.1,1008.0
2021-07-22,28.6,24.0,33.0,,80.0,17.4,1006.4
2021-07-23,29.2,26.0,33.0,,69.0,19.2,1005.1
2021-07-24,28.4,26.2,33.0,0.5,52.0,15.0,1003.7
2021-07-25,26.5,25.6,31.3,14.0,22.0,14.3,1000.0
2021-07-26,25.8,25.0,29.3,35.3,7.0,15.2,993.1
2021-07-27,25.9,25.0,27.0,,34.0,14.4,988.7
2021-07-28,26.7,24.7,30.9,18.3,189.0,15.8,991.5
2021-07-29,26.6,23.0,30.9,0.3,246.0,9.5,997.3
2021-07-30,29.8,22.8,34.8,0.0,208.0,5.1,999.4
2021-07-31,30.1,25.8,35.7,0.0,107.0,6.8,998.2
2021-08-01,30.3,25.7,35.7,0.0,66.0,7.4,998.0
2021-08-02,29.8,26.0,34.6,0.0,62.0,9.0,1000.5
