time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,27.3,17.5,37.3,,,,
2021-01-02,26.8,17.0,36.7,0.0,27.0,6.7,1010.8
2021-01-03,26.8,18.5,36.4,0.0,37.0,6.1,1010.5
2021-01-04,27.0,17.5,36.2,0.0,23.0,8.1,1011.4
2021-01-05,27.1,18.8,36.0,0.0,41.0,10.7,1011.8
2021-01-06,25.6,18.5,35.5,0.0,48.0,11.6,1012.6
2021-01-07,26.4,16.9,38.0,0.0,59.0,9.7,1012.3
2021-01-08,29.1,21.2,39.7,0.0,56.0,8.5,1011.0
2021-01-09,28.9,17.0,40.5,0.0,77.0,8.0,1009.8
2021-01-10,26.6,18.9,34.0,0.0,24.0,14.0,1010.6
2021-01-11,24.6,18.0,31.8,0.0,34.0,15.4,1012.8
2021-01-12,24.5,15.5,34.0,0.0,40.0,12.2,1013.8
2021-01-13,24.4,17.0,36.5,0.0,46.0,12.2,1014.0
2021-01-14,26.6,19.5,35.3,0.0,47.0,13.7,1014.0
2021-01-15,25.0,18.8,33.5,0.0,47.0,13.7,1013.6
2021-01-16,22.8,17.5,30.0,0.0,45.0,14.1,1013.4
2021-01-17,23.2,15.9,32.2,0.0,47.0,12.8,1014.1
2021-01-18,23.6,13.5,34.2,0.0,43.0,11.8,1014.0
2021-01-19,25.3,14.5,35.6,0.0,46.0,10.4,1013.8
2021-01-20,26.4,16.2,36.6,0.0,50.0,10.0,1013.3
2021-01-21,26.4,18.2,34.4,0.0,56.0,14.0,1014.0
2021-01-22,24.7,17.5,33.3,0.0,55.0,14.2,1015.1
2021-01-23,23.7,14.5,32.6,0.0,50.0,11.7,1014.6
2021-01-24,24.4,15.2,34.0,0.0,58.0,11.2,1013.5
2021-01-25,24.2,11.8,35.3,0.0,56.0,10.5,1013.0
2021-01-26,25.0,14.0,35.5,0.0,49.0,10.9,1013.2
2021-01-27,25.2,12.0,36.3,0.0,54.0,11.4,1013.4
2021-01-28,25.3,16.5,34.8,0.0,54.0,11.8,1012.8
2021-01-29,24.9,10.5,37.5,0.0,53.0,9.6,1012.9
2021-01-30,26.8,17.1,35.6,0.0,55.0,12.1,1013.2
2021-01-31,25.6,14.3,34.0,0.0,47.0,12.2,1013.2
2021-02-01,24.5,16.0,34.5,0.0,53.0,10.1,1013.1
2021-02-02,26.1,15.5,36.2,0.0,55.0,10.8,1013.4
2021-02-03,25.7,14.4,36.8,0.0,50.0,8.3,1012.6
2021-02-04,26.3,15.5,38.5,0.0,52.0,6.4,1010.7
2021-02-05,27.3,16.1,39.0,0.0,68.0,6.1,1010.1
2021-02-06,27.6,20.0,38.5,0.0,357.0,10.6,1011.4
2021-02-07,25.9,22.5,31.5,0.0,35.0,15.6,1013.1
2021-02-08,24.2,16.0,32.5,0.0,46.0,12.0,1012.8
2021-02-09,26.4,17.0,35.0,0.0,45.0,11.1,1012.6
2021-02-10,22.7,19.8,35.8,0.0,52.0,12.7,1011.9
2021-02-11,28.0,19.7,36.4,0.0,53.0,14.5,1011.3
2021-02-12,28.6,20.0,37.6,0.0,59.0,11.9,1010.0
2021-02-13,36.7,22.1,41.0,0.0,44.0,10.2,1008.2
2021-02-14,31.0,21.0,41.5,0.0,42.0,10.5,1007.4
2021-02-15,32.6,22.0,41.6,0.0,35.0,11.2,1007.9
2021-02-16,30.8,25.0,38.8,0.0,39.0,12.4,1007.8
2021-02-17,29.9,24.0,37.0,0.0,8.0,11.8,1008.9
2021-02-18,29.1,23.1,32.0,0.0,33.0,12.2,1012.0
2021-02-19,27.3,26.2,35.1,0.0,76.0,12.9,1013.1
2021-02-20,29.7,24.5,35.3,0.2,106.0,11.9,1013.4
2021-02-21,28.5,21.1,35.9,0.0,86.0,12.9,1012.2
2021-02-22,28.8,18.4,37.5,0.0,61.0,11.6,1012.4
2021-02-23,28.2,19.3,37.0,0.0,53.0,11.2,1013.1
2021-02-24,28.2,19.0,37.0,0.0,51.0,12.0,1013.3
2021-02-25,26.8,20.5,34.5,0.0,48.0,16.0,1014.0
2021-02-26,24.8,17.8,32.2,0.0,42.0,11.5,1013.2
2021-02-27,25.1,16.5,33.5,0.0,34.0,9.1,1011.0
2021-02-28,28.1,16.7,37.5,0.0,33.0,7.3,1009.2
2021-03-01,28.8,21.3,37.7,0.0,37.0,11.2,1009.4
2021-03-02,30.6,24.0,39.5,0.0,53.0,15.0,1009.9
2021-03-03,31.1,23.2,39.7,0.0,54.0,11.9,1010.2
2021-03-04,30.1,23.5,36.2,0.0,44.0,17.1,1009.7
2021-03-05,29.4,22.5,38.0,0.0,61.0,9.0,1008.6
2021-03-06,31.7,22.9,41.2,0.0,59.0,8.6,1008.8
2021-03-07,31.9,26.0,40.0,0.0,38.0,11.3,1009.9
2021-03-08,29.4,23.4,38.2,0.0,20.0,11.3,1009.0
2021-03-09,30.2,23.5,37.0,0.0,6.0,11.9,1008.4
2021-03-10,27.8,17.0,35.1,0.0,0.0,12.2,1009.6
2021-03-11,27.6,20.0,36.0,0.0,29.0,12.2,1010.3
2021-03-12,26.6,19.5,33.5,0.0,38.0,14.5,1011.6
2021-03-13,26.4,18.6,34.2,0.0,41.0,9.2,1012.1
2021-03-14,26.7,16.9,35.0,0.0,26.0,8.0,1011.9
2021-03-15,28.1,17.7,37.0,0.0,16.0,8.6,1009.8
2021-03-16,28.8,19.1,38.0,0.0,359.0,7.6,1008.5
2021-03-17,30.0,21.0,38.0,0.0,10.0,10.5,1008.2
2021-03-18,29.8,20.5,39.5,0.0,26.0,7.8,1008.6
2021-03-19,30.6,17.9,40.7,0.0,54.0,7.6,1008.0
2021-03-20,32.3,24.2,41.6,0.0,54.0,8.2,1007.0
2021-03-21,32.7,24.8,40.0,0.0,42.0,10.1,1007.2
2021-03-22,32.7,26.0,40.5,0.0,54.0,10.5,1007.6
2021-03-23,33.2,26.2,40.3,0.0,56.0,14.0,1010.2
2021-03-24,32.7,25.5,40.7,0.0,55.0,15.9,1012.0
2021-03-25,31.7,25.0,39.0,0.0,46.0,15.6,1011.8
2021-03-26,30.5,23.4,38.9,0.0,49.0,14.4,1011.5
2021-03-27,31.1,20.0,41.2,0.0,60.0,11.6,1009.4
2021-03-28,33.4,25.7,40.5,0.0,84.0,13.3,1009.2
2021-03-29,32.7,23.5,41.0,0.0,91.0,12.8,1009.3
2021-03-30,32.4,23.5,41.3,0.0,86.0,9.2,1009.3
2021-03-31,32.8,24.2,41.8,0.0,76.0,9.1,1008.1
2021-04-01,33.5,25.0,41.5,0.0,78.0,11.8,1008.8
2021-04-02,33.1,23.0,42.0,0.0,79.0,12.7,1010.1
2021-04-03,33.8,24.5,42.0,0.0,69.0,10.4,1009.1
2021-04-04,32.4,20.6,42.1,0.0,59.0,8.5,1008.2
2021-04-05,33.5,21.7,43.5,0.0,66.0,9.1,1007.6
2021-04-06,34.2,24.0,43.0,0.0,51.0,13.1,1007.9
2021-04-07,33.7,23.0,42.8,0.0,53.0,12.2,1008.7
2021-04-08,34.7,25.5,44.0,0.0,57.0,12.7,1009.0
2021-04-09,35.8,26.0,44.5,0.0,72.0,12.3,1007.6
2021-04-10,35.3,24.8,45.1,0.0,86.0,8.2,1005.4
2021-04-11,34.7,24.1,44.1,0.0,92.0,9.1,1005.6
2021-04-12,35.8,25.5,45.5,0.0,84.0,9.9,1006.7
2021-04-13,34.9,24.0,45.6,0.0,82.0,7.2,1007.6
