time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,32.9,18.1,39.8,,50.0,5.1,1010.5
2021-01-02,30.0,20.5,39.6,0.0,58.0,3.4,1009.7
2021-01-03,31.7,21.0,39.3,0.0,72.0,3.5,1009.7
2021-01-04,31.3,22.7,40.5,0.0,50.0,3.7,1009.3
2021-01-05,33.7,23.0,40.5,0.0,52.0,5.7,1009.1
2021-01-06,30.8,21.7,39.5,0.0,51.0,5.8,1009.8
2021-01-07,36.4,22.4,40.6,0.0,56.0,5.9,1010.4
2021-01-08,35.8,21.6,40.1,0.0,59.0,4.8,1010.2
2021-01-09,32.9,22.5,40.1,0.0,63.0,5.1,1009.9
2021-01-10,31.1,22.4,40.2,0.0,51.0,4.8,1009.0
2021-01-11,31.9,20.5,40.0,0.0,53.0,4.7,1009.2
2021-01-12,32.4,22.0,39.0,0.0,50.0,6.3,1010.7
2021-01-13,30.2,21.8,38.5,0.0,44.0,5.1,1011.9
2021-01-14,29.2,21.0,39.1,0.0,49.0,5.2,1011.7
2021-01-15,25.1,19.0,37.8,0.0,50.0,6.0,1010.8
2021-01-16,29.0,21.5,37.8,0.0,50.0,5.5,1009.8
2021-01-17,34.6,21.6,38.0,0.0,49.0,6.6,1010.2
2021-01-18,33.4,21.6,39.2,0.0,52.0,5.8,1010.7
2021-01-19,31.2,21.0,37.4,0.0,51.0,6.1,1011.8
2021-01-20,29.9,21.3,37.1,0.0,49.0,6.5,1012.0
2021-01-21,28.4,21.5,35.8,0.0,48.0,8.2,1012.5
2021-01-22,29.4,21.0,35.2,0.0,48.0,8.1,1013.0
2021-01-23,28.3,19.5,35.5,0.0,48.0,6.0,1012.6
2021-01-24,28.2,19.5,37.0,0.0,49.0,4.9,1011.3
2021-01-25,30.2,20.0,38.5,0.0,50.0,6.4,1011.2
2021-01-26,29.9,22.7,38.4,0.0,49.0,6.9,1011.3
2021-01-27,30.1,22.2,39.5,0.0,50.0,7.4,1010.9
2021-01-28,31.6,20.5,40.0,0.0,51.0,5.8,1010.9
2021-01-29,30.4,23.0,38.6,0.0,53.0,6.7,1011.7
2021-01-30,29.8,23.0,37.1,0.0,51.0,6.2,1011.7
2021-01-31,31.4,23.0,37.0,0.0,50.0,6.6,1011.3
2021-02-01,32.0,20.2,37.0,0.0,49.0,6.8,1011.6
2021-02-02,32.7,22.4,38.0,0.0,50.0,5.4,1012.0
2021-02-03,33.2,20.5,39.1,0.0,50.0,5.4,1011.8
2021-02-04,29.2,21.0,39.5,0.0,53.0,5.1,1010.9
2021-02-05,31.3,24.4,39.1,0.0,54.0,5.5,1010.7
2021-02-06,34.9,23.8,39.0,0.0,54.0,6.0,1010.6
2021-02-07,35.2,24.2,40.5,0.0,54.0,4.6,1009.7
2021-02-08,29.6,24.5,39.0,0.0,48.0,6.2,1009.6
2021-02-09,32.3,22.5,40.0,0.0,49.0,5.1,1010.0
2021-02-10,31.6,21.0,40.3,0.0,49.0,5.5,1010.0
2021-02-11,32.1,23.8,40.9,0.0,52.0,4.5,1009.6
2021-02-12,32.4,24.5,40.7,0.0,57.0,4.3,1009.0
2021-02-13,36.8,24.3,41.0,0.0,57.0,3.9,1008.1
2021-02-14,33.4,23.6,40.5,0.0,60.0,5.2,1007.6
2021-02-15,31.2,23.8,40.1,0.0,80.0,3.1,1007.9
2021-02-16,28.3,18.3,39.2,0.0,76.0,3.8,1008.0
2021-02-17,34.1,25.0,39.7,0.0,60.0,4.3,1009.0
2021-02-18,31.4,26.7,37.4,0.0,56.0,5.9,1012.2
2021-02-19,29.9,25.2,36.0,0.0,49.0,8.8,1013.9
2021-02-20,29.2,23.5,35.7,0.0,49.0,7.6,1014.4
2021-02-21,29.9,24.3,36.5,0.0,51.0,7.0,1012.8
2021-02-22,30.1,23.0,37.4,0.0,52.0,7.2,1012.2
2021-02-23,30.2,23.8,37.5,0.0,51.0,6.8,1012.4
2021-02-24,30.8,23.4,38.5,0.0,52.0,6.6,1012.2
2021-02-25,31.1,24.6,38.8,0.0,49.0,6.7,1011.4
2021-02-26,30.9,23.8,38.3,0.0,49.0,6.2,1010.6
2021-02-27,36.0,24.4,39.8,0.0,56.0,6.2,1009.3
2021-02-28,35.6,25.3,40.0,0.0,54.0,4.8,1008.0
2021-03-01,32.4,24.0,41.0,0.0,47.0,4.9,1008.1
2021-03-02,34.5,27.8,41.0,0.0,49.0,7.9,1008.7
2021-03-03,34.7,27.0,42.0,0.0,51.0,6.0,1008.3
2021-03-04,33.0,24.1,42.2,0.0,54.0,4.6,1007.7
2021-03-05,34.8,25.0,41.6,0.0,71.0,3.5,1007.2
2021-03-06,37.0,28.1,41.5,0.0,178.0,4.9,1009.1
2021-03-07,33.7,27.1,40.7,0.0,196.0,4.9,1009.5
2021-03-08,34.6,27.5,40.9,0.0,207.0,4.1,1007.8
2021-03-09,36.0,26.6,42.0,0.0,223.0,5.4,1006.1
2021-03-10,33.3,27.2,39.5,0.0,209.0,4.6,1006.6
2021-03-11,33.2,27.5,41.5,0.0,107.0,6.0,1007.1
2021-03-12,32.7,28.4,37.7,0.0,56.0,5.3,1008.1
2021-03-13,32.8,26.0,38.0,0.0,48.0,5.4,1009.8
2021-03-14,32.4,27.3,37.9,0.0,47.0,3.4,1010.3
2021-03-15,33.3,27.5,39.6,0.0,54.0,4.0,1008.6
2021-03-16,34.4,27.0,41.5,0.0,70.0,4.1,1006.9
2021-03-17,34.4,23.8,41.4,0.0,207.0,5.2,1007.1
2021-03-18,32.7,28.6,38.5,0.1,234.0,5.2,1008.3
2021-03-19,32.4,27.7,37.9,0.0,204.0,4.8,1008.0
2021-03-20,34.1,28.0,38.0,0.0,196.0,4.1,1008.3
2021-03-21,34.2,27.0,40.0,0.0,235.0,4.9,1007.8
2021-03-22,33.1,27.8,38.7,0.0,216.0,5.5,1007.2
2021-03-23,34.9,27.0,41.5,0.0,210.0,5.7,1009.0
2021-03-24,33.9,27.5,43.0,0.0,268.0,4.4,1009.8
2021-03-25,37.9,28.1,41.6,0.0,206.0,3.4,1009.4
2021-03-26,34.5,27.5,42.3,0.0,85.0,4.6,1008.4
2021-03-27,33.7,28.7,39.1,0.4,111.0,4.4,1008.8
2021-03-28,33.0,27.1,39.4,0.0,57.0,4.3,1010.4
2021-03-29,33.1,26.4,40.6,0.0,53.0,5.2,1010.3
2021-03-30,33.5,25.9,41.4,0.0,57.0,3.9,1009.5
2021-03-31,33.9,26.8,41.1,0.0,56.0,4.7,1008.5
2021-04-01,34.1,27.3,42.2,0.0,63.0,4.1,1009.0
2021-04-02,35.6,26.0,41.0,0.0,54.0,4.5,1009.9
2021-04-03,34.1,24.0,41.4,0.0,70.0,4.4,1009.1
2021-04-04,33.9,26.7,41.6,0.0,98.0,3.4,1008.9
2021-04-05,35.0,28.8,42.1,0.0,130.0,3.4,1008.2
2021-04-06,35.0,28.9,41.4,0.0,157.0,4.0,1007.7
2021-04-07,36.8,28.9,42.0,0.0,150.0,3.1,1007.9
2021-04-08,37.3,25.1,45.0,0.0,82.0,3.4,1007.4
2021-04-09,36.6,29.1,42.5,0.0,181.0,4.6,1007.0
2021-04-10,35.4,29.0,41.8,0.0,222.0,4.6,1006.0
2021-04-11,35.1,28.5,41.7,0.0,192.0,4.9,1006.6
2021-04-12,38.7,29.5,42.0,0.0,194.0,5.1,1007.9
2021-04-13,35.5,29.6,42.1,0.0,196.0,5.7,1008.7
2021-04-14,34.4,29.3,40.7,0.0,210.0,6.4,1009.1
2021-04-15,35.4,29.0,43.0,0.0,200.0,4.3,1007.5
2021-04-16,35.1,29.7,41.7,0.0,213.0,6.4,1006.2
2021-04-17,32.6,28.5,39.5,0.0,223.0,7.2,1008.1
2021-04-18,35.6,26.3,42.0,0.0,214.0,6.4,1008.8
2021-04-19,32.8,26.8,40.0,0.0,220.0,4.7,1008.4
2021-04-20,33.6,29.4,39.4,0.0,221.0,6.5,1007.5
2021-04-21,32.8,22.3,40.0,0.1,220.0,5.9,1007.5
2021-04-22,32.4,28.5,38.3,0.0,219.0,6.2,1008.4
2021-04-23,35.8,27.0,42.0,0.0,215.0,5.1,1007.8
2021-04-24,34.3,30.1,40.2,0.8,222.0,5.8,1007.2
2021-04-25,35.2,28.3,39.7,0.0,222.0,6.7,1007.6
2021-04-26,33.6,28.4,39.4,0.0,221.0,6.3,1008.0
2021-04-27,32.7,27.0,38.0,2.0,213.0,5.6,1006.8
2021-04-28,33.3,27.4,40.5,0.0,215.0,7.6,1006.6
2021-04-29,32.2,24.1,37.0,14.0,217.0,5.0,1007.7
2021-04-30,34.9,28.5,41.4,0.0,219.0,5.4,1007.2
2021-05-01,33.7,29.0,38.8,0.0,215.0,6.0,1007.7
2021-05-02,33.5,28.5,39.2,0.1,215.0,6.2,1007.1
2021-05-03,31.8,27.1,34.6,1.2,214.0,6.7,1007.7
2021-05-04,32.3,27.1,37.6,0.8,218.0,7.0,1008.1
2021-05-05,33.1,27.0,38.5,0.0,223.0,5.4,1007.9
2021-05-06,35.2,28.7,38.2,1.0,220.0,8.2,1009.5
2021-05-07,29.8,23.3,34.8,3.0,218.0,5.8,1011.6
2021-05-08,34.9,25.7,38.0,0.0,223.0,7.3,1011.2
2021-05-09,32.4,26.5,34.0,11.9,215.0,6.0,1011.5
2021-05-10,31.5,26.0,36.9,0.0,214.0,4.5,1011.1
2021-05-11,32.6,27.8,38.7,0.1,212.0,4.5,1010.8
2021-05-12,32.2,27.9,37.5,0.0,228.0,6.6,1010.5
2021-05-13,32.7,22.5,37.0,10.9,213.0,6.5,1009.1
2021-05-14,33.2,27.5,39.1,0.0,212.0,5.8,1008.2
2021-05-15,31.7,26.0,37.6,0.0,210.0,5.7,1009.4
2021-05-16,31.6,25.5,36.8,2.0,221.0,5.1,1009.7
2021-05-17,33.4,26.5,38.2,0.0,219.0,5.7,1009.1
2021-05-18,34.9,28.7,38.0,0.0,218.0,6.8,1009.9
2021-05-19,33.7,27.9,37.8,0.0,224.0,5.4,1010.4
2021-05-20,32.7,28.0,38.0,0.0,226.0,7.6,1010.8
2021-05-21,30.4,25.0,36.0,3.0,224.0,6.2,1011.0
2021-05-22,31.8,26.9,37.0,0.0,216.0,6.7,1011.6
2021-05-23,32.4,28.2,38.0,0.0,224.0,5.1,1011.2
2021-05-24,33.8,28.5,39.3,0.0,222.0,5.4,1010.5
2021-05-25,31.8,26.0,37.5,3.0,223.0,5.5,1010.5
2021-05-26,33.0,28.1,39.3,0.0,220.0,5.7,1009.8
2021-05-27,30.0,23.3,36.3,27.9,223.0,6.4,1010.5
2021-05-28,31.0,26.2,35.9,0.0,217.0,5.4,1010.1
2021-05-29,31.8,26.9,37.2,5.1,217.0,4.1,1009.8
2021-05-30,32.1,28.0,37.3,0.0,223.0,5.2,1008.9
2021-05-31,30.9,26.7,35.6,0.4,225.0,5.7,1009.8
2021-06-01,30.7,26.0,35.5,0.0,226.0,5.8,1009.6
2021-06-02,33.8,26.5,37.0,0.0,218.0,5.0,1010.0
2021-06-03,31.8,26.0,36.9,6.1,208.0,5.4,1010.8
2021-06-04,31.2,26.2,35.5,0.0,226.0,4.7,1010.6
2021-06-05,31.0,27.0,35.0,0.4,222.0,5.9,1010.7
2021-06-06,29.4,25.8,32.8,0.3,230.0,5.7,1010.6
2021-06-07,29.7,25.5,33.5,15.0,218.0,4.4,1010.9
2021-06-08,30.0,26.0,36.5,0.0,224.0,4.4,1010.6
2021-06-09,29.7,26.0,33.7,0.4,222.0,4.5,1010.9
2021-06-10,29.9,26.4,34.0,6.3,225.0,4.4,1010.7
2021-06-11,29.8,26.2,34.0,24.9,226.0,5.4,1010.4
2021-06-12,30.0,26.0,35.7,5.1,225.0,4.4,1011.6
2021-06-13,30.7,25.0,36.5,0.0,205.0,5.7,1012.0
2021-06-14,31.0,27.0,36.3,0.0,221.0,5.5,1012.2
2021-06-15,31.0,26.6,36.1,0.5,224.0,5.7,1011.7
2021-06-16,28.5,21.5,33.4,33.0,233.0,5.3,1012.4
2021-06-17,29.1,25.2,33.5,9.9,223.0,5.2,1013.2
2021-06-18,30.4,26.4,34.9,0.0,213.0,4.2,1012.8
2021-06-19,30.1,26.6,33.6,0.1,224.0,4.3,1012.7
2021-06-20,29.1,26.0,32.8,3.0,218.0,5.0,1013.2
2021-06-21,28.2,23.0,33.0,8.1,227.0,6.2,1013.7
2021-06-22,27.5,24.0,30.2,72.9,232.0,4.8,1013.3
2021-06-23,28.2,23.0,33.7,0.0,218.0,4.0,1012.1
2021-06-24,28.1,24.7,31.5,0.0,213.0,4.6,1012.9
2021-06-25,27.1,22.7,30.2,13.0,226.0,4.8,1013.2
2021-06-26,27.4,24.9,31.5,7.9,226.0,5.2,1012.5
2021-06-27,28.6,24.5,32.5,0.0,220.0,4.5,1011.6
2021-06-28,28.6,25.0,32.1,0.0,221.0,5.8,1012.3
2021-06-29,28.8,25.5,33.1,0.1,221.0,5.3,1013.6
2021-06-30,28.5,24.0,32.7,3.0,219.0,4.6,1013.9
2021-07-01,30.7,25.5,34.0,0.0,221.0,5.4,1013.8
2021-07-02,26.4,23.0,30.6,14.0,224.0,5.0,1013.3
2021-07-03,27.7,23.2,32.5,0.0,226.0,5.0,1013.3
2021-07-04,27.7,24.7,31.3,2.7,223.0,5.5,1014.0
2021-07-05,27.2,22.5,30.2,3.0,227.0,4.7,1014.9
2021-07-06,29.0,24.9,33.5,0.0,228.0,4.8,1013.2
2021-07-07,31.2,25.5,33.5,0.0,226.0,6.0,1011.3
2021-07-08,28.7,25.9,32.5,0.1,219.0,6.2,1011.8
2021-07-09,27.3,22.2,31.0,10.8,218.0,6.9,1013.1
2021-07-10,26.6,24.4,29.5,10.6,222.0,4.9,1013.9
2021-07-11,27.1,24.1,30.4,10.9,228.0,4.1,1014.3
2021-07-12,28.2,24.6,32.7,3.8,225.0,4.8,1014.3
2021-07-13,27.5,22.5,31.6,0.1,226.0,5.0,1013.5
2021-07-14,27.4,24.5,30.9,0.5,219.0,5.5,1013.0
2021-07-15,28.3,24.8,32.1,0.5,224.0,4.4,1012.5
2021-07-16,27.3,23.0,31.0,5.1,227.0,4.7,1012.2
2021-07-17,26.4,24.3,29.6,7.1,216.0,5.4,1013.9
2021-07-18,27.5,24.0,31.3,0.0,216.0,5.5,1014.1
2021-07-19,28.1,24.4,33.0,0.0,224.0,5.4,1012.4
2021-07-20,28.0,24.8,31.6,2.2,225.0,6.6,1013.3
2021-07-21,28.3,25.0,32.2,0.2,223.0,5.0,1015.1
2021-07-22,29.3,24.8,32.5,1.4,216.0,5.0,1015.7
2021-07-23,27.1,23.0,29.5,1.7,224.0,5.8,1014.6
2021-07-24,27.3,24.6,30.8,2.8,221.0,5.7,1014.0
