time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,13.2,4.4,21.7,0.0,47.0,15.8,1020.0
2021-01-02,10.7,4.4,16.1,0.0,31.0,8.3,1024.0
2021-01-03,11.7,7.2,16.1,0.0,11.0,10.4,1022.8
2021-01-04,11.8,7.8,16.1,0.0,341.0,7.1,1021.7
2021-01-05,11.7,6.7,16.7,0.0,336.0,7.9,1020.3
2021-01-06,12.3,7.2,19.4,0.0,345.0,8.3,1019.7
2021-01-07,11.1,2.8,21.1,0.0,0.0,7.6,1018.8
2021-01-08,11.4,4.4,18.3,0.0,14.0,9.7,1019.6
2021-01-09,14.5,3.9,23.3,0.0,36.0,20.9,1018.6
2021-01-10,15.1,8.9,22.8,0.0,4.0,12.2,1021.5
2021-01-11,14.5,8.3,24.4,0.0,7.0,14.0,1022.0
2021-01-12,11.4,5.0,18.3,0.0,339.0,8.3,1024.4
2021-01-13,13.7,6.1,27.2,0.0,336.0,10.4,1023.1
2021-01-14,21.6,7.8,31.1,0.0,31.0,20.5,1020.7
2021-01-15,23.6,12.2,32.8,0.0,27.0,21.6,1019.7
2021-01-16,21.2,8.9,32.2,0.0,25.0,15.8,1014.8
2021-01-17,21.4,10.0,30.6,0.0,46.0,15.5,1015.0
2021-01-18,14.3,6.7,28.9,0.0,63.0,13.0,1009.7
2021-01-19,16.6,12.2,20.0,0.0,82.0,42.8,1008.2
2021-01-20,19.8,16.7,23.9,0.0,49.0,31.0,1014.7
2021-01-21,15.2,7.8,20.0,0.0,4.0,9.4,1016.8
2021-01-22,10.9,6.1,15.6,0.0,310.0,14.0,1015.6
2021-01-23,9.9,5.6,13.9,0.5,335.0,8.3,1013.0
2021-01-24,9.7,3.3,16.1,0.0,320.0,16.9,1012.6
2021-01-25,10.3,8.9,12.2,0.0,287.0,39.2,1008.8
2021-01-26,9.5,3.9,13.9,0.0,317.0,12.2,1015.8
2021-01-27,12.2,8.9,14.4,0.0,121.0,25.9,1019.6
2021-01-28,12.6,10.0,16.1,16.8,109.0,18.4,1014.1
2021-01-29,10.7,7.2,12.8,3.8,104.0,8.6,1014.8
2021-01-30,9.6,5.0,14.4,0.0,348.0,10.4,1021.9
2021-01-31,13.4,7.2,21.1,0.0,8.0,15.1,1020.7
2021-02-01,15.1,11.1,19.4,0.0,351.0,9.0,1018.4
2021-02-02,12.6,8.9,16.7,0.0,335.0,9.4,1018.8
2021-02-03,11.7,6.1,17.2,0.0,319.0,10.8,1018.0
2021-02-04,11.0,5.6,16.1,0.0,345.0,9.4,1019.9
2021-02-05,11.1,4.4,18.3,0.0,319.0,7.9,1018.9
2021-02-06,11.1,3.9,16.7,0.0,340.0,9.7,1016.2
2021-02-07,10.6,4.4,15.6,0.0,26.0,7.9,1013.9
2021-02-08,11.2,9.4,14.4,0.0,103.0,8.6,1015.7
2021-02-09,12.1,8.9,15.0,0.0,340.0,7.6,1016.9
2021-02-10,11.2,6.1,15.6,0.0,73.0,7.9,1017.1
2021-02-11,11.3,5.6,16.1,0.0,323.0,7.9,1017.0
2021-02-12,13.5,8.9,17.8,0.8,304.0,13.7,1013.9
2021-02-13,12.3,7.2,17.2,0.0,306.0,20.9,1013.0
2021-02-14,12.0,4.4,16.1,0.0,304.0,14.0,1015.1
2021-02-15,11.8,5.6,16.1,0.0,296.0,9.7,1016.7
2021-02-16,12.4,6.1,17.2,0.0,308.0,10.8,1015.3
2021-02-17,11.1,3.9,17.2,0.0,329.0,11.2,1017.4
2021-02-18,14.4,7.2,21.7,0.0,17.0,17.6,1025.8
2021-02-19,10.8,3.3,17.2,0.0,325.0,7.9,1023.4
2021-02-20,11.2,3.9,18.9,0.0,343.0,13.0,1021.2
2021-02-21,15.3,8.3,23.9,0.0,17.0,22.3,1025.3
2021-02-22,17.3,8.9,27.8,0.0,30.0,18.4,1021.6
2021-02-23,13.8,6.1,20.6,0.0,344.0,8.6,1016.7
2021-02-24,11.6,5.0,18.3,0.0,345.0,5.8,1016.9
2021-02-25,15.0,6.1,22.8,0.0,35.0,28.4,1019.4
2021-02-26,11.5,5.0,18.3,0.0,316.0,10.1,1016.0
2021-02-27,12.1,3.9,19.4,0.0,348.0,13.3,1014.0
2021-02-28,17.4,13.9,22.8,0.0,54.0,27.4,1020.3
2021-03-01,15.1,6.7,21.1,0.0,83.0,18.4,1020.9
