time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,-4.7,-10.0,1.1,0.0,,,
2021-01-02,-2.6,-6.1,-2.2,14.5,354.0,8.6,1013.9
2021-01-03,-6.2,-5.6,-1.7,0.5,159.0,7.2,1020.0
2021-01-04,-4.0,-5.6,-2.2,0.0,55.0,5.6,1017.0
2021-01-05,-4.3,-4.4,2.2,0.0,322.0,4.5,1015.9
2021-01-06,-5.7,-5.6,-2.2,0.5,328.0,10.5,1017.9
2021-01-07,-8.6,-7.2,-2.8,0.0,317.0,9.9,1021.5
2021-01-08,-9.1,-8.3,-5.0,0.8,312.0,9.0,1019.0
2021-01-09,-9.1,-10.6,-6.1,0.0,326.0,8.3,1016.4
2021-01-10,-9.3,-10.6,-4.4,0.0,319.0,5.9,1024.5
2021-01-11,-6.4,-15.0,-3.9,0.0,168.0,7.2,1024.2
2021-01-12,-3.1,-11.1,-2.2,2.5,209.0,6.6,1018.1
2021-01-13,-4.7,-5.0,0.0,0.3,179.0,8.6,1013.9
2021-01-14,-1.3,-4.4,-0.6,0.0,125.0,5.7,1011.0
2021-01-15,-2.6,-3.9,0.6,0.0,154.0,5.7,1017.3
2021-01-16,0.7,-3.9,3.3,0.0,151.0,12.2,999.3
2021-01-17,-1.1,-2.2,2.8,8.6,263.0,14.2,992.6
2021-01-18,-8.2,-6.1,-1.1,0.2,277.0,9.5,1005.5
2021-01-19,-11.7,-17.2,-6.1,0.0,193.0,4.8,1015.1
2021-01-20,-8.2,-16.1,-5.6,1.5,259.0,8.2,1013.3
2021-01-21,-11.0,-18.9,-4.4,0.5,162.0,11.5,1006.2
2021-01-22,-4.2,-15.6,-4.4,3.0,242.0,9.6,1003.2
2021-01-23,-13.4,-13.3,-1.1,1.3,290.0,14.6,1015.7
2021-01-24,-16.1,-17.8,-11.7,0.0,296.0,13.5,1019.4
2021-01-25,-13.3,-20.0,-12.2,0.0,13.0,4.0,1020.6
2021-01-26,-8.0,-20.0,-6.1,0.0,118.0,4.0,1017.7
