time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,1.4,0.2,2.2,,85.0,7.4,1007.6
2021-01-02,0.5,0.1,1.3,0.0,25.0,8.3,1016.0
2021-01-03,-2.4,-5.3,0.0,0.0,356.0,11.1,1028.9
2021-01-04,-3.4,-5.2,-2.2,0.0,2.0,16.4,1032.0
2021-01-05,-1.8,-2.6,-1.0,0.0,24.0,13.4,1031.2
2021-01-06,-3.1,-3.9,-2.5,0.0,28.0,13.7,1024.7
2021-01-07,-2.8,-3.7,-2.3,0.0,8.0,15.6,1016.6
2021-01-08,-2.2,-3.2,-1.6,0.0,0.0,14.4,1017.4
2021-01-09,-1.6,-2.4,-0.5,0.0,89.0,9.7,1020.5
2021-01-10,-2.0,-9.3,0.3,3.3,221.0,13.8,1011.3
2021-01-11,-1.1,-7.9,0.9,16.5,196.0,12.6,998.1
2021-01-12,-7.0,-11.6,-2.6,0.1,227.0,10.2,990.8
2021-01-13,-3.8,-6.6,-2.4,1.2,29.0,20.3,1006.5
2021-01-14,-7.1,-9.2,-6.5,0.0,357.0,19.0,1024.4
2021-01-15,-11.3,-15.0,-8.4,0.0,321.0,8.7,1027.1
2021-01-16,-10.2,-12.7,-7.0,0.0,339.0,5.9,1022.7
2021-01-17,-4.6,-6.3,-2.7,0.0,6.0,16.1,1019.1
2021-01-18,-1.1,-2.4,-0.1,0.0,196.0,11.1,1012.2
2021-01-19,-0.6,-1.2,-0.2,5.4,94.0,10.5,1003.7
2021-01-20,0.1,-0.2,0.7,9.9,91.0,12.3,994.5
2021-01-21,3.0,0.9,3.7,9.5,153.0,18.9,983.1
2021-01-22,2.2,0.0,3.9,7.2,166.0,18.5,977.1
2021-01-23,2.1,-0.8,3.9,0.9,201.0,17.9,987.8
2021-01-24,-0.1,-1.4,0.8,0.0,59.0,14.0,996.4
2021-01-25,-2.9,-5.5,-1.0,0.0,346.0,15.1,1000.0
2021-01-26,-6.7,-10.1,-3.0,0.0,317.0,11.6,1007.4
2021-01-27,-9.0,-12.0,-6.4,0.0,353.0,18.6,1007.7
2021-01-28,-8.2,-10.1,-5.2,0.0,350.0,8.0,1005.2
2021-01-29,-10.6,-12.9,-7.4,0.0,348.0,11.2,1003.9
2021-01-30,-12.8,-15.6,-9.1,0.0,308.0,13.4,1000.2
2021-01-31,-11.0,-14.7,-5.7,0.0,322.0,14.7,997.8
2021-02-01,-11.4,-16.3,-7.3,0.4,17.0,8.8,1000.8
2021-02-02,-7.8,-12.5,-5.4,0.0,1.0,14.0,1004.7
2021-02-03,-9.6,-11.8,-6.6,0.0,2.0,16.4,1012.1
2021-02-04,-11.8,-14.2,-9.1,0.0,350.0,16.5,1021.6
2021-02-05,-10.2,-14.3,-6.1,0.0,347.0,12.1,1028.0
2021-02-06,-8.7,-11.1,-6.0,0.0,346.0,10.4,1031.3
2021-02-07,-8.4,-11.6,-5.6,0.0,1.0,13.7,1029.2
2021-02-08,-7.6,-10.7,-4.5,0.0,15.0,14.7,1024.3
2021-02-09,-8.5,-12.2,-5.2,0.0,10.0,15.4,1020.6
2021-02-10,-9.9,-13.7,-5.0,0.0,2.0,16.1,1021.3
2021-02-11,-10.9,-14.0,-7.0,0.0,351.0,14.3,1032.9
2021-02-12,-8.1,-14.0,-3.0,0.0,333.0,11.7,1037.7
2021-02-13,-8.6,-14.0,-4.1,0.0,299.0,11.3,1038.2
2021-02-14,-7.6,-11.7,-1.6,0.0,288.0,12.3,1036.3
2021-02-15,-9.0,-16.1,-4.5,0.6,37.0,10.9,1029.2
2021-02-16,-2.8,-4.9,-1.6,0.4,88.0,12.4,1018.9
2021-02-17,-3.1,-4.4,-1.6,0.0,80.0,15.2,1017.7
2021-02-18,-3.4,-5.1,-1.3,1.5,103.0,13.2,1018.2
2021-02-19,0.1,-1.2,1.0,2.2,146.0,9.5,1009.7
2021-02-20,2.4,1.0,3.7,0.7,192.0,12.6,1011.8
2021-02-21,3.4,2.5,4.5,0.0,145.0,10.5,1012.9
2021-02-22,2.9,1.0,5.0,0.0,72.0,13.9,1018.7
2021-02-23,3.0,0.4,5.4,0.6,205.0,10.1,1020.8
2021-02-24,5.2,1.5,7.6,0.0,192.0,16.7,1016.6
2021-02-25,5.8,3.2,7.2,0.0,210.0,17.1,1011.9
2021-02-26,5.8,3.5,10.1,0.0,283.0,17.6,1016.4
2021-02-27,2.6,-3.0,7.3,0.0,269.0,14.0,1029.9
2021-02-28,5.4,-0.2,13.5,0.0,262.0,11.4,1029.4
2021-03-01,3.3,-3.1,9.5,0.0,240.0,11.5,1027.0
2021-03-02,4.6,-1.1,11.4,0.0,225.0,8.1,1029.3
2021-03-03,-1.1,-3.5,3.6,0.0,237.0,10.2,1022.2
2021-03-04,0.6,-2.1,3.5,0.0,325.0,16.8,1019.0
2021-03-05,0.1,-3.5,4.2,0.0,289.0,12.3,1022.6
2021-03-06,1.8,-3.9,6.1,0.0,241.0,17.3,1014.1
2021-03-07,0.6,-2.1,3.8,0.0,315.0,19.2,1013.7
2021-03-08,-1.9,-5.9,2.8,0.0,272.0,9.9,1021.7
2021-03-09,-0.5,-3.6,3.5,0.6,321.0,11.9,1017.8
2021-03-10,-4.0,-9.4,-1.2,0.0,87.0,13.4,1019.2
2021-03-11,-0.5,-1.8,0.4,19.1,123.0,21.0,990.0
2021-03-12,2.5,0.2,5.7,2.2,236.0,15.6,983.1
2021-03-13,2.1,-0.3,3.8,0.0,173.0,10.1,988.4
2021-03-14,1.4,-1.9,5.3,0.0,242.0,11.4,993.2
2021-03-15,0.9,-2.3,4.7,0.2,11.0,19.7,1003.2
2021-03-16,2.1,-2.2,6.1,0.0,339.0,10.6,1016.7
2021-03-17,1.0,-3.0,5.1,0.0,349.0,13.9,1023.8
2021-03-18,1.3,-4.1,5.7,1.0,340.0,10.7,1022.2
2021-03-19,-2.0,-7.8,2.0,0.0,316.0,8.6,1028.5
2021-03-20,3.6,-2.7,10.8,0.0,221.0,10.1,1012.2
2021-03-21,3.3,-1.2,5.9,0.0,311.0,18.0,1010.0
2021-03-22,4.9,0.0,10.5,0.0,239.0,9.3,1013.0
2021-03-23,5.2,-2.8,11.6,0.0,206.0,9.1,1014.2
2021-03-24,5.9,3.3,9.0,0.0,221.0,20.9,1010.4
2021-03-25,4.5,1.3,8.4,0.0,215.0,17.6,1010.9
2021-03-26,5.0,1.1,8.7,0.0,178.0,11.9,1012.4
2021-03-27,5.2,2.5,7.6,6.1,154.0,10.5,1007.3
2021-03-28,4.4,0.0,9.0,,,,
2021-03-29,6.9,3.9,9.3,0.5,196.0,17.1,1009.4
2021-03-30,10.2,6.7,16.4,0.0,213.0,18.9,1014.7
2021-03-31,5.7,2.6,8.9,2.3,295.0,13.9,1016.9
2021-04-01,3.6,-1.1,8.8,0.0,317.0,12.2,1020.3
2021-04-02,4.2,-0.9,10.1,0.0,316.0,18.6,1017.2
2021-04-03,3.8,-0.8,9.0,0.0,304.0,12.8,1021.8
2021-04-04,4.7,-0.9,11.4,0.2,210.0,19.2,1003.4
2021-04-05,2.0,-2.1,6.1,3.9,277.0,21.3,983.1
2021-04-06,3.2,-0.1,7.2,0.0,271.0,20.0,988.4
2021-04-07,3.6,-0.5,7.8,0.0,328.0,15.8,998.5
2021-04-08,1.6,-3.5,6.7,0.6,236.0,11.9,1005.5
2021-04-09,4.3,0.8,8.4,3.2,216.0,25.2,991.7
2021-04-10,3.6,-1.5,8.7,0.0,240.0,16.8,1005.4
2021-04-11,0.7,-5.4,6.1,2.4,68.0,8.1,1016.4
2021-04-12,1.7,0.0,5.3,4.7,147.0,12.9,1011.9
2021-04-13,1.9,0.0,5.3,0.6,264.0,9.2,1017.4
2021-04-14,3.0,-2.7,9.0,0.0,321.0,8.3,1026.9
2021-04-15,4.2,-0.7,9.9,0.0,13.0,10.7,1033.2
2021-04-16,6.3,-1.9,12.9,0.0,32.0,12.5,1031.9
2021-04-17,8.9,1.9,15.5,0.0,31.0,12.3,1030.7
2021-04-18,9.5,1.4,17.4,0.0,41.0,10.6,1029.3
2021-04-19,9.6,-0.4,16.9,0.0,59.0,8.3,1027.3
2021-04-20,7.6,-1.9,14.7,0.0,134.0,7.2,1018.8
2021-04-21,4.8,0.7,8.9,2.9,245.0,18.0,1002.9
2021-04-22,4.5,0.8,8.9,1.2,337.0,29.1,1009.9
2021-04-23,4.2,0.3,9.3,0.0,323.0,18.6,1018.7
2021-04-24,3.1,-0.9,6.9,0.0,325.0,20.4,1022.3
2021-04-25,3.0,-1.0,7.2,0.0,337.0,18.6,1023.6
2021-04-26,4.2,-1.3,9.5,0.0,338.0,12.0,1020.4
2021-04-27,5.1,-0.7,10.1,0.0,351.0,12.5,1016.3
2021-04-28,3.7,-2.9,9.8,0.0,22.0,6.9,1014.0
2021-04-29,4.5,-3.4,9.4,0.0,55.0,9.8,1013.0
2021-04-30,5.0,-1.2,11.2,0.0,336.0,8.7,1013.3
2021-05-01,5.8,-2.2,11.4,0.0,349.0,7.9,1015.2
2021-05-02,7.1,-1.8,12.8,0.0,274.0,7.7,1013.9
2021-05-03,5.2,-0.3,11.1,0.0,281.0,7.3,1009.5
2021-05-04,4.9,0.9,7.5,3.3,120.0,14.3,1001.2
2021-05-05,3.5,2.6,4.6,10.1,48.0,24.3,992.0
2021-05-06,3.7,-0.5,7.4,0.0,20.0,15.7,997.6
2021-05-07,3.6,-2.4,8.3,0.0,345.0,9.3,1004.6
2021-05-08,4.9,-1.8,9.7,2.3,185.0,9.0,1009.6
2021-05-09,5.7,2.8,8.2,12.0,120.0,11.1,1006.8
2021-05-10,12.6,8.4,17.3,13.0,129.0,8.0,1004.8
2021-05-11,9.3,6.2,11.9,13.3,343.0,7.6,1013.0
2021-05-12,14.8,8.3,22.6,0.0,76.0,12.5,1006.9
2021-05-13,17.0,9.3,24.6,0.0,52.0,6.7,1005.8
2021-05-14,13.4,8.5,19.2,4.5,40.0,11.6,1004.6
2021-05-15,10.0,8.6,12.2,0.2,72.0,8.3,1002.6
2021-05-16,10.0,7.4,14.4,2.0,134.0,8.5,1003.9
2021-05-17,10.0,8.5,12.1,11.7,130.0,9.0,1001.0
2021-05-18,10.3,7.2,14.0,0.0,196.0,8.2,1005.7
2021-05-19,8.9,2.4,15.1,0.0,222.0,8.9,1008.3
2021-05-20,9.6,4.6,14.8,0.0,211.0,10.4,1008.1
2021-05-21,9.7,4.4,14.0,0.0,195.0,9.9,1002.3
2021-05-22,9.8,2.8,15.0,0.0,143.0,8.3,998.8
2021-05-23,10.3,7.8,13.3,3.1,79.0,11.6,1002.8
2021-05-24,9.6,6.4,14.0,0.3,91.0,8.9,1013.0
2021-05-25,11.6,9.0,15.2,0.9,59.0,14.3,1014.4
2021-05-26,9.2,7.9,10.6,25.9,26.0,22.4,1008.5
2021-05-27,9.9,7.0,12.7,1.0,359.0,18.3,1011.8
2021-05-28,13.1,2.7,20.8,0.0,334.0,11.0,1017.0
2021-05-29,15.6,7.7,21.9,0.0,312.0,10.8,1022.8
2021-05-30,17.4,6.7,23.8,0.0,188.0,8.0,1025.1
2021-05-31,16.8,7.6,23.0,0.0,228.0,6.5,1021.3
2021-06-01,17.2,10.9,20.7,0.0,72.0,9.7,1022.9
2021-06-02,16.1,8.3,22.2,0.0,90.0,10.4,1028.3
2021-06-03,16.3,7.0,21.7,0.0,111.0,8.7,1029.0
2021-06-04,17.0,9.7,21.9,0.0,114.0,8.2,1026.2
2021-06-05,17.9,7.3,24.5,0.0,236.0,8.2,1022.5
2021-06-06,19.5,12.4,25.1,0.0,243.0,10.0,1020.3
2021-06-07,17.0,13.6,22.0,0.0,228.0,8.7,1019.8
2021-06-08,16.5,13.0,20.7,0.0,247.0,8.4,1018.6
2021-06-09,17.1,13.4,22.3,0.0,176.0,8.0,1016.4
2021-06-10,15.3,9.0,20.2,0.0,182.0,8.1,1015.5
2021-06-11,16.8,12.9,21.5,0.0,194.0,13.8,1011.5
2021-06-12,16.2,12.1,20.5,0.0,281.0,14.4,1003.3
2021-06-13,15.4,10.1,20.5,0.0,278.0,13.8,1014.1
2021-06-14,14.1,11.7,16.8,7.7,207.0,18.8,1010.4
2021-06-15,14.7,9.3,19.5,0.0,248.0,16.8,1011.2
2021-06-16,14.8,7.8,20.3,0.0,194.0,12.0,1015.8
2021-06-17,18.3,10.8,24.0,0.0,160.0,9.9,1016.6
2021-06-18,21.3,17.4,25.4,0.0,201.0,12.0,1012.6
2021-06-19,18.5,15.6,23.7,0.0,67.0,11.2,1011.9
2021-06-20,16.1,11.1,20.5,10.3,145.0,9.5,1009.2
2021-06-21,16.3,13.8,18.6,9.0,183.0,13.7,1007.2
2021-06-22,14.4,12.1,16.2,10.5,359.0,14.1,1010.9
2021-06-23,14.9,12.0,18.2,0.0,339.0,8.3,1017.2
2021-06-24,17.4,10.4,22.5,0.0,192.0,8.2,1016.9
2021-06-25,16.4,10.8,22.2,0.0,234.0,8.1,1014.2
2021-06-26,19.1,14.9,24.1,0.0,250.0,7.8,1015.5
2021-06-27,15.6,13.3,17.5,0.0,209.0,7.5,1014.7
2021-06-28,17.0,11.8,21.9,0.0,190.0,6.3,1013.5
2021-06-29,15.5,10.8,20.4,0.0,217.0,6.9,1011.0
2021-06-30,17.7,13.3,21.6,0.0,39.0,16.2,1013.5
2021-07-01,17.0,12.6,21.7,0.0,26.0,16.2,1016.0
2021-07-02,21.0,14.4,27.1,0.0,37.0,10.7,1015.7
2021-07-03,21.5,14.2,26.0,0.0,94.0,8.0,1014.6
2021-07-04,21.8,16.7,25.9,0.0,114.0,9.9,1013.1
2021-07-05,20.5,17.0,24.7,0.0,83.0,11.6,1010.9
2021-07-06,19.9,16.8,23.2,3.4,138.0,8.4,1008.2
2021-07-07,18.6,13.4,21.8,1.6,179.0,12.0,1012.3
2021-07-08,17.6,10.9,23.0,0.0,187.0,9.8,1020.6
2021-07-09,19.6,13.8,25.4,0.0,29.0,6.9,1020.9
2021-07-10,19.0,15.3,23.6,9.2,82.0,13.1,1010.3
2021-07-11,17.8,14.0,21.3,0.0,205.0,16.2,1014.3
2021-07-12,17.1,10.0,22.3,0.0,155.0,7.2,1019.0
2021-07-13,20.2,11.3,26.8,0.0,60.0,7.8,1016.7
2021-07-14,23.1,19.3,29.3,0.0,92.0,10.1,1013.0
2021-07-15,21.2,16.6,27.3,0.0,314.0,7.5,1011.9
2021-07-16,20.7,17.1,25.0,0.0,76.0,10.4,1018.2
2021-07-17,20.6,13.3,26.8,0.0,241.0,10.1,1015.6
2021-07-18,18.4,14.3,22.4,0.0,308.0,11.1,1010.9
2021-07-19,15.9,10.5,20.8,0.0,319.0,10.7,1015.9
2021-07-20,18.0,12.5,22.6,0.0,299.0,10.7,1011.3
2021-07-21,17.2,13.0,22.1,0.0,15.0,9.3,1018.6
2021-07-22,19.1,10.6,25.8,0.0,245.0,10.7,1015.9
2021-07-23,17.8,12.8,22.2,0.0,3.0,10.3,1017.1
2021-07-24,18.4,8.8,25.5,0.0,61.0,6.1,1017.0
